"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.742111740422078,0.000699728203522973,0.142444670002891,0.00999611719318532,0.0064279519385626,0.00139945640704595,0.00229910695443262,0.00459821390886525,0.0682734804294558,0.014294447586255,0.00029988351579556,3.31085695885884e-06,2.7457464655765e-06,5.30497038238675e-06,6.19006358430499e-06,7.1482526934702e-05,5.18368649287011e-08,4.35353945281796e-06,2.94845472730194e-08,5.88754309279387e-06,0.000104479941935231,2.71598502585723e-07,1.26223180940251e-05,0.000424801399754278,1.46106647575442e-06,1.01275261498069e-06,1.78004857305928e-07,3.05451353072164e-08,0.00292659248186714,5.65098817817464e-05,1.91982627899503e-06,4.28854019589068e-06,8.63440612466085e-07,9.06427914843659e-08,1.37994498589657e-06,0.000451991114412576,2.16216014888599e-08,1.77121200546051e-07,0.000167232031810715,4.22243287405699e-06,1.04719923482841e-06,4.31906134051664e-06,9.77017495626776e-07,0.002560747794888,0,7.64763841632384e-06,2.65297350151826e-06,1.89239493419349e-07,2.73076228590391e-06,9.37228211038348e-05,7.831223106247e-06,0.000112926450809106,2.89096705732393e-07,4.46287947702187e-06,1.37034271572079e-05,2.64317330822206e-08,3.74786321186364e-06,1.27645718381896e-06,5.15954886868373e-06,3.67356507160185e-06,1.87060339871235e-07,2.82821373269207e-05,4.43610787595508e-06,3.36885723037916e-05
0.793478373575034,0.000639177041017019,0.124240037347683,0.00741045881929107,0.00679125606080583,0.001098585539248,0.0020873125245712,0.00298615523850139,0.0419959290230713,0.0138022292294613,0.000369524226837964,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,1.38821263595884e-05,7.56026593827943e-05,2.62214702394604e-07,4.35353945281796e-06,1.098585539248e-06,7.43043310182285e-06,0.000104479941935231,5.99228475953456e-07,5.19331345826328e-05,0.000414290508497919,2.5267467402704e-06,1.73776258026502e-06,3.09601379242619e-07,4.68277149757811e-08,0.00292659248186714,5.25686001089234e-05,2.49678531647273e-06,3.67889462802254e-06,1.098585539248e-06,1.49807118988364e-07,1.63789116760611e-06,0.000893849143297238,2.99614237976728e-08,1.49807118988364e-07,0.000148808404861775,5.06259071479244e-06,0,5.69267052155783e-06,5.30317201218808e-06,6.59151323548801e-07,0,7.5902273620771e-06,2.60664387039753e-06,2.66940126777349e-07,3.60535799698662e-06,0.000105064726117173,3.59537085572073e-05,0.000112309761462153,4.99357063294546e-07,5.59279910889892e-06,1.24023623917097e-05,4.99357063294546e-08,4.74389210129819e-06,4.39434215699201e-06,5.54615535651699e-06,6.89112747346474e-06,3.49549944306182e-07,2.70651528305644e-05,9.48778420259638e-06,4.29424849945903e-06
0.765,0.000579,0.128,0.00761,0.0064279519385626,0.00107,0,0.00319,0.0407752478875781,0.0157,0.000296264808957179,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,7.2e-06,4.24928736355678e-05,2.62214702394604e-07,8.98e-05,1.3e-06,8.9e-06,0.000104479941935231,5.92790169578643e-07,7.79e-05,0.000509,5.03e-05,1.41314251506938e-06,2.76088536958689e-07,4.68277149757811e-08,0.00292659248186714,6.16e-05,2.28704573189878e-06,7.2e-06,1.21112116452587e-06,0,2.2e-06,0.000566629178072598,3.40100542403055e-08,5.67731785136691e-07,0.000149,6.8e-06,4.6e-06,1.31e-05,1.2449745727868e-06,0.002854,0,7.96651495040559e-06,2.99566769163688e-06,2.66940126777349e-07,2.79137229414484e-06,0.000118233584282184,3.96e-05,9.49e-05,4.05056860605762e-07,4.98105782930765e-06,1.24023623917097e-05,3.93613214925185e-08,3.85455373300392e-06,2.56253369175205e-06,5.54615535651699e-06,1.04977069831441e-05,0,3.54e-05,2.6e-06,0.0234768460302472
0.795881415402251,0.000585101130937479,0.124175725264207,0.00667590798577845,0.00642795193853191,0.00109346768732578,0,0.00300224022923657,0.0403432025692301,0.0130928367824534,0.00041244833820183,3.03488818808225e-07,3.34719272156383e-06,2.22653631434817e-05,1.04939263175618e-05,4.24928736353649e-05,2.62214702393352e-07,4.35353945279718e-06,2.25563366294591e-07,2.11020080010238e-05,0.000104479941934732,9.5918218186472e-08,2.49387367284827e-06,0.000414290508495941,2.76501955545745e-06,1.41314251506263e-06,2.76088536957371e-07,4.68277149755576e-08,0.00292659248185317,6.93488717488193e-05,2.28704573188786e-06,3.67889462800498e-06,4.31631981839124e-06,0,3.14611755651628e-05,0.000566629178069893,3.40100542401431e-08,5.67731785133981e-07,0.000193179291427555,1.62101788735138e-05,3.09815844742304e-05,4.89182912751007e-06,1.24497457278086e-06,0.00320894398942842,0,7.96651495036756e-06,1.21816137096819e-05,2.66940126776074e-07,2.79137229413151e-06,0.000118233584281619,1.73611974917514e-05,0.000135724278733858,4.05056860603829e-07,2.86795472377551e-05,1.24023623916505e-05,3.93613214923306e-08,3.85455373298552e-06,6.81019349123951e-06,5.54615535649051e-06,0.000176777276117668,0,3.61611682562999e-05,5.34264475298649e-05,0
0.7926,0.0005589,0.1221,0.007184,0.0064279519385626,0.00106,0.0009232,0.00293,0.04092,0.01362,0.0002839,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,1.51e-05,4.24928736355678e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,0,0.000104479941935231,5.92790169578643e-07,1.05e-05,0.000383,2.76501955547065e-06,1.41314251506938e-06,2.76088536958689e-07,4.68277149757811e-08,0.00292659248186714,5.81e-05,2.28704573189878e-06,1.8e-06,1.21112116452587e-06,0,0,0.000566629178072598,3.40100542403055e-08,5.67731785136691e-07,0.00014,5.06259071479244e-06,1.47e-05,1.38e-05,1.2449745727868e-06,0.00251,0,7.96651495040559e-06,2.99566769163688e-06,2.66940126777349e-07,2.79137229414484e-06,0.000146,3.15e-05,8.33e-05,4.05056860605762e-07,4.98105782930765e-06,1.24023623917097e-05,3.93613214925185e-08,7e-06,2.56253369175205e-06,5.4e-06,1.69e-05,0,2.71e-05,2.2e-06,0.004204784014048
0.809700470726271,0.000595610716205068,0.11544154933068,0.00716479603905765,0.00642795193852654,0.00102073806583835,0,0.00308991581194799,0.0372569394030998,0.0118464504371816,0.000296264808955518,3.03488818807972e-07,3.34719272156104e-06,2.22653631434631e-05,6.77220447527367e-06,7.31201787547664e-05,2.62214702393133e-07,4.35353945279354e-06,2.25563366294403e-07,6.64461221704388e-06,0.000104479941934645,5.92790169575318e-07,9.61849331270753e-06,0.0003923756384239,2.76501955545514e-06,1.53110709875753e-06,2.76088536957141e-07,4.68277149755185e-08,0.00292659248185073,5.37752294493108e-05,2.36536417179848e-06,3.67889462800191e-06,8.63701440324758e-07,0,0,0.00056662917806942,3.40100542401147e-08,5.67731785133506e-07,0.000146731096964263,4.76017271088077e-06,0,7.16561607481274e-06,1.11888595678435e-06,0.00242412531410785,0,7.96651495036091e-06,2.45369727364988e-06,2.66940126775852e-07,3.35665787035304e-06,0.000182250818697619,6.55627911519248e-06,0.0001177676543461,4.22035931067779e-07,4.87795018001596e-06,1.12379335133165e-05,3.93613214922977e-08,4.0338783178804e-06,2.56253369173768e-06,5.54615535648588e-06,6.28146502054369e-06,0,2.94443672837986e-05,6.86053757712507e-06,0
0.796843495062097,0.000541614672908541,0.121542274512282,0.00675898479884027,0.00426044991738385,0.00100140481702994,0.000875980356845278,0.00281508232858914,0.0445455920100298,0.0131894769638636,0.000295643370435281,3.03488818809674e-07,3.85232270567185e-06,2.2265363143588e-05,1.04939263176119e-05,6.75898479884027e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,6.86848234344593e-06,0.000147323969105797,5.92790169578643e-07,1.07506680158284e-05,0.000393195728356687,2.76501955547065e-06,1.70218910250617e-06,3.58355600527614e-07,4.68277149757811e-08,0.00292659248186714,5.3355167189667e-05,2.84693615974715e-06,5.27579078554543e-06,9.65569256977182e-07,1.59269155790051e-07,1.84154961382246e-06,0.00070675687881835,3.40100542403055e-08,5.67731785136691e-07,0.00017320520692168,4.76812035146464e-06,6.00245630883753e-06,5.07670434080786e-06,1.06511247934596e-06,0.00237908301461388,0,6.27122300923324e-06,3.11570286014287e-06,2.66940126777349e-07,3.04602260448472e-06,0.000133387917974167,2.97634234882657e-05,0.000131397053526792,4.57898822896396e-07,4.50930797330581e-06,1.36374214645231e-05,3.93613214925185e-08,4.16090669501507e-06,2.56253369175205e-06,6.49021809844456e-06,7.55533057779053e-06,2.88675344869467e-07,3.92200296133e-05,3.28492633816979e-06,8.88178419700125e-16
0.762288785474004,0.00414555600024707,0.115779456864043,0.0289201882874379,0.00572481542891263,0.000592222285749582,0.00246759285728993,0.0121405568578664,0.0380009300022649,0.0223070394299009,0.000493518571457985,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,8.19240828620255e-06,7.15601928614078e-05,2.62214702394604e-07,4.35353945281796e-06,1.97407428583194e-08,9.27814914341012e-06,0.000104479941935231,2.96111142874791e-07,1.41187706825317e-05,0.000370040224879197,1.97407428583194e-06,1.77666685724875e-06,3.05981514303951e-07,4.24425971453867e-08,0.00292659248186714,5.18095796316593e-05,2.82292622873968e-06,3.67889462802254e-06,9.37685285770172e-07,1.61874091438219e-07,2.28992617156505e-06,0.000715601928614078,4.14555600024708e-08,1.97407428583194e-07,0.000171241073924492,5.98144508607078e-06,0,5.42870428603784e-06,1.38185200008236e-06,0.00214532523012786,0,7.4225193147281e-06,2.66500028587312e-06,2.66940126777349e-07,3.94814857166388e-06,0.000118233584282184,2.09672400172199e-05,0.000265512991444396,4.81674125742993e-07,6.01105620035826e-06,1.68497110667185e-05,5.03388942887145e-08,4.64894494313422e-06,2.56253369175205e-06,5.62611171462103e-06,8.034482343336e-06,3.36579665734346e-07,2.36888914299833e-05,5.92222285749582e-06,1.15052412041905e-12
0.791750205721064,0.000549824715105104,0.123605380874945,0.00730813737025404,0.0064279519385626,0.00105080797266227,0.00130626092331367,0.00306653792378852,0.0421369476722086,0.0136268769074715,0.000320832147775386,3.03488818809674e-07,4.10420768712475e-06,2.2265363143588e-05,8.10444470081125e-06,4.24928736355678e-05,2.62214702394604e-07,2e-06,2.25563366295668e-07,8.73072110119333e-06,0.000104479941935231,5.92790169578643e-07,1.18127524235453e-05,0.000414290508497919,2.76501955547065e-06,1.99175467957203e-06,3.53622426967435e-07,4.44954388922414e-08,0.00292659248186714,5.75e-05,3.29551533725253e-06,5e-06,1.09401227312896e-06,1.84856780590781e-07,2.35614313391444e-06,0.000566629178072598,4.27856217788951e-08,5.67731785136691e-07,0.0001355,6.38948636436282e-06,8e-06,1.04649742544481e-05,1.56234164726852e-06,0.00258205933032825,0,7.82642036859007e-06,2.99566769163688e-06,2.66940126777349e-07,4.21671244425257e-06,0.000156,3.54128130121835e-05,9.35e-05,5.61646944301787e-07,5.9752034648777e-06,1.25e-05,5.38136651635506e-08,4.61488723716907e-06,2e-06,5e-06,8.49743113928649e-06,3.63930550833593e-07,2.75e-05,4e-06,0.00154689176645539
0.793038737913645,0.000398662178164457,0.123186613052817,0.00777391247420691,0.0064279519385626,0.00109632098995226,0.000996655445411142,0.00298996633623342,0.0423578564299735,0.0138535106912149,0.000298996633623342,3.03488818809674e-07,3.34719272157981e-06,2.2265363143588e-05,7.97324356328914e-06,8.19250776127959e-05,2.62214702394604e-07,4.35353945281796e-06,2.25563366295668e-07,7.52474861285412e-06,0.000104479941935231,3.28896296985677e-07,1.56474904929549e-05,0.000422581908854324,1.07638788104403e-06,1.80394635619417e-06,3.28896296985677e-07,4.38528395980902e-08,0.00292659248186714,5.5015380586695e-05,2.67103659370186e-06,5.42180562303661e-06,9.56789227594696e-07,1.69431425719894e-07,1.95344467300584e-06,0.00078536449098398,3.98662178164457e-08,5.67731785136691e-07,0.000170428081165305,4.96334411814749e-06,1.68434770274483e-06,5.24240764286261e-06,1.17605342558515e-06,0.00259628743529602,0,7.96651495040559e-06,2.90026734614642e-06,2.66940126777349e-07,3.42849473221433e-06,0.000118233584282184,9.0795311076955e-06,0.000129565207903448,4.88361168251459e-07,5.37197285076605e-06,1.24023623917097e-05,5.18260831613794e-08,4.51484916771247e-06,1.26575241567215e-06,5.54615535651699e-06,8.50147094935704e-06,3.488294058939e-07,2.70093625706419e-05,5.27230730622494e-06,5.59624479790077e-06
