"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.572986789123576,0.00429380808038142,0.14705706089503,0.087127544654734,0.048656456116829,0.00125431597612235,0.0464380427636879,0.063869417552668,0.0244997337191162,0.00202372102149124,0.000490776788786765,5.9429592619848e-07,7.98945373752139e-06,0.000130124284038881,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.26570083968236e-05,2.5809775346555e-05,2.87427043632089e-05,1.4954629214437e-07,5.26949579992164e-05,3.31493768819065e-06,2.3177248886084e-06,4.99149392093559e-07,0.000396880545230478,1.31981805749429e-05,2.66793082088407e-06,1.61705265102522e-06,1.55922698213826e-06,8.02670238315758e-07,5.70893589484341e-06,2.00071674209486e-05,4.03132836193324e-07,1.31402263658891e-06,2.63963611498858e-06,7.20233594055493e-06,1.44691164821596e-05,2.54187181443344e-06,1.62171261233918e-06,1.36870020777185e-06,5.15217863925548e-05,2.98974730088437e-07,2.90359972648743e-05,2.71795807986837e-06,2.05332197700102e-06,1.28691810726819e-06,9.97195865662351e-05,1.57568065040829e-07,4.80644265557909e-07,3.03069331720911e-06,1.93563102162376e-08,3.62897264719689e-07,2.93292901665397e-07,0.000215472518423512,1.00619120234568e-06,2.26813177287907e-05,2.44112912955174e-06,7.57673329302277e-05,5.40636582069882e-05,2.91360169324406e-08
0.573057451214246,0.00450609277877869,0.142333756686205,0.0965871191277344,0.0500568132599111,0.00137141954136743,0.0474119327158453,0.0560322841187263,0.024979427360621,0.00205712931205114,0.000293875616007306,5.9429592619848e-07,7.98945373752139e-06,0.000120489002562995,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.20489002562995e-05,2.35100492805845e-05,2.25304638938934e-05,1.27346100269832e-07,5.96933395383516e-05,3.42854885341857e-06,2.19427126618788e-06,4.89792693345509e-07,0.000396880545230478,1.28931312978409e-05,2.64488054406575e-06,1.61705265102522e-06,1.37141954136743e-06,7.73872455485905e-07,5.4856781654697e-06,2.00071674209486e-05,3.42854885341856e-07,7.24893186151354e-07,1.76325369604383e-06,6.85709770683713e-06,1.46937808003653e-05,3.52650739208767e-06,1.56733661870563e-06,1.86121223471294e-06,7.7280550222063e-05,2.98974730088437e-07,3.23263177608036e-05,2.71795807986837e-06,2.06692516591805e-06,1.28691810726819e-06,0.000103836050989248,1.27346100269832e-07,4.79996839478599e-07,1.52815320323799e-06,1.93563102162376e-08,3.42854885341856e-07,3.42854885341856e-07,0.000226284224325625,1.00619120234568e-06,2.13549614298642e-05,2.3118215125908e-06,7.05880324943929e-05,4.11425862410228e-05,2.53093917157443e-07
0.562539761237474,0.00430989891945827,0.149181273962158,0.0932505402573698,0.048656456116829,0.00117542697803407,0.047408888114041,0.0671952422442812,0.0217453990936304,0.00215494945972913,0.000783617985356049,1.6651882188816e-06,1.95904496339012e-05,0.000127631779364867,8.81570233525555e-07,5.19146915298382e-06,6.85665737186543e-07,1.26570083968236e-05,2.20392558381389e-05,2.21372080863084e-05,1.4954629214437e-07,5.75959219236696e-05,3.31493768819065e-06,2.3177248886084e-06,4.99149392093559e-07,0.000396880545230478,1.28931312978409e-05,2.66793082088407e-06,3.2324241895937e-06,1.55922698213826e-06,8.02670238315758e-07,5.70893589484341e-06,2.24310648308169e-05,4.03132836193324e-07,2.15494945972914e-06,1.47907894735954e-05,7.20233594055493e-06,5.77918264200086e-06,1.01870338096286e-05,1.62171261233918e-06,2.70324907134071e-06,7.7280550222063e-05,9.79522481695061e-08,3.11703291267967e-05,8.61979783891654e-06,2.05332197700102e-06,4.60375566396679e-06,9.66788689433026e-05,1.57568065040829e-07,4.80644265557909e-07,1.4322185742784e-06,1.93563102162376e-08,3.62897264719689e-07,8.22798884623852e-06,0.000251051612058444,7.44437086088247e-06,2.51737277795631e-05,2.44112912955174e-06,8.13983182288596e-05,0.000214515423491218,3.5349152049946e-08
0.571699508368053,0.00426905689318195,0.148728433697952,0.0875451759200908,0.048656456116829,0.0012689132240103,0.0462317221151041,0.0637407572991223,0.0238044186209685,0.00206567269024933,0.000491826831011746,5.9429592619848e-07,9.93490198643727e-06,0.000127874976063054,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.24924015076983e-05,2.48864376491943e-05,2.26240342265403e-05,1.37711512683289e-07,5.6068258735339e-05,3.31493768819065e-06,2.3177248886084e-06,4.72153757771276e-07,0.000396880545230478,1.27874976063054e-05,2.66793082088407e-06,1.61705265102522e-06,1.8591054212244e-06,8.02670238315758e-07,5.31172977492686e-06,2.00071674209486e-05,3.81657620865115e-07,1.31402263658891e-06,2.71269870270497e-06,7.20233594055493e-06,1.47548049303524e-05,4.78637518190803e-06,1.62171261233918e-06,2.70324907134071e-06,7.7280550222063e-05,1.96730732404698e-07,3.31491284101917e-05,2.71795807986837e-06,2.04599961700886e-06,1.28691810726819e-06,0.000100332673526396,1.57568065040829e-07,4.72153757771276e-07,1.57384585923759e-06,1.93563102162376e-08,3.62897264719689e-07,4.91826831011746e-07,0.000232142264237544,1.00619120234568e-06,2.26240342265403e-05,2.44929761843849e-06,7.77086392998559e-05,5.41009514112921e-05,0.000148813896676536
0.574241587003357,0.0043227767028482,0.147269142672033,0.0869467586822876,0.048729482832107,0.00108069417571205,0.0460768698553592,0.0635644665168815,0.0238735167907298,0.00206314342635937,0.000491224625323659,5.9429592619848e-07,8.3508186305022e-06,0.000131648199586741,3.92979700258927e-07,3.92979700258927e-08,9.82449250647318e-08,1.23788605581562e-05,2.35432011270024e-05,2.65261297674776e-05,9.82449250647318e-08,5.89469550388391e-05,3.32067846718793e-06,2.35787820155356e-06,5.10873610336605e-07,0.000396880545230478,1.36560445839977e-05,2.68208645426718e-06,1.47367387597098e-06,1.47367387597098e-06,7.56485922998435e-07,5.49189131111851e-06,1.91577603876227e-05,3.63506222739508e-07,7.85959400517854e-07,1.76840865116517e-06,6.87714475453122e-06,1.22806156330915e-05,3.92979700258927e-06,1.56209430852924e-06,1.96489850129464e-06,6.87714475453122e-05,1.96489850129464e-07,3.19296006460378e-05,2.71795807986837e-06,2.03366994883995e-06,4.91224625323659e-07,0.000103157171317968,1.57568065040829e-07,4.71575640310713e-07,1.60139227855513e-06,1.93563102162376e-08,3.62897264719689e-07,3.73330715245981e-07,0.000225963327648883,1.00619120234568e-06,2.18103733643705e-05,2.4168251565924e-06,7.95783893024327e-05,5.59996072868971e-05,1.36707620113086e-06
0.572776288092346,0.00429192041486091,0.14631546868844,0.0876917375672717,0.0493570847709004,0.00126806739529981,0.0466258626887162,0.0630131951818215,0.024288367802281,0.00224350385322275,0.000780349166338347,5.9429592619848e-07,7.98945373752139e-06,0.000121929557240367,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.12662910890099e-05,2.04841656163816e-05,3.21894031114568e-05,1.4954629214437e-07,6.73051155966824e-05,3.56034307141871e-06,2.3177248886084e-06,5.26735687278384e-07,0.000396880545230478,1.28931312978409e-05,3.08237920703647e-06,1.61705265102522e-06,1.55922698213826e-06,9.46173364185245e-07,6.38910879939521e-06,2.00071674209486e-05,3.99928947748403e-07,1.31402263658891e-06,3.90174583169173e-06,7.61815873637811e-06,1.4631546868844e-05,4.78637518190803e-06,1.62171261233918e-06,2.70324907134071e-06,7.7280550222063e-05,2.98974730088437e-07,3.11703291267967e-05,2.71795807986837e-06,2.06792529079662e-06,1.28691810726819e-06,0.000107298010371523,1.57568065040829e-07,4.80644265557909e-07,1.4322185742784e-06,1.93563102162376e-08,3.62897264719689e-07,4.75334059401477e-07,0.000220448639490583,1.00619120234568e-06,2.34104749901504e-05,2.56539788433731e-06,7.4133170802143e-05,5.16981322699155e-05,1.82578128393729e-07
0.570662402378987,0.0043680571707866,0.152008389543374,0.0860021922959317,0.048656456116829,0.00126188318267168,0.0469808815702381,0.0630941591335842,0.0231021690366047,0.00203842667970041,0.000485339685642955,5.9429592619848e-07,7.47423115890151e-06,0.000137836470722599,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.12598807069166e-05,2.29080331623475e-05,3.3003098623721e-05,1.4954629214437e-07,5.88231698999262e-05,3.31493768819065e-06,2.3177248886084e-06,4.99149392093559e-07,0.000396880545230478,1.2812967700974e-05,2.66793082088407e-06,1.61705265102522e-06,1.55922698213826e-06,8.02670238315758e-07,5.70893589484341e-06,2.00071674209486e-05,4.03132836193324e-07,1.45601905692887e-06,4.56219304504378e-06,7.20233594055493e-06,1.62103455004747e-05,5.72700829058687e-06,1.62171261233918e-06,6.01821210197265e-06,7.7280550222063e-05,2.98974730088437e-07,3.11703291267967e-05,2.71795807986837e-06,2.05332197700102e-06,7.95957084454447e-06,9.93975676196773e-05,1.57568065040829e-07,4.80644265557909e-07,6.79475559900137e-07,1.93563102162376e-08,3.62897264719689e-07,1.55308699405746e-06,0.00019704791237104,1.00619120234568e-06,2.22285576024474e-05,2.44112912955174e-06,7.46452436518865e-05,5.36785692321109e-05,2.93544475393759e-08
0.570006712425218,0.00426265889291902,0.150680035284579,0.0872358099015986,0.048656456116829,0.00123914502701134,0.0443118261659257,0.0644355414045899,0.0238907161207787,0.00208176364537906,0.00138784243025271,5.9429592619848e-07,7.98945373752139e-06,0.000123914502701134,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.20940554636307e-05,2.3593321314296e-05,6.93921215126353e-06,5.94789612965445e-08,6.24529093613717e-05,3.27134287130995e-06,2.18089524753997e-06,5.05571171020629e-07,0.000396880545230478,1.28931312978409e-05,2.28002684970087e-06,1.61705265102522e-06,1.58610563457452e-06,8.02965977503351e-07,5.45223811884992e-06,2.00071674209486e-05,3.86613248427539e-07,9.91316021609075e-07,1.38784243025271e-06,7.03834375342444e-06,1.68523723673543e-05,4.95658010804538e-06,1.57619247435843e-06,1.78436883889634e-06,7.7280550222063e-05,2.47829005402269e-07,3.2217770702295e-05,2.71795807986837e-06,2.08176364537906e-06,9.91316021609075e-07,0.000103096866247344,1.18957922593089e-07,4.56005369940175e-07,1.48697403241361e-06,1.93563102162376e-08,3.9652640864363e-07,3.46960607563176e-07,0.000213132944645951,5.94789612965445e-07,2.06193732494688e-05,2.42872425294224e-06,4.85744850588447e-05,5.05571171020629e-05,0.000533041462922212
0.569627032424507,0.0042941729302689,0.149796730125659,0.0875811548801354,0.048656456116829,0.00129823832775571,0.0456380704449508,0.0642128649805325,0.0240673413068559,0.00198090498594457,0.000526285845174816,5.9429592619848e-07,7.98945373752139e-06,0.000129823832775571,5.36166296377648e-07,2.83009029998431e-07,1.77776841998813e-07,1.29823832775571e-05,2.29688319526011e-05,1.89742524825835e-05,1.4954629214437e-07,6.69092061227944e-05,2.49661216876099e-06,1.99728973500879e-06,3.99457947001758e-07,0.000396880545230478,1.28931312978409e-05,2.66793082088407e-06,1.61705265102522e-06,1.55922698213826e-06,7.98915894003515e-07,5.70893589484341e-06,2.00071674209486e-05,3.99457947001758e-07,1.31402263658891e-06,1.99728973500879e-06,6.99051407253076e-06,1.19837384100527e-05,4.78637518190803e-06,1.99728973500879e-06,1.99728973500879e-06,7.7280550222063e-05,2.98974730088437e-07,3.11703291267967e-05,2.71795807986837e-06,1.39810281450615e-06,1.28691810726819e-06,0.000111848225160492,1.57568065040829e-07,3.99457947001758e-07,1.4322185742784e-06,1.93563102162376e-08,2.99593460251318e-07,4.75334059401477e-07,0.000216091342404284,1.00619120234568e-06,1.99728973500879e-05,2.39674768201055e-06,6.79078509902988e-05,9.8865841882935e-05,0.000945841174986084
0.570162044390295,0.00406223008976128,0.166268022278601,0.0755763737630005,0.0486564492182372,0.00128479835397101,0.0411891237008353,0.0590440420023441,0.0297581971691815,0.00232397349321227,0.000387328915535378,2.83411401611252e-08,8.31340111393005e-06,0.000113364560644501,3.49540728653877e-07,3.77881868815003e-08,1.51152747526001e-07,1.22811607364876e-05,2.64517308170502e-05,1.98387981127876e-05,1.41705700805626e-07,6.23505083544755e-05,3.11752541772377e-06,2.07835027848251e-06,4.91246429459503e-07,0.000396880488960106,1.13364560644501e-05,2.45623214729752e-06,8.78575344994881e-07,1.55922676106851e-06,6.51846223705879e-07,5.76269849942879e-06,1.88940934407501e-05,8.97469438435631e-07,7.55763737630005e-07,2.17282074568626e-06,7.36869644189255e-06,1.13364560644501e-05,3.68434822094628e-06,1.51152747526001e-06,1.88940934407501e-06,7.72805392651004e-05,3.11752541772377e-07,3.21199588492752e-05,2.71795769451183e-06,2.17282074568626e-06,1.28691792480684e-06,0.000103917513924126,1.57568042700571e-07,5.10140522900253e-07,1.60599794246376e-06,3.77881868815003e-08,4.15670055696503e-07,4.15670055696503e-07,0.000207835027848251,1.00619105968625e-06,2.07835027848251e-05,2.26729121289002e-06,6.32952130265129e-05,5.21905017418157e-05,0
