"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.583219568524179,0.00858253473346802,0.171356099655626,0.0598027877881238,0.0331992487309105,0.000941638027411357,0.0311386929517472,0.0552463849090287,0.0401925797071906,0.0122649724051505,0.00186576842031913,2.89235646878853e-07,1.75003550543529e-06,0.000267649389811675,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.00536013178248e-05,8.0925967186444e-05,1.27952434298728e-05,3.07753591014746e-05,4.01189346539058e-07,2.01895782746113e-05,3.21599556660272e-06,1.66249786084226e-06,1.05366816579075e-06,0.000287814605023391,2.74935706484711e-05,3.13056301261968e-06,0,3.99776692242441e-06,5.93117960985662e-07,4.09273747872603e-08,1.43163356841225e-05,1.04026999933409e-05,6.7756853158958e-08,1.58722514112334e-06,7.72816658030175e-06,1.57490494342517e-05,2.27918342292669e-05,7.85586703292267e-06,3.92695153308222e-06,1.66652399269663e-05,5.89232149734991e-05,9.23064376368414e-07,1.26562547318813e-05,0,3.51844644737024e-06,1.48279490246415e-06,0.000360014746451264,0,5.41072841892549e-07,1.05100449631748e-07,4.20288886261363e-07,0,2.28802127333873e-07,6.54000930490812e-07,9.20805814596448e-05,1.21502778303708e-06,1.68233392510039e-05,1.39048846482731e-06,4.17932126151486e-05,0.000139227785346991,0.000581495389629816
0.606732380420956,0.00473029222603451,0.164594862150792,0.0533847265509608,0.0331992487309105,0.000868829184373684,0.0220103393374667,0.0569565798644971,0.0411245813936877,0.0127428280374807,0.00173765836874737,2.89235646878853e-07,1.75003550543529e-06,0.000276094607478749,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.88656255143162e-05,8.0925967186444e-05,5.79219456249123e-06,5.01990195415907e-05,2.02726809687193e-07,3.2822435854117e-05,2.80921436280825e-06,1.51562424385187e-06,1.20670720051901e-06,0.000287814605023391,2.56787292270445e-05,3.51393136791135e-06,1.99830712405947e-06,2.31398172771525e-05,5.69565798644971e-07,4.09273747872603e-08,1.64652806622171e-05,1.04026999933409e-05,2.12380467291345e-07,1.58722514112334e-06,7.72292608332164e-06,1.72221251658073e-05,3.18570700937018e-05,8.68829184373684e-06,4.2476093458269e-06,1.73765836874737e-05,5.89232149734991e-05,1.00427517816544e-06,1.24821792821686e-05,0,3.71665817759854e-06,2.31009552180793e-06,0.000550258483436667,1.53493155906018e-06,5.11643853020059e-07,1.05100449631748e-07,2.73198510197503e-06,0,2.22034124895497e-07,9.07443814790293e-07,9.65365760415205e-05,1.21502778303708e-06,1.4287413254145e-05,1.39978035260205e-06,5.79219456249123e-05,0.000159285350468509,1.02889896602676e-09
0.582427805033089,0.00811963696024682,0.168911870802827,0.0599994327302854,0.0331812087317779,0.000930049762393656,0.0310829852384449,0.058320853935619,0.0413789191243347,0.0119842718595951,0.00175665222697647,1.65906043658889e-07,4.93521683990002e-07,0.000298953126677861,1.03564407959302e-06,5.08700918954831e-08,7.28034756291361e-08,3.1798625837357e-05,7.41697606945623e-05,1.76238086507223e-05,4.07136358892626e-05,2.26510545489578e-07,2.8574876225484e-05,2.67098971111773e-06,1.41176283974676e-06,1.08336646509255e-06,0.000336691676837158,2.02178960310146e-05,3.0461325533676e-06,1.12308632378029e-06,3.46226394758025e-06,5.3236321656426e-07,3.69872885568936e-08,1.5477179629357e-05,1.15158312657347e-05,1.96745049421365e-07,1.00373156413628e-06,6.78545959385818e-06,1.59919763236515e-05,3.22952704586394e-05,7.82120126524159e-06,3.96290983226854e-06,1.78977488063402e-05,5.89232149734991e-05,6.44496183719591e-07,1.33895936411762e-05,0,3.48714985412908e-06,1.72796024060253e-06,0.000525185145197672,5.67886628265339e-07,4.54777743206132e-07,1.05100449631748e-07,2.44496712458009e-06,0,1.91572684530823e-07,8.38703846590879e-07,9.94401788975228e-05,1.21502778303708e-06,1.4222734755715e-05,1.32119765826708e-06,6.65178811856431e-05,0.000133779997364782,1.04189942895516e-06
0.593867778207992,0.00845573326587538,0.170097890115865,0.0597800677401422,0.0197628184469878,0.000983224798357602,0.0299883563499069,0.0593867778207992,0.0418853764100338,0.0121919874996343,0.00163215316527362,2.94967439507281e-07,1.9664495967152e-06,0.000300866788297426,1.37651471770064e-06,3.53960927408737e-07,1.27819223786488e-07,3.362628810383e-05,8.0925967186444e-05,1.83863037292872e-05,3.53960927408737e-05,2.65470695556553e-07,3.58877051400525e-05,1.71081114914223e-06,1.42567595761852e-06,8.6523782255469e-07,0.000287814605023391,2.02544308461666e-05,2.68420369951625e-06,0,3.50028028215306e-06,5.80102631030985e-07,4.91612399178801e-08,1.85829486889587e-05,1.17986975802912e-05,2.65470695556553e-07,2.39906850799255e-06,9.04566814488994e-06,1.7206433971258e-05,4.27702787285557e-05,1.52399843745428e-05,3.47078353820234e-06,1.82879812494514e-05,5.89232149734991e-05,2.00577858864951e-06,1.56332742938859e-05,2.94967439507281e-06,3.04799687490857e-06,2.06477207655096e-06,0.0005496226622819,1.45517270156925e-06,5.80102631030985e-07,1.37651471770064e-07,2.45806199589401e-06,0,2.85135191523705e-07,8.25908830620386e-07,0.000121919874996343,1.86812711687944e-06,1.55349518140501e-05,1.37651471770064e-06,7.1775410280105e-05,0.000140601146165137,7.34459580553626e-06
0.583163189644401,0.00802695601003072,0.169726599971132,0.0587998705313094,0.0331992487309105,0.000909076945714323,0.0307538796528888,0.058413029277814,0.0413920141240139,0.0122822097984807,0.00145065470060796,2.89235646878853e-07,1.75003550543529e-06,0.000310536816243478,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.24946652936184e-05,8.0925967186444e-05,1.66341739003046e-05,3.39453199942263e-05,1.25723407386023e-06,2.76591496249251e-05,2.74254139729772e-06,1.49432523525813e-06,1.097012362554e-06,0.000287814605023391,1.78914079741649e-05,3.43247688723757e-06,8.70392820364777e-07,3.57828159483297e-06,5.45941701573677e-07,4.09273747872603e-08,1.64407532735569e-05,1.04026999933409e-05,2.00886828024093e-07,1.06381344711251e-06,6.4795909960489e-06,1.80848286009126e-05,2.67887568045604e-05,8.51050757690005e-06,4.12799169823102e-06,1.62473326468092e-05,5.89232149734991e-05,1.11216860379944e-06,1.46032573194535e-05,0,5.31906723556253e-06,1.6344042960183e-06,0.000512758081508228,8.70392820364777e-07,5.2507439594685e-07,1.05100449631748e-07,1.16052376048637e-06,9.67103133738642e-08,2.15459052244969e-07,1.16052376048637e-06,9.26484802121619e-05,4.83551566869321e-07,1.40229954392103e-05,2.90130940121593e-07,5.92834220981787e-05,0.000139456271885112,4.39470137492126e-05
0.5957,0.0068,0.126,0.0528,0.0331992487309105,7e-04,0.0339,0.0514,0.0448,0.013,0.0016,2.89235646878853e-07,4.3e-05,0.000268,2e-07,5.08700918954831e-08,2.21630720197783e-07,7.4e-05,8.0925967186444e-05,3.5e-05,3.5e-05,4.01189346539058e-07,9e-06,2.83e-06,1.62e-06,8.9e-07,0.000287814605023391,1.9972003474254e-05,4.13e-06,0,3.99776692242441e-06,6.3e-07,4.09273747872603e-08,3.211e-05,1.9e-05,2.1e-07,1.58722514112334e-06,4.6e-05,2.357e-05,3.6e-05,9.22340567933555e-06,6.2e-06,1.88364366157064e-05,5.89232149734991e-05,1.00427517816544e-06,4.95e-06,0,4.17e-06,2.6e-05,0.000578,0,6e-07,1.05100449631748e-07,2.37557060057748e-06,0,2.6e-07,1.09926461778238e-06,0.000104490590030301,1.21502778303708e-06,1.691e-05,1.59e-06,5.4e-05,0.000139227785346991,0.0380040791768865
0.579928758694939,0.00791388563522792,0.169694785692495,0.0618527247758002,0.0331992487309105,0.000895801111361188,0.0324264389221484,0.057622064951937,0.0404866972879909,0.0119537730001901,0.00188332913390751,2.89235646878853e-07,3.90327281638862e-06,0.000318116734535672,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.90327281638862e-05,6.14765468581207e-05,1.75647276737488e-05,3.1226182531109e-05,4.87909102048577e-06,2.92745461229146e-05,2.74254139729772e-06,1.49432523525813e-06,1.097012362554e-06,0.000158082549063739,2.04921822860402e-05,3.43247688723757e-06,0,3.99776692242441e-06,5.45941701573677e-07,4.09273747872603e-08,9.75818204097155e-06,1.04026999933409e-05,2.00886828024093e-07,4.87909102048577e-06,7.80654563277724e-06,1.95163640819431e-05,3.31778189393033e-05,6.83072742868008e-06,4.12799169823102e-06,2.24438186942346e-05,5.89232149734991e-05,2.92745461229146e-06,1.2685636653263e-05,0,0,4.87909102048577e-06,0.000555240558131281,0,5.2507439594685e-07,1.05100449631748e-07,5.85490922458293e-06,9.75818204097155e-07,2.15459052244969e-07,2.92745461229146e-06,0.000101485093226104,1.21502778303708e-06,1.65889094696516e-05,1.43973095216274e-06,6.44040014704122e-05,0.000149300185226865,0.000344659332064845
0.584996699120447,0.0081559305839974,0.169094358503487,0.0590249573344364,0.0331992487309105,0.00092431309738283,0.0311027983863857,0.0582635315295016,0.0398640142937996,0.0118454723324661,0.00171368997616963,2.89235646878853e-07,1.75003550543529e-06,0.000290498402034604,1.03459579918509e-06,4.53000162429541e-08,2.21630720197783e-07,3.0543776909345e-05,8.0925967186444e-05,1.68959422284891e-05,3.52087147522365e-05,2.47704344137004e-07,2.60234135863779e-05,2.70836267324896e-06,1.51321330854123e-06,1.12768125540971e-06,0.000287814605023391,1.83127725237474e-05,3.28666075294624e-06,0,3.61436299810804e-06,5.01191669070981e-07,4.09273747872603e-08,1.46020265123565e-05,1.15563232926174e-05,2.12042629222338e-07,8.86723722202506e-07,7.34438561215554e-06,1.55851332478419e-05,3.19991604099165e-05,7.8648538838831e-06,3.69146940873435e-06,1.81200064971816e-05,5.89232149734991e-05,1.06985144743998e-06,1.10358550208899e-05,0,3.27702245161796e-06,1.74453254042015e-06,0.000518636994475183,5.01191669070981e-07,5.30106573055846e-07,1.05100449631748e-07,2.41921363340032e-06,8.6744711954593e-08,2.21680930550627e-07,1.19514936470773e-06,9.06482239925497e-05,2.50595834535491e-07,1.28864088759212e-05,1.31080898064718e-06,5.86394252813049e-05,0.0001370373682856,0
0.584727099197812,0.00823220269741692,0.169785570019006,0.0582994003893093,0.0331992487309105,0.000943574110347202,0.0302810262963464,0.0591178065054267,0.0400056166172717,0.0117465348430978,0.00179086514821,2.89235646878853e-07,1.75003550543529e-06,0.00032957695711413,1.03459579918509e-06,5.08700918954831e-08,2.21630720197783e-07,3.68764167615284e-05,8.0925967186444e-05,1.52127254525365e-05,2.89812048178069e-05,4.01189346539058e-07,2.92700540352601e-05,2.74254139729772e-06,1.49432523525813e-06,1.097012362554e-06,0.000287814605023391,2.12785590190542e-05,3.43247688723757e-06,0,1.1553968698129e-05,5.45941701573677e-07,4.09273747872603e-08,2.33967866137112e-05,1.04026999933409e-05,2.00886828024093e-07,1.58722514112334e-06,6.64353200142418e-06,1.55978577424742e-05,2.43596173385553e-05,8.97358235554686e-06,4.12799169823102e-06,1.68495376847715e-05,5.89232149734991e-05,1.00427517816544e-06,1.02060056833473e-05,0,0,2.31009552180793e-06,0.000518676911473508,0,5.2507439594685e-07,1.05100449631748e-07,2.37557060057748e-06,0,2.15459052244969e-07,1.09926461778238e-06,8.7232463670874e-05,1.21502778303708e-06,1.43461778001768e-05,1.43973095216274e-06,5.84919665342781e-05,0.000146157704031332,4.44553172052053e-10
0.582335807776678,0.00813507531236337,0.169287043404895,0.0595603728226604,0.0331992487309105,0.000941638027411357,0.0316686860374145,0.0583013730719375,0.0408690688311588,0.0120089206992031,0.00168512274327527,2.89235646878853e-07,1.75003550543529e-06,0.000314749937680726,1.17183822951901e-06,5.08700918954831e-08,2.21630720197783e-07,3.38961471348474e-05,8.0925967186444e-05,1.91755346648565e-05,3.29276857881374e-05,2.22746109743283e-07,2.85696097279428e-05,2.72137638425489e-06,1.42363817966359e-06,1.11373054871641e-06,0.000287814605023391,1.85944578568306e-05,3.21529167107695e-06,0,3.58330698282672e-06,5.32653740690459e-07,4.09273747872603e-08,1.58827660860428e-05,1.2299459103216e-05,1.93692269341985e-07,1.01688441404542e-06,7.6508446390084e-06,1.71417658367657e-05,3.30245319228084e-05,7.94138304302138e-06,4.13532995045138e-06,1.74323042407786e-05,5.89232149734991e-05,7.36030623499543e-07,1.3461612719268e-05,0,3.60267620976092e-06,2.31009552180793e-06,0.000536527586077298,5.03599900289161e-07,4.84230673354962e-07,1.05100449631748e-07,2.49863027451161e-06,0,2.13061496276183e-07,8.42561371637634e-07,0.000110404593524931,1.21502778303708e-06,1.44300740659779e-05,1.26868436419e-06,6.87607556164047e-05,0.000147206124699909,9.44386939931707e-05
