"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.545678613985686,0.00816228499577276,0.130397479810516,0.0796320487392464,0.0302506762587652,0.00101530862142539,0.0332463803486354,0.0316537393738505,0.0187135314537229,0.103720743482868,0.00722660842308661,6.54671685383089e-07,1.79172109663304e-05,5.74094841987241e-05,0.00448228894341033,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.000557324801113801,0.000127809583829265,1.69218103570899e-05,0.000263781161448754,1.14717505853096e-05,7.96320487392464e-05,1.33483221699162e-05,4.48925674767502e-06,1.02824882934552e-05,0.00036628542676268,1.99080121848116e-05,3.11560390692302e-05,2.07405057760811e-06,1.09494067016464e-05,2.56842927626915e-08,1.87135314537229e-06,1.13275443558253e-07,0.000248949692371069,2.92373621523856e-05,3.68298225419015e-07,3.48390213234203e-05,2.28942140125333e-05,0.000246859351091664,0.000162250299306215,0.000241882348045461,6.37056389913971e-05,0.000621129980166122,0.000390866438888363,5.54915668276596e-07,1.75190507226342e-05,1.30614418208235e-06,4.48427974462881e-05,8.26686796440093e-06,0.000716688438653218,1.26027005016273e-06,3.23505198003189e-06,1.33738188846726e-06,0.000133323957601683,4.56692523104267e-06,4.57884280250667e-07,8.95860548316522e-06,0.000156277895650771,4.64407294467925e-06,4.9770030462029e-05,2.45863950482423e-06,0.000114471070062667,0.000782384878863096,8.89315295113935e-05
0.554195207273252,0.00791001187901163,0.128438817885451,0.0775181164143139,0.0302506762587652,0.00102830154427151,0.0327276741494106,0.0328265492978983,0.0172042758368503,0.10579640888178,0.00744529868111969,6.54671685383089e-07,1.58200237580233e-05,5.74094841987241e-05,0.000342108013767253,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.000222469084097202,0.000127809583829265,1.87862782126526e-06,2.96625445462936e-05,1.77975267277762e-05,2.96625445462936e-06,1.14078274895421e-05,4.00774232179834e-06,8.58211593591513e-06,0.00036628542676268,1.97750296975291e-05,2.62825541814457e-05,2.07405057760811e-06,1.58200237580233e-05,2.56842927626915e-08,1.71550845041346e-06,1.13275443558253e-07,0.000135458953428074,2.92373621523856e-05,4.15672342071281e-07,3.85613079101817e-06,3.2628799000923e-05,6.82238524564753e-05,0.000171338010612446,8.40438762144985e-05,5.47770188254081e-05,0.000169076503913873,0.000390866438888363,5.54915668276596e-07,1.35048891590386e-05,1.30614418208235e-06,1.0876266333641e-05,8.26686796440093e-06,0.00149795849958783,1.26027005016273e-06,2.98052666734102e-06,1.33738188846726e-06,5.73475861228343e-05,4.56692523104267e-06,4.74613290081601e-07,2.66962900916642e-06,1.87862782126526e-05,4.44938168194404e-06,2.37300356370349e-05,2.77475455690579e-06,6.52575980018459e-05,0.000504263257286991,7.31335537684785e-08
0.552449295863425,0.00782983393850208,0.128944480430268,0.0768116620549254,0.0302506762587652,0.000991118220063554,0.03290512490611,0.0311211121099956,0.016452562453055,0.104265636750686,0.00654138025241946,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00526382886675754,2.20028244854109e-05,8.32539304853386e-07,3.40241014613785e-07,0.000508443646892604,0.000127809583829265,2.07143707993283e-05,0.000327069012620973,1.05058531326737e-05,0.000117943068187563,1.22898659287881e-05,4.03385115565867e-06,8.87050806956881e-06,0.00036628542676268,2.49761791456016e-05,2.64628564756969e-05,2.07405057760811e-06,2.31921663494872e-05,2.56842927626915e-08,1.80383516051567e-06,1.13275443558253e-07,0.000233903899934999,2.95353229578939e-05,4.26180834627328e-07,3.64731504983388e-05,2.99317702459193e-05,0.000226966072394554,0.000252735146116206,0.000256699618996461,5.78813040517116e-05,0.000659093616342263,0.000390866438888363,5.54915668276596e-07,1.58578915210169e-05,1.30614418208235e-06,4.15278534206629e-05,8.60290615015165e-06,0.000792894576050843,1.43712141909215e-06,2.94362111358876e-06,1.33738188846726e-06,0.000141729905469088,4.16269652426693e-06,4.95559110031777e-07,1.39747669028961e-05,0.000158578915210169,4.64407294467925e-06,5.15381474433048e-05,2.89406520258558e-06,0.000108031885986927,0.000975260328542537,1.11022302462516e-16
0.553093039160217,0.00851979247139148,0.130967042409064,0.0754893239907013,0.0302506762587652,0.00107983416207171,0.0340791698855659,0.0312062166103293,0.0161479787539164,0.101544038176468,0.00689508786056799,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00509503403260075,2.23892220759823e-05,6.66723294563543e-07,3.40241014613785e-07,0.000462644544667422,0.000127809583829265,2.74416571462261e-05,0.000257575121228115,1.07289944726942e-05,0.000104020722034431,1.18088286347659e-05,6.32049720552066e-06,1.48601031477758e-05,0.00036628542676268,2.12994811784787e-05,3.96269417274023e-05,2.07405057760811e-06,1.98134708637011e-05,2.56842927626915e-08,1.7832123777331e-06,1.11946110379911e-07,0.000216957505957527,3.02155430671442e-05,5.59730551899557e-07,2.97202062955517e-05,2.47668385796264e-05,0.000223892220759823,0.000160489113995979,0.000229836262018933,5.59730551899557e-05,0.00062115231157703,0.000390866438888363,5.54915668276596e-07,1.67423828798275e-05,1.30614418208235e-06,3.96269417274023e-05,8.26686796440093e-06,0.00070337821566139,1.26027005016273e-06,4.3688703254461e-06,1.33738188846726e-06,0.000118880825182207,3.4673574011477e-06,5.31991692690375e-07,1.06002069120801e-05,0.000161479787539164,4.64407294467925e-06,4.75523300728827e-05,3.51689107830695e-06,0.000107983416207171,0.000849997900052779,0
0.560964098182012,0.00776795157868168,0.123303940248947,0.0710915062200867,0.0302506762587652,0.000884956508963735,0.0398230429033681,0.0321534198256824,0.0152409176543754,0.10176999853083,0.00737463757469779,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00386234351912172,2.13471175662252e-05,8.34063915513521e-07,3.40241014613785e-07,0.000471996470480858,0.000127809583829265,9.83285009959706e-06,0.000217305987201095,1.14717505853096e-05,9.14455059262526e-05,1.16519273680225e-05,4.6804366474082e-06,1.16519273680225e-05,0.00036628542676268,2.06489852091538e-05,2.7354988977079e-05,1.3471004636448e-06,2.22419069252885e-05,1.47492751493956e-08,1.90757291932183e-06,1.13275443558253e-07,0.00023354002271553,2.92373621523856e-05,4.62143954681062e-07,3.15929473700054e-05,2.45821252489926e-05,0.000218869410366931,0.00013471004636448,0.000240904827440128,5.3392376040812e-05,0.000625369266334373,0.000390866438888363,5.54915668276596e-07,1.37659901394359e-05,1.30614418208235e-06,3.84267781892253e-05,7.37463757469779e-06,0.000740413612499658,1.3372676135452e-06,3.31367048356421e-06,1.33738188846726e-06,0.000103244926045769,4.56692523104267e-06,5.30973905378241e-07,1.22713969242971e-05,0.000182891011852505,3.59882313645252e-06,4.91642504979853e-05,3.27433908316582e-06,0.000118977486205124,0.000757129457668973,8.39143865505321e-09
0.55452934519248,0.00780748855287933,0.128774146637997,0.0781737144978171,0.0302506762587652,0.00108711865926168,0.0314276121495649,0.0311311252424935,0.0156149771057587,0.103473930567907,0.00691802783166523,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.0051252703335737,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.000451607811514612,0.000127809583829265,1.38360556633305e-05,0.000269803085434944,1.14717505853096e-05,0.00010772357623593,1.14078274895421e-05,4.00774232179834e-06,8.58211593591513e-06,0.00036628542676268,1.97657938047578e-05,2.62825541814457e-05,2.07405057760811e-06,2.27306628754715e-05,2.56842927626915e-08,1.71550845041346e-06,1.13275443558253e-07,0.000211112250727419,3.2317072870779e-05,4.15672342071281e-07,2.83368711184376e-05,2.37189525657094e-05,0.000207400959600591,0.000156149771057587,0.000241142684418045,5.47770188254081e-05,0.000621634215159633,0.000390866438888363,5.54915668276596e-07,1.58126350438062e-05,1.30614418208235e-06,3.67057569546299e-05,1.48243453535683e-05,0.000753076743961272,1.26027005016273e-06,2.98052666734102e-06,1.33738188846726e-06,0.000114641604067595,4.56692523104267e-06,4.74613290081601e-07,1.38360556633305e-05,0.000163067798889252,4.64407294467925e-06,4.74379051314187e-05,2.77475455690579e-06,0.000110688445306644,0.000896378749045766,2.33862214371605e-07
0.548529209819642,0.00800385849199567,0.12833609981551,0.0784964703405297,0.0302506762587652,0.00102176916919094,0.0322614154346398,0.0319775906654201,0.0177295872505909,0.104352906816445,0.00728483574330575,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.00531319967979287,2.10976411786647e-05,8.34063915513521e-07,3.40241014613785e-07,0.000455784736064283,0.000127809583829265,1.94703791684717e-05,0.000290087835793819,1.02176916919094e-05,0.000118165712251804,1.13246082918662e-05,4.03977254856046e-06,8.47689977402851e-06,0.00036628542676268,2.41724095118782e-05,2.52225611579911e-05,2.07405057760811e-06,2.24978433734819e-05,2.56842927626915e-08,1.72187026659954e-06,1.13275443558253e-07,0.00020381456677667,2.92373621523856e-05,4.162763281889e-07,3.34156361627999e-05,2.3074953737562e-05,0.000212102250037885,0.000217598989735107,0.000237268046242032,5.41916092696823e-05,0.000602853270648293,0.00100748332247354,5.54915668276596e-07,1.45696714866115e-05,1.30614418208235e-06,3.81838922856909e-05,8.07954509712093e-06,0.000808522159250532,1.30559393841064e-06,2.80986521527508e-06,1.33738188846726e-06,0.000118023799867194,2.80986521527508e-06,4.63580456392184e-07,1.29329486507779e-05,0.000154400674455519,4.64407294467925e-06,4.34914154700994e-05,2.9139342973223e-06,0.000110029402200839,0.000919563869794921,5.43194844659922e-09
0.546776286937313,0.00753595655925548,0.131072631342182,0.0796879506009007,0.0302506762587652,0.000884539229916563,0.0329691894787083,0.0313807913105079,0.0170653528196024,0.104109572436981,0.00705546611337488,6.54671685383089e-07,7.14962350141397e-06,5.74094841987241e-05,0.0052752787938529,1.91302704382628e-05,8.4383652685643e-07,3.40241014613785e-07,0.000516090419825392,0.000127809583829265,1.99343970109142e-05,0.000284223997222348,1.06521952154935e-05,0.000109400923834798,1.31042848876528e-05,4.83468692445978e-06,9.90763357414961e-06,0.00036628542676268,2.12448254996795e-05,2.42230720650551e-05,2.07405057760811e-06,2.62284247524081e-05,2.56842927626915e-08,1.91600529039166e-06,1.13275443558253e-07,0.00023936167645924,2.82437049283123e-05,4.56664473357597e-07,3.25125250053507e-05,2.3667132706185e-05,0.000237445671168848,0.000105628478185322,0.000271774926579078,5.82048653759911e-05,0.000636848390562823,0.000390866438888363,1.98549771025042e-07,1.35048891590386e-05,1.30614418208235e-06,4.15266846098876e-05,9.11343449004944e-06,0.000770571661348189,1.33028346586778e-06,3.40512857307947e-06,1.33738188846726e-06,0.000100267634367646,4.56692523104267e-06,5.06301916113858e-07,1.49805802238394e-05,0.000143204022351812,4.99352674127981e-06,5.15633755352035e-05,3.22643377915694e-06,0.000121611734752838,0.00099528036470578,5.20557284156009e-06
0.5408,0.0075,0.1284,0.0779,0.0302506762587652,0.00098,0.03508,0.03081,0.01906,0.10226,0.00697,2.46e-07,4.391e-06,4.5e-05,5.408e-05,2.1896e-05,7.6e-07,2.86e-07,0.00046936,0.000127809583829265,1.97e-05,0.0002725,6.86e-06,0.00011327,1.1918e-05,3.84e-06,8.379e-06,0.00036628542676268,1.63e-05,2.4775e-05,2.07405057760811e-06,2.349e-05,2.56842927626915e-08,1.749e-06,1.13275443558253e-07,0.000213349,2.943e-05,4.09e-07,3.202e-05,2.651e-05,0.00021728,0.00021251,0.00025711,5.7037e-05,0.0005802,0.001441,2.04e-07,1.35048891590386e-05,4.65e-07,3.957e-05,8.73e-06,0.00075496,2.07e-06,2.689e-06,1.33738188846726e-06,0.00011464,2.88e-06,4.74e-07,1.2835e-05,0.0001425,4.092e-06,4.551e-05,2.902e-06,0.0001078,0.000847,0.0132231974492814
0.5478,0.006633,0.1294,0.07541,0.0302506762587652,0.001,0.03283,0.02977,0.01667,0.1049,0.007033,6.54671685383089e-07,3.607e-06,5.74094841987241e-05,0.0056333,2.04609664368258e-05,8.34063915513521e-07,3.40241014613785e-07,0.0005113,0.000127809583829265,2.087e-05,0.000312,1.037e-05,0.0001203,1.193e-05,3.483e-06,4.533e-06,0.00036628542676268,2.51e-05,2.66e-05,2.07405057760811e-06,1.567e-05,1.33e-08,1.54e-06,1.13275443558253e-07,0.000211,3.003e-05,4e-07,2.553e-05,2.563e-05,0.0001967,0.0002233,0.0002637,5.693e-05,0.000645,0.000390866438888363,5.54915668276596e-07,1.35048891590386e-05,2.5e-07,3.883e-05,8.26686796440093e-06,0.0007777,1.26027005016273e-06,2.703e-06,1.33738188846726e-06,0.0001343,4.083e-06,3.833e-07,1.247e-05,0.0001583,4.64407294467925e-06,4.71016159208213e-05,2.27e-06,0.0001143,0.0006123,0.00702307992488627
