"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.743599486342405,0.0028524318920542,0.122949650519577,0.0280325203184637,0.0179012247586542,0.000604305710313629,0.00472126657995178,0.0113113678478011,0.0451471116707889,0.0207539010077047,0.000546506684361466,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000387537298437708,1.35736414173614e-06,1.00444791530604e-07,2.21032979845445e-07,6.26551419047767e-05,6.04819014107128e-05,2.8524318920542e-06,6.09830266577104e-05,5.60650406369273e-07,1.16064470090481e-05,1.17048067294638e-05,7.29829125484212e-06,1.3081842815283e-06,0.000232612648404308,1.71145913523252e-05,1.02785907834367e-05,1.42945057006165e-06,7.96713735366862e-06,2.49833689855781e-06,2.7344002275554e-05,6.49174154743369e-06,1.19998858907108e-06,4.76061046811804e-06,1.14097275682168e-05,3.54094993496383e-05,6.39338182701803e-06,5.11470546161442e-06,8.14418485041681e-06,5.07536157344816e-05,4.58680734828402e-05,5.02017899680516e-07,6.983540149512e-06,4.56618547275199e-07,9.18679788682283e-06,3.34423049413251e-06,6.96386820542887e-05,9.8359720415662e-07,1.79998288360661e-06,4.83929824445057e-06,1.63044709078959e-07,1.19998858907108e-06,1.32785622561144e-06,1.05134261506463e-05,1.25866177617001e-06,6.85567251297164e-05,8.07533304612585e-06,5.11470546161442e-05,0.000252784481468251,2.46124020386596e-07
0.742510752932014,0.00293122409799782,0.123784801435719,0.0268365449512638,0.0179012247586542,0.000584264262776592,0.00544653126317162,0.0113882017320861,0.0451566955637501,0.0212909858469436,0.000514944773972589,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000373334961130127,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,6.2397442707717e-05,6.04819014107128e-05,3.21826638388246e-06,7.32806024499454e-05,5.44653126317162e-07,1.08930625263432e-05,1.28042998605107e-05,7.90242172365627e-06,1.43590369665434e-06,0.000232612648404308,1.5844454583772e-05,1.03880205364855e-05,1.42945057006165e-06,7.4072825179134e-06,2.69355727924124e-06,2.72920730205472e-05,5.82264241840595e-06,1.23784801435719e-06,4.12134233001409e-06,1.00315203083506e-05,3.47290638908052e-05,9.90278411485749e-06,5.41682291082704e-06,8.268824735906e-06,5.15935052384075e-05,4.58680734828402e-05,5.02017899680516e-07,7.42708808614311e-06,4.56618547275199e-07,9.21949201093232e-06,3.62299363897701e-06,7.42708808614311e-05,9.60570059141176e-07,1.90133455005264e-06,5.09993381915161e-06,1.63044709078959e-07,1.20813966201261e-06,1.29726471904633e-06,1.38638977608005e-05,1.25866177617001e-06,7.36866165986545e-05,7.74397717781855e-06,5.24847558087447e-05,0.000247569602871437,6.47300880006751e-05
0.738975520762598,0.00292822139464725,0.124859676618483,0.0289065474610012,0.0179012247586542,0.000638633025301189,0.00395833844165009,0.0109833017199632,0.0471758018070785,0.0213833317914314,0.000568442708278922,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000376753941087125,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,7.05857554280261e-05,3.29202472794576e-05,2.02662182951616e-05,6.51484773488365e-05,6.97387475091898e-07,1.01825389483007e-05,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.83878858678051e-05,9.85943247366867e-06,1.42945057006165e-06,7.41580800788985e-06,2.44488692673427e-06,3.6380333329851e-05,5.82264241840595e-06,1.15971071241269e-06,4.12134233001409e-06,1.09734157598192e-05,4.95286603213461e-05,6.03601338518469e-06,6.82131249934706e-06,7.71472902726663e-06,5.38784827846978e-05,0.000109140999989553,1.74981494548468e-05,6.95245249599946e-06,4.56618547275199e-07,1.52243786217311e-05,3.62299363897701e-06,7.00914574208271e-05,1.1187815431325e-06,1.79048083005196e-06,6.67302309718734e-06,1.63044709078959e-07,1.17274926618124e-06,1.33539982744939e-06,1.29506077886154e-05,1.25866177617001e-06,7.40458414784196e-05,7.47448785464623e-06,5.46693595962163e-05,0.000245468390375054,3.33643631565961e-05
0.739961810484896,0.00303178042972498,0.124925154514726,0.0293006271498177,0.0179012247586542,0.000602405883430697,0.00466123896687359,0.0118209810240417,0.0446965414493005,0.0209854508572169,0.000546506684361466,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000383465909075639,1.38257088000488e-06,1.00444791530604e-07,2.21032979845445e-07,6.03590944184987e-05,6.04819014107128e-05,2.96265188572474e-06,8.30530078631502e-05,5.13526326858955e-07,1.15543423543265e-05,1.18012300114702e-05,7.82140097831331e-06,1.32331784229038e-06,0.000232612648404308,1.60476977143423e-05,9.39160647774742e-06,1.42945057006165e-06,7.36712768916885e-06,2.53800511543753e-06,2.58343244435197e-05,5.82264241840595e-06,1.21468727314714e-06,4.33534725944387e-06,9.55949008460516e-06,3.40606211795487e-05,9.28297590860418e-06,4.74024301715958e-06,7.93003154745655e-06,4.91701457967449e-05,4.58680734828402e-05,5.02017899680516e-07,7.11036452573937e-06,4.56618547275199e-07,8.74969856917373e-06,3.44655169372645e-06,7.27824813259711e-05,9.28297590860418e-07,1.78746663772059e-06,4.61186143544484e-06,1.63044709078959e-07,1.1850607542899e-06,1.26406480457589e-06,9.77675122289164e-06,1.25866177617001e-06,6.39044011750826e-05,8.09791515431428e-06,5.22414282516129e-05,0.000218939974355058,1.30636889109637e-05
0.748703926981186,0.00258207751571766,0.112349937706799,0.0304527462731587,0.0179012247586542,0.000571604946227574,0.00443486596211049,0.0112349937706799,0.0485864204293438,0.0207945937334514,0.000443486596211049,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000374499792355997,1.37973607710104e-06,8.86973192422098e-08,8.86973192422098e-08,6.40591750082626e-05,6.04819014107128e-05,2.94672205038008e-06,6.20881234695468e-05,6.01170719308311e-07,1.19248618092304e-05,1.19248618092304e-05,7.98275873179888e-06,1.3501703040203e-06,0.000450385276596554,1.63597277713409e-05,1.01509154243862e-05,1.42945057006165e-06,7.41580800788985e-06,2.56236700033051e-06,2.75947215420208e-05,6.1102597700189e-06,1.28118350016525e-06,4.53341853904628e-06,1.14320989245515e-05,3.54789276968839e-05,5.71604946227574e-06,5.12473400066101e-06,8.37696903954204e-06,4.79951049677291e-05,0.000189220947716714,2.66091957726629e-07,7.39144327018415e-06,4.56618547275199e-07,9.16538965502835e-06,3.4493401927526e-06,6.87896987011805e-05,9.5595999627715e-07,1.78380164253777e-06,5.12473400066101e-06,1.87249896177998e-07,1.2121966963102e-06,1.25161772708452e-06,1.12349937706799e-05,8.6726267703494e-07,6.93390742911598e-05,8.17986388567046e-06,5.10502348527385e-05,0.000269048535034703,2.06923352896737e-08
0.736633807308244,0.00172,0.01512,0.02606,0.02345,0.00051,0.00341,0.00448,0.00078,0.0013,0.00049,2.2e-07,4.7e-07,1.12e-06,1.664e-05,5.1e-07,5e-08,1.2e-07,2.5e-05,6.04819014107128e-05,3.21826638388246e-06,3.4e-05,6.97387475091898e-07,9.94e-06,4.69e-06,2.74e-06,5.3e-07,0.000232612648404308,1.58039394162397e-05,4.88e-06,1.1e-07,7.41580800788985e-06,9.5e-07,1e-05,5.08e-06,3.3e-07,2.6e-06,4.6e-07,3.43876623768825e-05,3.2e-06,3.19e-06,3.42e-06,6e-06,4.58680734828402e-05,5.02017899680516e-07,6.95245249599946e-06,4.56618547275199e-07,4.1e-06,1.04e-06,8e-06,1.1187815431325e-06,7.9e-07,1.87e-06,2e-08,1.17274926618124e-06,4.6e-07,5e-06,3.1e-07,6.93390742911598e-05,2.37e-06,4.706e-05,3.966e-05,0.185319235310755
0.738547564061846,0.00287579528878596,0.125569828534318,0.0286594667478327,0.0179012247586542,0.000551522384150732,0.00472733472129199,0.0113259061030954,0.0461899996726238,0.0215684646658947,0.000561370998153424,2.13634540371605e-07,1.45456926363663e-06,2.0936946109532e-06,0.000351595519896092,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,5.21976542142657e-05,6.04819014107128e-05,3.21826638388246e-06,5.61370998153424e-05,6.97387475091898e-07,1.185658302699e-05,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.47729210040375e-05,9.85943247366867e-06,1.42945057006165e-06,7.41580800788985e-06,2.44488692673427e-06,1.87123666051141e-05,5.82264241840595e-06,1.15971071241269e-06,4.12134233001409e-06,1.08334754029608e-05,3.15155648086133e-05,6.03601338518469e-06,6.89402980188415e-06,7.71472902726663e-06,5.21976542142657e-05,4.58680734828402e-05,5.02017899680516e-07,6.95245249599946e-06,4.56618547275199e-07,8.61359090044439e-06,3.62299363897701e-06,7.09100208193798e-05,1.1187815431325e-06,1.79048083005196e-06,4.76609610095041e-06,1.63044709078959e-07,1.17274926618124e-06,1.33539982744939e-06,9.84861400269164e-06,1.25866177617001e-06,7.28797436199182e-05,8.86375260242248e-06,4.8258208613189e-05,0.000258033686870521,3.40387273922715e-08
0.742466270562418,0.00315859088779545,0.120618689527689,0.0291182597468643,0.0179012247586542,0.000592235791461647,0.00493529826218039,0.0116473038987457,0.045799567873034,0.0216166063883501,0.000365212071401349,2.13634540371605e-07,4.93529826218039e-07,2.0936946109532e-06,0.000329579217948406,1.32459753429116e-06,6.90941756705255e-07,2.21032979845445e-07,0.000115979509161239,6.04819014107128e-05,4.24435650547514e-06,5.75455777370233e-05,2.36894316584659e-06,1.03641263505788e-05,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.41149530298359e-05,9.85943247366867e-06,1.42945057006165e-06,1.03641263505788e-05,2.44488692673427e-06,5.90261672156775e-05,5.82264241840595e-06,1.15971071241269e-06,2.86247299206463e-06,1.07589502115533e-05,4.97478064827783e-05,2.66506106157741e-06,3.27703804608778e-05,7.71472902726663e-06,4.84646289346114e-05,0.000197411930487216,3.45470878352627e-06,3.8495326445007e-06,4.56618547275199e-07,7.40294739327058e-06,7.50165335851419e-06,6.67252325046789e-05,1.97411930487216e-06,1.79048083005196e-06,4.14565054023153e-06,1.63044709078959e-07,1.17274926618124e-06,2.07282527011576e-06,6.81071160180894e-06,2.86247299206463e-06,6.71200563656533e-05,7.10682949753976e-06,4.51086261163288e-05,0.000251009269614495,5.24368573584511e-06
0.741952092960296,0.0061911626601824,0.115430129980115,0.0366828856181461,0.0179012247586542,0.00098742626159209,0.00359423159219521,0.00833387764783724,0.0245474168631793,0.0418668734915046,0.000918306423280643,2.13634540371605e-07,2.07359514934339e-05,2.0936946109532e-06,0.000350602814856313,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,5.92805606144953e-05,6.04819014107128e-05,3.21826638388246e-06,6.31922872780148e-05,6.97387475091898e-07,9.8742626159209e-06,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.57988201854734e-05,9.85943247366867e-06,1.42945057006165e-06,7.41580800788985e-06,2.44488692673427e-06,2.59731345757887e-05,5.82264241840595e-06,1.15971071241269e-06,1.0861688877513e-05,1.67862464470655e-05,3.43876623768825e-05,3.94970504636836e-06,3.94970504636836e-06,7.71472902726663e-06,5.43084443875649e-05,4.58680734828402e-05,5.02017899680516e-07,6.95245249599946e-06,4.56618547275199e-07,8.61359090044439e-06,3.62299363897701e-06,6.91198383114463e-05,1.1187815431325e-06,1.79048083005196e-06,1.28365414006972e-05,1.63044709078959e-07,1.17274926618124e-06,8.88683635432881e-06,1.05134261506463e-05,3.94970504636836e-06,7.40569696194067e-05,7.47448785464623e-06,5.43084443875649e-05,0.00024586913913643,1.06460243298745e-05
0.739466799204461,0.00285698603476277,0.126594036367937,0.0285698603476277,0.0179012247586542,0.000551693854988673,0.00315253631422099,0.0114279441390511,0.0466969441543984,0.0207870363218946,0.000551693854988673,2.13634540371605e-07,4.82732123115089e-06,2.0936946109532e-06,0.00033003114539501,1.32459753429116e-06,1.00444791530604e-07,2.21032979845445e-07,5.0243547507897e-05,6.04819014107128e-05,2.46291899548515e-06,5.0243547507897e-05,6.97387475091898e-07,9.35909218284356e-06,1.131186237013e-05,7.3336068191657e-06,1.29250585359044e-06,0.000232612648404308,1.57626815711049e-05,9.85943247366867e-06,1.42945057006165e-06,8.17689106501069e-06,2.44488692673427e-06,2.06885195620752e-05,5.82264241840595e-06,1.15971071241269e-06,3.15253631422099e-06,1.37923463747168e-05,3.05401955440158e-05,6.03601338518469e-06,4.9258379909703e-06,7.71472902726663e-06,4.53177095169267e-05,4.58680734828402e-05,5.02017899680516e-07,4.72880447133148e-06,4.56618547275199e-07,8.61359090044439e-06,3.62299363897701e-06,6.50210614808079e-05,1.1187815431325e-06,1.79048083005196e-06,4.53177095169267e-06,1.63044709078959e-07,1.17274926618124e-06,1.33539982744939e-06,7.78282402573307e-06,1.25866177617001e-06,6.6991396677196e-05,6.79765642753901e-06,4.53177095169267e-05,0.000234469888370186,2.66496096301694e-08
