"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.413096794276491,0.00938594344204958,0.213753573782603,0.106252338248791,0.0468784405414291,0.00101833163240251,0.0443838881292416,0.148906983983386,0.0125850418721443,0.000864621197322888,0.000355455381121632,4.58262150795923e-07,1.24889728502195e-06,6.53269349088405e-05,1.84263207766032e-07,0,2.3579518618986e-07,9.60690219247654e-06,0.00018361948897489,3.65062283314109e-05,4.7073820743135e-05,3.60924819476697e-07,0.000566807229356116,7.72753719865462e-07,4.23264520093352e-07,3.59217586252553e-07,0.000164050642282574,2.01744946042007e-05,8.15507218191222e-07,1.35947347821465e-06,3.84276087699062e-07,1.62551544643476e-07,1.53617362630248e-06,3.76603978352819e-06,6.12122632358896e-08,7.71982126343586e-07,1.92138043849531e-07,7.68552175398123e-06,1.92138043849531e-05,4.31106304179223e-06,5.81135314536141e-07,2.88207065774296e-06,5.68922998427689e-05,2.59214078209544e-07,3.99125500403688e-05,1.47943221659108e-06,2.4977945700439e-06,7.55603116570055e-07,0.000760866653644142,7.92207143170825e-08,1.26933731578948e-07,0,0,5.85174497962771e-08,0,0.00042174300624972,2.25974411389291e-06,5.76414131548592e-06,4.19593445931259e-07,7.781590775906e-05,6.72483153473358e-06,0
0.334,0.0088,0.205,0.0988,0.0468784405415286,0.001,0.0414,0.144,0.0112,0.00086,0.00031,4.58262150796896e-07,5.47e-07,4.65e-05,1.18e-07,6.6e-08,1.73e-07,3.18e-06,0.000183619488975279,3.21e-05,2.87e-05,3.56e-07,0.000494,8.05e-07,4.42e-07,3.48e-07,0.000164050642282922,1.77e-05,7.71e-07,1.35947347821753e-06,3.16e-07,1.64e-07,1.31e-06,3.6e-06,5.5e-08,6.59e-07,4.21e-07,2.46e-06,1.92e-05,3.48e-06,4.95e-07,1.41e-06,5.68922998428898e-05,9.9e-08,3.96e-05,1.47943221659422e-06,7.12e-07,5.42e-07,0.000891,8.69e-07,1.33e-07,6.4e-08,1.7e-08,6e-08,2.5e-08,0.000419,2.25974411389771e-06,4.51e-06,3.75e-07,8.94e-05,1.08947445672761e-05,0.105224763370843
0.413680889835846,0.00924497047648106,0.1044,0.1094,0.0468784405415286,0.000918,0.04062,0.1276,0.01141,0.00079,0.000386641744355963,4.58262150796896e-07,3.58e-06,5.707e-05,1.84263207766424e-07,0,2.35795186190361e-07,3.53e-06,0.000183619488975279,4.556e-05,3.533e-05,3.60924819477464e-07,0.0005998,8.67e-07,4.9e-07,3.59217586253316e-07,0.000164050642282922,1.85591200397342e-05,8.67e-07,1.35947347821753e-06,3.63e-07,1.83e-07,1.4e-06,3.467e-06,3.7e-07,5.37e-07,2.57e-07,2.81e-06,2.904e-05,1.913e-06,5.7e-07,1.88577055310527e-06,5.68922998428898e-05,2.59214078210094e-07,3.99125500404535e-05,1.52e-06,8.7e-07,2.27e-07,0.0007545,7.92207143172507e-08,1.26933731579218e-07,0,0,5.85174497964013e-08,0,0.0003288,2.25974411389771e-06,4.67e-06,4.4e-07,5.133e-05,1.065e-05,0.132236054963537
0.416079692303884,0.00995961150529863,0.212826261389925,0.104624268434302,0.0468784405415286,0.000966952573329964,0.0451566851745093,0.146106533830158,0.0132472502546205,0.000966952573329964,0.000386781029331986,4.58262150796896e-07,1.75886643471525e-06,7.34883955730773e-05,1.84263207766424e-07,0,2.35795186190361e-07,4.83476286664982e-06,0.000141175075706175,2.6107719479909e-05,3.09424823465589e-05,3.60924819477464e-07,0.000518286579304861,7.72753719867103e-07,4.23264520094251e-07,3.59217586253316e-07,0.00027364757825238,1.83720988932693e-05,8.15507218192953e-07,1.35947347821753e-06,3.95853387664529e-07,1.62551544643821e-07,4.83476286664982e-06,3.76603978353618e-06,6.12122632360196e-08,9.66952573329964e-07,0,4.83476286664982e-06,1.35373360266195e-05,8.70257315996968e-06,5.81135314537375e-07,2.90085771998989e-06,0.000116034308799596,2.59214078210094e-07,3.09424823465589e-05,9.66952573329964e-07,8.09295666818099e-07,7.55603116571659e-07,0.000735850908304103,7.92207143172507e-08,1.26933731579218e-07,0,0,5.85174497964013e-08,2.90085771998989e-06,0.000388714934478646,2.90085771998989e-06,4.83476286664982e-06,4.1959344593215e-07,8.0257063586387e-05,8.70257315996968e-06,0.000291629251772951
0.410662652976332,0.00953909024980219,0.218050113487902,0.104737283853889,0.0468784405415286,0.00105989891664469,0.0461537800975277,0.146266050496967,0.0126224325527685,0.00086719002270929,0.000386641744355963,3.17969674993406e-07,2.02344338632168e-06,5.41511991958468e-05,1.44531670451548e-07,0,1.83073449238628e-07,3.95053232567565e-06,0.000183619488975279,3.66146898477256e-05,3.85417787870795e-05,2.79427896206327e-07,0.000575236048397162,6.35939349986812e-07,4.33595011354645e-07,3.56511453780486e-07,0.000164050642282922,1.8885471605669e-05,7.61200131044821e-07,1.35947347821753e-06,3.95853387664529e-07,1.54167115148318e-07,1.53617362630574e-06,2.40886117419247e-06,6.12122632360196e-08,4.04688677264335e-07,0,2.69792451509557e-06,1.72474460072181e-05,4.33595011354645e-06,5.81135314537375e-07,1.88577055310527e-06,5.68922998428898e-05,2.59214078210094e-07,3.99125500404535e-05,1.47943221659422e-06,8.09295666818099e-07,7.55603116571659e-07,0.000802632543240931,7.92207143172507e-08,1.25260781058008e-07,0,0,5.85174497964013e-08,0,0.00051838692468622,2.25974411389771e-06,5.10678568928804e-06,4.1959344593215e-07,9.63544469676988e-05,1.11771158482531e-05,0.000126429551495444
0.423663822019712,0.00909707593293861,0.211687512979175,0.0951101695422576,0.0468784405415286,0.000904894325604475,0.0444745934499221,0.151232870800493,0.0122256999310392,0.00144398030681565,0.000259916455226817,3.56181809014528e-07,1.63651101439107e-06,4.65924312332517e-05,1.54024566060336e-07,1.34771495302794e-07,1.9253070757542e-07,3.11899746272181e-06,0.000142472723605811,3.42704659484248e-05,4.04314485908383e-05,3.65808344393299e-07,0.000556413744892965,7.70122830301681e-07,4.13941021287154e-07,3.65808344393299e-07,0.000253177880461678,1.79053558045141e-05,8.18255507195536e-07,1.05891889166481e-06,3.85061415150841e-07,1.54024566060336e-07,1.261076134619e-06,3.94687950529612e-06,4.81326768938551e-08,7.71982126345225e-07,0,2.52215226923801e-06,1.83866825734526e-05,4.22604903128048e-06,5.00579839696093e-07,1.41510070067934e-06,0.000438007359734081,1.44398030681565e-07,3.85061415150841e-05,1.47943221659422e-06,7.02737082650284e-07,3.46555273635756e-07,0.000751832413082016,7.92207143172507e-08,1.25144959924023e-07,0,9.62653537877101e-09,5.77592122726261e-08,2.8879606136313e-08,0.000439932666809835,1.73277636817878e-06,3.46555273635757e-06,3.65808344393299e-07,9.62653537877101e-05,3.17675667499443e-05,8.18489199454486e-05
0.41413103743146,0.00905368133628741,0.212959590877027,0.104160816227511,0.0482154427620856,0.000995228578055073,0.0459157883778418,0.147090918871188,0.0134597418371914,0.00100489099143425,0.000434808602062896,4.58262150796896e-07,1.75886643471525e-06,4.54133428821247e-05,1.84263207766424e-07,0,2.35795186190361e-07,3.36251985595306e-06,0.000183619488975279,3.47846881650317e-05,4.2514618868372e-05,3.60924819477464e-07,0.000584576009440116,8.3096755060909e-07,4.15483775304545e-07,4.0582136192537e-07,0.000164050642282922,1.85591200397342e-05,7.72993070334037e-07,1.35947347821753e-06,3.95853387664529e-07,1.73923440825158e-07,1.39138752660127e-06,3.76603978353618e-06,5.79744802750528e-08,7.71982126345225e-07,0,2.66682609265243e-06,2.1257309434186e-05,3.86496535167019e-06,5.02445495717124e-07,4.83120668958773e-06,5.68922998428898e-05,2.59214078210094e-07,3.99125500404535e-05,1.47943221659422e-06,7.92317897092388e-07,7.55603116571659e-07,0.00076816186364445,7.92207143172507e-08,1.0628654717093e-07,0,0,5.79744802750528e-08,0,0.000439639808752484,2.25974411389771e-06,3.86496535167019e-06,3.96158948546194e-07,8.11642723850739e-05,5.70082389371352e-05,1.88096143360905e-06
0.418601078330313,0.00946643365225749,0.215447948823482,0.0987626096281254,0.0490638329537736,0.000913934143256567,0.0449174580512096,0.145892750341956,0.013083688787673,0.000865832346243064,0.000461777251329634,4.58262150796896e-07,1.75886643471525e-06,4.97661191901707e-05,1.84263207766424e-07,0,2.35795186190361e-07,3.34596100025931e-06,0.000183619488975279,3.60474866819195e-05,3.80292807188759e-05,3.62783753075844e-07,0.000552978258467237,7.50388033410655e-07,4.19447669957751e-07,3.65573657302627e-07,0.000164050642282922,1.77303223791774e-05,1.33915402885594e-06,1.35947347821753e-06,3.31902399393174e-07,1.90675523361528e-07,1.38148361022782e-06,3.76603978353618e-06,5.32005874969349e-08,7.71982126345225e-07,4.0213102303289e-07,2.55045348124998e-06,2.20306230321846e-05,4.29741454518641e-06,4.86693982182629e-07,1.67654003310865e-06,5.68922998428898e-05,2.59214078210094e-07,3.85006783296082e-05,1.47943221659422e-06,7.20564919262283e-07,7.55603116571659e-07,0.000777132632550163,4.71397610732335e-08,1.26796336927595e-07,1.45267426980781e-07,0,5.82993779803663e-08,2.78990422678321e-08,0.000442536532524233,2.25974411389771e-06,4.2610495866442e-06,3.64707824956384e-07,9.71156040983831e-05,9.20091173274296e-06,3.06060771171346e-08
0.414797286021115,0.00957152038604253,0.214417129907803,0.102780794696579,0.0468784405317392,0.00103628665596917,0.0457285038915851,0.146964289391992,0.0131137365919008,0.00172400416402144,0.000423935450169207,4.58262150701198e-07,1.75886643434795e-06,4.27609557404006e-05,6.59455144707655e-07,0,2.35795186141121e-07,2.49650876210755e-06,0.000183619488936935,3.1785737974909e-05,3.23886683929274e-05,2.92044421227676e-07,0.000636468422520702,6.87717508052268e-07,3.76831511261517e-07,3.48569147916903e-07,0.000164050642248664,1.67218983122298e-05,6.78296720270731e-07,1.35947347793364e-06,2.2609890675691e-07,1.41311816723069e-07,4.05093874606131e-07,3.76603978274974e-06,4.71039389076896e-08,7.71982126184015e-07,1.50732604504607e-07,2.19504355309834e-06,1.65805864955067e-05,4.31106304090112e-06,3.86252299043055e-07,1.08339059487686e-06,5.68922998310091e-05,2.59214078155963e-07,4.04151795827977e-05,1.47943221628528e-06,6.21771993581503e-07,7.55603116413869e-07,0.000780606475578232,7.92207143007074e-08,1.13049453378455e-07,3.76831511261517e-08,0,5.65247266892275e-08,0,0.000427703765281822,1.42253895501223e-06,3.05233524121829e-06,3.39148360135365e-07,9.81646086836252e-05,4.86112649527357e-06,0
0.413680889835846,0.00885689794025394,0.20969292230351,0.100598063133005,0.0468784405415286,0.000986806075829743,0.0443232931971744,0.153952870002004,0.0117671601331085,0.00077606991809454,0.000386641744355963,9.70087397618176e-07,3.89005046444888e-06,5.15116408135251e-05,1.84263207766424e-07,9.79788271594357e-07,2.35795186190361e-07,3.10427967237816e-06,0.000183619488975279,4.4138976591627e-05,4.85043698809088e-05,3.60924819477464e-07,0.000622796109270869,7.72753719867103e-07,4.23264520094251e-07,3.59217586253316e-07,0.000164050642282922,1.89167042535544e-05,8.15507218192953e-07,1.35947347821753e-06,3.95853387664529e-07,1.62551544643821e-07,1.53617362630574e-06,3.76603978353618e-06,6.12122632360196e-08,7.71982126345225e-07,1.94017479523635e-06,2.83784685156708e-06,1.6491485759509e-05,2.91026219285453e-06,5.81135314537375e-07,2.91026219285453e-06,5.68922998428898e-05,2.59214078210094e-07,5.04445446761451e-05,1.47943221659422e-06,8.09295666818099e-07,7.55603116571659e-07,0.000750847645756468,7.92207143172507e-08,1.26933731579218e-07,0,0,5.85174497964013e-08,2.32820975428362e-06,0.000455941076880542,4.85043698809088e-06,4.55941076880543e-06,4.1959344593215e-07,9.60386523641994e-05,9.70087397618175e-06,0.0054829958964121
