"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.397245098229259,9.26843439638961e-05,0.00333663638270026,0.0803573262166979,0.0673337249899749,0.00111221212756675,0.44080673989229,0.00398542679044753,9.26843439638961e-05,9.26843439638961e-05,5.61419257821014e-05,3.98338513768102e-08,3.57538114367055e-07,1.00099091481008e-06,7.52690731088984e-08,1.85368687927792e-08,4.44884851026701e-07,6.90602039716164e-05,0.000111221212756675,0.00266930910616021,6.02448235765325e-09,5.60740280981571e-06,4.7269015421587e-09,2.03905556720571e-07,1.01952778360286e-09,4.7269015421587e-07,1.57563384738623e-07,7.70496618387146e-07,1.57563384738623e-08,7.8012427579047e-09,1.01952778360286e-09,3.89274244648364e-08,1.86295531367431e-06,2.68784597495299e-09,4.23927139806986e-07,2.4097929430613e-08,2.4097929430613e-07,0.0022170095076164,0.000226149799271907,2.13173991116961e-06,6.58058842143662e-08,6.86159940144555e-05,1.88194873302377e-06,9.45380308431741e-06,3.24395203873636e-09,3.82603520135966e-07,2.87321466288078e-07,1.11221212756675e-07,8.34159095675065e-10,1.01952778360286e-08,1.56439368406459e-08,1.29758081549455e-09,2.5024772870252e-09,3.38297855468221e-05,6.21081971517261e-06,3.33663638270026e-08,1.29758081549455e-08,6.03375079204964e-05,7.2293788291839e-07,0
0.413662869656642,2.80196118530125e-05,0.00550118379380813,0.083965436852861,0.0673337249930413,0.00122352305091488,0.420574373913718,0.00434303983721695,0.000579071978295593,0.000168117671118075,5.61419257846581e-05,3.98338513786242e-08,3.57538114383337e-07,1.26742044281793e-05,7.52690731123262e-08,1.08854813311788e-07,4.76333401501214e-07,6.90602039747614e-05,8.2489737295269e-05,0.000461464327477882,2.3379012355185e-08,6.72470684472301e-06,1.83011850228969e-08,2.52176506677113e-07,7.36223694683358e-09,3.64254954089163e-07,2.1481702420643e-07,7.70496618422234e-07,4.29634048412859e-07,7.80124275825997e-09,3.80480025705937e-09,4.10954307177517e-08,7.24773959931258e-06,4.83777691739388e-09,4.23927139826292e-07,1.34129624425101e-07,1.8586342529165e-07,0.00155882440608927,0.00016288734357218,2.979418727037e-06,2.24580489071867e-07,6.86159940175803e-05,1.63074140984533e-05,9.90960272534877e-06,2.36300454107719e-08,3.8260352015339e-07,3.80132734139204e-06,9.33987061767085e-09,4.92034338953505e-09,7.4654765238024e-08,1.56439368413584e-08,3.60251956063244e-09,2.40444300096472e-08,1.45048190692428e-05,6.21081971545545e-06,8.59268096825718e-07,2.80132591031468e-08,3.26241680675243e-05,3.40158087895572e-05,0
0.392246942747745,0.000359859580502518,0.00274629679857185,0.076612210691194,0.0673337249944737,0.00104169878566518,0.433536094615929,0.00236749724014815,0.00814419050610962,0.0113639867527111,0.000189399779211852,3.98338513794716e-08,3.57538114390943e-07,1.89399779211852e-06,7.52690731139273e-08,1.08854813314103e-07,7.57599116847407e-07,6.90602039762305e-05,7.00779183083851e-05,0.000364689274872421,2.33790123556824e-08,9.46998896059259e-06,2.65159690896592e-08,2.71788683169007e-07,9.46998896059259e-09,5.71918512332725e-07,3.78799558423703e-07,7.70496618438624e-07,7.21715330027806e-08,7.80124275842592e-09,5.68199337635555e-09,1.8507431778537e-07,2.84099668817778e-06,4.73499448029629e-09,1.88452780315792e-05,2.84099668817778e-06,3.26714619140444e-07,0.00250481208007674,0.000126329652734305,2.56636700832059e-06,2.24580489076644e-07,6.86159940190399e-05,2.36749724014815e-06,9.00690650041961e-06,2.9356965777837e-08,3.82603520161529e-07,5.29193886365297e-07,1.789827913552e-07,5.68199337635555e-08,1.79929790251259e-07,1.56439368416911e-08,4.73499448029629e-09,2.40444300101587e-08,2.91736600335531e-05,6.21081971558757e-06,1.74247796874904e-07,2.55689701936e-08,6.34489260359703e-05,2.00942719438011e-06,0.00068476018780006
0.361137614990312,0.00016301350676646,0.00407802470498733,0.0916279216604884,0.0673337249764615,0.00124320190874641,0.458139608302442,0.00913592180779063,0.000342149228487845,0.000132257978529964,5.6141925770834e-05,1.5136968485457e-08,2.00811144049673e-07,9.37596367489729e-07,7.52690730937923e-08,8.97469965824139e-08,5.49767529962931e-07,6.90602039577564e-05,0.000119415186110327,0.00332764308026862,9.20757609647919e-08,1.43935552403133e-05,1.83011850183905e-08,2.62254696600108e-07,9.5837611120941e-09,5.46811790554528e-07,4.65752876475601e-09,3.41092327729689e-06,1.85405471981633e-08,7.80124275633904e-09,1.03003039989796e-08,6.53845384283055e-08,2.05807909309661e-06,6.18018239938778e-09,3.13935352316727e-07,1.71074614243923e-08,2.22128294934517e-07,0.00260487522705326,0.00017434921523699,2.48613511391024e-06,2.56343217783302e-07,0.00016032647094064,2.2768150230788e-06,1.57518518502657e-05,1.88092507807454e-09,8.03065440476969e-07,4.35747643087269e-07,6.53845384283055e-09,1.25395005204969e-09,7.43413245143748e-09,1.56439368375063e-08,2.50790010409939e-09,6.53845384283055e-09,4.09142405697209e-05,7.95819400533339e-06,3.31401085184562e-08,1.72865971461136e-08,5.95688076547599e-05,8.18023273240705e-07,0
0.40095219723588,7.58265841252235e-05,0.0036552444348292,0.0872572453545125,0.0673337249944737,0.00103096637905439,0.429256910551737,0.00440503816505058,0.000368396032152449,0.000132257978565344,5.61419257858523e-05,3.98338513794716e-08,3.57538114390943e-07,3.28971999134628e-07,3.18662335344084e-09,1.08854813314103e-07,5.38914243596613e-07,6.90602039762305e-05,0.00011153181737043,0.0026327132352398,9.84104270915555e-09,6.12019132293197e-06,5.18294916015525e-09,2.51180899624161e-07,1.2840217630041e-09,5.52035633875487e-07,1.07782848719323e-07,9.14748350870077e-07,1.58393925509265e-08,7.80124275842592e-09,1.39649082253731e-09,3.04603702902434e-08,1.93071885532004e-06,3.45842358064609e-09,4.2392713983531e-07,1.05908364393769e-08,1.89322916880897e-07,0.00224282049552469,0.000223063634740859,2.23063634740859e-06,2.455574466475e-07,6.86159940190399e-05,1.8819487331495e-06,8.58513821103474e-06,4.66746597062806e-09,3.82603520161529e-07,1.79013253090353e-07,1.1153181737043e-08,9.46614584404486e-10,2.95231281274666e-09,1.56439368416911e-08,1.73389800113693e-09,2.03381549322548e-09,3.25223030483521e-05,6.21081971558757e-06,2.70862985042472e-08,1.43398050904838e-08,6.33575702037062e-05,6.15768100944304e-07,4.67015315308572e-12
0.427580682782719,9.92066549379858e-05,0.00436509281727138,0.0859129631762957,0.0673337249944737,0.00128968651419382,0.398314719576013,0.00476191943702332,0.000297619964813957,0.000198413309875972,1.78571978888374e-05,3.98338513794716e-08,3.57538114390943e-07,4.67263344757913e-05,8.92859894441872e-08,1.08854813314103e-07,9.92066549379858e-07,6.90602039762305e-05,0.000115377339692877,0.00291270738897926,1.19047985925583e-07,4.06747285245742e-06,2.97619964813957e-08,2.67857968332562e-07,9.92066549379858e-09,7.7381190851629e-07,2.38095971851166e-07,7.70496618438624e-07,9.92066549379858e-08,7.80124275842592e-09,6.94446584565901e-09,2.7777863382636e-07,2.05807909364715e-06,4.96033274689929e-09,2.57937302838763e-07,4.76191943702332e-07,4.1666795073954e-07,0.00220933220546894,0.000324405761647214,2.57937302838763e-06,1.28968651419382e-06,6.86159940190399e-05,1.8819487331495e-06,8.53177232466678e-06,3.96826619751943e-08,1.88492644382173e-07,3.07540630307756e-06,1.98413309875972e-08,6.94446584565901e-09,6.94446584565901e-08,1.98413309875972e-08,7.93653239503887e-09,1.98413309875972e-08,3.42262959536051e-05,6.25001926109311e-06,2.28175306357367e-07,2.7777863382636e-08,8.10518370843344e-05,2.67857968332562e-06,0.00392822583631602
0.400765087521178,7.58265841252235e-05,0.00344283915446566,0.0833725373621955,0.0730440198987985,0.00120964618940685,0.427377303688129,0.00446638593011761,0.000372198827509801,0.000132257978565344,5.61419257858523e-05,3.98338513794716e-08,9.30497068774503e-07,4.83858475762742e-07,7.52690731139273e-08,1.08854813314103e-07,3.72198827509801e-07,6.90602039762305e-05,0.000113520642390489,0.00285104301872508,2.33790123556824e-08,5.42479791095535e-06,1.83011850232862e-08,2.04709355130391e-07,7.36223694699019e-09,5.71918512332725e-07,5.9387236622241e-08,1.86099413754901e-06,7.21715330027806e-08,7.80124275842592e-09,3.8048002571403e-09,9.30497068774503e-08,2.05807909364715e-06,4.83777691749679e-09,4.2392713983531e-07,1.34129624427954e-07,1.86099413754901e-07,0.00222016600609596,0.00022518029064343,2.38207249606273e-06,2.24580489076644e-07,6.86159940190399e-05,1.39574560316175e-06,8.37447361897053e-06,2.36300454112746e-08,3.82603520161529e-07,1.48879531003921e-07,3.47461096009088e-08,4.92034338963972e-09,7.4654765239612e-08,1.56439368416911e-08,3.60251956070907e-09,2.40444300101587e-08,3.07064032695586e-05,5.58298241264702e-06,2.3453971183333e-07,2.80132591037427e-08,7.44397655019602e-05,7.44397655019602e-07,1.77822624958246e-07
0.405191696796162,7.58265841252235e-05,0.00358576722828462,0.0853035151149814,0.0673337249944737,0.00119840115261091,0.426045764097501,0.00443502788761518,0.000368396032152449,0.000132257978565344,5.61419257858523e-05,3.98338513794716e-08,3.57538114390943e-07,3.96321641020931e-06,7.52690731139273e-08,1.08854813314103e-07,9.47397446630988e-07,6.90602039762305e-05,9.08518946767134e-05,0.00284030509398334,1.50979672769879e-08,6.86889190624705e-06,2.83086886443522e-08,3.08564706223439e-07,7.54898363849393e-09,5.71918512332725e-07,3.01959345539757e-08,7.70496618438624e-07,5.75610002435162e-08,7.80124275842592e-09,4.71811477405871e-09,2.18920525516324e-07,2.05807909364715e-06,4.71811477405871e-09,4.2392713983531e-07,9.24750495715507e-08,3.66125706466956e-07,0.00239680230522182,0.000221156911919228,2.65158050302099e-06,3.6329483760252e-07,6.86159940190399e-05,1.8819487331495e-06,8.40768052737262e-06,2.64214427347288e-08,3.82603520161529e-07,2.07030876285696e-06,4.24630329665284e-08,4.71811477405871e-09,1.11347508667785e-07,1.56439368416911e-08,3.60251956070907e-09,3.3026803418411e-08,3.49140493280344e-05,6.21081971558757e-06,1.6796488595649e-07,2.5477819779917e-08,6.60536068368219e-05,1.90894923758415e-06,0.0004440848368652
0.403390629466708,7.58265841252235e-05,0.00358385981478434,0.0848023792299363,0.0673337249944737,0.00118492537855304,0.428956121600968,0.00447513385249249,0.000368396032152449,0.000132257978565344,5.61419257858523e-05,3.98338513794716e-08,3.57538114390943e-07,1.37350020126813e-06,7.52690731139273e-08,9.10037701659898e-08,5.00989827511738e-07,6.90602039762305e-05,0.000116559880468274,0.00272288909435827,2.33790123556824e-08,6.86889190624705e-06,2.34545799396881e-09,2.64022091838425e-07,7.36223694699019e-09,4.94891636727419e-07,5.9387236622241e-08,7.70496618438624e-07,1.87636639517505e-08,7.80124275842592e-09,1.40727479638129e-09,4.31564270890261e-08,2.00958840923248e-06,2.81454959276257e-09,4.2392713983531e-07,1.34129624427954e-07,2.0827666986443e-07,0.00225923895811052,0.000229010518531115,2.19794023756845e-06,2.24580489076644e-07,6.86159940190399e-05,1.8819487331495e-06,8.73542375273743e-06,2.36300454112746e-08,3.82603520161529e-07,5.29193886365297e-07,3.47461096009088e-08,4.92034338963972e-09,7.4654765239612e-08,1.56439368416911e-08,9.38183197587524e-10,2.40444300101587e-08,3.52118917718549e-05,7.59553116766859e-06,2.3453971183333e-07,1.26654731674316e-08,5.51651720181464e-05,7.09266497376168e-07,4.83903808834452e-05
0.406041427281312,0.000186214825627752,0.00353808168692728,0.0827724899915356,0.0673337249913661,0.00121039636658039,0.42857342118227,0.00446915581506604,0.000186214825627752,9.31074128138758e-05,9.31074128138758e-06,3.98338513776332e-08,3.57538114374441e-07,1.21039636658039e-06,7.52690731104535e-08,1.08854813309079e-07,8.14639230019605e-07,6.90602039730432e-05,9.08518946725205e-05,0.00280253312569766,2.79322238441627e-08,6.86889190593003e-06,4.65537064069379e-08,2.64022091826239e-07,2.97943721004403e-07,4.65537064069379e-07,4.65537064069379e-08,7.70496618403064e-07,1.86214825627752e-07,7.80124275806588e-09,9.31074128138758e-09,4.65537064069379e-07,2.05807909355217e-06,9.31074128138758e-09,4.23927139815745e-07,1.86214825627752e-07,1.86214825627752e-07,0.00222825840587504,0.000220013103159687,2.34630680290967e-06,1.86214825627752e-07,6.86159940158731e-05,1.88194873306265e-06,8.94113409098818e-06,2.79322238441627e-08,9.31074128138758e-07,5.29193886340873e-07,9.31074128138758e-08,9.31074128138758e-09,4.65537064069379e-08,1.56439368409691e-08,1.86214825627752e-08,4.65537064069379e-08,4.65537064069379e-06,7.44859302511006e-06,4.65537064069379e-07,4.65537064069379e-08,6.26432808415464e-05,1.86214825627752e-06,0
