"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.490216861472551,0.0194485102567873,0.136616250970472,0.0921897520505556,0.0603495816288893,0.00123936584969723,0.0598709041238355,0.0510046715067707,0.0409944088746007,0.0359416096412197,0.00772220260195967,3.74465982345069e-07,2.46896762642435e-06,0.000697858309214133,2.70893614025866e-06,1.93716261357243e-07,3.0733038225764e-07,9.62891929380156e-05,0.000256453395052735,2.76473920317075e-05,0.000213552269486292,1.3055009082289e-06,3.81343338368379e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000450938497620608,2.00205252643399e-05,6.96655453026459e-06,1.29870112135591e-06,5.72015007552568e-06,7.61848559873227e-07,6.98955182549832e-08,5.3388067371573e-05,1.12373865900936e-05,1.73560265803822e-07,4.76679172960473e-06,4.57612006042055e-05,4.00410505286798e-05,0.000143957110234063,9.53358345920947e-06,1.11100457822163e-05,5.81548591011778e-05,3.81343338368379e-05,3.61583697084885e-07,9.53358345920947e-06,8.58022511328852e-06,2.86007503776284e-06,0.000817981460800172,1.90671669184189e-06,8.79291438822906e-07,7.62686676736758e-06,1.42465268817881e-07,2.1377760444389e-07,2.86007503776284e-06,9.15224012084109e-05,1.56348040608601e-06,1.8113808572498e-05,9.53358345920947e-07,0.000102962701359462,0.000268847053549707,0.00082103184507587
0.4861465060215,0.0195511355863248,0.136575961571779,0.0934318691000331,0.0603495816288893,0.00131594181831033,0.0602513361097799,0.0523556851999179,0.0412641755884452,0.0370343626010192,0.008083642598192,3.74465982345069e-07,1.69192519497042e-06,0.000700269039029423,2.58488571453814e-06,1.93716261357243e-07,3.38385038994084e-07,9.24919106583829e-05,0.00017252745594787,3.32745288344182e-05,0.000223710109112755,1.05275345464826e-06,2.98906784444774e-05,4.19221464976004e-06,1.66372644172091e-06,2.50028945478962e-06,0.000428588241976122,2.19010316904504e-05,6.38231781880508e-06,1.2031468053123e-06,6.20372571489153e-06,6.92749371496221e-07,6.57970909155163e-08,5.18857059790928e-05,1.12373865900936e-05,1.80472020796845e-07,4.93478181866372e-06,4.49300135108811e-05,4.26741132509205e-05,0.000155093142872288,7.98964675402698e-06,1.10915096114727e-05,5.83714192264794e-05,0.000115496489454778,2.72587948078567e-07,8.91706805857335e-06,8.01784550727648e-06,2.26529984437706e-06,0.000860061974109963,3.14886077952828e-06,8.57242098785012e-07,6.26012322139055e-06,1.42465268817881e-07,2.08670774046352e-07,1.56973059755589e-06,9.86956363732744e-05,1.10915096114727e-06,1.93631438979948e-05,1.26894389622781e-06,0.000117494805206279,0.000274467864961868,2.98652624852735e-09
0.472,0.0192,0.136,0.0911,0.0603495816288893,0.00117,0.0511,0.0587,0.0422,0.0371,0.00772,3.74465982345069e-07,1.32e-06,0.000723,2.73e-06,2.4e-08,1.8e-07,9.51e-05,0.00017252745594787,4e-05,0.00023,1.1e-06,3.6e-05,3.91e-06,1.62e-06,2.4e-06,0.000428588241976122,2.44e-05,7.23e-06,1.15e-06,5.04e-06,6.76e-07,6.98955182549832e-08,5.12e-05,1.14e-05,1.54e-07,6.01e-06,5.69e-05,4.12e-05,0.000162,3.12e-06,1.07e-05,6.37e-05,0.000554,3.61583697084885e-07,9.53e-06,7.72e-06,1.96e-06,0.000859,3.42e-06,8.66e-07,5.43e-06,8.6e-08,2.1377760444389e-07,1.26e-06,0.000105,1.99e-06,2.22e-05,1.08e-06,9.28e-05,0.000296,0.0192136769503846
0.462,0.0186,0.0745,0.0884,0.0603495816288893,0.00126,0.05845025264677,0.0497,0.040913685517164,0.041,0.00792138643759419,3.74465982345069e-07,2.46896762642435e-06,0.000822,2.70893614025866e-06,1.93716261357243e-07,3e-06,0.000107,0.00017252745594787,3.33136442220146e-05,0.000288,1.3055009082289e-06,9.6e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000428588241976122,2.1e-05,6.96655453026459e-06,1.29870112135591e-06,6.06778874094708e-06,7.61848559873227e-07,6.98955182549832e-08,5.4e-05,1.12373865900936e-05,1.73560265803822e-07,2e-06,4.4e-05,4.4e-05,0.000144,1.8e-05,9e-06,5.9e-05,0.000115496489454778,3.61583697084885e-07,8.91706805857335e-06,8.10604259851588e-06,2.6041659874586e-06,0.000871,2.80762014851912e-06,8.79291438822906e-07,4e-06,1.42465268817881e-07,2.1377760444389e-07,3e-06,0.00034,1.56348040608601e-06,1.7e-05,1.39062854687997e-06,0.00011,0.000267,0.0927619422108084
0.488495416911178,0.0199770502286207,0.137012410530257,0.0925352043608751,0.0571984409847772,0.00118731524943689,0.0601196134238679,0.0517330215826074,0.041744496468297,0.0384463985531945,0.00800966636524886,3.74465982345069e-07,2.46896762642435e-06,0.000649254132430173,2.70893614025866e-06,3.48656065310833e-06,9.42313690029278e-08,8.66928594826936e-05,0.00017252745594787,3.29809791510247e-05,0.000200712815976236,1.3055009082289e-06,3.20386654609955e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000428588241976122,1.88462738005856e-05,6.96655453026459e-06,1.29870112135591e-06,6.06778874094708e-06,7.61848559873227e-07,6.98955182549832e-08,5.55965077117274e-05,1.12373865900936e-05,1.73560265803822e-07,4.58430913421752e-06,3.67502339111418e-05,2.73270970108491e-05,0.000165847209445153,9.42313690029278e-06,1.11100457822163e-05,5.55965077117274e-05,0.000115496489454778,3.61583697084885e-07,8.91706805857335e-06,8.10604259851588e-06,2.6041659874586e-06,0.000853736203166526,1.88462738005856e-06,8.79291438822906e-07,6.59619583020495e-06,1.88462738005856e-06,2.1377760444389e-07,1.66799651051218e-06,0.000100827564833133,1.88462738005856e-06,1.95093726202646e-05,1.6961646420527e-05,0.000110250701733426,0.000251597755237817,4.08245329541757e-06
0.487855602083574,0.01963125657446,0.136946890815103,0.0931540876874614,0.0603495816288893,0.00130245836888244,0.0599319611768369,0.0516736200697924,0.0400175614787068,0.0372333207626175,0.00798463608749669,3.74465982345069e-07,2.46896762642435e-06,0.000746554036076818,2.70893614025866e-06,1.93716261357243e-07,3.0733038225764e-07,9.24934203988978e-05,0.00017252745594787,3.49209852526451e-05,0.000224626878111609,8.49429371010286e-06,3.49209852526451e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000428588241976122,2.07638290691403e-05,6.96655453026459e-06,1.29870112135591e-06,6.06778874094708e-06,7.61848559873227e-07,6.98955182549832e-08,5.28533830850845e-05,1.12373865900936e-05,1.73560265803822e-07,4.58430913421752e-06,4.71905206116826e-05,4.62467101994489e-05,0.000162335390904188,5.66286247340191e-06,1.11100457822163e-05,5.946005597072e-05,0.000115496489454778,3.61583697084885e-07,1.03819145345702e-05,8.10604259851588e-06,2.6041659874586e-06,0.000859811285544856,2.80762014851912e-06,8.79291438822906e-07,1.32133457712711e-05,1.42465268817881e-07,2.1377760444389e-07,1.66799651051218e-06,9.24934203988978e-05,1.56348040608601e-06,2.07638290691403e-05,1.39062854687997e-06,0.000105706766170169,0.000273705019547759,0.000213136286438376
0.487006929005035,0.0199881812501008,0.138033712992961,0.0924066832195238,0.0603495816288893,0.00123227652807701,0.0598052380394484,0.0509497147007961,0.0411196152486837,0.0375399222165513,0.00798496448345565,3.74465982345069e-07,2.46896762642435e-06,0.000723435345760799,2.70893614025866e-06,1.93716261357243e-07,3.0733038225764e-07,0.000108702720347478,0.00017252745594787,3.33604900376741e-05,0.00018985492364137,1.3055009082289e-06,2.46455305615402e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000428588241976122,1.99600684775972e-05,6.96655453026459e-06,1.29870112135591e-06,5.6225545007316e-06,7.61848559873227e-07,6.98955182549832e-08,5.07904089899421e-05,1.12373865900936e-05,1.73560265803822e-07,3.93578815051212e-06,4.61986561476779e-05,5.03218627815478e-05,0.000140844990243326,1.3400421560077e-05,1.11100457822163e-05,6.09110070912589e-05,0.000110576905181055,3.61583697084885e-07,7.30932085095107e-06,8.10604259851588e-06,2.6041659874586e-06,0.000826515511607545,2.80762014851912e-06,8.79291438822906e-07,7.40303009262993e-06,1.42465268817881e-07,2.1377760444389e-07,2.11782886194223e-06,9.5677135754116e-05,1.56348040608601e-06,1.92291363925021e-05,1.39062854687997e-06,0.000103267584330104,0.000272319056318767,6.46433473416863e-09
0.492849544796373,0.0187265802858726,0.136382468546607,0.0922142211046755,0.0566526342991801,0.00122006507923109,0.057598421182305,0.0554231113511178,0.0414254654808696,0.0364127950003078,0.00719743818058031,3.74465982345069e-07,3.87772622081199e-07,0.000713346687059751,3.97230490912448e-06,5.67472129874926e-08,3.0733038225764e-07,9.83213242480012e-05,0.00017252745594787,3.87772622081199e-05,0.000208380374593957,1.3055009082289e-06,3.12109671431209e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000680966555849911,2.10178217944236e-05,6.96655453026459e-06,1.29870112135591e-06,6.06778874094708e-06,7.61848559873227e-07,6.98955182549832e-08,5.22601410378185e-05,1.32410163637483e-05,1.73560265803822e-07,5.20182785718682e-06,4.69110294029939e-05,4.34255886101516e-05,0.000145651180001231,7.09340162343658e-06,1.11100457822163e-05,5.54231113511178e-05,0.000115496489454778,1.22952294806234e-07,8.91706805857335e-06,8.10604259851588e-06,2.6041659874586e-06,0.000842696112864265,2.80762014851912e-06,8.79291438822906e-07,7.56629506499901e-06,1.42465268817881e-07,2.1377760444389e-07,1.66799651051218e-06,0.000103090770260612,1.56348040608601e-06,2.60091392859341e-05,1.39062854687997e-06,0.000111602852208735,0.000283736064937463,3.42093713812108e-06
0.482642465648601,0.020243490073049,0.136431707515572,0.0944382350849681,0.0603495816288893,0.00126168728827375,0.0603538471480205,0.0522564511188009,0.041993472430604,0.038227241719339,0.00788083776332187,3.74465982345069e-07,2.46896762642435e-06,0.000734414988696661,2.70893614025866e-06,1.93716261357243e-07,3.0733038225764e-07,9.41557677816232e-05,0.000254220573010383,3.95454224682818e-05,0.000226915400353712,1.3055009082289e-06,2.25973842675896e-05,4.36050232410963e-06,1.80833536945253e-06,2.4434434793851e-06,0.000428588241976122,2.25973842675896e-05,6.96655453026459e-06,1.29870112135591e-06,6.06778874094708e-06,7.61848559873227e-07,6.98955182549832e-08,5.46103453133415e-05,1.12373865900936e-05,1.73560265803822e-07,1.2240249811611e-05,5.08441146020765e-05,4.61363262129954e-05,0.000161006362906576,1.6006480522876e-05,1.12986921337948e-05,5.93181337024226e-05,0.000115496489454778,1.12986921337948e-06,5.64934606689739e-06,6.59090374471363e-06,2.6041659874586e-06,0.000913310947481745,2.80762014851912e-06,8.79291438822906e-07,4.70778838908116e-06,1.42465268817881e-07,2.1377760444389e-07,6.59090374471363e-07,0.000101688229204153,1.56348040608601e-06,1.88311535563246e-05,1.39062854687997e-06,0.000110162248304499,0.000289058207089583,6.70540764522443e-05
0.490918682607385,0.0198783988320823,0.137195094229438,0.0927911518001401,0.0555760578034363,0.00122343198918827,0.059568808713888,0.0510616886030207,0.0420139822643725,0.0383247183589908,0.00779582244273458,3.74465982345069e-07,2.46896762642435e-06,0.000746672872161184,2.70893614025866e-06,1.93716261357243e-07,3.0733038225764e-07,9.89652155595321e-05,0.00017252745594787,3.26722728895628e-05,0.000200955817200855,1.08401764623426e-06,3.18851034701626e-05,4.58360217344723e-06,1.79057332991276e-06,2.4914386322462e-06,0.000428588241976122,2.22304231213745e-05,7.09306034661946e-06,1.29870112135591e-06,5.77953065280104e-06,7.50181940657306e-07,6.98955182549832e-08,5.36631412746047e-05,1.12373865900936e-05,1.73556631024383e-07,4.58430913421752e-06,5.41487204827167e-05,4.57146269324443e-05,0.000152616027674556,7.47716108741112e-06,1.18919486142882e-05,6.13811951722901e-05,0.000115496489454778,3.61583697084885e-07,9.88134720569971e-06,8.51850087355742e-06,2.6041659874586e-06,0.000846444225077934,3.05383798851647e-06,9.66416431769652e-07,6.63877823590536e-06,1.42465268817881e-07,2.19079681784877e-07,1.46432479946255e-06,9.85574048964693e-05,1.56348040608601e-06,2.14508408771011e-05,1.25472908658611e-06,0.00010261654358928,0.000253705652269578,8.84259582101254e-06
