"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.445061190870841,0.0108009402052109,0.160645616606585,0.0960052958886645,0.0718593164673215,0.00159809829566896,0.0788395159196686,0.111545424143101,0.0190669658724641,0.00171749644419595,0.00129501068786967,3.67378918544588e-08,1.46951567417835e-06,0.000157054487677811,3.67378918544588e-07,5.13612981532966e-07,9.18447296361471e-08,9.80901712514051e-06,4.31753465181154e-05,0.00028104487268661,4.59223648180735e-08,8.81709404507012e-05,2.97576924021117e-06,1.92873932235909e-06,8.90893877470626e-07,0.000137767094454221,1.53380698492366e-05,2.45225428128513e-06,1.28582621490606e-06,1.19398148526991e-06,6.06175215598571e-07,4.40854702253506e-06,5.64442911924119e-06,2.84718661872056e-07,8.26602566725324e-07,3.58194445580974e-06,7.54963677609129e-06,0.00011847970123063,1.83689459272294e-06,1.46033120121474e-06,2.29611824090368e-06,0.000145114672825112,1.99379284029962e-07,2.57165242981212e-05,2.34204060572175e-06,1.5613604038145e-06,0.000155217593085089,1.83689459272294e-07,4.40854702253506e-07,2.75534188908441e-07,2.94756830429778e-08,2.78611748246219e-07,2.57165242981212e-07,0.000208487536274054,4.71016556363294e-07,1.90118590346824e-05,1.81852564679571e-06,6.245441615258e-05,4.86777067071579e-05,3.23168336535673e-09
0.445784179626032,0.0107745230468671,0.163023218274337,0.0988445375169113,0.0658630641239421,0.00140537257133049,0.0789819385087737,0.111024433135109,0.0184572264368071,0.00196752159986269,0.00131168106657513,1.10066098919139e-07,2.41354802420674e-06,0.000157401727989015,3.37289417119318e-07,5.13612981532966e-07,1.08324043230993e-07,3.17614201120691e-05,4.43160817492882e-05,0.000292317494836742,3.74766019021465e-08,8.15116091371686e-05,3.08245050645155e-06,1.97689075033823e-06,9.83760799931345e-07,0.000140732988205403,1.48969492561032e-05,2.63273128362579e-06,1.26175012590701e-06,1.38663427037942e-06,7.02686285665246e-07,4.76889759204814e-06,5.64442911924119e-06,2.71705363790562e-07,7.1481096447672e-07,3.56027718070392e-06,7.91693215182844e-06,0.000144284917323264,3.09181965692708e-06,1.62086303226783e-06,1.72392368749874e-06,0.000102344084812155,1.99379284029962e-07,3.31667926833996e-05,2.22048866270218e-06,1.18969550902913e-06,0.000154590982846354,2.52967062839489e-07,4.68457523776831e-07,2.90443664741635e-07,1.87383009510732e-08,2.90443664741635e-07,3.09181965692708e-07,0.000234228761888415,4.71016556363294e-07,1.92067584748501e-05,1.85509179415625e-06,6.82117980458716e-05,4.83448164537689e-05,0.000942560125711256
0.450120123185623,0.0106217540971147,0.161841990058668,0.0959684800002466,0.0674574558448335,0.0014907725048582,0.0793836358836991,0.107801486757559,0.0205912952233539,0.00186346563107275,0.00130442594175092,1.10066098919139e-07,2.41354802420674e-06,0.00015932631145672,4.65866407768188e-07,5.13612981532966e-07,9.31732815536375e-08,9.96954112623921e-06,4.08098973204932e-05,0.000272997714952158,0,8.47876862138101e-05,2.86973707185203e-06,2.10571616311221e-06,8.1992487767201e-07,0.000140732988205403,1.30442594175092e-05,2.55294791456967e-06,1.02490609709001e-06,1.54145615436166e-06,6.05626330098644e-07,4.75183735923551e-06,5.59039689321825e-06,2.60885188350185e-07,2.70202516505549e-07,3.7269312621455e-06,7.17434267963009e-06,0.000122522865243033,2.60885188350185e-06,1.55599380194575e-06,1.86346563107275e-06,0.000102344084812155,1.99379284029962e-07,3.26106485437731e-05,2.04981219418003e-06,7.453862524291e-07,0.000163984975534402,3.33689676475618e-07,4.75183735923551e-07,4.65866407768188e-07,2.94756830429778e-08,2.60885188350185e-07,2.70202516505549e-07,0.000220820677282121,4.71016556363294e-07,1.67711906796547e-05,1.77029234951911e-06,5.59039689321825e-05,4.65866407768187e-05,1.37535100674935e-06
0.44257929704047,0.0109784227561016,0.163187741645782,0.0978754299950755,0.0658630641239421,0.0015816371767265,0.0783375589884539,0.11462217657218,0.0199100209305572,0.00176771213869433,0.00120948725279086,1.10066098919139e-07,2.41354802420674e-06,0.000168155943130323,4.09364916329213e-07,5.13612981532966e-07,4.6518740491956e-08,1.19832275507279e-05,4.59605156060526e-05,0.000259183814524982,3.0702368724691e-08,8.68318810022851e-05,3.23026133976143e-06,2.10171669542657e-06,9.56425304514616e-07,0.000140732988205403,1.59466242406425e-05,3.00324988616068e-06,1.26175012590701e-06,1.48859969574259e-06,6.95920357759662e-07,5.06123896552482e-06,6.4568011802835e-06,3.08884436866588e-07,8.37337328855208e-07,3.72149923935648e-06,8.21520957087943e-06,0.000146868967481204,2.97719939148519e-06,1.70537702643511e-06,1.85144587157985e-06,0.000102344084812155,1.20948725279086e-07,3.72242961416632e-05,2.29802578030263e-06,1.11644977180694e-06,0.000157326380343795,2.51201198656563e-07,5.12636520221355e-07,3.25631183443692e-07,1.86074961967824e-08,3.11675561296105e-07,4.40067285053904e-07,0.000244995598674936,2.51201198656563e-07,1.83190800057323e-05,2.01891333735089e-06,6.71916687665813e-05,5.56364136283794e-05,0.000473687807507228
0.450931221408089,0.0104326165663512,0.161426111691844,0.0956633679789522,0.0658630641239421,0.0013040770707939,0.0811322234758203,0.108704138686891,0.0192817109753098,0.00176981888179172,0.0013040770707939,1.10066098919139e-07,2.41354802420674e-06,0.000164034265833432,3.72593448798256e-07,5.13612981532966e-07,1.08324043230993e-07,1.06189132907503e-05,4.46739545109109e-05,0.000305712924738969,2.79445086598692e-08,8.3963933686687e-05,3.04595144392574e-06,1.88159691643119e-06,8.94224277115815e-07,0.000140732988205403,1.49316824605901e-05,2.58952446914788e-06,1.36928092433359e-06,1.42516994165333e-06,6.89297880276774e-07,4.85302967059729e-06,6.34340346579031e-06,3.3533410391843e-07,7.1481096447672e-07,3.96812022970143e-06,7.98281464050264e-06,0.000145684038480118,3.04595144392574e-06,1.54626281251276e-06,2.21693102034962e-06,0.000102344084812155,1.99379284029962e-07,3.54056924720543e-05,2.23556069278954e-06,1.18969550902913e-06,0.000159749441172252,2.79445086598692e-07,4.84371483437733e-07,3.07389595258561e-07,2.94756830429778e-08,2.88759922818648e-07,2.60815414158779e-07,0.000231007938254919,4.71016556363294e-07,1.93375999926295e-05,1.9654304424108e-06,7.02059205898114e-05,5.19581564349168e-05,0.000553051401504523
0.446410961399345,0.0109577634695961,0.161250193571998,0.0935987188516896,0.0724969329971593,0.00151651747596099,0.0787109558254872,0.111528763887594,0.0191414096051173,0.00162748216932398,0.00119287045365224,1.10066098919139e-07,2.41354802420674e-06,0.000164357204986162,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.06526105628479e-05,4.22405599401816e-05,0.000278280956838841,3.23647022308747e-08,7.84890264387612e-05,3.09406553327162e-06,1.91044213739963e-06,8.77545783345716e-07,0.000140732988205403,1.48045395061801e-05,2.84809379631697e-06,1.26175012590701e-06,1.34174808391426e-06,6.67637571734043e-07,4.7585359337166e-06,5.64442911924119e-06,3.08851729860347e-07,7.1481096447672e-07,4.08072659842429e-06,7.9663402776853e-06,0.00013541391413398,2.99882083813505e-06,1.63765393288226e-06,1.76156450713761e-06,0.000102344084812155,1.99379284029962e-07,3.37314173707956e-05,2.22854092504023e-06,1.18969550902913e-06,0.000156626664681873,2.53369383178848e-07,4.5218112545422e-07,3.00529377858122e-07,2.94756830429778e-08,3.05152906748247e-07,3.35668197423072e-07,0.000220024492823266,4.71016556363294e-07,1.92329554771418e-05,1.90304449117543e-06,6.5493211434398e-05,5.18824670876482e-05,4.84602802330869e-10
0.447725726087929,0.010589363646063,0.163484912430447,0.0956758294337275,0.0658630641239421,0.00157911563143045,0.0794202273454728,0.112395877295932,0.0183920526484253,0.00167200478622048,0.00130044816706037,1.10066098919139e-07,2.41354802420674e-06,0.000157911563143045,4.03727951225941e-07,5.13612981532966e-07,7.43113238320213e-08,1.14253660391733e-05,4.57943533114832e-05,0.000193209441963256,9.28891547900267e-08,7.89557815715227e-05,3.19538692477692e-06,2.82383030561681e-06,9.47469378858272e-07,0.000140732988205403,1.50738815253742e-05,2.91671946040684e-06,1.26175012590701e-06,1.46764864568242e-06,6.966686609252e-07,4.8581027955184e-06,5.37828206234254e-06,3.06534210807088e-07,7.1481096447672e-07,4.21632255107058e-06,7.97917839646329e-06,0.000151409322307743,2.7773857282218e-06,1.64413803978347e-06,2.23862863043964e-06,0.000102344084812155,1.02178070269029e-07,3.03747536163387e-05,2.34080670070867e-06,1.18969550902913e-06,0.000154195996951444,3.33689676475618e-07,4.83023604908139e-07,3.62267703681104e-07,2.94756830429778e-08,3.06534210807088e-07,2.60089633412075e-07,0.000239654019358269,4.71016556363294e-07,1.78347177196851e-05,1.94138333511156e-06,7.07815359500003e-05,6.92953094733599e-05,0.000367534114302459
0.452497912376048,0.0124436925903413,0.164124763634729,0.0976641327544971,0.0582591062184162,0.00150832637458683,0.0708913396055809,0.119252053990771,0.0185712684871003,0.00169686717141018,0.0012255151793518,1.10066098919139e-07,1.88540796823353e-06,0.000149889933474566,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,3.39373434282036e-05,4.90206071740719e-05,0.000375196185678473,0,9.99266223163773e-05,2.8281119523503e-06,1.88540796823353e-06,9.42703984116767e-07,0.000112181774109895,1.6025967729985e-05,1.88540796823353e-06,1.26175012590701e-06,6.59892788881737e-06,6.65410627146045e-07,3.77081593646707e-06,5.64442911924119e-06,2.82197032041823e-07,4.71351992058384e-06,7.54163187293414e-06,1.13124478094012e-05,0.000158374269331617,9.42703984116767e-06,1.88540796823353e-06,3.77081593646707e-06,0.000118780701998713,6.59892788881737e-06,4.99633111581887e-05,1.13124478094012e-05,1.18969550902913e-06,0.000158374269331617,3.33689676475618e-07,1.88540796823353e-06,3.87988369610603e-07,2.94756830429778e-08,2.78611748246219e-07,3.02700535557148e-07,0.000227191660172141,1.88540796823353e-06,1.6025967729985e-05,2.8281119523503e-06,8.39006545863923e-05,6.41038709199402e-05,1.53904892385981e-07
0.444243002657514,0.0109387869064413,0.171005674663144,0.0935884317314052,0.0658630641239421,0.0014628420213032,0.0774172429317384,0.109852558397737,0.0206322063995749,0.00167566973596548,0.00134109341597237,1.10066098919139e-07,2.41354802420674e-06,0.000147771207996956,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,1.20819226664178e-05,4.36807973324334e-05,0.000282531114660846,0,8.69898431982078e-05,2.87178007994084e-06,2.02604549329159e-06,8.73615946648668e-07,0.000140732988205403,1.44983071997013e-05,2.5093223999483e-06,1.26175012590701e-06,1.14313575997645e-06,6.31977493320313e-07,4.81418149323415e-06,5.64442911924119e-06,2.97401173327206e-07,7.1481096447672e-07,3.60598922659238e-06,8.25288255982998e-06,0.000142194935997071,3.4851699999282e-06,1.51488722663546e-06,1.88663869329446e-06,0.000102344084812155,1.99379284029962e-07,3.11341853326919e-05,2.10039578662339e-06,1.54276858663488e-06,0.000149629965330251,1.48700586663603e-07,4.55395546657285e-07,3.87988369610603e-07,2.94756830429778e-08,2.69519813327781e-07,3.02700535557148e-07,0.000235132802661822,4.71016556363294e-07,1.76581946663029e-05,1.91452005329389e-06,6.9703399998564e-05,4.80488770656768e-05,0.000402389230481193
0.449683409320943,0.0107553145322123,0.160402535695924,0.0945725933004871,0.0658630641239421,0.0014464043681251,0.0805721407628659,0.11404342133294,0.0178946181441118,0.00164111264844963,0.00127023973354576,1.10066098919139e-07,2.47557670698334e-06,0.000164111264844963,4.03727951225941e-07,5.13612981532966e-07,1.08324043230993e-07,9.69832672473622e-06,4.45047497884645e-05,0.000293916785061318,0,9.36454110132274e-05,2.78154686177903e-06,1.76164634579339e-06,8.3446405853371e-07,0.000140732988205403,1.29805520216355e-05,2.41067394687516e-06,1.26175012590701e-06,1.85436457451935e-06,5.56309372355806e-07,4.17232029266855e-06,5.64442911924119e-06,2.41067394687516e-07,7.1481096447672e-07,2.93916785061318e-06,6.96313897732018e-06,0.000135368613939913,2.72591592454345e-06,1.4464043681251e-06,4.63591143629839e-06,0.000102344084812155,1.99379284029962e-07,4.35775675012048e-05,1.97489827186311e-06,1.18969550902913e-06,0.000153912259685106,3.33689676475618e-07,4.17232029266855e-07,2.22523748942323e-07,2.94756830429778e-08,2.41067394687516e-07,2.31795571814919e-07,0.000224378113516842,7.41745829807742e-06,1.66892811706742e-05,1.68747176281261e-06,6.86114892572161e-05,4.26503852139451e-05,0.00024519430578851
