"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Au","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Pt","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.422291820438073,0.00363515490020054,0.0782277661372972,0.114675229516617,0.083379156518163,0.00173605022938337,0.204997798633209,0.075177688938712,0.0110397448288412,0.000472019713380638,0.000412431822450194,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.66853969925731e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.28045693714188e-06,5.93885154086691e-05,9.40152726431813e-05,0.00230674077440166,1.80319029350317e-07,4.90218382451846e-05,1.48667284836698e-06,9.57225485593705e-07,3.06926007404795e-07,0.000181485286830339,9.99427811611865e-06,1.18933827869358e-06,1.48379541704756e-06,5.48630238236071e-07,3.23231451548175e-07,1.76700624825401e-09,4.12431822450194e-07,5.37567476291834e-06,1.48667284836698e-07,3.47787246846297e-07,3.31863745506435e-07,1.46269425403848e-06,0.000791677270349744,8.35274596351641e-07,2.39785943284996e-07,9.91161258529122e-09,9.85040655014765e-07,7.9656458995412e-05,3.59726858746347e-07,2.69401845482086e-05,6.92501804207069e-07,7.7084422340779e-07,1.61519811396774e-05,2.39785943284996e-08,2.16766492729637e-07,2.78151694210596e-08,1.72868063158882e-08,1.43871565970998e-07,1.55211787985731e-08,0.000173509108561023,1.42668580631075e-07,9.25765569834714e-06,9.81204079922205e-07,6.97873009336653e-05,1.78880313690607e-05,1.25968537822985e-08
0.424047802420901,0.00370266581463349,0.0765526157175475,0.115152906835102,0.083379156518163,0.00166619961658507,0.204387152967769,0.0754418159731575,0.011385697379998,9.25666453658374e-05,0.000370266581463349,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.27629878585273e-06,5.55399872195024e-08,5.42074271022494e-08,1.42545237265101e-07,1.15708306707297e-06,5.93885154086691e-05,8.14586479219369e-05,0.00222715348750205,1.85133290731675e-07,3.79523245999933e-05,1.4255263386339e-06,9.07153124585206e-07,2.68443271560928e-07,0.000181485286830339,8.23843143755952e-06,1.04600309263396e-06,1.18901427961463e-06,4.72089891365771e-07,3.23983258780431e-07,1.76700624825401e-09,3.79523245999933e-07,4.25806568682852e-06,1.20336638975589e-07,3.47787246846297e-07,3.51753252390182e-07,1.34221635780464e-06,0.000807181147590102,2.86956600634096e-07,2.2215994887801e-07,9.91161258529122e-09,8.4235647282912e-07,7.9656458995412e-05,3.59726858746347e-07,2.64740605746295e-05,6.66479846634029e-07,7.7084422340779e-07,1.45329633224365e-05,2.9621326517068e-08,2.12903284341426e-07,2.40673277951177e-08,1.75876626195091e-08,1.38849968048756e-07,7.40533162926699e-09,0.00015366063130729,1.42668580631075e-07,9.07153124585206e-06,8.4235647282912e-07,5.62855360475324e-05,1.24039304790222e-05,9.62949808780422e-09
0.423883075452343,0.00384098202021046,0.0770946510500477,0.114303591431991,0.083379156518163,0.00171881653649036,0.20177989436244,0.0780526047997183,0.0103037321974142,0.00061877395313653,0.000284177667366406,2.68563910791154e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.35355923373245e-06,8.06790846339002e-08,5.42074271022494e-08,5.515121324723e-08,1.17989028369841e-06,0.000105810321938546,8.14707705115364e-05,0.0023165915851294,1.64830302710821e-07,4.43686686852325e-05,1.54354698280657e-06,1.00431592825065e-06,2.79998524818439e-07,0.000624280899437423,8.3504479912741e-06,1.07731233059702e-06,1.18901427961463e-06,5.83020594487779e-07,3.4625124426259e-07,6.73338412336203e-09,4.00816797008654e-07,5.06321570587441e-06,1.49413484612102e-07,3.47787246846297e-07,3.34766131835568e-07,1.43201688480233e-06,0.000875767653275561,3.0106185530081e-07,2.27394907446978e-07,1.92382403524629e-08,8.11031014186943e-07,0.000331859646079986,9.18973661659533e-08,2.53138031005323e-05,6.67665981311778e-07,7.7084422340779e-07,1.49549268789126e-05,4.36762640361704e-08,2.20091817872006e-07,7.07263398589547e-08,1.72868063158882e-08,1.4918608873289e-07,1.55211787985731e-08,0.000167809642825847,1.43973011742297e-07,7.75401646199631e-06,9.59264887902269e-07,6.00062431168411e-05,8.65720815860832e-06,4.38706029282088e-08
0.424162814213,0.00349264897339158,0.0764502053064602,0.111861785175569,0.083379156518163,0.00164930645965714,0.207812613916799,0.0748008988468031,0.0115451452176,0.000485090135193276,0.000291054081115965,2.42225023464241e-07,9.70180270386551e-07,2.82067763717332e-09,4.11868392067987e-05,2.23141462188907e-05,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.54841986280954e-06,3.00755883819831e-05,7.66442413605375e-05,0.00206066289430104,1.85815798110357e-07,4.26879318970082e-05,1.56303051281966e-06,1.04525387709556e-06,3.05695700726202e-07,0.000310457686523696,9.70180270386551e-06,1.18617817261781e-06,1.18901427961463e-06,5.83020594487779e-07,3.64137444993761e-07,1.76700624825401e-09,2.91054081115965e-06,5.37567476291834e-06,1.61430006938665e-07,3.47787246846297e-07,9.70180270386551e-07,9.70180270386551e-07,0.000936223960923022,3.8807210815462e-06,2.45504086250283e-07,9.91161258529122e-09,9.70180270386551e-07,0.000210529118673882,3.59726858746347e-07,2.52246870300503e-05,1.9403605407731e-06,7.7084422340779e-07,1.64930645965714e-05,4.36762640361704e-08,2.32457080465339e-07,7.07263398589547e-08,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000163960465695327,4.85090135193276e-06,8.73162243347896e-06,1.02198831811902e-06,6.01511767639662e-05,1.9403605407731e-05,2.9425661907112e-10
0.427216470538148,0.00395354410645715,0.0780776272058458,0.113153158908946,0.0786813703945166,0.00173332721908712,0.205662195882697,0.0753023560966333,0.0111984623705067,0.000496627461648558,0.00034082276779803,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.13668600038459e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,1.18703701127371e-06,5.93885154086691e-05,8.17098241312363e-05,0.00251945927749669,1.73332721908712e-07,3.99152150058321e-05,1.44995743214648e-06,9.08536121015891e-07,2.71684434901858e-07,0.000181485286830339,8.64034405334834e-06,9.22169031727812e-07,1.18901427961463e-06,5.16103048379874e-07,3.50560561163688e-07,1.76700624825401e-09,3.96328189982281e-07,5.37567476291834e-06,1.40224224465475e-07,3.47787246846297e-07,4.0119708666511e-07,1.38763555460626e-06,0.000856244170642308,3.2232096040328e-07,2.29811923429529e-07,9.91161258529122e-09,9.40670839122563e-07,7.9656458995412e-05,3.59726858746347e-07,2.83272409006991e-05,6.92357108298284e-07,7.7084422340779e-07,1.57275100648742e-05,2.88238683623477e-08,2.08388778025081e-07,6.23218775402112e-08,1.72868063158882e-08,1.4606690048487e-07,1.08089506358804e-08,0.000164666085813277,1.42668580631075e-07,9.9997400071942e-06,9.08536121015891e-07,5.55813769725027e-05,1.46573265739884e-05,9.28884794415552e-07
0.421892753197629,0.00390572134085031,0.0819707086472129,0.117863793374521,0.083379156518163,0.0017798223831723,0.192418575425183,0.0692153149011448,0.0101170523468645,0.00182926189381597,0.000207645944703434,2.09623525129181e-06,8.90695640462787e-07,2.82067763717332e-09,9.80879891170509e-05,2.02701993639067e-05,1.2421668939148e-07,2.18522637045043e-05,1.42545237265101e-07,9.39350702229822e-06,5.93885154086691e-05,7.4060386944225e-05,0.00227125111897042,1.85815798110357e-07,5.15159700907092e-05,1.56303051281966e-06,1.04525387709556e-06,3.05695700726202e-07,0.000181485286830339,9.98678115002232e-06,1.18617817261781e-06,1.95780462148952e-05,5.83020594487779e-07,3.64137444993761e-07,1.76700624825401e-09,6.62489442625243e-06,5.37567476291834e-06,1.61430006938665e-07,3.47787246846297e-07,4.95450603929911e-07,1.59842694138486e-06,0.000707182760247125,1.67105545975621e-05,2.45504086250283e-07,9.91161258529122e-09,1.14583468577033e-06,7.9656458995412e-05,5.05271798778357e-05,2.78838840030326e-05,7.94988537889997e-07,7.7084422340779e-07,2.10612315342055e-05,4.36762640361704e-08,2.32457080465339e-07,7.07263398589547e-08,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000177388964189505,1.42668580631075e-07,1.20632405970567e-05,1.02198831811902e-06,4.37045274090086e-05,1.5800394393953e-05,0.0114235803798572
0.42295229831107,0.00363632876769152,0.0769705664885368,0.114298397605158,0.083379156518163,0.00171688732267663,0.205254843969431,0.0756202056729484,0.0114780669325011,0.000289363031911792,0.00038581737588239,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,5.85477867901526e-06,5.78726063823585e-08,5.42074271022494e-08,1.42545237265101e-07,1.16131030140599e-06,5.93885154086691e-05,8.56514574458905e-05,0.0023255142331311,1.85815798110357e-07,4.31150917548571e-05,1.50468776594132e-06,9.98302460095683e-07,2.85504858152968e-07,0.000181485286830339,8.79663617011848e-06,1.08993408686775e-06,1.18901427961463e-06,5.49789760632405e-07,3.31802943258855e-07,1.76700624825401e-09,3.94498266839743e-07,4.14753679073569e-06,1.39858798757366e-07,2.14128643614726e-07,3.25051139180913e-07,1.41112705228984e-06,0.000866160008855965,1.36965168438248e-07,2.45504086250283e-07,9.91161258529122e-09,9.06670833323616e-07,7.9656458995412e-05,3.59726858746347e-07,2.54639468082377e-05,6.74698136074329e-07,2.51745837763259e-07,1.68795101948546e-05,2.31490425529434e-08,2.24738621451492e-07,2.79717597514733e-08,1.35036081558836e-08,1.42752429076484e-07,9.45252570911855e-09,0.000173617819147075,5.59435195029465e-08,8.54585487579493e-06,9.7997613474127e-07,6.02839649816234e-05,1.70724188827957e-05,1.1975922697971e-08
0.425902985270148,0.00358553138907747,0.0769435654845273,0.114543191942961,0.0788816905597044,0.00175400319303519,0.203600039147345,0.0791724093209809,0.0107565941672324,0.000387625015035402,0.000174431256765931,2.42225023464241e-07,1.93812507517701e-07,2.82067763717332e-09,4.11868392067987e-05,8.18753726142627e-06,1.2421668939148e-07,9.69062537588505e-08,1.42545237265101e-07,2.03503132893586e-06,5.93885154086691e-05,8.97351909806956e-05,0.00244106853218544,1.85815798110357e-07,4.80655018643899e-05,1.48266568251041e-06,1.31792505112037e-06,3.19790637404207e-07,0.000121326629706081,8.3183234773021e-06,1.91874382442524e-06,1.18901427961463e-06,5.83020594487779e-07,3.64137444993761e-07,1.76700624825401e-09,6.23558026526396e-07,5.37567476291834e-06,2.42265634397126e-07,3.47787246846297e-07,4.95450603929911e-07,1.59842694138486e-06,0.000866341908604124,8.35274596351641e-07,2.45504086250283e-07,9.91161258529122e-09,1.14583468577033e-06,0.000290718761276552,3.59726858746347e-07,2.47110947085069e-05,2.28698758870887e-06,7.7084422340779e-07,1.25978129886506e-05,4.36762640361704e-08,2.32457080465339e-07,3.87625015035402e-06,1.72868063158882e-08,1.57901916144807e-07,1.55211787985731e-08,0.000176660100602385,1.42668580631075e-07,8.52775033077885e-06,1.18225629585798e-06,5.77561272402749e-05,1.30823442574448e-05,5.45799095919008e-08
0.421892751744261,0.00351674005476813,0.0761911808689897,0.112535194329502,0.0833791562309321,0.00166138299977771,0.214578591579685,0.0716385055087466,0.00977645285431041,0.000472019711754588,0.00026841552406173,2.42225022629806e-07,8.90695637394452e-07,2.82067762745644e-09,4.11868390649152e-05,4.35192190842438e-06,1.24216688963569e-07,5.42074269155116e-08,4.57887483503022e-08,1.11087485128124e-06,5.9388515204083e-05,8.51029829978343e-05,0.00247438627756365,1.81562341284676e-07,4.13922628105402e-05,1.56303050743521e-06,1.04525387349479e-06,3.05695699673118e-07,0.000181485286205144,8.31832344864651e-06,1.18617816853157e-06,1.18901427551862e-06,5.83020592479345e-07,3.64137443739353e-07,1.76700624216689e-09,4.74809412241177e-07,4.11136507832315e-06,1.61430006382559e-07,2.44870262916833e-07,4.95450602223145e-07,1.59842693587848e-06,0.000849543150483411,3.00414005480896e-07,2.45504085404552e-07,9.91161255114694e-09,1.09892996040725e-06,7.96564587210054e-05,3.59726857507133e-07,2.6940184455403e-05,7.9498853515136e-07,7.70844220752327e-07,2.26475130970886e-05,4.36762638857111e-08,2.32457079664553e-07,7.07263396153112e-08,1.72868062563373e-08,1.57901915600854e-07,3.46401835345764e-08,0.000149454474615386,1.42668580139599e-07,8.36859054631871e-06,1.0219883145984e-06,2.03069117303299e-05,1.58003943395226e-05,0
0.424069769020012,0.0037545337098253,0.0788548349158437,0.115909194528966,0.0811556901893008,0.00171360769320232,0.204246633814496,0.0756875487862731,0.00984843073115714,0.000558366551717609,0.00033694533293304,2.42225023464241e-07,8.90695640462787e-07,2.82067763717332e-09,4.11868392067987e-05,8.18753726142627e-06,1.2421668939148e-07,5.42074271022494e-08,1.42545237265101e-07,2.95549192029838e-06,5.93885154086691e-05,8.33179333288822e-05,0.00227678774967611,1.85815798110357e-07,1.25151123660843e-05,3.82481087926562e-06,2.3720951438486e-06,6.67151759207419e-07,0.000181485286830339,8.3183234773021e-06,2.49917166941192e-06,1.18901427961463e-06,5.83020594487779e-07,9.43446932212512e-07,1.76700624825401e-09,1.00987329784788e-06,5.37567476291834e-06,4.38028932812952e-07,3.47787246846297e-07,4.95450603929911e-07,3.45128291018557e-06,0.000672927964914843,8.35274596351641e-07,5.61254654571321e-07,9.91161258529122e-09,1.92540190247451e-06,7.9656458995412e-05,3.59726858746347e-07,2.69401845482086e-05,1.67991315990901e-06,7.7084422340779e-07,7.70160760989806e-06,4.36762640361704e-08,5.2659742032678e-07,7.07263398589547e-08,1.72868063158882e-08,3.66789062421395e-07,1.55211787985731e-08,0.000304213500590973,1.42668580631075e-07,8.90726699000719e-06,2.55597102553492e-06,4.13961409032021e-05,1.34778133173216e-05,3.58332729155642e-07
