"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Au","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.477450664106383,0.022194104083969,0.133257099937497,0.120310539221849,0.077401937992842,0.00147960693893127,0.0519711937299608,0.0779567905949412,0.0227489566860682,0.00915506793463722,0.00342159104627856,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000317190737533391,1.13744783430341e-06,4.36130013981489e-07,2.41013581693184e-07,5.64100145467546e-05,4.2538699494274e-05,9.15506793463722e-05,4.62377168416021e-07,5.82551027413589e-05,5.91842775572507e-06,2.89448107428429e-06,2.07144971450378e-06,0.000326733418503456,2.1264443098729e-05,6.65823122519071e-06,1.28526249037577e-06,4.80872255152662e-06,1.9285264738839e-08,1.10970520419845e-06,2.5338268829198e-05,1.15545829386915e-05,3.23664017891215e-07,3.35685824270031e-06,1.59982500271943e-05,3.13491720186062e-05,5.17862428625944e-05,8.13783816412198e-06,7.4257773247613e-06,1.47517387751613e-08,2.36737110229003e-05,0.000439555585821863,2.07395313932905e-07,2.49683670944651e-05,2.40063006014916e-07,8.32278903148838e-06,1.73970562318347e-05,0.000381923541111634,1.03572485725189e-06,1.03572485725189e-06,2.70953020691788e-06,1.52091567707263e-07,4.16139451574419e-07,5.45605058730905e-07,0.000328287789575375,1.07118572698067e-06,3.06093685491406e-05,2.31188584208011e-06,0.000106944628185729,0.000183101358692744,1.29387191183383e-07
0.476485783202645,0.0223022138759318,0.128417884372598,0.125064237464163,0.0773278915250826,0.0016167719255543,0.0504710001674464,0.0849682937104163,0.0188654186970393,0.00922945802073567,0.00270693813821376,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000212490024501422,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,7.1137964724389e-05,4.02580820267297e-05,8.40721401288234e-05,6.33691880467801e-07,5.82551027413589e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.03251327783969e-05,6.86769974355576e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.13212652597026e-06,2.12490024501422e-05,1.15545829386915e-05,3.50465288487205e-07,2.77160901523594e-06,1.38580450761797e-05,3.60309171980672e-05,4.83021876049122e-05,1.29341754044344e-05,7.99430221728032e-06,1.47517387751613e-08,2.40206114653781e-05,0.000439555585821863,2.07395313932905e-07,2.58683508088687e-05,2.40063006014916e-07,7.96632165368353e-06,1.73970562318347e-05,0.000376014956400342,1.1874638035217e-06,1.03791724178654e-06,2.90037120022338e-06,1.52091567707263e-07,4.03470611736904e-07,2.77160901523594e-06,0.000333516951500058,1.07118572698067e-06,2.956382949585e-05,2.32822121363587e-06,0.000100701794220239,0.000180154585990336,1.29259625114564e-07
0.473638084678714,0.0224458561598664,0.127239426883989,0.124011736814029,0.0777345774080241,0.0015999724415562,0.05151356358074,0.0836609867417188,0.0232319697872206,0.00938712155017074,0.00285775424532292,1.87492839497493e-07,1.34474640322717e-06,5.52369447790957e-09,0.000315925194240229,1.04544786055509e-06,4.36130013862254e-07,2.41013581627293e-07,5.30857908354484e-05,4.02580820157234e-05,9.33163117647516e-05,6.33691880294554e-07,5.88197961173261e-05,5.53110762108023e-06,2.90082212241343e-06,2.07977225701965e-06,0.000326733418414129,2.23811173905549e-05,6.86769974167818e-06,1.28526249002438e-06,4.87778161891725e-06,1.92852647335665e-08,1.13212652566075e-06,2.3860860689104e-05,1.15545829355326e-05,3.50465288391391e-07,2.91882107300406e-06,1.59072404594026e-05,3.08785252477769e-05,5.16985314930586e-05,1.06356549583215e-05,7.99430221509474e-06,1.47517387711283e-08,2.54330879438124e-05,0.000439555585701692,2.07395313876205e-07,2.99648017956189e-05,2.40063005949285e-07,7.9663216515056e-06,1.73970562270785e-05,0.000388340131912975,1.18746380319706e-06,1.03791724150278e-06,2.49706681630158e-06,1.52091567665683e-07,4.03470611626598e-07,7.31948801464109e-07,0.000339971022841652,1.07118572668782e-06,3.13520611380087e-05,2.32822121299935e-06,0.000104136934635392,0.000190054529907398,0
0.47356947724751,0.0230806028253337,0.128101980339804,0.124486946162342,0.0777345774292762,0.00160359208384849,0.0513520239567666,0.0824969337933615,0.0229879096412962,0.00908393203567351,0.00274371824750955,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000317010689408198,1.04544786084091e-06,9.26931840374848e-06,2.41013581693184e-07,6.39582969858645e-05,4.07850009764933e-05,3.15156825727448e-05,5.56159104224909e-06,5.19081830609915e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000537620467417412,2.13194323286215e-05,6.86769974355576e-06,1.11231820844982e-06,4.72735238591173e-06,3.70772736149939e-07,1.13212652597026e-06,3.80042054553688e-05,1.15545829386915e-05,3.50465288487205e-07,2.78079552112455e-06,1.94655686478718e-05,3.15156825727448e-05,5.56159104224909e-05,1.29770457652479e-05,7.41545472299879e-06,1.47517387751613e-08,2.68810233708706e-05,0.000259540915304957,2.07395313932905e-07,2.31732960093712e-05,2.78079552112455e-06,5.56159104224909e-06,1.76117049671221e-05,0.00039579989584006,1.1874638035217e-06,1.03791724178654e-06,3.33695462534945e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.000318864553088948,1.07118572698067e-06,3.24426144131197e-05,2.32822121363587e-06,0.000105670229802733,0.000206705800403591,6.66278473540061e-05
0.468507053668715,0.0214293855756182,0.130852000417492,0.122697455463938,0.0777345774292762,0.00151712464252164,0.0522459798768391,0.0890362524579889,0.0158349884563196,0.00929238843544506,0.00388763189646171,1.87492839548752e-07,2.27568696378246e-05,5.52369447941971e-09,0.00033661203005949,9.48202901576027e-07,1.80158551299445e-05,6.63742031103219e-07,5.63871077278558e-05,5.21511595866815e-05,5.78403769961376e-05,6.33691880467801e-07,7.2063420519778e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.1264443098729e-05,6.86769974355576e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.13212652597026e-06,2.77183843317975e-05,1.15545829386915e-05,3.50465288487205e-07,5.68921740945616e-06,6.06849857008657e-05,3.08785252562189e-05,3.03424928504329e-05,6.16331886024417e-05,7.99430221728032e-06,1.47517387751613e-08,2.33017496572763e-05,0.00284460870472808,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,7.96632165368353e-06,1.73970562318347e-05,0.000339456638764218,1.1874638035217e-06,1.03791724178654e-06,2.90037120022338e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.000292046493685416,1.07118572698067e-06,1.70676522283685e-05,2.32822121363587e-06,0.000104302319173363,0.000185772568196992,0.00186945207245237
0.47624574869706,0.0201987496529103,0.128975502370877,0.12165577199207,0.0777345774292762,0.00157513185366732,0.0517940415411783,0.0832040237996031,0.0239049422497746,0.00935813630708231,0.0026869896327266,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000328924592971705,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.18866963561e-05,4.72539556100196e-05,8.43158815786624e-05,6.33691880467801e-07,6.85645630419892e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,2.22371555811857e-05,6.86769974355576e-06,1.28526249037577e-06,4.8777816202508e-06,1.9285264738839e-08,1.13212652597026e-06,2.594334817805e-05,1.15545829386915e-05,3.50465288487205e-07,2.91882107380204e-06,1.57513185366732e-05,2.96495407749143e-05,5.00336000576678e-05,1.38982222382411e-05,7.99430221728032e-06,1.47517387751613e-08,2.40902518796178e-05,0.000439555585821863,2.07395313932905e-07,2.68698963272661e-05,2.40063006014916e-07,7.96632165368353e-06,1.73970562318347e-05,0.000364133422641916,1.1874638035217e-06,1.03791724178654e-06,2.77964444764821e-06,1.52091567707263e-07,4.03470611736904e-07,9.26548149216071e-07,0.000318732563330328,1.07118572698067e-06,2.87229926256982e-05,2.32822121363587e-06,9.91406519661196e-05,0.000178823792798702,3.40048168059326e-05
0.463055321456999,0.0230408268331746,0.128636842926914,0.124065990640171,0.0777345774292762,0.00149252319567123,0.0517718983498458,0.0903909360378389,0.0247199154283048,0.00951483537240409,0.0025186328926952,2.82646580180239e-06,1.34474640359482e-06,6.52978898106163e-08,0.000397384300847465,1.10073585680753e-06,4.6641349864726e-08,2.98504639134246e-07,6.05404721244143e-05,4.52421093687842e-05,8.339473355813e-05,4.19772148782534e-07,5.84882527303664e-05,6.45516282127807e-06,3.22758141063904e-06,2.25744133345274e-06,0.000326733418503456,2.25744133345274e-05,7.43463116843732e-06,1.28526249037577e-06,5.64360333363184e-06,1.9285264738839e-08,1.21267509648287e-06,2.64922867231643e-05,1.47386665572534e-05,3.82459068890753e-07,3.3022075704226e-06,1.67908859513013e-05,3.23690968061198e-05,4.86935692587739e-05,1.52983627556301e-05,7.63052483786917e-06,4.6641349864726e-08,2.32273922326335e-05,0.000193095188439965,1.11939239675342e-07,1.80968437475137e-05,3.81526241893458e-06,9.020437063838e-06,1.85632572461609e-05,0.000381526241893458,1.66043205518424e-06,1.11939239675342e-06,3.46078815996267e-06,1.77237129485959e-07,4.29100418755479e-07,4.6641349864726e-07,0.000291974850153184,5.84882527303663e-06,3.67533836934041e-05,2.76116791199178e-06,0.000111939239675342,0.000195893669431849,0.000564018166269609
0.474017407940631,0.0230051501309739,0.127084901933202,0.120591512783331,0.0777345774292762,0.0015769659363974,0.054637231561063,0.0834864319269213,0.0231906755352559,0.00927627021410237,0.00269011836208969,1.87492839548752e-07,1.34474640359482e-06,5.52369447941971e-09,0.000302406408979737,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.33385537310886e-05,4.17432159634607e-05,8.34864319269214e-05,1.85525404282047e-07,5.75128753274347e-05,5.38023672417938e-06,2.59735565994866e-06,2.04077944710252e-06,0.000326733418503456,2.1264443098729e-05,5.93681293702552e-06,1.28526249037577e-06,4.63813510705119e-06,1.9285264738839e-08,1.10387615547818e-06,2.45821160673713e-05,1.15545829386915e-05,3.24669457493583e-07,1.85525404282047e-06,1.39144053211536e-05,2.99623527915507e-05,4.82366051133323e-05,1.20591512783331e-05,7.00358401164729e-06,1.47517387751613e-08,2.31906755352559e-05,0.000439555585821863,9.27627021410237e-08,2.59735565994866e-05,2.40063006014916e-07,7.79206697984599e-06,1.39144053211536e-05,0.000364557419414223,1.02038972355126e-06,9.92560912908954e-07,2.78288106423071e-06,1.52091567707263e-07,4.08155889420504e-07,5.56576212846142e-07,0.000315393187279481,1.39144053211536e-06,2.7364997131602e-05,2.22630485138457e-06,0.000111315242569228,0.000181814896196406,0.000125580543568482
0.471948833144413,0.0227710721050223,0.128546374786416,0.123037244438427,0.0789642016545127,0.00156092026526362,0.052336738305898,0.0841060566459694,0.022036521391957,0.00927370275244859,0.00275456517399463,1.46910142613047e-07,1.34474640359482e-06,5.52369447941971e-09,0.000312184053052725,8.26369552198389e-07,4.36130013981489e-07,2.41013581693184e-07,5.69276802625557e-05,5.69276802625557e-05,0.00010100072304647,4.77457963492403e-07,5.87640570452188e-05,5.78458686538872e-06,2.84638401312778e-06,2.11183330006255e-06,0.000326733418503456,2.11183330006255e-05,7.25368829151919e-06,1.28526249037577e-06,4.86639847405718e-06,1.9285264738839e-08,1.10182606959785e-06,2.57092749572832e-05,1.15545829386915e-05,3.58093472619302e-07,3.30547820879356e-06,1.74455794352993e-05,3.2136593696604e-05,5.14185499145664e-05,1.19364490873101e-05,7.4373259697855e-06,1.47517387751613e-08,2.47910865659517e-05,0.000439555585821863,2.07395313932905e-07,2.57092749572832e-05,2.40063006014916e-07,8.26369552198389e-06,1.74455794352993e-05,0.000364520791358623,1.10182606959785e-06,1.10182606959785e-06,2.93820285226094e-06,1.56092026526362e-07,4.13184776099195e-07,6.06004338278819e-07,0.00032136593696604,1.07118572698067e-06,3.12184053052725e-05,2.57092749572832e-06,0.00010100072304647,0.000195574127353619,1.14744000634381e-07
0.478076500465249,0.0219933828674071,0.127673451391304,0.122081913374167,0.0777345774292762,0.0015842691048556,0.0497646883525229,0.0829411472542049,0.0232980750714059,0.00894646082741985,0.00279576900856871,1.87492839548752e-07,1.21149990371311e-06,5.52369447941971e-09,0.000314989974965407,1.04544786084091e-06,4.36130013981489e-07,2.41013581693184e-07,5.12557651570929e-05,3.54130741085369e-05,7.921345524278e-05,6.33691880467801e-07,6.80303792085052e-05,5.53110762259239e-06,2.90082212320649e-06,2.07977225758825e-06,0.000326733418503456,1.95703830599809e-05,6.86769974355576e-06,1.28526249037577e-06,4.19365351285306e-06,1.9285264738839e-08,1.13212652597026e-06,3.1685382097112e-05,1.30469220399873e-05,3.50465288487205e-07,2.05023060628372e-06,1.5842691048556e-05,3.54130741085369e-05,4.93919191513805e-05,1.21149990371311e-05,7.99430221728032e-06,1.47517387751613e-08,2.05023060628372e-05,0.000439555585821863,2.07395313932905e-07,2.57118855365775e-05,2.40063006014916e-07,7.96632165368353e-06,1.73970562318347e-05,0.000394203430208187,1.1874638035217e-06,1.03791724178654e-06,3.54130741085369e-06,1.52091567707263e-07,4.03470611736904e-07,7.31948801664219e-07,0.00028703228487972,3.1685382097112e-06,3.07534590942558e-05,2.32822121363587e-06,0.000102511530314186,0.000190112292582672,0.000490138567157961
