"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.695624311099959,0.00315297138175619,0.144839622849425,0.0294605763482844,0.0246325889199702,0.000689712489759167,0.0102471569907076,0.013203067661104,0.0451269029013855,0.0296576370596442,0.0015764856908781,2.00790902961928e-07,3.94121422719524e-06,3.15297138175619e-05,0.000291649852812448,1.87207675791774e-06,1.97060711359762e-07,2.40363161722974e-06,4.24700925314222e-07,4.10871583185104e-05,0.000162575086871804,6.40447311919226e-06,3.05444102607631e-05,3.26135477300406e-06,1.67501604655798e-05,2.66031960335679e-06,1.37942497951833e-06,8.17801952143012e-07,0.0004138274938555,1.86222372234975e-05,3.15297138175619e-06,2.13320000909633e-06,2.46325889199702e-06,2.5617892476769e-08,4.82798742831417e-07,2.1479617538214e-05,5.03490117524192e-05,1.97060711359762e-07,2.95591067039643e-07,1.25133551713449e-05,1.61589783315005e-05,1.67501604655798e-05,9.85303556798809e-06,4.6309267169544e-06,0.000157648569087809,8.86773201118928e-05,5.91182134079286e-07,5.91182134079286e-06,6.0399108031767e-06,4.03974458287512e-06,3.89503733156214e-06,9.55744450094845e-05,1.08383391247869e-06,4.82798742831417e-07,7.31095239144717e-06,7.88242845439048e-07,2.0691374692775e-07,3.02488191937234e-06,3.35003209311595e-05,1.87207675791774e-06,1.62382027461376e-05,1.28089462383845e-06,4.03974458287512e-05,0.000149766140633419,1.32420940879285e-09
0.694458306436001,0.00299636835798648,0.145723381143409,0.0293644099082675,0.025184487401787,0.000809019456656351,0.0104872892529527,0.0131840207751405,0.0451452832603297,0.0290647730724689,0.00157808733520621,2.00790902961928e-07,3.99515781064865e-06,2.32602804831986e-05,0.000294642888535338,1.4905906957054e-06,1.99757890532432e-06,2.40363161722974e-06,1.99757890532432e-06,3.79539992011621e-05,0.000221675926589344,5.99273671597297e-06,2.39709468638919e-05,4.05172345145459e-06,3.99515781064865e-06,2.62556018256128e-06,1.49331851514417e-06,7.33980568851159e-07,0.000490639696524777,1.99757890532432e-05,3.62503897665539e-06,9.98789452662161e-07,3.31372704583567e-06,3.28924425721173e-08,5.43152134862063e-07,2.19733679585676e-05,5.05605810840142e-05,2.13478088355203e-07,1.99757890532432e-06,1.39830523372703e-05,1.60718775255607e-05,1.49818417899324e-05,1.59806312425946e-05,4.53508104601453e-06,0.000147820838994,4.99394726331081e-05,7.64137531770901e-07,6.19075150774434e-06,3.82174947445523e-07,3.46365219731712e-06,9.98789452662161e-07,8.88922612869323e-05,1.566721521765e-06,4.89845747763297e-07,6.99152616863513e-06,7.76833353465752e-07,2.04970806505737e-07,9.98789452662161e-07,2.79661046745405e-05,2.89467124862513e-06,1.59806312425946e-05,1.44101133161168e-06,6.69188933283648e-05,0.000122851102677446,0.000163134417421329
0.691649039101872,0.00317088384688537,0.1476442791206,0.0309161175071324,0.0251844874013195,0.000594540721291007,0.00980992190130162,0.0122871749066808,0.0447887343372559,0.0303215767858414,0.00158544192344269,2.04125647643246e-06,2.00162042834639e-05,1.04044626225926e-05,0.00036564254359397,1.28817156279718e-06,1.18908144258201e-05,2.40363161718513e-06,6.93630841506175e-08,4.15507196313687e-05,0.00022167592658523,2.7745233660247e-06,5.34095747959755e-05,4.05172345137939e-06,1.34762563492628e-05,2.62556018251255e-06,1.49331851511645e-06,7.33980568837536e-07,0.000490639696515671,1.72335114908106e-05,3.62503897658811e-06,5.15268625118873e-06,3.31372704577417e-06,3.28924425715068e-08,5.43152134851983e-07,2.28275790430966e-05,6.07422436918979e-05,2.13478088351241e-07,1.32780761088325e-06,1.7142590797224e-05,1.60718775252624e-05,1.09990033438836e-05,2.98261261847655e-05,4.53508104593036e-06,0.000148958448509336,0,7.92720961721343e-07,6.19075150762944e-06,1.04044626225926e-06,3.46365219725284e-06,2.7745233660247e-06,8.86856575925753e-05,1.56672152173592e-06,4.89845747754205e-07,7.60144253177681e-06,7.76833353451334e-07,2.04970806501933e-07,1.38726168301235e-06,4.21133010914463e-05,1.88271228408819e-06,2.23943671686279e-05,1.44101133158493e-06,5.23195834736086e-05,0.000223943671686279,0
0.693718093446794,0.00317461513469799,0.143763292275383,0.0304723245844678,0.025184487401787,0.000776238183405777,0.0103697459885746,0.0135344093516905,0.0459572811662549,0.0294373403399268,0.00167189762579706,2.00790902961928e-07,3.58263776956513e-06,2.32602804831986e-05,0.000350003806543349,1.4905906957054e-06,9.70620743226599e-07,2.40363161722974e-06,4.24700925314222e-07,4.15507196321399e-05,0.000221675926589344,5.5729920859902e-06,3.84138383070039e-05,4.05172345145459e-06,1.4131515646618e-05,2.62556018256128e-06,1.49331851514417e-06,7.33980568851159e-07,0.000490639696524777,1.62213876788643e-05,3.62503897665539e-06,2.13320000909633e-06,3.31372704583567e-06,3.28924425721173e-08,5.43152134862063e-07,2.28275790435202e-05,5.05605810840142e-05,2.13478088355203e-07,1.06796367200135e-06,1.06483955928741e-05,1.60718775255607e-05,1.58233168155793e-05,8.5585235606278e-06,4.53508104601453e-06,0.000149774162310987,2.38842517971008e-05,7.64137531770901e-07,3.98070863285014e-06,3.82174947445523e-07,3.46365219731712e-06,3.89503733156214e-06,8.77746253543456e-05,1.566721521765e-06,4.89845747763297e-07,6.46865152838148e-06,7.76833353465752e-07,2.04970806505737e-07,2.98553147463761e-06,3.30398816526562e-05,2.89467124862513e-06,1.60223522472218e-05,1.44101133161168e-06,3.86128737386464e-05,0.000133950845495407,6.84990350697801e-05
0.694493267835647,0.00306903653640842,0.144541720746977,0.0299973571139274,0.0251844874010219,0.00069300825015674,0.0100981202165696,0.0131671567529781,0.0455405421531572,0.029700353578146,0.00168302003609494,2.00790902955829e-07,2.92559876600691e-06,2.3260280482492e-05,0.000351291991689928,1.38601650031348e-06,9.70620743197114e-07,2.40363161715672e-06,4.24700925301321e-07,4.42535268314375e-05,0.00022167592658261,6.44636081445138e-06,3.52556914213763e-05,4.0517234513315e-06,1.53198701685863e-05,2.8611340613614e-06,1.55431850392297e-06,7.4250883945365e-07,0.000490639696509873,1.72335114906069e-05,3.28683912931482e-06,2.13320000903153e-06,3.06903653640842e-06,3.28924425711181e-08,5.64306717984774e-07,2.22752651836095e-05,5.05605810824783e-05,2.27702710765786e-07,1.06796367196891e-06,1.259778100201e-05,1.72262050753247e-05,1.60223264764777e-05,9.27004034049261e-06,4.76195669036274e-06,0.000146521744318854,0,7.64137531747688e-07,6.23707425141066e-06,3.82174947433913e-07,3.62344313653381e-06,3.89503733144381e-06,9.11530059244287e-05,1.5667215217174e-06,4.89845747748416e-07,7.60144253168697e-06,7.76833353442153e-07,2.0497080649951e-07,0,3.67604937682501e-05,2.8946712485372e-06,1.50481791462606e-05,1.49491779676668e-06,4.05894270862824e-05,0.000105931261095387,0
0.696175035539569,0.00288250657205133,0.145815073834459,0.030117223839019,0.025184487401787,0.000695777448426183,0.00993967783465975,0.0134185650767907,0.0432375985807699,0.0289244624988599,0.00159034845354556,2.00790902961928e-07,2.98190335039793e-06,2.32602804831986e-05,0.000345900788646159,1.4905906957054e-06,9.70620743226599e-07,2.40363161722974e-06,4.24700925314222e-07,5.66561636575606e-05,0.000221675926589344,7.9517422677278e-06,3.8764743555173e-05,1.98793556693195e-05,1.88853878858535e-05,2.62556018256128e-06,1.49331851514417e-06,7.33980568851159e-07,0.000490639696524777,1.68974523189216e-05,3.62503897665539e-06,2.13320000909633e-06,3.31372704583567e-06,3.28924425721173e-08,5.43152134862063e-07,3.37949046378432e-05,5.05605810840142e-05,2.13478088355203e-07,1.06796367200135e-06,1.39155489685236e-05,2.18672912362515e-05,1.09336456181257e-05,1.68974523189216e-05,4.53508104601453e-06,0.000155058974220692,0,7.64137531770901e-07,6.19075150774434e-06,3.82174947445523e-07,3.46365219731712e-06,3.89503733156214e-06,9.34329716458017e-05,7.9517422677278e-06,4.89845747763297e-07,1.68974523189216e-05,7.76833353465752e-07,2.04970806505737e-07,8.94571005119377e-06,4.47285502559689e-05,3.18069690709112e-05,1.88853878858535e-05,1.44101133161168e-06,4.37345824725029e-05,0.000126233908500179,3.66876642399205e-05
0.695796030866103,0.00299395882472505,0.142911634566876,0.0318357621695764,0.025184487401787,0.000598791764945011,0.0101794600040652,0.0135726133387536,0.0452087782533483,0.0282430115799063,0.00149697941236253,2.00790902961928e-07,2.33528788328554e-06,2.32602804831986e-05,0.00035129116876774,1.26744256913361e-06,1.89617392232587e-07,2.40363161722974e-06,4.98993137454176e-08,4.28136111935683e-05,0.000221675926589344,5.45898492374868e-06,3.37319360919023e-05,2.57480458926355e-06,1.54687872610794e-05,2.43608449705129e-06,1.44708009861711e-06,7.18550117934013e-07,0.000490639696524777,1.80635515758412e-05,2.89416019723422e-06,1.88619405957678e-06,3.26341511895031e-06,3.28924425721173e-08,5.02985082553809e-07,2.22950133814526e-05,5.05605810840142e-05,2.46502609902363e-07,3.3931533346884e-07,1.07283524552648e-05,1.62771561437552e-05,1.7564558438387e-05,7.82421239528148e-06,4.43105906059308e-06,0.000147202975548982,0,6.38711215941345e-07,4.59073686457842e-06,3.82174947445523e-07,3.49295196217923e-06,4.4809583743385e-06,9.03177578792058e-05,1.43710023586803e-06,4.89013274705092e-07,6.93600461061304e-06,7.76833353465752e-07,2.14567049105296e-07,2.91411992273239e-06,3.46301237393198e-05,1.85625447132953e-06,1.51693913786069e-05,1.43510426331821e-06,3.40313319743748e-05,0.000130736202012994,0.000141856034689081
0.6546,0.0035,0.153,0.0279,0.025184487401787,7e-04,0.0089,0.0114,0.047,0.0299,0.00158262859598576,2.00790902961928e-07,2.95e-06,2.32602804831986e-05,0.000361,1.4905906957054e-06,9.70620743226599e-07,1.18e-06,4.24700925314222e-07,4.18e-05,0.000342,5.85e-06,3.22e-05,2.76e-06,1.53198701690517e-05,2.99e-06,1.49331851514417e-06,7.4e-07,0.000490639696524777,1.72335114911304e-05,3.62503897665539e-06,2.13320000909633e-06,3.61e-06,3.28924425721173e-08,5.43152134862063e-07,2.13e-05,5.05605810840142e-05,2.1e-07,1.06796367200135e-06,1.25977810023927e-05,1.63e-05,1.60223264769644e-05,9.27004034077422e-06,4.53508104601453e-06,0.00015,0,6.9e-07,6.13e-06,3.82174947445523e-07,3.57e-06,3.89503733156214e-06,0.000106,1.36e-06,4.6e-07,6.93e-06,7.76833353465752e-07,2.04970806505737e-07,2.72e-06,3.49e-05,2.07e-06,1.62382027461376e-05,1.39e-06,4.05894270875154e-05,0.000151,0.0343172659183189
0.691798840743221,0.00318312507115876,0.143638518836039,0.0318312507115876,0.024470273984533,0.00069630860931598,0.0107430471151608,0.0133293362354773,0.0456579502394335,0.029642852225166,0.00169103519405309,2.00790902961928e-07,2.92559876609578e-06,2.32602804831986e-05,0.000361085750259572,1.4905906957054e-06,9.70620743226599e-07,2.40363161722974e-06,4.24700925314222e-07,4.13806259250639e-05,0.000221675926589344,5.96835950842268e-06,4.07837899742217e-05,4.05172345145459e-06,1.59156253557938e-05,2.88470709573763e-06,1.49331851514417e-06,7.55992204400206e-07,0.000490639696524777,1.72335114911304e-05,3.61085750259572e-06,2.13320000909633e-06,3.31372704583567e-06,3.28924425721173e-08,5.96835950842268e-07,2.17845122057428e-05,5.05605810840142e-05,2.38734380336907e-07,1.06796367200135e-06,1.29314456015825e-05,1.68108792820572e-05,1.60223264769644e-05,9.27004034077422e-06,4.53508104601453e-06,0.00014125117503267,0,7.64137531770901e-07,6.19075150774434e-06,3.82174947445523e-07,3.39201765395356e-06,3.89503733156214e-06,9.25095723805516e-05,1.566721521765e-06,4.89845747763297e-07,7.60144253191789e-06,7.76833353465752e-07,2.04970806505737e-07,0,3.87943368047474e-05,2.89467124862513e-06,1.79050785252681e-05,1.54182620634253e-06,3.68048836352732e-05,0.000138266995278459,0.00144377424473818
0.697141529752096,0.00315448655996423,0.145007804053356,0.0302633554346569,0.0251844873997757,0.000690043934992176,0.00926630426989493,0.0137023009948446,0.042684146264516,0.0295733114996647,0.00147866557498323,2.00790902945893e-07,2.95733114996647e-06,2.3260280481341e-05,0.000347979298646054,1.49059069558636e-06,9.70620743149084e-07,2.40363161703778e-06,4.24700925280305e-07,4.15507196288216e-05,0.00022167592657164,6.4463608141324e-06,3.54879737995976e-05,4.05172345113101e-06,1.87297639497876e-05,2.6255601823516e-06,1.49331851502491e-06,7.33980568792542e-07,0.000490639696485594,1.675820984981e-05,3.62503897636589e-06,2.13320000892597e-06,3.31372704557103e-06,3.28924425694904e-08,5.43152134818686e-07,2.28275790416972e-05,5.05605810799764e-05,2.13478088338154e-07,1.06796367191606e-06,1.18293245998659e-05,1.60718775242772e-05,1.87297639497876e-05,7.88621639991058e-06,4.53508104565235e-06,0.000151809665698279,0,7.64137531709876e-07,6.19075150724994e-06,3.82174947415002e-07,3.46365219704051e-06,3.89503733125107e-06,8.57626033490276e-05,1.56672152163987e-06,4.89845747724177e-07,1.08435475498771e-05,7.76833353403713e-07,2.04970806489367e-07,0,3.64737508495864e-05,2.89467124839396e-06,2.07013180497653e-05,1.44101133149659e-06,3.15448655996423e-05,0.000131108347648513,0
