"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.5128,0.0034,0.2226,0.0267,0.00945465629583842,0.0013,0.0024,0.0228,0.068,0.0917,5e-04,2.60810053327138e-07,2.5e-05,6.07883658571231e-05,0.000438,8.10553990510511e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.00031,0.00167123773202981,2.21495443888573e-06,4.4e-05,1.34782795392636e-05,5.7170236853051e-06,4.15530768680767e-06,2.13289340950825e-06,2.62123308036634e-06,0.00398067833222638,2.2e-05,7.75749266762371e-06,1.3089644353539e-06,9.76486277427146e-06,6.05884556459638e-07,7.56086875100028e-07,2.22590196833945e-08,0.000201,5.46009871509126e-05,3.09069672701858e-07,4.203306130714e-06,3.5e-05,8.8772742137406e-05,2e-06,0.000121,2.74896573145683e-05,2e-04,0.000546960422178146,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.15208418052215e-05,2.06405971588609e-06,0.001756,2.02037998773811e-06,9.00111131564421e-07,4.76904932672297e-07,6.1e-05,2.13064679858618e-06,3.19296451559375e-07,1.3e-05,2.3e-05,7.03793773397355e-06,2.4e-05,2.00476709557621e-06,8.2e-05,0.000556,0.0278995727853141
0.5311,0.0028,0.224,0.0178,0.00945465629583842,0.001,0.0027,0.0213,0.073,0.0928,4e-04,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000678,8.27e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.0002935,0.00167123773202981,2.7e-05,2.6e-05,1.34782795392636e-05,2e-06,4.55e-06,2.03e-06,2.57e-06,0.00398067833222638,2.8e-05,7.56e-06,1.02e-06,9.89e-06,6.05884556459638e-07,7.3e-07,2.22590196833945e-08,0.0001681,5.46009871509126e-05,3.3e-07,4.59e-06,3.3e-05,9.052e-05,7e-06,7.1e-05,2.985e-05,0.000213,0.000546960422178146,3.31974704415508e-06,4e-06,6.6684449715962e-07,1.11e-05,2.06405971588609e-06,0.001657,1.44e-06,1.02e-06,4.76904932672297e-07,1.3e-05,2.13064679858618e-06,3.2e-07,1.284e-05,2.5e-05,6.28e-06,2.5e-05,2.07e-06,8.1e-05,0.000554,0.0131778567103464
0.5221,0.0034,0.2206,0.02715,0.00945465629583842,0.00141,0.00143,0.02265,0.06804,0.08942,0.00029,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000456,9.02e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.0003072,0.00167123773202981,1.51e-06,3.456e-05,1.501e-05,1.49e-06,4.22e-06,2.09e-06,2.56e-06,0.00398067833222638,2.143e-05,5.63e-06,1.3089644353539e-06,9.33e-06,6.05884556459638e-07,7.6e-07,2.22590196833945e-08,0.0001723,6.915e-05,3e-07,5.28e-06,4.85e-05,9.42e-05,1.91e-06,9.2e-05,3.062e-05,0.0001849,0.000546960422178146,3.31974704415508e-06,6.9e-07,6.6684449715962e-07,1.147e-05,2.06405971588609e-06,0.001772,2.3e-06,8.1e-07,4.76904932672297e-07,6.38e-05,2.13064679858618e-06,3.19296451559375e-07,1.405e-05,2.826e-05,7.03793773397355e-06,2.762e-05,2.12e-06,0.0001027,0.000579,0.0235750597784158
0.514668380059563,0.00358199067331925,0.221433961828165,0.0303474209822881,0.00945465354647515,0.00139299637295749,0.00368149041424479,0.027163429272671,0.0752218041397043,0.102484733153301,0.000380120535030097,2.60809977484975e-07,2.26200237649899e-05,6.07883481801928e-05,0.000425858891161289,8.10553754805763e-06,1.07186377493164e-06,3.53250319392115e-06,3.91319451209409e-07,0.000204969466306602,0.00167123724604286,1.27359668384685e-06,3.5919406474118e-05,1.1541969947362e-05,4.20883904115012e-06,3.63174054378202e-06,1.81089528484473e-06,2.17904432626921e-06,0.00398067717466649,2.14823600297066e-05,6.5669829010853e-06,1.30896405471408e-06,9.7648599347018e-06,6.05884380271662e-07,7.56086655234025e-07,2.22590132105911e-08,0.000111439709836599,5.84063479232889e-05,2.48749352313837e-07,4.20330490841515e-06,3.77641965638522e-05,7.69132997354384e-05,1.77109538847452e-06,9.66142484386943e-05,2.38799378221284e-05,0.000198004484441814,0.000546960263124992,3.31974607879046e-06,1.37148655688654e-06,6.66844303244821e-07,9.8803242739056e-06,2.06405911566861e-06,0.00176512540401899,2.02037940022245e-06,6.66648264201083e-07,4.76904793990903e-07,5.48243572499697e-05,2.13064617900554e-06,2.5869932640639e-07,1.10444712427344e-05,2.48749352313837e-05,7.03793568737905e-06,1.81089528484473e-05,1.74124546619686e-06,9.37287559518538e-05,0.00055288551541702,0
0.5391,0.0031,0.2109,0.0233,0.00945465629583842,0.0012,1e-04,0.0258,0.0759,0.0854,4e-04,1.3e-07,2.62e-05,6.07883658571231e-05,0.00042,7.9e-06,1.07186408662396e-06,3.53250422115441e-06,2e-07,0.000265,0.00167123773202981,5.2e-06,7.44e-05,1.26e-05,7.7e-06,4.1e-06,2e-06,2.4e-06,0.00398067833222638,3.3e-05,6.8e-06,5.9e-06,5.2e-06,6.05884556459638e-07,7.3e-07,2.22590196833945e-08,0.000147,5.46009871509126e-05,2.3e-07,1e-05,4.71e-05,8.45e-05,7.26e-05,0.000139,2.72e-05,0.000227,0.000546960422178146,4.7e-06,9.6e-06,1e-06,1.07e-05,2.2e-06,0.002172,2.3e-06,8e-07,4.76904932672297e-07,5.4e-05,1.1e-06,3.1e-07,1.27e-05,2.7e-05,7.03793773397355e-06,7.8e-05,2.1e-06,9.2e-05,0.000782,0.0141317305101686
0.514,0.00339,0.223,0.0261,0.00945465629583842,0.00136,0.00171,0.0224,0.0676,0.0902,0.00038,2.60810053327138e-07,2.14e-05,6.07883658571231e-05,0.00043,8.5e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.000289,0.001596,2.21495443888573e-06,3.88e-05,1.18e-05,5.7170236853051e-06,3.84e-06,1.8e-06,2.62e-06,0.004484,1.94e-05,6.33e-06,1.3089644353539e-06,9.47e-06,6.05884556459638e-07,7.47e-07,2.22590196833945e-08,0.000163,5.46009871509126e-05,2.9e-07,3.42e-06,4.24e-05,8.57e-05,4.42562150940095e-06,0.000114,2.64e-05,0.000184,0.000579,2.5e-06,1.37148695570758e-06,6.6684449715962e-07,1.2e-05,2.2e-06,0.001686,1.79e-06,8.05e-07,4.76904932672297e-07,6.02e-05,2.13064679858618e-06,2.89e-07,1.22e-05,1.22e-05,5.73e-06,1.87e-05,1.77e-06,7.86e-05,0.000569,0.0296798562623982
0.5217,0.0031,0.2272,0.0253,0.00945465629583842,0.0013,0.00201882644469575,0.0208,0.0645,0.0937,2e-04,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000347,6.82e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.00029845,0.00167123773202981,2.21495443888573e-06,4.39806384446969e-05,1.34782795392636e-05,5.7170236853051e-06,4.25e-06,2.29e-06,2.66e-06,0.00398067833222638,2.6e-05,1.066e-05,9.4e-07,7.24e-06,6.05884556459638e-07,6.9e-07,2.22590196833945e-08,0.00016255,5.46009871509126e-05,3.3e-07,4.203306130714e-06,4.3e-05,9.263e-05,1.1e-05,0.00012,2.759e-05,0.000164,0.000546960422178146,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.165e-05,1.75e-06,0.001672,5.19e-06,1.09e-06,4.76904932672297e-07,7e-05,2.13064679858618e-06,3.4e-07,1.182e-05,2.3e-05,7.03793773397355e-06,3.3e-05,2.1e-06,9e-05,0.000566,0.0204831089779772
0.5147,0.00346,0.2248,0.0266,0.00945465629583842,0.00124,0.0025,0.0228,0.0685,0.0909,0.00034,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000447,8.10553990510511e-06,1.07186408662396e-06,8e-06,6e-06,0.000286,0.0021,2.21495443888573e-06,4.8e-05,1.34782795392636e-05,2e-06,4.15530768680767e-06,2.13289340950825e-06,2.62123308036634e-06,0.00405,2.2e-05,7.75749266762371e-06,1.3089644353539e-06,1.2e-05,6.05884556459638e-07,7.56086875100028e-07,2.22590196833945e-08,0.00016,5.46009871509126e-05,3.09069672701858e-07,3e-06,3.3e-05,8.4e-05,7e-06,0.00011,3.1e-05,0.000182,0.001661,9e-06,1e-05,6.6684449715962e-07,1.6e-05,2.06405971588609e-06,0.001698,7e-06,9.00111131564421e-07,4.76904932672297e-07,3.9e-05,2.13064679858618e-06,3.19296451559375e-07,9e-06,2.3e-05,7.03793773397355e-06,2.8e-05,2.00476709557621e-06,9.1e-05,0.000547,0.022776933113027
0.444,0.0035,0.234,0.0201,0.00945465629583842,0.001,0.0012,0.0335,0.0695,0.0827,3e-04,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000369,8.10553990510511e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.000246,0.001206,2.21495443888573e-06,4.2e-05,1.34782795392636e-05,4e-06,4.15530768680767e-06,2.13289340950825e-06,2.62123308036634e-06,0.00398067833222638,2.2e-05,7.75749266762371e-06,1.3089644353539e-06,9.76486277427146e-06,6.05884556459638e-07,7.56086875100028e-07,2.22590196833945e-08,0.000153,5.46009871509126e-05,3.09069672701858e-07,4.203306130714e-06,4.2e-05,8.8772742137406e-05,4.42562150940095e-06,5.8e-05,2.74896573145683e-05,0.000186,0.000905,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.15208418052215e-05,5e-06,0.001692,2.02037998773811e-06,9.00111131564421e-07,4.76904932672297e-07,3.6e-05,2.13064679858618e-06,3.19296451559375e-07,1e-05,2.81785398688409e-05,7.03793773397355e-06,2.9e-05,2.00476709557621e-06,8.3e-05,0.000551,0.0907443278312023
0.338,0.0442,0.087,0.0933,0.00945465629583842,0.0073,0.00201882644469575,0.0389,0.0699475424536109,0.251,0.0125,7.7e-07,2.2e-05,6.07883658571231e-05,0.00031787,8.10553990510511e-06,1.07186408662396e-06,3.53250422115441e-06,2.4e-06,0.000283214729352245,0.001138,2.21495443888573e-06,0.000144,4.553e-05,2.09e-06,4.15530768680767e-06,2.13289340950825e-06,2.62123308036634e-06,0.00398067833222638,2.14823662766633e-05,7.75749266762371e-06,1.3089644353539e-06,9.76486277427146e-06,6.05884556459638e-07,7.56086875100028e-07,2.22590196833945e-08,0.000161190382885554,5.46009871509126e-05,3.09069672701858e-07,1.32e-06,5.62e-06,8.8772742137406e-05,4.42562150940095e-06,1.944e-05,2.74896573145683e-05,0.000204,0.000498,1.77e-05,1.37148695570758e-06,6.6684449715962e-07,1.15208418052215e-05,6.47e-06,1.276e-05,2.02037998773811e-06,9.00111131564421e-07,5.3e-05,3.67e-06,0.00049641,3.19296451559375e-07,2.71e-06,0.000184,0.000126,1.5e-05,2.00476709557621e-06,8.033e-05,6.862e-05,0.0381626489763905
