"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.615248606510555,0.00767605122633832,0.144884253867549,0.0568668270370955,0.043877122756335,0.00135859313740501,0.0220286172993527,0.0435720227639179,0.0345470826368703,0.0262014390785252,0.00171764989514776,0,2.07438360666028e-06,3.71727559863647e-05,0.000344500402699128,2.48725995218438e-06,2.42605917393752e-06,1.45563550436251e-06,2.13493207306502e-07,5.14324544874754e-05,0.000143622703097101,1.55267787132001e-05,5.43437254962005e-05,2.9602718056674e-06,2.52310154089502e-05,7.08005657955129e-06,4.75892848951672e-06,1.60057939091304e-06,0.000417282177917254,1.74676260523502e-05,7.12000620443058e-06,7.76338935660007e-07,4.65803361396004e-06,1.54452577837505e-06,3.10535574264003e-05,3.19901025621253e-05,6.72409968610096e-07,2.13493207306502e-06,1.06746603653251e-05,2.62014390785252e-05,2.42605917393752e-05,1.74676260523502e-05,8.73381302617508e-06,9.89832142966509e-05,8.3985628383234e-05,2.03788970610752e-06,1.7869026662542e-05,4.07577941221504e-06,1.94084733915002e-06,0.000102864908974951,1.64972023827751e-06,1.20439908611474e-06,8.73381302617508e-06,3.88169467830003e-07,6.94042016273132e-07,8.73381302617508e-07,7.66634698964257e-05,5.33733018266255e-06,4.56099124700254e-05,4.0003760887796e-06,6.89000805398256e-05,0.000191173462906277,5.77547333613371e-06
0.600509642149647,0.00757924791062662,0.150613259762452,0.0602453039049808,0.043877122756335,0.00137009481461327,0.0240009517169843,0.0466415256038561,0.0352726537379162,0.0262358581521691,0.0017490572101446,0,2.07438360666028e-06,3.71727559863647e-05,0.000369245411030527,2.48725995218438e-06,3.55913036773056e-07,1.51469879353573e-06,3.20317390391791e-07,5.92736054549005e-05,0.000208308637968097,1.18547210909801e-05,5.34434147544184e-05,1.87537800865505e-06,2.42924612520084e-05,7.21971948409689e-06,4.10056745933902e-06,1.48669862862291e-06,0.000223691839296469,1.61737279267271e-05,6.18000214251093e-06,1.67118411597478e-06,4.75160542089284e-06,1.56443450462934e-06,2.22518945068397e-05,3.19901025621253e-05,6.60754946054628e-07,1.11745321759239e-06,1.04943432608676e-05,2.56528390821209e-05,1.94339690016067e-05,1.24377401610283e-05,6.21887008051415e-06,9.19226733775997e-05,8.3985628383234e-05,2.62358581521691e-07,1.92396293115906e-05,6.33547389452379e-06,1.80735911714942e-06,8.25943682568285e-05,9.13396543075515e-07,1.13688718659399e-06,7.38490822061055e-06,4.38322604097104e-07,6.60754946054628e-07,1.84622705515264e-06,8.06509713566678e-05,1.4381137061189e-06,4.37264302536151e-05,4.08113349033741e-06,6.80188915056235e-05,0.00017490572101446,6.46163273466671e-05
0.614014558567505,0.00764373623177322,0.143779646081203,0.0568926190415526,0.0447013435326485,0.00144166670700533,0.022640940230822,0.0440240504488205,0.0349289718945586,0.0264144302692923,0.00168355709408676,0,2.07438360666028e-06,3.71727559863647e-05,0.000333808734172375,2.48725995218438e-06,3.55913036773056e-07,1.51469879353573e-06,3.20317390391791e-07,5.4086690551408e-05,0.000208308637968097,1.16107385799087e-05,4.83780774162862e-05,2.9602718056674e-06,2.70917233531203e-05,7.64373623177322e-06,4.21856835070016e-06,1.61582778570396e-06,0.000223691839296469,1.35458616765601e-05,7.02449684084476e-06,1.67118411597478e-06,5.61345155962449e-06,1.48036916893836e-06,2.37052579339802e-05,3.19901025621253e-05,6.6761746834475e-07,1.8242535695382e-06,1.35458616765601e-05,2.5350112566134e-05,2.32214771598174e-05,1.35458616765601e-05,6.92741733862001e-06,9.09507855426181e-05,8.3985628383234e-05,3.46666781715367e-07,1.78031324891933e-05,7.12125299567733e-06,2.35816188944667e-06,0.000107399331864155,1.14484417679233e-06,1.25783001282344e-06,8.70805393493152e-06,4.38322604097104e-07,6.94042016273132e-07,2.145194259004e-06,7.83724854143837e-05,2.47184075232294e-06,4.57656612358068e-05,4.29597327456622e-06,5.80536928995435e-05,0.000182869132633562,8.44367981867045e-07
0.613074702989437,0.00743120852108408,0.141779636257525,0.0596452262876485,0.043877122756335,0.00136890683283128,0.022782520860692,0.0449783673644563,0.0348093451777096,0.0259114507643063,0.00195558118975897,0,1.85780213027102e-05,3.2267089631023e-05,0.000335382174043663,1.46668589231923e-06,5.18229015286127e-05,1.51469879353573e-06,4.88895297439742e-06,5.86674356927691e-05,0.000208308637968097,2.15113930873487e-05,5.86674356927691e-05,2.9602718056674e-06,3.32448802259025e-05,1.26134986739453e-06,5.44629361347873e-06,1.91646956596379e-06,0.000223691839296469,1.61737279267271e-05,1.00712431272587e-05,9.77790594879484e-07,5.61345155962449e-06,1.54452577837505e-06,2.61070088832822e-05,3.4222670820782e-05,4.20449955798178e-07,2.05336024924692e-05,2.24891836822281e-05,2.4738102050451e-05,2.54225554668666e-05,4.00894143900589e-05,6.92741733862001e-06,9.49762282924365e-05,8.3985628383234e-05,9.77790594879484e-07,1.7869026662542e-05,8.17432937319249e-06,2.93337178463845e-06,8.79033744796656e-05,4.53694836024081e-06,1.20439908611474e-06,7.63342569291093e-06,4.38322604097104e-07,6.94042016273132e-07,2.145194259004e-06,0.000125157196144574,9.77790594879484e-07,4.10672049849383e-05,3.91116237951794e-08,7.43120852108408e-05,0.000186260552275466,0.000345761719553139
0.616967471546767,0.00737246436523756,0.143984421545632,0.0559864558911056,0.0438882996155134,0.00137632167653913,0.0223868826547553,0.0433781943787542,0.0349181471502374,0.0258998715494181,0.00151106645606044,5.29354490976588e-08,1.63618660847309e-06,3.71727559863647e-05,0.000335899486092416,2.88738813259957e-06,9.62462710866523e-08,1.51469879353573e-06,1.63618660847309e-07,5.3445554334418e-05,0.000208308637968097,1.35600117213712e-05,5.48603745193918e-05,1.91530079462438e-06,2.98363440368622e-05,7.42058750078089e-06,4.6775687748113e-06,1.53994033738644e-06,0.000615976134954575,1.67949743046208e-05,7.49758451765021e-06,2.06929482836302e-06,5.05292923204925e-06,1.5784388458211e-06,2.35610871620125e-05,3.19901025621253e-05,6.92973151823896e-07,1.58806347292976e-06,1.28970003256114e-05,2.68430850060673e-05,1.50144182895178e-05,1.16457988014849e-05,6.58324494232702e-06,9.93261517614252e-05,0.000173243287955974,2.88738813259957e-07,1.82867915064639e-05,6.34262926461038e-06,2.50240304825296e-06,9.54763009179591e-05,9.62462710866523e-07,1.34744779521313e-06,7.60345541584553e-06,4.38322604097104e-07,6.94042016273132e-07,2.07891945547169e-06,7.60345541584553e-05,2.47184075232294e-06,4.61982101215931e-05,4.51395011396399e-06,6.64099270497901e-05,0.000190567616751572,8.43351387280755e-07
0.616924443368893,0.0073906459167774,0.143923104695139,0.0565967884679533,0.043877122756335,0.00132253663773911,0.0221719377503322,0.0435659127725826,0.0346193413996415,0.0258672607087209,0.00172124253588105,0,1.94490682020458e-06,3.71727559863647e-05,0.000361752668558052,2.48725995218438e-06,3.55913036773056e-07,1.51469879353573e-06,3.20317390391791e-07,5.1589325576282e-05,0.000282011488929664,1.35600117213712e-05,5.25124841455237e-05,2.9602718056674e-06,2.62562420727618e-05,7.08005657955129e-06,4.75892848951672e-06,1.60057939091304e-06,0.000223691839296469,1.65317079717389e-05,7.12000620443058e-06,1.67118411597478e-06,5.61345155962449e-06,1.54452577837505e-06,2.47172703608448e-05,3.19901025621253e-05,6.72409968610096e-07,1.94490682020458e-06,1.45868011515344e-05,2.74348247032646e-05,2.13939750222504e-05,1.16694409212275e-05,6.92741733862001e-06,9.75370770332597e-05,4.27879500445008e-05,3.46666781715367e-07,1.7869026662542e-05,6.67218748703633e-06,2.35816188944667e-06,9.70508503282086e-05,1.14484417679233e-06,1.20439908611474e-06,7.77962728081832e-06,4.38322604097104e-07,6.94042016273132e-07,2.91736023030687e-06,7.97411796283878e-05,2.47184075232294e-06,4.76502170950122e-05,4.0003760887796e-06,7.00166455273649e-05,0.000193518228610356,9.80762136578717e-05
0.602421976734786,0.00746086657510406,0.153487662252732,0.0611605834310697,0.043877122756335,0.00107470673760666,0.0204194280145265,0.0431836707292857,0.0372239333661942,0.0257929617025598,0.00170857302431468,9.18385757591143e-07,2.22757396522107e-06,3.71727559863647e-05,0.000344883162159227,1.64137029016289e-06,4.8850306254848e-08,1.51469879353573e-06,2.83331776278119e-07,4.78733001297511e-05,0.000208308637968097,1.13332710511247e-05,4.37698744043438e-05,1.66091041266483e-06,2.4425153127424e-05,6.18444877186376e-06,3.77124364287427e-06,1.47527924889641e-06,0.000223691839296469,9.1936276371624e-06,7.18099501946266e-06,3.01894892654961e-06,3.63446278536069e-06,1.24079777887314e-06,2.33504463898174e-05,3.19901025621253e-05,4.9827312379945e-07,1.00631630884987e-06,1.31407323825541e-05,2.43274525149143e-05,1.79671426405331e-05,1.37464761801142e-05,6.60456140565545e-06,0.000104539655385375,8.3985628383234e-05,3.61492266285875e-07,1.7869026662542e-05,5.8815768730837e-06,2.41320512898949e-06,9.965462475989e-05,5.86203675058176e-07,1.05516661510472e-06,2.83331776278119e-06,4.29882695042663e-07,5.66663552556237e-07,8.69535451336295e-07,6.64364165065933e-05,7.62064777575629e-07,4.9827312379945e-05,3.74193345912136e-06,6.05743797560116e-05,0.000211033323020943,0.000354908280461141
0.614677990183743,0.0077828145285777,0.144112588028546,0.0583276025477134,0.0436997784710202,0.00157589909087971,0.0221592681981368,0.0426749606573192,0.0346987842770999,0.0266065907858955,0.00165324383153638,0,2.07438360666028e-06,3.71727559863647e-05,0.000524010617948958,2.48725995218438e-06,3.55913036773056e-07,1.51469879353573e-06,3.20317390391791e-07,4.42218554704527e-05,0.000208308637968097,1.54689481313346e-05,5.8975364750713e-05,2.9602718056674e-06,2.22366129387934e-05,6.52596249290677e-06,3.9542498660724e-06,1.41154151698428e-06,0.000223691839296469,1.61737279267271e-05,5.88786838248922e-06,1.67118411597478e-06,5.61345155962449e-06,1.35353296149177e-06,1.98679302561828e-05,3.19901025621253e-05,5.51081277178794e-07,1.8242535695382e-06,1.16017110985009e-05,2.30777369934348e-05,1.93361851641682e-05,1.35353296149177e-05,5.96521312314589e-06,8.70128332387569e-05,8.3985628383234e-05,3.46666781715367e-07,1.7869026662542e-05,5.52048086437002e-06,2.35816188944667e-06,0.0001034485906283,1.14484417679233e-06,9.76477350790495e-07,1.25685203567093e-05,4.38322604097104e-07,5.4141318459671e-07,2.145194259004e-06,8.31455962059233e-05,2.47184075232294e-06,4.15727981029617e-05,4.05093079189324e-06,7.73447406566728e-05,0.00018852780535064,8.68987733770865e-07
0.616625795704758,0.00738125066523257,0.144225753129873,0.0558449885856412,0.043877122756335,0.00126258235063189,0.0221437519956977,0.0436076519564398,0.0350609406598547,0.0262228642054315,0.00184531266630814,1.45682578919064e-08,2.07438360666028e-06,3.71727559863647e-05,0.000344782103441785,1.73847877510083e-06,9.03231989298196e-08,1.51469879353573e-06,3.49638189405753e-08,5.49708931121268e-05,0.000208308637968097,1.3694162418392e-05,5.87586401640224e-05,2.05898044872277e-06,2.5057403574079e-05,7.87657143355739e-06,4.7783885885453e-06,1.64135705582145e-06,0.000223691839296469,1.64135705582145e-05,7.33268980559288e-06,1.67118411597478e-06,5.30284587265393e-06,1.68991791546114e-06,2.5834377328314e-05,3.19901025621253e-05,6.99276378811507e-07,8.54671129658508e-07,1.22373366292014e-05,2.86509071874159e-05,1.96185872944339e-05,1.35970406991126e-05,6.90535424076363e-06,9.38195808238772e-05,8.3985628383234e-05,2.13667782414627e-07,1.95214655751546e-05,7.02190030389888e-06,2.18523868378596e-06,9.71217192793759e-05,1.07805108400107e-06,1.33056755412745e-06,8.18736093525139e-06,4.56472080613067e-07,6.94042016273132e-07,2.03955610486689e-06,7.73088885463832e-05,2.47184075232294e-06,4.29277999214842e-05,4.67155469733798e-06,6.36147261279912e-05,0.000189678717752621,4.25995337346441e-05
0.611163644190508,0.00751111839522528,0.144736159249295,0.0595303513714535,0.043877122756335,0.00141643932552721,0.0232515497732671,0.0433111236016841,0.0339047694892041,0.0264335507932895,0.00169573722070159,0,2.07438360666028e-06,3.71727559863647e-05,0.000350518858443846,1.69573722070159e-06,3.55913036773056e-07,1.51469879353573e-06,3.20317390391791e-07,6.18445339314697e-05,0.000208308637968097,1.3266650020783e-05,5.31164747072704e-05,2.69322970346723e-06,2.51567604153495e-05,7.76049151591669e-06,5.32660985796852e-06,1.7156870703569e-06,0.000223691839296469,1.70471465304648e-05,6.75302410832339e-06,1.67118411597478e-06,5.41638418141743e-06,1.82541124346112e-06,2.87277835036505e-05,3.19901025621253e-05,7.780441365572e-07,1.8242535695382e-06,1.21195336656025e-05,3.15806120043602e-05,2.46380643243113e-05,1.42622790362897e-05,8.24926283247185e-06,0.00010440753817108,8.3985628383234e-05,3.46666781715367e-07,1.92516049173769e-05,7.6208425683295e-06,2.35816188944667e-06,0.000110821414835263,1.01744233242095e-06,1.28676530276768e-06,9.11708129247796e-06,4.38322604097104e-07,6.94042016273132e-07,2.30420763518863e-06,9.12705621730561e-05,2.47184075232294e-06,4.81788869175805e-05,4.0003760887796e-06,6.77835725147794e-05,0.000178451405166773,0.00124921080638707
