"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","C(tot)","C(org)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","G10","52.37","1.76","14.32","11.21",NA,"0.14","7.49","8.38","3.14","0.86","0.29",NA,NA,"-0.2",NA,NA,NA,NA,NA,"215",NA,NA,NA,NA,NA,NA,NA,NA,"48","247",NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","9",NA,NA,NA,NA,"149",NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"112","124"
"12","G11",NA,"1.71","13.91","11.06",NA,"0.142","7.43","8.5","3.01","0.87",NA,NA,NA,NA,NA,"0.278","1.432",NA,NA,"219.86",NA,NA,NA,NA,NA,"0.055",NA,NA,"44.08","262","0.791","55.66","4.11","1.98","1.51",NA,"19.12","4.73","1.43",NA,NA,"0.782",NA,NA,"14.4",NA,"0.22","1.7","19.15","17.92","162.73","3.11",NA,"3.81",NA,"21.4",NA,NA,NA,NA,"4.34","1.57","370",NA,NA,NA,"2.35",NA,"0.26","0.59",NA,"0.54",NA,"1.6","112","134.9"
"13","G12","52.03","1.71","14.35","11.2",NA,"0.14","7.59","8.25","3.12","0.84","0.28","0.16",NA,"-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","G13",NA,"1.735","14.322","11.781",NA,"0.142","7.411","8.675","3.127","0.855",NA,NA,NA,NA,NA,NA,NA,NA,NA,"210",NA,NA,NA,NA,NA,NA,"31.5","140","46.7","260","0.71",NA,"4.8",NA,"1.62",NA,NA,NA,NA,"3.55",NA,NA,NA,NA,"15.3",NA,"0.2",NA,NA,"13","250",NA,NA,NA,NA,"26",NA,NA,"21.1",NA,"4.35",NA,"440","2.8","0.74",NA,"2.58",NA,NA,NA,"169",NA,NA,"1.54",NA,"130"
"15","G13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,"90",NA
"16","G14","51.95","1.75","14.3","11.33",NA,"0.14","7.55","8.42","3.17","0.83","0.303",NA,NA,NA,NA,NA,NA,NA,NA,"217","1.03",NA,NA,NA,NA,NA,"34.4",NA,"43.5","196","0.85","53.4","4.33","2.15","1.65",NA,"19","5.03",NA,"3.5",NA,"0.79",NA,"0.061",NA,NA,"0.25","1.74","18.5","18.2","149.5",NA,NA,"4.29",NA,"23",NA,NA,"19.6",NA,"4.67",NA,"391",NA,NA,NA,NA,NA,"0.3",NA,"164",NA,"21.1","1.72","112","127"
"17","G15","51.86","1.6","20.02","10.72",NA,"0.16","2.54","7.67",NA,"0.95",NA,NA,"5.03",NA,NA,NA,NA,NA,NA,"227",NA,NA,NA,NA,NA,"2.6","29",NA,NA,NA,NA,"55",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,"1.3","14","18","135","0.1",NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,"366",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,"97","135"
"18","G16","52.28","1.72","14.36","11.18",NA,"0.142","7.51","8.39","3.07","0.85","0.301",NA,NA,"-0.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","G17","52.47","1.71","14.32","11.3",NA,"0.147","7.475","8.293","3.12","0.82","0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","G18","52.11","1.73","14.29","11.3",NA,"0.144","7.48","8.47","3.08","0.84","0.29",NA,NA,"-0.11",NA,NA,NA,NA,NA,"224",NA,NA,NA,NA,NA,NA,NA,NA,"43.3","239.1",NA,"57.7",NA,NA,NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,"15.4",NA,NA,NA,"19.4","18.5","159.4",NA,NA,NA,NA,"19.7",NA,NA,NA,NA,NA,NA,"361",NA,NA,NA,NA,NA,NA,NA,"153.8",NA,"22.6",NA,"108","125.7"
"21","G19","51.97","1.75","14.36","11.32",NA,"0.14","7.56","8.4","3.14","0.84","0.3",NA,NA,"-0.19",NA,"0.1",NA,NA,"119","205","1.1",NA,NA,"200",NA,NA,"30.4",NA,"46","199","0.8","63","3.7","2","1.3",NA,"19","4.4","0.8","3.4",NA,"0.7",NA,NA,"14.3","7.4","0.23","1.6","18","17.1","150","3",NA,"4",NA,"21","160","0.1","19",NA,"4.1","2","349","3","0.64",NA,"2.3","0.1","0.22","0.66","160","0.5","19","1.5","103","127"
"22","G20","51.12","2.95","3.02","19.64",NA,"0.23","1.69","15.53","3.93","1.48","0.17",NA,NA,NA,NA,NA,"8.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,"122",NA,"84.87","456",NA,"48.26",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,"33.46",NA,NA,NA,"8.24","65.78","116.2","5.47",NA,NA,NA,"17.15",NA,NA,NA,NA,NA,NA,"661","1.23",NA,NA,NA,NA,NA,NA,"488",NA,"65.17",NA,"75.13","197"
"23","G21","51.03","1.71","14.11","11.24","7.01","0.15","7.44","8.4","3","0.82","0.29",NA,NA,"0.11",NA,NA,NA,NA,NA,"208",NA,NA,NA,NA,NA,NA,NA,NA,"45","247",NA,"76",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"168",NA,NA,NA,NA,"22",NA,NA,"20",NA,NA,NA,"352",NA,NA,NA,NA,NA,NA,NA,"159",NA,"24",NA,"103","132"
"24","G22","52","1.76","14.34","11.38",NA,"0.15","7.58","8.41","2.98","0.82","0.3",NA,NA,"0",NA,"0.17","2.07",NA,NA,"217","0.96","0.02",NA,NA,NA,NA,"31.4",NA,"43.8","255","0.79","55.8","4.1","2","1.51",NA,"19","4.65",NA,"3.32",NA,"0.76",NA,"0.06","17.5","7.36","0.22","1.75","17.8","18.9","160","3.36",NA,"3.84",NA,"23.8",NA,"0.12","20.4",NA,"3.23","1.8","349","2.91","0.71",NA,"2.43","0.1","0.26","0.58","151","0.82","20.4","1.63","107","132"
"25","G23","52.62","1.82","15.42","11.92","6.865","0.134","5.455","8.17","3.385","0.7575","0.249",NA,NA,"0.59",NA,"0.3404304","1.1997646",NA,"1.4985626","188.791517","0.8688092","0.0150504",NA,NA,NA,"0.0446282","27.5653934",NA,"36.9467316","149.1683046","0.7304816","49.6789926","3.890966","2.030691","1.41683",NA,"16.4964268","4.2914658","1.1950024","3.3249274",NA,"0.7364566",NA,NA,"13.3159224","6.1358626","0.2189782","1.3886306","15.637081","15.6852634","126.905735","2.3701654",NA,"3.5494718",NA,"20.641711",NA,"0.0945278","14.68352725","0.5123354","4.0135514","1.4780162","301.9463614","2.9715532","0.6498382","0.0133166","2.1876726","0.0694642","0.2605916","0.6130938","108.65225225","0.5281878","16.5616172","1.5463092","77.35066","108.537732"
"26","G24","52.33","1.75","14.3","11.29",NA,"0.138","7.78","8.4","3.04","0.875","0.291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","G25","52.65","1.76","14.57","11.42",NA,"0.1472","7.65","8.44","3.01","0.84","0.297",NA,NA,"0.01",NA,NA,"0.89",NA,NA,"213","0.95",NA,NA,NA,NA,"0.072","32.85",NA,"46","231","0.86","53.7","3.94","1.91","1.48",NA,"19.7","3.94",NA,"3.13",NA,"0.749",NA,NA,"15.12","5.3","0.222",NA,"16.99","17.27","152","3.49",NA,"3.87",NA,"24.7",NA,"0.12","21.4",NA,"4.4",NA,"348","2.87","0.708",NA,"2.49","0.064","0.258","0.66","158","0.5","20.3","1.58","109","136"
"28","G25.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","G26","51.537","1.738","13.83","11.795",NA,"0.1448","7.79332121273198","8.764","3.169","0.844","0.3",NA,NA,"-0.313",NA,NA,NA,NA,NA,"247.5",NA,NA,NA,NA,NA,NA,"43.6",NA,"47","223",NA,"56.1",NA,NA,NA,NA,"20.5",NA,NA,"4.52",NA,NA,NA,NA,"27.5",NA,NA,NA,"16.6","20","144.8","5.6",NA,NA,NA,"23.4",NA,NA,"14.7",NA,NA,NA,"352.8","3.68",NA,NA,NA,NA,NA,NA,"133.5","2.1","20.8",NA,"102","130.7"
"30","G27","52.24","1.7","14.35","11.31","8.45","0.149","7.65","8.498","3.17","0.85","0.298","0.65","0.07","0.08",NA,NA,NA,NA,NA,"223.6","1.12","0.22",NA,NA,NA,"0.056","33.36",NA,"48.8","269","0.844","57.9","4.499","2.226","1.6538",NA,"19.54","5.139",NA,"3.42",NA,"0.8531",NA,"0.0604","16.05","7.6","0.2419","1.76","17.724","18.76","166.4","3.3",NA,"4.305",NA,"22.61",NA,"0.1","22.6",NA,"4.783","1.33","361.1","2.933","0.7761",NA,"2.514","0.077","0.2968","0.688","166.5","0.52","20.79","1.736","105","138"
"31","G28","51.946","1.737","13.763","11.567",NA,"0.121","7.859","8.643","3.169","0.828","0.294",NA,NA,"-0.25",NA,"3.6","0.2",NA,NA,"237",NA,"0.1",NA,"180",NA,"6.3","6.1",NA,"59.2","171.1","2","56",NA,NA,NA,NA,"20",NA,NA,"4.1",NA,NA,NA,NA,"20.4",NA,NA,"1.7","17.2","11.1","136.6","1.6",NA,NA,NA,"21.7","190","1.6","16",NA,"3.3","2","345.4","2.2",NA,"3","3.4",NA,NA,"2.1","118.2","1.7","20.3","0.8","102.6","126.9"
"32","G29","52.73","1.73","14.56","11.3",NA,"0.138","7.42","8.13","3.11","0.84","0.295",NA,NA,NA,NA,NA,NA,NA,NA,"212.637692231451","1.15363271325264","0.0276882939375145",NA,NA,NA,NA,"31.0475812118619",NA,"45.6246560883058","247.565466061641","0.796146605404339","55.7540910791353","4.26428750874571","2.05502008328111","1.52883991575933",NA,"19.2814338071166","4.6449254525624","1.42619333084958","3.23945522070073",NA,"0.788981183586899",NA,NA,"14.9549610423938","7.48021331409442","0.227163030154079","1.68009570700169","19.2197346619593","17.54662094055","162.922613196986","3.36064324934388",NA,"3.96197310218864",NA,"22.2592195583634",NA,NA,"20.7150066281728",NA,"4.51181704456108","1.65503097857509","363.086299389011","2.83411017452543","0.741541787810157",NA,"2.42929493736436","0.0913016132280965","0.277935729652373","0.654879452059581","148.963334952802",NA,"22.2432171667585","1.6517382428293","106.410881309224","130.416256269469"
"33","G30","52.56","1.72","14.22","11.46",NA,"0.14","7.57","8.28","3.08","0.85","0.3",NA,NA,"-0.19",NA,NA,NA,NA,NA,"209","1.11",NA,NA,NA,NA,NA,"30.2",NA,"46.2","247","0.82","55.2","4.09","2.03","1.51",NA,"19.1","4.55","1.36","3.15",NA,"0.77",NA,NA,"14.7","7.97","0.23",NA,"19.1","17.3","161","3.31",NA,"3.95",NA,"21.6",NA,NA,"20.5",NA,"4.39",NA,"361","2.64","0.71",NA,"2.38",NA,"0.27","0.64","157",NA,"21.7","1.63","104","132"
"34","G31","50.6","1.74","14","10.9",NA,"0.1314","4.8","8","2.4","0.9","0.2523",NA,NA,NA,NA,NA,NA,NA,NA,"243.8",NA,NA,NA,NA,NA,"1.2","40.7",NA,"30.6","192.8",NA,"55.1",NA,NA,NA,NA,"18.5",NA,NA,NA,NA,NA,NA,NA,"17.3",NA,NA,NA,"16.3",NA,"145.6","4.3",NA,NA,NA,"20.7","54",NA,NA,NA,NA,"3.1","323.2",NA,NA,NA,"1.5",NA,NA,NA,"162.1",NA,"20.1",NA,"92.8","124.6"
"35","G32","53.12","1.77","15.2","11.14",NA,"0.15","7.73","8.07","3.07","0.83","0.28",NA,NA,"-0.3",NA,NA,"4",NA,NA,"234",NA,NA,NA,NA,NA,NA,"45",NA,"45",NA,NA,"53",NA,NA,NA,NA,"20",NA,NA,"2",NA,NA,NA,NA,"76",NA,NA,"2","17","20","133","11",NA,NA,NA,"23",NA,NA,"18",NA,"4",NA,"355",NA,NA,NA,"3",NA,NA,"2","144",NA,"21",NA,"102","132"
"36","G33","52.69","1.8","14.23","11.15","7.73","0.14","7.6","8.16","3.12","0.73","0.3","0.35",NA,"0.1",NA,NA,NA,NA,NA,"260",NA,NA,NA,NA,NA,NA,"29.2",NA,"43","230","0.83","54","3.95","1.95","1.43",NA,"19","4.56",NA,NA,NA,"0.73",NA,NA,"15.6","7.2","0.24","1.6","19","16.8","140","3.5",NA,"3.79",NA,"22",NA,NA,"21",NA,"4.16","1.5","360","2.01","0.66",NA,"2.3",NA,"0.29","0.71","140",NA,"22","1.53","95","130"
"37","G34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"216.13",NA,NA,NA,NA,NA,NA,"30.322",NA,"45.137","251.43","0.77","56.73","4.286","2.048","1.567",NA,"19.504","4.886",NA,"3.224",NA,"0.7903",NA,NA,"14.678",NA,"0.2362",NA,"19.139","17.784","162.83","3.621",NA,"4.098",NA,"21.736",NA,NA,"22.44",NA,"4.397",NA,"345.41","2.546","0.7395",NA,"2.486",NA,"0.2862","0.6634","152.09",NA,"21.729","1.7068","97.84","129.48"
"38","G35","52.69","1.67","14.47","11.25",NA,"0.15","7.72","8.41","3.13","0.85","0.28",NA,NA,NA,NA,"1","1.1",NA,NA,"230",NA,NA,"0.2",NA,NA,NA,"29.8","69.6","40","215.9",NA,"58.1",NA,NA,NA,NA,"20.2",NA,NA,"2.3",NA,NA,"0.6",NA,"24.3",NA,NA,"1.8","18.4","16.4","130.4","3.1",NA,NA,NA,"22.1",NA,NA,"19.6","0.2","3.1",NA,"348.9",NA,NA,NA,"2.8",NA,NA,"0.7","140.4","0.1","20.3","1.8","95","135.2"
"39","G35.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","G36","51.86","1.7","14.15","11.1","8.26","0.14","7.36","8.27","2.9","0.81","0.27","0.5","0.08","0.4",NA,NA,NA,NA,NA,"205",NA,NA,NA,NA,NA,NA,"26",NA,"44","253",NA,"44",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,"3","24","23","160","2",NA,NA,NA,"12",NA,NA,"21",NA,NA,"3","343",NA,NA,NA,"4",NA,NA,"1","136","4","16",NA,"97","132"
"41","G36.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"46",NA,NA,NA,NA,NA,NA,NA,"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","G37","52.66","1.76","14.58","11.48",NA,"0.147","7.65","8.5","3.09","0.85","0.298",NA,NA,"0",NA,NA,NA,NA,NA,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"170",NA,NA,NA,"110","130"
"43","G38","53.3","1.77","14.6",NA,"8.56","0.14","7.61","8.47","3.37","0.84","0.3","0.05",NA,"-0.11",NA,NA,"11",NA,NA,"232","1.6",NA,NA,NA,NA,"0.29","41.7",NA,"46.6","0.03","0.91","67","5.85","2.96","2.65",NA,"23.3","6.97",NA,"3.98",NA,"1.35",NA,"0.07","16.5","8","0.32","1.37",NA,"24.4","164","9.2",NA,"5.82",NA,"26.4","300","0.23","25.5",NA,"5.9",NA,"375",NA,"1.18",NA,NA,"0.09","0.46","1.57","151",NA,"29.8","2.2","100",NA
"44","G39","52.47","1.72","14.36","10.96",NA,"0.17","7.99","8.25","3.16","0.77","0.31",NA,NA,"-0.02",NA,NA,"4.95",NA,NA,"222.82","1.18",NA,NA,"428",NA,"0.12","32.47",NA,"46.54","255.15","0.84","63.88","4.26","2.14","1.58",NA,"20.3","4.96",NA,NA,"0.001","0.81",NA,NA,"15.5","7.56","0.23","1.63","17.93","18.53","179.41","3.18",NA,"4.1",NA,"22.95","174","0.65","19.23",NA,"4.6",NA,"382.28","3.04","0.77","0.02","2.57","0.06","0.29","0.74","161.49","1.19","19.5","1.83","121.44","128.47"
"45","G40","52.392","1.732","14.545","11.233",NA,"0.142","7.565","8.454","3.074","0.845","0.301",NA,NA,"-0.2",NA,NA,NA,NA,NA,"228.7",NA,NA,NA,NA,NA,NA,NA,NA,"42.4","246.8",NA,"57.9",NA,NA,NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.1",NA,"141.6","4.7",NA,NA,NA,"23.5",NA,NA,"20.8",NA,NA,NA,"367.7",NA,NA,NA,"2.3",NA,NA,NA,"155.3",NA,"22.9",NA,"99.3","130.9"
"46","G41","52.59","1.69","14.16","11.38",NA,"0.19","7.37","8.26","2.62","0.86","0.26","0.6",NA,"0",NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"376",NA,NA,NA,NA,NA,"470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142","87"
"47","G42","51.8","1.72","14.36","11.26",NA,"0.14","7.68","8.65","3.07","0.86","0.3",NA,NA,"0.02",NA,NA,NA,NA,NA,"185","1.1",NA,NA,NA,NA,NA,"31.5",NA,"46.8","255","0.89","53.8","4.1","2","1.5",NA,"18.1","4.6",NA,"3.2",NA,"0.8",NA,NA,"15.6",NA,"0.2","1.2","19.5","17.5","159","1.1",NA,"4.1",NA,"22.5",NA,NA,"19.7",NA,"4.4",NA,"341","3",NA,NA,"2.4","0.05","0.27","0.65","158","0.74","22","1.6","105","124"
"48","G43",NA,"1.74",NA,NA,NA,"0.145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3",NA,NA,"227","0.934",NA,NA,NA,NA,NA,"31.24",NA,"46.7",NA,"0.8","59.3","4.31","2.09","1.6",NA,NA,"4.69",NA,NA,NA,"0.816",NA,NA,"15.75","7.33","0.235","1.84",NA,"18.77","158","3.76",NA,"4.33",NA,"22.7",NA,NA,NA,NA,"4.62",NA,"375",NA,"0.736",NA,"2.44","0.0705","0.273","0.676","164","0.526","21.65","1.67","108",NA
"49","G44","53.49","1.78","13.63","11.23",NA,"0.15","7.33","8.45","3.02","0.84","0.29",NA,NA,"-0.25",NA,"1",NA,"0.019",NA,"244","2","23",NA,NA,NA,"4",NA,NA,"9","148",NA,"32",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","18",NA,"92",NA,"0.021",NA,"0.085","63",NA,NA,"12",NA,NA,NA,"193",NA,NA,NA,NA,NA,NA,"3","115",NA,NA,NA,"68","28"
"50","G45","53.03","1.83","14.69","10.69","8.6","0.14","7.2","8.22","3.1","0.84","0.28","0.6",NA,"0.33",NA,"0.24","2",NA,NA,"200","0.9",NA,NA,"0.03",NA,"0.08","31.1","140","46.8","230","0.8","59.5","4.08","2.19","1.57","288","20","4.71",NA,"4",NA,"0.78",NA,"0.08","15.3","9","0.26","1.85","21","17.5","148","3.6",NA,"4.06",NA,"22.3",NA,"0.16","18.4",NA,"4.3","2","379","3.1","0.79",NA,"4.8","0.08","0.26","0.76","158",NA,"20.1","1.7","101","126"
"51","G46","52.228","1.7285","14.39","11.074",NA,"0.144692589711395","7.49542689920063","8.384","3.116","0.849","0.296",NA,NA,"0.04",NA,NA,NA,NA,NA,"216",NA,NA,NA,NA,NA,NA,"31.588",NA,NA,"243.9","0.812","55.5","4.712","2.154","1.711",NA,"20.4","5.054",NA,"3.311",NA,"0.872",NA,NA,"15.491",NA,"0.249",NA,"17.738","17.974","152.1","3.337",NA,"4.118",NA,"22.057",NA,NA,"20.68",NA,"4.672",NA,"365.4","2.855","0.81",NA,"2.516",NA,"0.289","0.669","163.4",NA,"21.817","1.663","108.9","129.64"
"52","G47","52.45","1.762","14.29","11.42",NA,"0.144","7.48","8.3","2.82","0.822","0.295",NA,NA,NA,NA,NA,NA,NA,NA,"257",NA,NA,NA,NA,NA,NA,"55.02",NA,"45","246",NA,"50","4.15","2.16","1.49",NA,"19","5.13",NA,NA,NA,"0.78",NA,NA,"18.56",NA,"0.23",NA,"18","16.85","165","3.02",NA,"3.8",NA,"22.2",NA,NA,"19.3",NA,"4.12",NA,"339","4.05","0.73",NA,"2.74",NA,"0.27","0.66","161",NA,"19.74","1.71","110","126"
"53","G48","52.237","1.718","14.32","11.251",NA,"0.144","7.584","8.402","3.073","0.858","0.2989",NA,NA,"0.22",NA,NA,NA,NA,NA,"220.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"220.8",NA,"57.1",NA,NA,NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,"143.8",NA,NA,NA,NA,"22.5",NA,NA,NA,NA,NA,NA,"356.7",NA,NA,NA,NA,NA,NA,NA,"151.5",NA,"21.2",NA,"108.4","134.2"
"54","G48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.2",NA,"3.6",NA,NA,NA,NA,NA,NA,"17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","G49","52.653","1.682","14.102","11.23","7.87","0.149","7.399","8.22","3.063","0.896","0.263","0.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.6",NA,NA,NA,NA,NA,"4.03","1.94","1.74","466",NA,"3.41",NA,NA,NA,"0.79",NA,NA,"15.5",NA,"0.25",NA,NA,"17.7",NA,NA,NA,"4.09",NA,NA,NA,NA,NA,NA,"4.39",NA,NA,NA,"0.75",NA,NA,NA,"0.27",NA,NA,NA,"21","1.6",NA,NA
"56","G50",NA,"1.8133461",NA,"11.066131",NA,"0.142721",NA,"8.198776",NA,"0.860928","0.2499432",NA,NA,"-0.206",NA,"0.15206043956044","1.162",NA,NA,"219.041225","1.37259438075753","0.0406866666666667",NA,NA,NA,"0.0611502046577276","32.297374543899",NA,"42.7195058137217","208","0.722243583535109","58.874225","4.4079524196828","2.10492574468085","1.6570954873222",NA,"19.2746375","5.06403818945899",NA,"4.16079132030868",NA,"0.771505995117392",NA,"0.0629952","15.8788649109134","8.222","0.236385073260073","1.818","17.8672","18.3606830311139","139.7923025","3.737125",NA,"4.07494220470239",NA,"21.91576",NA,NA,"18.9193",NA,"4.66983909150822","1.82272771084337","351.645625","3.423","0.740958358070829",NA,"2.48661105682422","0.0921367521367521","0.28609889821849","0.728350515463918","143.57439","0.498049253731343","20.82517","1.72035239358232","105.21","130.5449575"
"57","G51","51.32","1.72","14.51","11.45","8.3","0.14","7.67","8.47","3.23","0.84","0.29",NA,NA,NA,NA,NA,NA,NA,NA,"213","0.85",NA,NA,"470","220",NA,"30",NA,"37.5",NA,NA,"52","4.6","2.35","1.65",NA,"19.7","5.2",NA,NA,NA,"0.86",NA,NA,"15.1","7","0.25",NA,"18.1","18.4",NA,NA,NA,"5.6",NA,"22",NA,NA,NA,NA,"4.5",NA,"346",NA,"0.87",NA,NA,NA,"0.25",NA,"159",NA,"20.9",NA,"100","127"
"58","G52",NA,"1.18","9.75","9.49",NA,"0.105","4.54","5.34","2.21","0.54","0.2",NA,NA,"-0.27",NA,"0.056","0.92",NA,NA,"136.21","0.73","0.009",NA,NA,NA,"0.07","23.85",NA,"33.99","180.58","0.45","47.48","3.55","1.63","1.12",NA,"12.08","3.52","2.51","2.46",NA,"0.56",NA,NA,"11.39","3.75","0.17","1.13","6.92","13.43","93.57","1.47",NA,"2.88",NA,"13.17",NA,"0.06","13.05",NA,"3.27","0.64","217.38","0.26","0.61",NA,"1.95","0.04","0.19","0.52","151.42","0.08","16.1","1.21","66.48","105.2"
"59","G53","54.3","1.7","14.5","10.8",NA,"0.149","4.9","8.4","3.6","0.88","0.28",NA,NA,NA,NA,NA,NA,NA,NA,"212","1.06",NA,NA,NA,NA,"0.04","30.9","70","48.1","201","0.816","57","4.13","2.07","1.54",NA,"20.9","4.7",NA,"3.4",NA,"0.78",NA,NA,"14.8","7.57","0.24","1.9","16","17.4","153","3.35",NA,"3.96",NA,"21.9",NA,NA,"21",NA,"4.42","1.85","341",NA,"0.71",NA,NA,"0.088","0.27","0.668","165","0.5","20.6","1.69","111","121"
