"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","C(tot)","C(org)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"86","G79","52.45","1.78","14.29","11.58","6.7","0.15","7.47","8.3","2.74","0.85","0.29",NA,NA,"-0.11",NA,NA,"1.11",NA,NA,"226",NA,NA,NA,NA,NA,NA,"30.6",NA,"40","211",NA,"58","4.26","2.16","1.49","270","18","0.65",NA,"3.53",NA,"0.76",NA,NA,"15.4","5.02","0.21",NA,"17","17.4","141",NA,NA,"3.99",NA,"22",NA,"0.058","18",NA,"4.4",NA,"345","2.55","4.79",NA,"2.3",NA,"0.25","0.68","131",NA,"20","1.72","99","131"
"87","G80","51.36","1.75","14.11","11.24","8.05","0.14","7.28","8.38","2.86","0.84","0.28","0.6",NA,"-0.18",NA,"0.2","1.67",NA,NA,"191",NA,NA,NA,"0.18","0.15","0.11","31.9",NA,"35","192","0.73","58","4.32","2.09","1.68",NA,NA,"4.66",NA,"2.25",NA,"0.82",NA,NA,"15.4",NA,"0.24","1.89","21","16.1","150","7",NA,"3.92",NA,"24","0.31","0.42","17","0.64","4.76",NA,"324","3.47","4.25","0.62","2.93","0.12","0.28","0.7","282",NA,"21","1.78","70","121"
"88","G81","51.72","1.745","14.11","11.31","8.3","0.145","7.6","8.36","3.04","0.83","0.292",NA,NA,NA,NA,NA,NA,NA,NA,"218",NA,NA,NA,NA,NA,NA,"31.3",NA,"44","242","0.82","58","4.16","2.01","1.54",NA,NA,"4.54",NA,"3.28",NA,"0.81",NA,NA,"15.4",NA,"0.23",NA,"20.8","17.8","151","3.41",NA,"4.08",NA,"22",NA,NA,"20.2",NA,"4.51",NA,"354","1.68","0.75",NA,"2.45",NA,"0.27","0.64","158",NA,"20.9","1.64","104","127"
"89","G82","52.17","1.751","14.32","11.39",NA,"0.142","7.389","8.401","3.113","0.85","0.291",NA,NA,"-0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"276",NA,NA,NA,NA,"48","85",NA,"46",NA,NA,NA,"677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","9",NA,NA,NA,NA,"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","170"
"90","G83","52.2","1.74","14.24","11.29",NA,"0.14","7.59","8.44","3.06","0.81","0.29",NA,NA,"0",NA,NA,NA,NA,NA,"210",NA,NA,NA,NA,NA,NA,NA,NA,"46","218",NA,"59",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,"140",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,"424",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44",NA,"110","151"
"91","G83.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6",NA,NA,"0.7",NA,NA,NA,NA,NA,NA
"92","G84","54.65","0.941","13.28","10.65",NA,NA,"7.43","7.63","2.77","0.812","0.321",NA,NA,"0.079",NA,NA,"1.15",NA,NA,"209","0.88","0.019",NA,NA,NA,"0.102",NA,NA,"40.1","230","0.76","51.3",NA,NA,NA,NA,"15.7",NA,NA,NA,NA,NA,NA,NA,NA,"5.65",NA,"1.57","11.83",NA,"138","2.91",NA,NA,NA,"23.86",NA,"0.102","20.76",NA,NA,NA,"346",NA,NA,NA,"2.42","0.073",NA,"0.583","139",NA,"17.43",NA,"94.23",NA
"93","G85","52.1","1.75","14.42","11.37",NA,"0.15","7.76","8.26","3.05","0.85","0.29",NA,NA,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","G86","51.96","1.74","14.33","11.32",NA,"0.15","7.74","8.44","3.18","0.86","0.29",NA,NA,NA,NA,NA,"9.4",NA,NA,"281",NA,NA,NA,NA,NA,NA,"36",NA,"46","221",NA,"48",NA,NA,NA,NA,"19",NA,NA,"2.7",NA,NA,NA,NA,"23",NA,NA,NA,"19","24","155","3.1",NA,NA,NA,"24",NA,NA,"19",NA,NA,NA,"365","3.6",NA,NA,"6.2",NA,NA,NA,"147",NA,"22",NA,"105","140"
"95","G87","52.702","1.7002","14.301","11.201",NA,"0.139","7.641","8.461","3.1403","0.8641","0.292",NA,NA,NA,NA,NA,NA,NA,NA,"220.3",NA,NA,NA,NA,NA,NA,"32.76",NA,"40.04","169.3","0.8763","56.11","4.487","2.223","1.631",NA,"18.91","5.037",NA,"3.378",NA,"0.8437",NA,NA,"16.03","13.12","0.2494","1.367","13.67","18.11","246.5",NA,NA,"4.173",NA,"23.24","119.5",NA,"20.8",NA,"4.631","1.506","359","1.159","0.7624",NA,"2.612",NA,"0.2945","0.7016","140.9",NA,"21.24","1.756","115.5","129"
