"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"25","T22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","T23","43.5",NA,"22.06",NA,NA,"0.091",NA,NA,NA,NA,NA,NA,NA,"1.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9","0.5","0.42",NA,NA,"0.91",NA,NA,NA,"0.21",NA,NA,NA,"1.5","4","0.08",NA,NA,NA,"2.6",NA,NA,NA,NA,"0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8",NA,NA,NA,"0.18",NA,NA,NA,"0.11",NA,NA,NA,NA,"0.43",NA,NA
"27","T23.1",NA,"0.913",NA,"10.37",NA,NA,"4.569","15.87","1.213","0.08",NA,NA,NA,NA,NA,"1","4.01",NA,NA,"53.1",NA,"1.01",NA,NA,"3.2",NA,"45.5","50",NA,"642",NA,NA,NA,NA,"19.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"17",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,"52",NA,NA,NA,"774",NA,NA,NA,NA,NA,NA,"2.4","470","5","4.7",NA,"99","10"
"28","T24","43.11","0.96","22.48","10.76",NA,"0.078","4.74","15.28","1.41","0.09","0.07",NA,NA,"1.02",NA,"0.31",NA,NA,NA,"49.4","0.126","0.057",NA,"0.19","3.1",NA,"35.6","42","0.345","621","0.814","0.429","0.37",NA,"19.5","0.832",NA,"0.337",NA,"0.155",NA,NA,NA,"1.31","2.96","0.053","0.32",NA,"0.2","2.54","18.7",NA,"4.19",NA,NA,NA,"1.42",NA,NA,NA,NA,"0.085","41",NA,"0.725","0.25","798","0.014","0.134",NA,"0.058","0.013","0.058","0.026","474",NA,"3.82","0.361","89.8","9.44"
"29","T24.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.2",NA,NA,NA,NA
"30","T25","43.44","0.93","22.1","10.71",NA,"0.09","4.57","15.39","1.38","0.09","0.03",NA,NA,"0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","T26","42.7","0.97","22.45","11.05",NA,NA,NA,"15.426","1.49","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.77",NA,"0.36",NA,"18.7","0.81",NA,NA,NA,"0.17",NA,NA,NA,"1.51","3",NA,NA,NA,NA,"2.46",NA,NA,NA,NA,"0.51",NA,"1.97",NA,NA,NA,NA,NA,"44.2",NA,"0.73",NA,NA,NA,"0.13",NA,NA,NA,NA,"0.03",NA,NA,NA,NA,NA,NA
"32","T26.1",NA,NA,NA,NA,NA,"0.1","4.69",NA,NA,NA,"0.04",NA,NA,"1.05",NA,"0.26",NA,NA,"4.4","55","0.14",NA,NA,"0.25","3.41",NA,"43","37.7","0.41","605",NA,"0.35",NA,"70",NA,NA,"1.35","0.32","0.0095",NA,NA,NA,NA,NA,NA,"0.059","0.45",NA,"0.37",NA,"25",NA,"3.6",NA,NA,NA,NA,NA,NA,NA,NA,"0.14",NA,NA,NA,"0.8","683","0.1",NA,NA,"0.056","0.032","0.059",NA,"472","2.75","4.42","0.4","95","10.4"
"33","T27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.142","0.06",NA,NA,"3.5",NA,"33.79",NA,"0.374",NA,"0.76","0.39","0.34",NA,"19.22","0.76","1.17","0.38",NA,"0.16",NA,NA,NA,"1.33",NA,"0.053",NA,NA,"0.74","2.46",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.705",NA,NA,NA,"0.126",NA,"0.07",NA,"0.059",NA,NA,"2.35","4.16","0.357",NA,"12.154"
"34","T28","43.59","0.9723","23.46","10.12",NA,"0.0982","4.7","15.09","1.41","0.0868","0.0306",NA,"0.199","1",NA,NA,NA,"0.0132",NA,"49.5",NA,NA,NA,NA,"3.19","261","35","26","0.35","583","0.84","0.4","0.34",NA,"19.3","0.83",NA,NA,NA,"0.15",NA,NA,NA,"1.68",NA,NA,"1.76",NA,"0.19","2.62","18.6",NA,"3.94","0.00427","0.46","0.00209","1.53",NA,NA,NA,"437",NA,"40",NA,"0.62",NA,"779",NA,"0.12",NA,NA,NA,NA,NA,"461","1.96","4.33","0.34","110","12.6"
"35","T29","43.25","0.96","22.86","10.88","4","0.09","4.65","15.72","0.84","0.04","0.03",NA,NA,"1.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","T30","42.92","0.96","22.26","10.8",NA,"0.11","4.71","15.39","1.37","0.09","0.06",NA,NA,"0.95",NA,NA,NA,NA,NA,"48.9",NA,"0.235",NA,NA,"3.206",NA,"35.67","42.29","0.37","535.2","0.822","0.437","0.381",NA,"20.53","0.875","1.072","0.34",NA,"0.155",NA,"0.169",NA,"1.296",NA,"0.058",NA,NA,"0.182","2.547","22.44",NA,"3.7683",NA,"0.487",NA,"1.593",NA,NA,NA,NA,NA,NA,NA,"0.743","0.464","778.8","0.017","0.13",NA,"0.054",NA,"0.062",NA,"446.2","2.123","4.176","0.378","105.2","10.12"
"37","T31","42.91","0.94","22.66","10.75",NA,"0.1","4.66","15.52","1.34","0.15","0.06",NA,NA,"1.07",NA,NA,NA,NA,NA,"50","0.13",NA,NA,NA,"3.2",NA,"37","36","0.43","542","0.79","0.43","0.37",NA,"18.4","0.84",NA,"0.3",NA,"0.17",NA,NA,NA,"1.35","4.9","0.05",NA,NA,"0.21","2.5","24",NA,"4.8",NA,"0.49",NA,"1.92",NA,NA,NA,NA,NA,"39",NA,"0.74",NA,"785","0.02","0.13",NA,"0.05","0.02","0.06","0.03","418",NA,"4.4","0.37",NA,"9.2"
"38","T32",NA,NA,NA,"10.1",NA,NA,NA,NA,"1.27",NA,NA,NA,NA,NA,NA,NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.4","33.2",NA,NA,NA,NA,"0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.22",NA,"0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.3",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","T33","43.24","0.98","22.071","11.155","5.175","0.1011","5.033","15.135","1.287","0.0918","0.0376","0.096","0.22","0.812",NA,NA,NA,NA,NA,"78",NA,NA,NA,NA,"3.38","170","35","45",NA,NA,"0.81","0.47","0.31",NA,"16.18","0.91","0.61","1.28",NA,"0.15",NA,NA,NA,"1.67","5.5","0.06",NA,NA,NA,"2.59","20",NA,"4.5",NA,"0.61",NA,"1.93",NA,NA,NA,"210",NA,"51",NA,"0.82",NA,"765",NA,"0.11",NA,"0.19",NA,"0.08",NA,"490",NA,"4.5","0.41","119","35.6"
"40","T34","43.539","0.9945","22.062","10.894",NA,"0.1055","4.684","15.491","1.342","0.0642","0.0615",NA,NA,"1.04",NA,NA,"1.65",NA,NA,"39.5",NA,NA,NA,NA,NA,NA,"37.5","22.8",NA,"514.2",NA,NA,NA,NA,"18.9",NA,NA,NA,NA,NA,NA,NA,NA,"5.5",NA,NA,"1.5",NA,"1.1",NA,"14.9",NA,"14.2",NA,NA,NA,"1.5",NA,NA,NA,NA,"3.5","38.2",NA,NA,"0.3","812.2","0.5",NA,NA,NA,NA,NA,NA,"445.2",NA,"6.5",NA,"99.4","23.2"
"41","T35","42.59","1","22.18","10.38",NA,"0.104","4.51","15.21",NA,NA,NA,"0.28",NA,"0.85",NA,NA,"4",NA,NA,NA,NA,NA,"3",NA,NA,NA,"27","51.6",NA,"641",NA,NA,NA,NA,"19.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.6",NA,"19.6",NA,"7.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720",NA,NA,NA,NA,NA,NA,NA,"370",NA,NA,NA,"90",NA
"42","T36","43.7113529518229","0.950092901528183","22.6976929104468","9.75",NA,"0.11","4.8","15.3539182658245","1.2","0.0873287791791275","0.0400007898579089",NA,NA,"0.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","T37","44.02","1.01","22.63","11.05",NA,"0.106","4.62","16.09","1.41","0.16","0.048",NA,NA,"0.85",NA,"0.95","24.8",NA,"74.6","55.1","2.6",NA,NA,"0.81","8.1",NA,"39.3","39.6",NA,"583.9",NA,NA,NA,NA,"18.8","1.49","10.6",NA,NA,"0.19",NA,NA,NA,"5.62","4.75",NA,NA,NA,NA,"12.43","25.1",NA,"4.36",NA,"5.67",NA,NA,NA,NA,NA,"450","15.5","41.8",NA,"2.31","10.6","634","2.5",NA,NA,NA,NA,NA,NA,"462",NA,"4.62",NA,"96.8",NA
"44","T38","42.02","0.9516","21.56","10.13",NA,"0.0942","4.25","15.14","0.69","0.0673","0.0377",NA,NA,NA,NA,NA,"0.4",NA,NA,"51",NA,NA,NA,"1.7","11.1",NA,NA,"42.5",NA,"645.1",NA,NA,NA,NA,"18.1",NA,NA,NA,NA,NA,NA,NA,NA,"8.4",NA,NA,NA,NA,"0.8",NA,"18.2",NA,"5.4",NA,NA,NA,"2.3",NA,NA,NA,"377",NA,NA,NA,NA,"1.7","739.2",NA,NA,NA,"1.9",NA,NA,"3","404.7",NA,"4.6","3.1","87.5","5"
"45","T39","43.23","1","22.65","11.01",NA,"0.09","4.65","14.4","1.46","0.11","0.05",NA,NA,"0.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","T40","43.17","0.967","22.33","10.7",NA,"0.1045","4.652","15.17","1.248","0.102","0.0335",NA,NA,"1.15",NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,"34","33",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"43",NA,NA,NA,"772",NA,NA,NA,NA,NA,NA,NA,"455",NA,"9",NA,"99","14"
"47","T41","43","1.03","22.4","11.2",NA,"0.108","4.43","15.3","1.21","0.13",NA,NA,NA,"0.879",NA,NA,NA,NA,NA,"184",NA,NA,NA,NA,"2.92",NA,"33.77","70","0.41","609","0.749","0.431","0.362",NA,"19.59","0.784","1.09","0.308",NA,"0.167",NA,NA,NA,"1.26",NA,"0.063",NA,NA,NA,"2.37","14.73",NA,"4.58",NA,"0.474",NA,"1.62",NA,NA,NA,NA,NA,"47.93",NA,"0.658","18.9","794",NA,"0.139",NA,"0.075",NA,"0.055",NA,"373",NA,"4.22","0.371","102.8","7.46"
"48","T42","41.66","1.16","23.01","10.83",NA,"0.09","4.68","15.65","1.55","0.1","0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"18",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"781",NA,NA,NA,"1",NA,NA,NA,NA,NA,"6",NA,"88","10"
