"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","T1","43.2","0.92","22.25","10.6",NA,"0.09","4.67","15.3","1.39","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","T2","43.18","0.96","22.26","10.84",NA,"0.1","4.73","15.5","1.44","0.11","0.04",NA,NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"776",NA,NA,NA,NA,NA,NA,NA,"463",NA,"4.3",NA,"88","5.5"
"3","T3","43","0.977","22.25","11.06",NA,"0.106","4.62","15.5","1.31","0.09","0.037",NA,NA,"0.77",NA,NA,"1.3",NA,NA,"68",NA,NA,NA,NA,"10",NA,"38","49",NA,"590",NA,NA,NA,NA,"21",NA,NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","8","20",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"2.6",NA,"792",NA,NA,NA,NA,NA,NA,NA,"439",NA,"6",NA,"81","7"
"4","T5","43.305","0.959","22.313","10.593",NA,"0.107","4.751","15.326","1.359","0.096","0.043",NA,NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"607.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1",NA,"24.3",NA,"4.8",NA,NA,NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"799.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6",NA,"89.5","6.4"
"5","T5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.1",NA,NA,NA,NA,NA,NA,"32.8","41.1",NA,NA,NA,NA,NA,NA,"19.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452.8",NA,NA,NA,NA,NA
"6","T6","43.71","0.927","22.24","10.55",NA,"0.11","4.65","15.44","1.34","0.094","0.055",NA,NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","T7","33.4","0.88","20.5","9.88",NA,"0.1","4.14","14.4","1.12","0.086","0.031",NA,NA,NA,NA,NA,"0.547",NA,NA,"46.5","0.118","0.066",NA,"0.173","3.18",NA,"32.1","28.7","0.356","494","0.805","0.442","0.348",NA,"17.7","0.771",NA,"0.316",NA,"0.164",NA,NA,NA,"1.31","3.6","0.055","0.659",NA,"0.421","2.46","19.2",NA,"3.48",NA,"0.495",NA,"1.41",NA,NA,NA,NA,"0.099","39.6",NA,"0.712","0.542","891","0.869","0.133",NA,"0.064","0.017","0.06","0.025","419",NA,"4.51","0.375","89.4",NA
"8","T8","43.9","0.731","26.8","9.72",NA,"0.135",NA,"13.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,"2.8","2.5",NA,NA,NA,"1.2","643",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"767",NA,NA,NA,NA,NA,NA,NA,"380",NA,"3.4",NA,"85","9"
"9","T9",NA,NA,"10.44","10.94",NA,"0.0918","4.062","12.76","1.141","0.079",NA,NA,NA,NA,NA,NA,"3.58",NA,NA,"57.07",NA,NA,NA,NA,"3.53",NA,"45.56","35.33",NA,"599.8","0.867","0.49",NA,NA,NA,"0.867",NA,"0.363",NA,"0.183",NA,"23.33",NA,"1.4","3.467","0.37","0.537",NA,"0.257","2.81","29.04",NA,"1.913",NA,"0.57",NA,NA,NA,NA,NA,NA,NA,NA,"1.52","0.87","0.227","754.5",NA,NA,NA,NA,NA,NA,NA,"328.8",NA,"4.67","0.44","51.33","10.65"
"10","T10","43.36","0.98","22.37","10.96",NA,"0.107","4.67","15.25","1.39","0.09","0.043",NA,NA,"0.88",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","43",NA,"605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,"8",NA,NA,NA,NA,NA,NA,NA,"440",NA,NA,NA,NA,NA,"837",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"85",NA
"11","T11","43.03","1.03","22.01","10.82",NA,"0.1","4.67","15.11","1.37","0.1","0.04",NA,NA,NA,NA,NA,NA,NA,NA,"76",NA,"0","0",NA,"5","146","27","32",NA,"536",NA,NA,NA,"283","19",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1",NA,"0","5","14",NA,"9",NA,NA,NA,"3",NA,NA,NA,"120",NA,"32","1",NA,NA,"761",NA,NA,NA,"0","0",NA,"3","402","3","5",NA,"83","9"
"12","T11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.314","0.267","1.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","T12","42.62","0.99","22.63","10.87",NA,"0.11","4.79","15.18","1.31","0.09",NA,NA,NA,"1.02",NA,"0.33","2.1",NA,NA,"56.2","0.15",NA,NA,"0.19","4.1",NA,"38","40","0.29","597","0.66","0.45","0.37",NA,"19.6","0.79",NA,NA,NA,"0.16",NA,"0.034",NA,NA,"2.5",NA,"0.42",NA,NA,"2.8","17.9",NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"833",NA,"0.13",NA,NA,NA,NA,NA,"538",NA,"5.3",NA,"100","11.6"
"14","T13","43.33","0.949","22.3","10.91",NA,"0.108","4.82","15.53","1.34","0.1","0.052",NA,NA,"0.86",NA,NA,NA,NA,NA,"59.9",NA,NA,NA,NA,NA,NA,NA,"56.6",NA,"557.1",NA,NA,NA,NA,"18.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"747.6",NA,NA,NA,NA,NA,NA,NA,"340.3",NA,NA,NA,"89.5","25.9"
"15","T13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","T14","44.01","0.945","21.99","9.88",NA,"0.094","4.62","15.71","1.27","0.15","0.027",NA,NA,"1.1",NA,"0.37","1.7",NA,NA,"48.4","0.16","0.14",NA,"0.2","3.24","148","35.6","42","0.38","578","0.8","0.43","0.38","263","18.6","0.85","1.1","0.4",NA,"0.16",NA,NA,NA,"1.31","4.1","0.05",NA,NA,NA,"2.62","19.1",NA,"4.39",NA,"0.52",NA,"1.47",NA,NA,NA,"455","0.15","40",NA,"0.73","0.36","781",NA,"0.13","0.06",NA,"0.01","0.06","0.03","457","1.8","3.6","0.38","100","33"
"17","T15","42.86","0.937","22.04","10.78","4.99","0.103","4.752","15.223","1.393","0.104","0.045",NA,NA,"0.83",NA,NA,NA,NA,NA,"47",NA,NA,NA,NA,"3.48",NA,"36","44",NA,"605","0.86","0.43","0.42",NA,NA,"0.8",NA,NA,NA,"0.18",NA,NA,NA,"1.44",NA,"0.06",NA,NA,NA,"2.76","22",NA,"4",NA,"0.52",NA,"5",NA,NA,NA,NA,NA,NA,NA,"0.82",NA,"795",NA,"0.11",NA,NA,NA,"0.06",NA,"455",NA,"4","0.41","84","59"
"18","T16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.9","0.15",NA,NA,NA,"3.43",NA,"37.7","39.4","0.38","571","0.85","0.46","0.42",NA,"19.3","0.91",NA,"0.33",NA,"0.19",NA,NA,NA,"1.26","3.45","0.05","0.45",NA,"0.24","2.66","26.5",NA,"4.94",NA,"0.43",NA,"1.92",NA,NA,NA,NA,NA,"40.9",NA,"0.72",NA,"779","0.044","0.145",NA,"0.066",NA,"0.059","0.032","215",NA,"4.41","0.41","111","10.4"
"19","T17",NA,NA,NA,"10.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,"36","36",NA,NA,NA,NA,"0.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3",NA,"0.07",NA,NA,NA,"2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,"0.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.47","86",NA
"20","T18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.87",NA,NA,NA,NA,"3.21",NA,NA,NA,"0.37",NA,"0.87","0.45","0.38",NA,NA,"0.85",NA,"0.28",NA,"0.17",NA,NA,NA,"1.27",NA,"0.06",NA,NA,"0.21","2.59",NA,NA,"4.19",NA,"0.49",NA,"1.33",NA,NA,NA,NA,NA,NA,NA,"0.74",NA,"778","0.018","0.13",NA,"0.057",NA,"0.062","0.028",NA,NA,"4.14","0.38",NA,"9.57"
"21","T19","43.61","0.95","22.35","10.84",NA,"0.11","4.61","15.32","1.34","0.08","0.07",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","38",NA,"391",NA,NA,NA,"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"6",NA,NA,NA,NA,NA,NA,NA,"1149",NA,"37",NA,NA,NA,"845",NA,NA,NA,NA,NA,NA,NA,"382",NA,NA,NA,"81","64"
"22","T20","43.512","0.984","22.395","10.266","5.1","0.095","4.669","15.165","1.36","0.09","0.048",NA,NA,"0.7",NA,NA,NA,NA,NA,"51.73",NA,NA,NA,NA,"3.478",NA,"37.47","39.53","0.3771","574.8","0.78","0.436","0.38",NA,"18.43","1.392",NA,"0.345",NA,"0.1982",NA,NA,NA,"1.436",NA,"0.0553",NA,NA,"0.418","2.6511","22.9",NA,"4.467",NA,"0.5059",NA,"1.7427",NA,NA,NA,NA,NA,"40.02",NA,"0.749",NA,"807.8","0.049","0.1318",NA,"0.151",NA,"0.0606","0.029","460",NA,"4.4292","0.3791","100.948","9.564"
"23","T21","44.03","1.016","22.76","10.91",NA,"0.11","4.854","15.6","1.392","0.183","0.045",NA,NA,NA,NA,NA,NA,NA,NA,"45.39","0.7",NA,NA,NA,"2.65",NA,"33.74","34.38","0.31","675.6","0.73","0.4","0.37",NA,"17.75","0.72",NA,"0.24",NA,"0.15",NA,NA,NA,"0.43",NA,"0.05",NA,NA,"0.16","2.33","17.6",NA,NA,NA,"0.41",NA,"1.15",NA,NA,NA,NA,NA,"42.9",NA,"0.66",NA,"828.6",NA,"0.12",NA,"0.04",NA,"0.06",NA,"454","1.51","3.24","0.36","104.2","5.16"
"24","T22","43.62","0.95","22.67","10.94",NA,"0.1","4.77","14.99","1.46","0.1","0.03",NA,NA,"0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"544",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"6",NA,"22",NA,"9",NA,NA,NA,"8",NA,NA,NA,NA,NA,"37",NA,NA,NA,"809",NA,NA,NA,NA,NA,NA,NA,"443",NA,"11",NA,"90","10"
