"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","X1","76.61","0.07","12.33","0.72",NA,"0.1048","0","0.35","4.1","1.34","0.04",NA,NA,"0.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,"7",NA,NA,NA,NA,NA,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,"215",NA,"36",NA,"15",NA,NA,NA,"2399",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"634",NA,"27","34"
"2","X2","80.125",NA,"12.694","0.753",NA,NA,NA,NA,"4.279","1.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"383.2",NA,NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141.5",NA,NA,NA,"13.9",NA,NA,NA,"2590.8",NA,NA,NA,NA,NA,NA,NA,NA,"134.8","35.4","92.1",NA,NA,NA,"16.2",NA,"7.2",NA,NA,NA,NA,"27.5",NA
"3","X3","79.8",NA,"12.3","0.77",NA,"0.11","0.11","0.29","4.29","1.37","0.03",NA,NA,"0.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","X4","74.24","0.07","14.25","1",NA,"0.14","0.23","0.46","6.83","1.43","0.03",NA,NA,"0.86",NA,"3.312143","2.746813",NA,"5.307031","6.192468","71.510293","0.051857",NA,"0.029496","5.88983",NA,"0.271704","12.627221","424.966406","1.461634","1.013146","0.178074","0.030557",NA,"56.531832","1.920572","4.290206","0.863776","1.827376","0.090678",NA,NA,NA,"1.380481","452.166682","0.02163","0.17719",NA,"167.29699","4.224073","1.047606",NA,"4.320739","0.135004","0.977397","0.006073","2561.74247",NA,"0.007147",NA,NA,"7.650609","2.654004","0.189313","2.731823","93.759226","7.834265","112.970315","0.289209",NA,"4.464613","13.70875","0.026442","3.749319","1.276953","5.161553","3.674992","0.187133","28.293123","4.437831"
"5","X5","79.86","0.052","12.42","0.734",NA,"0.111","0.115","0.332","4.18","1.38","0.032",NA,NA,"0.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","X6","79.45","0.064","12.44","0.742","0.68","0.11","0.209","0.299","4.205","1.382","0.037",NA,NA,"0.74",NA,NA,NA,NA,NA,"13.9","75.7",NA,NA,"1.1","7.44",NA,"0.6","52",NA,"2.53","1.74","0.31",NA,NA,NA,"2.5",NA,"1.1",NA,"0.15",NA,NA,NA,"1.64","895","0.03","0.15",NA,"149",NA,NA,NA,"5.7",NA,"5.31",NA,"0.66",NA,NA,NA,NA,"7.6","2.61",NA,"3.61","105.2","36",NA,"0.5",NA,"5.6",NA,"0.05","4.75","4.4",NA,"6.9","0.35","27.1","9.5"
"7","X7","79.98","0.08","12.53","0.71",NA,"0.11",NA,"0.48","4.16","1.38",NA,NA,NA,"0.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","X8","76.5","0.0579","12.8","0.761",NA,"0.107",NA,"0.319",NA,"1.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.2",NA,NA,"89.8","1.3","8.9",NA,NA,"77.9","509","50.3",NA,NA,NA,NA,"61.6",NA,"7.2",NA,NA,NA,"9.7",NA,NA,"2.2",NA,NA,NA,NA,"149","6.8","4.6",NA,"13.1",NA,NA,NA,"2854",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.6","94.9",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"35.4","2.6"
"9","X9","77.72","0.06","11.83","0.78","0.58","0.11","0.18","0.35","4.15","1.32","0.01",NA,NA,"0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","X10","80.01","0.055","12.308","0.722",NA,"0.107","0.095","0.284","4.161","1.359","0.027",NA,NA,"0.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
