"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","X11","80.1560519422309","0.0523204494442831","12.1016393374583","0.582607724707688",NA,"0.101740529146743","0.211548114737448","0.259141993716602","4.19047453703704","1.28080897633314","0.0462453711620112",NA,NA,"0.41",NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,NA,NA,NA,"18.8728744334311",NA,NA,NA,NA,NA,NA,"56.1259163270629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141.192680343927",NA,NA,NA,NA,NA,NA,NA,"2507.08144359464",NA,NA,NA,"10.7787119536487",NA,NA,NA,NA,NA,"34.8012083660148",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"29.8860804471749",NA
"12","X12","79.71","0.05","12.34","0.74",NA,"0.108","0.11","0.29","4.11","1.38","0.03",NA,NA,"0.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","10",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","7"
"13","X13","82.975","0.061","12.946","0.696",NA,"0.114",NA,"0.313","4.206","1.365","0.043",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"0.1","2.6",NA,NA,NA,NA,NA,NA,"72.3",NA,NA,"4.5",NA,NA,NA,NA,NA,"32.8",NA,NA,NA,NA,"201.4","16.9","32.3",NA,"5.1",NA,NA,NA,"3345.5",NA,NA,NA,NA,NA,"12.7",NA,NA,NA,"18.1","141.5",NA,NA,"29.9",NA,NA,NA,"7.1",NA,"184.3",NA,"37.7","55.7"
"14","X14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.99",NA,NA,NA,NA,"7.6",NA,NA,NA,"350","5.22","1.86","0.34","0.05",NA,"63.1","2.96",NA,"1.11",NA,"0.17",NA,NA,NA,"2.13",NA,"0.04",NA,NA,"162","5.11",NA,NA,NA,NA,"1.25",NA,"2290",NA,NA,NA,NA,NA,NA,NA,"3.44",NA,"8.46","137","0.49",NA,"5.06",NA,"0.05","4.42","1.53",NA,"7.18","0.34","28.6","6.05"
"15","X15","79.96","0.062","12.31","0.71",NA,NA,NA,NA,"4.12","1.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","X15.1",NA,NA,NA,NA,NA,"0.103","0.125",NA,NA,NA,"0.035",NA,NA,"0.5",NA,"0.025",NA,NA,"7.14",NA,"77.9",NA,NA,"0.015",NA,NA,"0.35","17.5",NA,"2.18","1.75","0.33","0.029","2800","54","2.68","3.74","1.072",NA,"0.16",NA,NA,NA,NA,NA,"0.04","0.34",NA,"186","3.26","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.36","3.74",NA,"2.35","190",NA,"149","0.44",NA,"4.93","12","0.047","3.75","3.4",NA,"6","0.33","27","6"
"17","X16","79.26","0.05589","12.21","0.7184",NA,"0.106","0.09232","0.293","4.092","1.362","0.02839",NA,NA,"0.308",NA,NA,NA,NA,NA,"15.1",NA,NA,NA,NA,NA,NA,NA,"10.5","383",NA,NA,NA,NA,NA,"58.1",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,"14.7",NA,"13.8",NA,NA,NA,"2510",NA,NA,NA,NA,NA,NA,NA,NA,"146","31.5","83.3",NA,NA,NA,NA,NA,"7",NA,"5.4","16.9",NA,"27.1","2.2"
"18","X17","82.498",NA,"11.762","0.73",NA,"0.104",NA,NA,"3.796","1.207",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9","74.5",NA,NA,NA,"6.77",NA,NA,"9.8","399.78",NA,"1.56",NA,NA,NA,"54.79","2.41",NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149.5","4.85",NA,NA,NA,NA,"1.14",NA,"2469.87",NA,NA,NA,NA,NA,"2.5",NA,"3.42","185.69","6.68","119.99","0.43",NA,"4.97","11.45",NA,"4.11",NA,NA,"6.4",NA,"30","6.99"
"19","X18","80.05","0.05441","12.21","0.679","0.428","0.1006","0.088","0.2828","4.475","1.325","0.0297",NA,"0.134","0.777",NA,NA,"3.87",NA,NA,NA,"67.9",NA,NA,NA,"6.9","148",NA,"10.8","395",NA,"1.71","0.36",NA,NA,"53.6","2.86","5.3","0.97",NA,"0.16",NA,NA,NA,"1.85","710",NA,NA,NA,"174","4.79","6.03","-","5.1","-","1.07",NA,"2390",NA,NA,NA,NA,"6.3","3.13",NA,"3.06","134","29.9","132","0.46",NA,"4.53","13.7",NA,"4.18",NA,"6.52","7.59","0.29","39.4","3.3"
"20","X19","77.23","0.42","11.73","2.93","0.58","0.06","0.25","1.23","3.85","2.26","0.05","0.5","0.07","0.75",NA,NA,NA,NA,NA,"8.3","72.5",NA,NA,"0.02","9.4",NA,"0.3",NA,"374.9","2","1.8","0.31","0.043",NA,"52.49","2.86",NA,"0.95",NA,"0.164",NA,NA,NA,"2.32","725","0.042","0.2",NA,"173.49","6.06",NA,NA,"5.5",NA,"1.4",NA,"2173.5",NA,NA,NA,NA,"7.52","2.7",NA,"4",NA,NA,"269","0.488",NA,"6.09","17.071","0.051","4.71",NA,"5.7","8.14","0.341","24","6"
"21","X20","79.1750205721064","0.0549824715105104","12.3605380874945","0.730813737025404",NA,"0.105080797266227","0.130626092331367","0.306653792378852","4.21369476722086","1.36268769074715","0.0320832147775386",NA,NA,"0.767885086891308",NA,NA,"4.10420768712475",NA,NA,"8.10444470081125",NA,NA,"2",NA,"8.73072110119333",NA,NA,"11.8127524235453",NA,NA,"1.99175467957203","0.353622426967435","0.0444954388922414",NA,"57.5","3.29551533725253","5","1.09401227312896",NA,"0.184856780590781",NA,NA,NA,"2.35614313391444",NA,"0.0427856217788951",NA,NA,"135.5","6.38948636436282","8",NA,"10.4649742544481",NA,"1.56234164726852",NA,"2582.05933032825",NA,NA,NA,NA,"7.82642036859007",NA,NA,"4.21671244425257","156","35.4128130121835","93.5","0.561646944301787",NA,"5.9752034648777","12.5","0.0538136651635506","4.61488723716907","2","5","8.49743113928649","0.363930550833593","27.5","4"
"22","X21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.65","2.57",NA,NA,"9.12","84.3","0.047",NA,NA,"7.41",NA,"0.29","11.9","390","0.64","1.57","0.3","0.047",NA,"55.9","2.1","5.06","1.15",NA,"0.14",NA,"0.055",NA,"1.99","712","0.034","0.31",NA,"177","4.78","2.22",NA,"9.45",NA,"1.17",NA,"2310",NA,NA,NA,NA,"7.82","3.45",NA,"3.32","166","9.33","141","0.39",NA,"5.41","14.4","0.045","5.06","0.32","6.62","6.51","0.31","30.1","5.48"
"23","X22","79.57","0.04","12.36","0.78",NA,"0.11","0.1","0.3","4.25","1.39","0.03",NA,NA,"0.82",NA,NA,NA,NA,NA,"8","82.2",NA,NA,NA,"7.55",NA,"0.33","15.7","424","1.08","1.81","0.33","0.044",NA,"55.2","2.68","5.44","0.96",NA,"0.17",NA,NA,NA,"1.96","788","0.04",NA,NA,"171","4.98","1.69",NA,"5.26",NA,"1.18",NA,"2605",NA,NA,NA,NA,NA,"2.91",NA,"3.44",NA,"9.11","130","0.49",NA,"5.39",NA,"0.052","4.53","1.27",NA,"8.53","0.35","27.1","5.29"
"24","X23","79.99","0.05","12.49","0.76",NA,"0.11","0.13","0.28","4.2","1.39","0.03",NA,NA,"0.75",NA,NA,NA,NA,NA,"8.33","83.8",NA,NA,"0.03","7.76",NA,"0.26","15.3","462","1.82","1.67","0.307","0.045",NA,"57.14","2.74",NA,"0.94",NA,"0.151",NA,NA,NA,"2.08","620","0.036","0.16",NA,"179","5.35","7",NA,"12",NA,"1.29",NA,"2666",NA,NA,NA,NA,"8.4","2.67",NA,"3.63",NA,NA,"143","0.49","0.24","5.9","19.58","0.045","4.54","4.9","6.35","7.04","0.307","27.3","4.95"
"25","X24","79.69","0.05","12.33","0.7","0.56","0.11","0.13","0.34","4.21","1.4","0.03","0.54",NA,"0.77",NA,NA,NA,NA,NA,"8.792","51.25",NA,NA,"0.013","6.667",NA,"0.31","21.01","418.1","1.267","1.673","0.394","0.049",NA,"56.49","2.534",NA,"1.095",NA,"0.175",NA,NA,NA,"2.149","788","0.052","0.23",NA,"186","4.08","1.383",NA,"5.113",NA,"1.08",NA,"2613",NA,NA,NA,NA,NA,"2.868",NA,"2.861","99.76","8.791",NA,"0.49",NA,"4.81","15.99","0.058","4.274",NA,"8.622","7.893","0.416","27.38","5.524"
"26","X25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.82",NA,NA,NA,"75.41","0.07",NA,NA,"7.55",NA,NA,NA,"419",NA,"1.62","0.27","0.05",NA,"55.7","2.39","7.03","1.26",NA,"0.15",NA,NA,NA,"2.14",NA,"0.04",NA,NA,"157","4.79",NA,NA,NA,NA,"1.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.12",NA,NA,"137","0.45",NA,"5.59",NA,"0.05","4.15",NA,"6.52","7.91","0.34",NA,NA
"27","X26","79.975","0.0733","11.75","0.738",NA,"0.0719","0.151","0.294","4.155","1.302","0.012",NA,NA,"0.94",NA,NA,NA,NA,NA,"31.7","17",NA,NA,NA,"3.36","96","2","15","371.8","8.4","1.12","0.25","0.04","3344",NA,"1.25","1.53","1.63",NA,"0.12",NA,NA,NA,"0.62","644","0.04","2.8",NA,"172","2.5","4.6",NA,"13",NA,"12.75",NA,"2377",NA,NA,NA,"71",NA,"3.6",NA,"1.74","160","43","147.7","0.27",NA,"4.6","12.62","0.04","4.55","5.2","11.1","3.62","0.23",NA,"10"
"28","X27","79.36","0.051","12.25","0.72",NA,"0.104","0.11","0.294","4.74","1.32","0.039",NA,NA,"0.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","X28","77.26","0.06","12.69","0.79",NA,"0.12","0.1","0.3","4.55","1.4","0.05",NA,NA,"2.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","X29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7","72",NA,NA,NA,"6.73",NA,"0.47","13.3","338","1.32","1.8","0.32","0.043",NA,"52.4","2.53",NA,"0.93",NA,"0.17",NA,NA,NA,"1.76",NA,"0.037",NA,NA,"160","4.64","1.13",NA,"5.31",NA,"1.17",NA,"2346",NA,NA,NA,NA,NA,"2.7",NA,"3.18",NA,"10.3","83.8","0.47",NA,"4.95",NA,"0.047","4.29","1.45",NA,"8.14","0.33","26.3","5.17"
"31","X30","79.043","0.06","12.257","0.744",NA,"0.099","0.139","0.298","4.161","1.398","0.03",NA,NA,"0.817",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.3",NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,"18.3",NA,NA,NA,NA,"142.3",NA,NA,NA,"14",NA,NA,NA,"2523.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.3",NA,NA,NA,"1.3",NA,NA,NA,"5.3",NA,"35",NA,"27.7","12.7"
"32","X31","79.7","0.061","12.38","0.763",NA,"0.172",NA,"0.296","4.13","1.351",NA,NA,NA,"0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7","0.3",NA,NA,NA,"2.61",NA,NA,NA,"0.16",NA,NA,NA,NA,"1130",NA,NA,NA,NA,"5.05",NA,NA,NA,NA,"1.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.42",NA,NA,NA,"0.47",NA,NA,NA,NA,NA,NA,NA,NA,"0.36",NA,NA
"33","X31.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.4",NA,NA,"16.5","25","2",NA,NA,"6",NA,"0.25","21",NA,"1",NA,NA,NA,NA,"58",NA,NA,"2",NA,NA,NA,NA,NA,"1.87",NA,NA,"0.12",NA,"140",NA,"2",NA,"10",NA,NA,NA,"2500",NA,NA,NA,NA,NA,"2.5",NA,NA,NA,"35","91",NA,NA,"4",NA,NA,"1.6","4","7","14",NA,"26","4.5"
"34","X32","79.32","0.053","12.48","0.76",NA,"0.114","0.11","0.307","4.13","1.36","0.028",NA,NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"398",NA,NA,NA,NA,NA,"60",NA,NA,NA,"0.0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"2512",NA,NA,NA,NA,NA,"3",NA,NA,"204","34","134",NA,NA,"11",NA,NA,NA,NA,NA,"11",NA,"31","9"
"35","X33","77.2","0.07","12.49","0.74",NA,"0.1","0.18","0.31","2.83","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.2",NA,"3",NA,"2.6","13.9",NA,NA,"19.8","438.7","3.9",NA,NA,NA,NA,"59.3",NA,"4.9","3",NA,NA,NA,"2.1",NA,"19",NA,NA,NA,NA,"128.4","15.2","1.8",NA,"4.6",NA,NA,NA,"2424",NA,NA,NA,"58.6","13.8",NA,"0.2",NA,"189.2","34.4","128.2",NA,NA,"14.9","10.5",NA,"1.9","19.6","11.8","18.2",NA,"31.5","2.4"
"36","X34","70.06","0.053","12.181","0.774","1.27","0.102","0.123","0.274","4.25","1.369","0.047",NA,NA,"0.7",NA,NA,NA,NA,NA,"8.19",NA,NA,NA,NA,"7.99",NA,"0.23","11.79","385.9","1.006","1.769","0.299","0.04",NA,"55.34","2.91",NA,"1.196",NA,"0.164",NA,NA,NA,"2.087",NA,"0.042",NA,NA,"179.38","5.7","0.554",NA,"5.98",NA,"1.398",NA,"2322",NA,NA,NA,NA,NA,"1.216",NA,"3.76",NA,"8.75","128.94","0.498",NA,"5.16",NA,"0.048","4.05","0.33",NA,"7.83","0.32","23","5.81"
"37","X35","79.69","0.044","12.25","0.72",NA,"0.1","0.091","0.276","4.16","1.34","0.025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","X36","80.14","0.0534","12.08","0.7513","0.7","0.1052","0.1247","0.4362","4.098","1.38",NA,NA,NA,"0.76",NA,NA,"1.2",NA,NA,"9.3","44.7",NA,NA,NA,"7.8","118","0.437","18.6","416","4.08","1.62","0.31","0.42","2780","48.4","2.64","4.85","1.35",NA,"0.15",NA,NA,NA,"2.09","33.233","0.038","0.89",NA,"199","5.55","6.76",NA,"6.39",NA,"1.33",NA,"3030",NA,NA,NA,NA,"6.4","8.753",NA,"3.44","179","46.1","132","0.47",NA,"5.23","8.17","0.045","5.72","6.76","4.95","9.69","0.29","29.7","6.87"
"39","X37","80.07","0.06","12.3","0.75",NA,"0.11","0.09","0.29","3.99","1.31","0.03",NA,NA,"0.83",NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,"12",NA,"6",NA,NA,NA,NA,"54",NA,"7",NA,NA,NA,NA,NA,NA,NA,"656",NA,NA,NA,"140",NA,NA,NA,"16",NA,NA,NA,"2538",NA,NA,NA,NA,"8",NA,NA,NA,"146","34","123",NA,NA,NA,NA,NA,NA,NA,"8","35",NA,"26","4"
"40","X38","79.35","0.053","12.53","0.73",NA,"0.11","0.022","0.378","4.318","1.416","0.024",NA,NA,"1.095",NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,"120",NA,"4.7","438","0.6",NA,NA,NA,NA,"65.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166.8",NA,NA,NA,NA,NA,NA,NA,"2725",NA,NA,NA,NA,"7.7","2.7",NA,NA,"185.2","14.7","91.7",NA,NA,"1.7",NA,NA,"0.6",NA,NA,"7.6",NA,"24.8","4.6"
"41","X39","79.25281","0.0585221","12.3937905","0.8044309",NA,"0.0535","0.0431","0.3213756","4.06530215","1.38022885","0.03",NA,NA,"0.81",NA,NA,"2.48473420516537",NA,NA,"4.16","53.2","0.19",NA,NA,"3.65899011760023","122","0.23","15.5142348501635","298","1.3","0.492460687321012","0.0831886517145496","0.0211338649865372","2495","47.2","0.903294913665113",NA,"0.97",NA,"0.0431557786678595",NA,NA,NA,"0.893274405616173","1040","0.0125229978419595","0.27",NA,"180","2.25185376783218","1.6",NA,"4.87",NA,"0.546159780760227",NA,"2040",NA,NA,NA,"177","7.04","5.1",NA,"1.36955583190354","103",NA,"117.170112906554","0.15157548449388",NA,"2.25880599141876","12.9","0.012107319431191","2.71750769501051",NA,"6.38","1.55733143529973","0.0967215962491076","24",NA
"42","X40",NA,NA,"12.28","0.74",NA,"0.10",NA,NA,"4.26","1.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"8",NA,NA,"12.3","409",NA,"2",NA,NA,NA,"50",NA,NA,"1.18",NA,NA,NA,NA,NA,"1.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2520",NA,NA,NA,NA,"7.5","2.73",NA,"2.93",NA,NA,"125","0.45",NA,"4.72",NA,NA,"4.2",NA,"6.8",NA,NA,NA,NA
"43","X40.1","87.71","0.05",NA,NA,NA,NA,NA,"0.22",NA,NA,NA,NA,NA,NA,NA,NA,"2.6",NA,NA,NA,NA,NA,NA,NA,NA,"170","0.32",NA,NA,NA,NA,NA,"0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","X41","79.5","0.05","12.38","0.72","0.6","0.107","0.09","0.27","4.2","1.35","0.021",NA,NA,"0.76",NA,NA,NA,NA,NA,"8.4","80",NA,NA,NA,"8.32",NA,NA,"18","443",NA,"1.7","0.32","0.05","3208","68","3.03",NA,"1.06",NA,"0.16",NA,NA,NA,"2.12",NA,"0.04",NA,NA,"169","5.89",NA,NA,"7.47",NA,"1.44",NA,"2520",NA,NA,NA,NA,NA,"3.08",NA,"3.95",NA,"36","126","0.52",NA,"6.25",NA,"0.05","4.73",NA,NA,"7.95","0.32","29","5.2"
"45","X41.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","3",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","X42","78.63","0.08","12.23","0.76",NA,"0.1","0.117","0.32","4.11","1.36","0.016",NA,NA,"0.87",NA,NA,NA,NA,NA,"7.62","39.27",NA,NA,"0.41","6.807",NA,"0.698","15.3","393.67",NA,"1.71","0.293","0.061",NA,"58.73","5.057",NA,"1.033",NA,"0.463",NA,NA,NA,"1.94","672.3","0.041",NA,NA,"104.67","6.053","3.083",NA,"6.323",NA,NA,NA,"2433.3",NA,NA,NA,NA,"7.99","2.56","0.1","3.75",NA,"33.8","151","0.538",NA,"5.12","15.6",NA,"4.66","0.867","6.36","17.67","0.376","23.33","7.67"
