"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"94","U108","53.7","0.37","21.9","2.88","*","0.15","0.31","2.46","6.8","8.76","0.06","*","*","3.12","*","*","*","*","340","7.7","*","*","*","*","*","293.5","*","2.1","45.4","11.62","6.2","4.1","2.1","2.5","*","19.9","8.5","*","9.5","*","0.8","*","*","*","161","*","0.3","3.7","*","42.3","86.7","0.2","*","70.7","*","26.9","*","182.5","*","*","*","*","*","0.3","*","12.5","0.77","1357.5","1.77","*","*","61.1","1.1","*","12.4","29.2","5.1","25.6","2.1","154.9","571.1"
"95","U109","55.6","0.79","14.9","7.8","*","0.1","3.56","2.88","1.42","*","*","*","*","1.99","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","580","*","*","*","*","*","*","*","*","*","720","*","*","*","*","*","*","*","*","*","*","*","*","900"
"96","U110","55.66","0.796","13.08","7.79","*","0.103","3.28","3.18","1.73","10.44","0.726","*","*","2.08","*","*","*","*","5184","*","*","*","*","*","*","489.42","*","*","316","10.89","119","13.13","4.19","9.42","*","20","27.32","*","24.24","*","1.97","*","*","*","226.51","*","0.44","*","*","27.62","229.38","239","*","263.78","*","60.05","*","648.3","*","*","*","*","*","15.5","*","42.95","*","794","1.41","3.09","*","133.56","*","0.51","13.86","158","*","50.59","2.99","111","1000"
"97","U111","59.01","0.8","12.92","7.91","*","0.09","3.25","3.08","1.94","10.31","0.74","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"98","U112","56.31","0.816","13.29","7.7","*","*","*","*","1.84","10.23","0.707","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"99","U112.1","*","*","*","*","*","0.0995","3.4105","3.207","*","*","*","*","*","1.56","0.21","7.2","*","27","5158","24.54","*","*","2900","*","*","657.07","*","18","320.57","10","100","14.07","4.92","10.01","3000","24.53","30.6","1.8","30.38","0.032","2.12","*","*","*","300.89","28","0.51","43.65","*","33.73","285.27","180","*","264.3","*","72.85","*","660","*","*","*","*","0.17","12","*","52.53","9.64","755","1.59","3.24","*","81","1.25","0.6","16.07","160","3.95","42","3.45","117","834"
"100","U116","53.93","0.82","13.56","8.64","*","0.13","5.84","3.48","1.24","11.99","1.12","*","*","2.29","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.07","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"101","U117","54.51","0.77","12.76","7.59","*","0.093","3.24","3.05","1.83","10.4","0.7","*","*","2.49","6.57","*","*","*","5900","*","1.4","*","*","*","*","506.1","*","16","268.3","11.3","107.9","*","*","*","*","19.3","*","1.3","22","*","*","5.71","*","*","233.1","*","*","26.6","*","25.7","205.4","159.5","*","249.1","*","*","*","643.2","*","*","*","1200","2.61","16.3","*","32.5","6.99","768.9","*","*","*","119.4","3","*","10.4","164.4","4.1","45.2","1.2","111.3","878.9"
"102","U118","53.3","0.64","11.9","7.58","*","0.09","4.83","2.83","1.33","8.59","0.63","*","*","2.02","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"103","U119","57.37","0.71","13.67","5.88","2.72","0.087","2.51","2.87","1.73","10.42","0.7","*","*","2.45","*","*","*","*","5220","29","1","*","*","*","1.11","470","*","21","340","10.7","116","11.3","3.72","8.32","*","24.7","22.7","*","*","*","1.7","*","*","*","216","30.1","0.42","30.8","*","30.8","216","250","*","220","*","56.9","*","671","*","*","*","*","0.58","15.8","*","39.1","9.87","789","*","2.65","*","113","3.4","0.46","12.2","147","4","52.8","2.82","115","949"
"104","U120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.4","487","*","*","*","11.2","*","12.2","4.1","8.7","*","43.2","23.4","5.5","*","*","1.9","*","*","*","220","*","0.5","*","*","27.8","230","*","*","*","*","60.1","*","619","*","*","*","*","0.4","23.6","*","42.8","8.8","*","1.9","3.6","*","122","*","0.5","13.8","*","4.1","47.5","4.2","*","*"
"105","U122","56.32","0.81","13.05","7.7","3.045","0.11","3.34","3.19","1.76","10.55","0.72","*","*","2.474","0.57","3.88","*","*","5358","21.23","0.71","*","*","*","0.23","497.6","95","21.04","326.1","11.04","111.3","12.53","4.13","9.08","2855","21.12","26.89","1.34","26.44","*","1.81","*","*","*","230.6","*","0.46","36.93","*","27.48","257","243.1","*","264.2","*","58.49","*","665.4","*","*","*","1682","0.27","3.89","*","41.22","9.19","812.6","1.4","2.85","*","138.3","*","*","14.32","161.2","4.37","47.98","3.04","111.2","1061"
"106","U123","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","360.2","*","*","*","*","*","11.51","3.4","8.54","*","*","27.3","*","*","*","1.59","*","*","*","186.9","*","0.37","*","*","*","189","*","*","*","*","42.84","*","*","*","*","*","*","*","*","*","31.96","*","*","*","3.48","*","*","*","0.39","*","*","*","51.61","2.44","*","*"
"107","U124","55.83","0.795","13.35","7.74","*","0.14","3.22","3.12","1.43","9.93","0.721","*","*","2.4","*","*","*","*","*","*","*","*","*","*","*","486","*","15","322","11","121","11.84","*","*","*","19","*","1.81","11.4","*","1.79","*","*","*","223","28.46","*","*","*","23","269","228","*","253","*","65.66","*","624","*","*","*","*","*","15.22","*","39","*","708","*","3.55","*","134","*","*","23","180","*","30","2.77","112","989"
"108","U125","53.93","0.82","12.45","7.71","3.61","0.1","3.14","3.13","1.76","10.4","0.67","0.72","2.44","*","*","*","*","*","5293","*","*","*","*","*","*","459","*","20","65","12","112","*","*","*","*","23","*","*","*","*","*","*","*","*","145","*","*","18","*","28","194","141","*","250","*","*","*","647","*","*","*","*","*","16","*","*","3","745","*","*","*","123","*","*","10","182","2","52","*","100","876"
"109","U125.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","47","*","*","*","*","*","*","*","*","19","*","79","*","*","*","*","*","*","*","4143","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","371","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"110","U126","55.6","0.831","13","7.78","*","0.101","3.27","3.11","1.72","10.4","0.718","*","*","2.06","*","*","*","*","4879","20.9","*","*","*","5820","*","451","*","18","256","10.5","119","6","3.27","8.44","0.291","17.7","22.3","*","21.1","*","1.56","*","*","*","208","*","0.391","25.7","*","27.2","202","154.6","*","237","*","50.1","*","625","*","*","*","977","*","13.3","*","40.2","8.1","756","1.25","2.56","*","120","*","0.413","12.6","176","3.55","34.5","2.38","109","875"
