"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","B2","49.882","2.472","13.688","13.117",NA,"0.168","5.455","9.214","2.386","0.983","0.295",NA,NA,"0.81",NA,NA,NA,NA,"329.4","1",NA,NA,NA,NA,NA,"58.52",NA,"43.7","88.8",NA,"59.1","6.09","3.03","2.23",NA,"22.4","6.13",NA,"4.87",NA,"1.16",NA,NA,NA,"25.1",NA,"0.35","2.77",NA,"15.88","32.28","52.7",NA,"13.52",NA,"7.51",NA,"24.74",NA,NA,NA,NA,NA,"27.5",NA,"8.38","19.49","402.18","1.02","0.94",NA,"2.88",NA,"0.4","0.58","331.7",NA,"26.14","2.57","110","187.6"
"2","B3","50.48","2.28","14.02","12.66",NA,"0.16","6.36","8.86","2.47","0.88","0.35",NA,NA,NA,NA,"1",NA,NA,"391",NA,NA,"2",NA,NA,NA,"51","72","45","69","2","87",NA,NA,NA,NA,"22",NA,NA,"3",NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,"22","33",NA,NA,"14",NA,NA,NA,"32",NA,NA,NA,"376",NA,"30",NA,NA,"13","409","17",NA,NA,"10",NA,NA,"3","217",NA,"33",NA,"110","211"
"3","B4","51.42","2.44","13.77","13.36",NA,"0.2","5.91","8.38","2.41","1.06","0.3","0.77",NA,"0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,"507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"241",NA
"4","B5","50.57","2.47","13.7","12.94",NA,"0.18","5.43","8.9","2.43","0.98","0.31",NA,NA,NA,NA,NA,NA,NA,"346",NA,NA,NA,NA,NA,NA,"53",NA,"48","82",NA,"62","5","2.3","2.1",NA,NA,"6",NA,NA,NA,"1",NA,NA,NA,"25","15","0.3",NA,NA,"15","27","50",NA,"14",NA,"6",NA,"24",NA,NA,NA,NA,NA,"23",NA,"7",NA,"409",NA,"1",NA,NA,NA,"0.3","2","330",NA,"28","2","107","202"
"5","B6","41.21","2.67","16.91","15.87",NA,"0.21","7.91","11.01","0.23","1.45","0.5",NA,NA,"1.35",NA,"72",NA,"46","294","0.81",NA,NA,NA,NA,"0.25","48.7",NA,"37.4","81.5",NA,"56.5","5.06","2.6","1.8",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"22.5","5","0.3","3",NA,NA,"27.3","42.19",NA,"8",NA,"6.16",NA,NA,NA,NA,NA,"0.15","0.13","22.16","59.33","7.21","11.64","445",NA,"0.89",NA,"9.13",NA,"0.34",NA,"300",NA,"23.1","2.14","137",NA
"6","B7","52.08","2.1","12.9","12.66",NA,"0.17","6.55","8.5","2.28","0.97","0.3",NA,NA,"1.29",NA,NA,NA,NA,"370",NA,NA,NA,NA,NA,NA,"57.18",NA,"1","128","0.62","68","5.92","2.75","2.08",NA,"28.7","6.88","4.04","5.95",NA,"1.09",NA,NA,NA,"24.22",NA,"0.36",NA,NA,"18","29.58","38",NA,"12",NA,"7.08",NA,"25",NA,NA,NA,NA,NA,"14",NA,"8.06",NA,"400","1.48","1.05",NA,"2.63",NA,"0.4","0.49","310",NA,"27","2.41","127","201"
"7","B8","51.1","2.39","13.65","13.4","7.94","0.17","5.56","8.99","2.47","0.98","0.29","1.38",NA,"0.65",NA,"0.91",NA,NA,"353","1",NA,NA,NA,NA,"0.098","61.4",NA,"45.3","82","0.49","66","6.36","3.15","2.22",NA,"23.9","7.2",NA,"4.96",NA,"1.18",NA,"0.098",NA,"27.6","15.2","0.36","3.5",NA,"16.8","33.6","57.9",NA,"13.7",NA,"8.14",NA,"25.6",NA,NA,NA,NA,NA,"28.8",NA,"9.19","18.2","421","1.14","1.03",NA,"3.09","0.153","0.41","0.67","353","0.488","29.1","2.55","119","206"
"8","B9","51.13","2.42","13.77","13.44","7","0.18","5.59","9.1","2.33","0.99","0.3",NA,"0.13","0.74",NA,NA,NA,NA,"331",NA,NA,NA,NA,NA,NA,NA,NA,"39","98",NA,"70",NA,NA,NA,NA,"17",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"115",NA,"11",NA,NA,NA,"26",NA,NA,NA,"357",NA,"26",NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,NA,"343",NA,"29",NA,"116","203"
"9","B10","48.41","2.35","13.24","13.01",NA,"0.168","5.69","9.04","2.33","0.99","0.29",NA,NA,"0.98",NA,NA,NA,NA,"334",NA,NA,NA,NA,NA,NA,"37",NA,"35","80",NA,"56",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"48",NA,"24",NA,NA,NA,"23",NA,NA,NA,"400",NA,NA,NA,NA,NA,"398",NA,NA,NA,NA,NA,NA,NA,"346",NA,"27",NA,"112","208"
"10","B11","51.44","2.45","13.74","13.42",NA,"0.17","5.46","9.72","2.42","0.91","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
