"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","B12","50.75","2.4","13.72","13.14",NA,"0.17","5.7","8.93","2.51","1","0.293",NA,NA,"1.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"404.192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","B14","50.96","2.4","13.6","13.3","7.8","0.169","5.68","9.05","2.47","1.02","0.31",NA,NA,"0.7",NA,NA,NA,NA,"339","1.12",NA,NA,NA,NA,NA,"60.6",NA,"43","95",NA,"60",NA,NA,"2.02",NA,NA,NA,NA,"5.33",NA,NA,NA,NA,NA,"27.5","13.8",NA,NA,NA,"17.5","35.1","52",NA,"14",NA,NA,NA,"24.4",NA,NA,NA,"600",NA,NA,NA,NA,"18","395",NA,NA,NA,NA,NA,NA,NA,"333",NA,"30.5",NA,"108","196"
"13","B16","50.98","2.43","13.73","13.27",NA,"0.17","5.52","8.77","2.34","1.01","0.29",NA,NA,"1.18",NA,NA,NA,NA,"341",NA,NA,NA,NA,NA,NA,NA,NA,"43","87",NA,"64",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"52",NA,"14",NA,NA,NA,"25",NA,NA,NA,NA,NA,"26",NA,NA,"21","394",NA,NA,NA,NA,NA,NA,NA,"316",NA,"30",NA,"102","204"
"14","B17","51.055","2.407","13.696","13.201",NA,"0.172","5.584","8.97","2.393","0.985","0.297",NA,NA,"0.69",NA,NA,NA,NA,"331.3",NA,NA,NA,NA,NA,NA,NA,NA,"44.6","90.8",NA,"62.9",NA,NA,NA,NA,"22.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.7",NA,"52.6",NA,"17.1",NA,NA,NA,"25.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"401.3",NA,NA,NA,NA,NA,NA,NA,"336.9",NA,"31.7",NA,"113","194.2"
"15","B17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.8",NA,NA,NA,NA,NA,NA,NA,"30.8",NA,NA,NA,NA,NA,"32.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","B19","50.87","2.46","13.66","13.07",NA,"0.16","5.53","8.92","2.47","1.01","0.29",NA,NA,"1.07",NA,NA,NA,NA,"312",NA,NA,NA,NA,NA,NA,NA,NA,"42","76",NA,"53",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,"346",NA,NA,NA,NA,NA,NA,NA,"311",NA,NA,NA,"99",NA
"17","B20","51.38","2.41","13.6","13.26",NA,"0.17","5.39","8.99","2.28","1.06","0.33",NA,NA,"1.63",NA,NA,NA,NA,"390",NA,NA,NA,NA,NA,NA,NA,NA,"40","125",NA,"69",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"54",NA,"14",NA,NA,NA,"29",NA,NA,NA,NA,NA,"26",NA,NA,NA,"392",NA,NA,NA,NA,NA,NA,NA,"360",NA,"32",NA,"117","243"
"18","B21","50.58","2.34","14.19","13.01",NA,"0.168","5.653","9.022","2.482","0.982","0.304",NA,NA,"1.295",NA,NA,NA,NA,"337.5","1.2",NA,NA,NA,NA,NA,"59.88",NA,"44.3","93.2","0.481","66.14","6.09","3.036","2.16",NA,"34.34","7.16",NA,"5.2",NA,"1.163",NA,NA,NA,"26.88","14.1","0.35","3.98",NA,NA,"32.55","52.76",NA,"16.39",NA,"7.78",NA,"26.1",NA,NA,NA,NA,NA,"27.6",NA,"8.51",NA,"403.4","0.98","1.067",NA,"3.06",NA,NA,"0.63","324.1",NA,"31.31","2.51","122.6","209.2"
"19","B22","51.36","2.43","13.62","13.15",NA,"0.17","5.64","8.95","2.29","1","0.29",NA,NA,"1.04",NA,NA,NA,NA,"336","1.09",NA,NA,NA,NA,NA,"58.5",NA,"44.9","86.8","0.48","64.5","6.14","3.12","2.2",NA,"23","6.98",NA,"5.37",NA,"1.18",NA,NA,NA,"27.8",NA,"0.4",NA,NA,"13.3","33.9","50.1",NA,"16.1",NA,"8.16",NA,"25.4",NA,NA,NA,NA,NA,"28.6",NA,"8.87",NA,"402","0.76","1.12",NA,"3.14",NA,"0.46","0.66","347",NA,"29.9","2.7","117","199"
"20","B23",NA,"2.81",NA,"14.3",NA,NA,"5.87","9.09","2.6","1.15",NA,NA,NA,NA,NA,NA,NA,NA,"344",NA,NA,NA,NA,NA,NA,"57.2",NA,"49.2","90.7",NA,"65.7","6.2","2.93","2.21",NA,NA,"7.4",NA,NA,NA,"1.09",NA,NA,NA,"24.9","14.4","0.34",NA,NA,NA,"31.8","54.3",NA,"15.01",NA,"7.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.95",NA,"399",NA,"1.04",NA,"2.95",NA,"0.4","0.65","356",NA,"27.1","2.38","125",NA
"21","B24","50.78","2.49","13.3","13.58",NA,"0.165","5.79","9.4","2.53","1.02","0.303",NA,NA,"0.8","6.5",NA,NA,NA,"352.3",NA,NA,NA,NA,"500","8.1","66",NA,"48.1","85.8","2.7","58.9",NA,NA,NA,NA,"21.6",NA,NA,"3.5",NA,NA,NA,NA,NA,"33.2",NA,NA,"2.9",NA,"15","31.4","46.2",NA,"9.8",NA,NA,NA,"24.6",NA,NA,NA,"620",NA,"23.7",NA,"7.1","18.1","381.7",NA,NA,"2.1","2.7",NA,NA,"2.5","276.7","1.3","28.6","1.3","106.1","192.2"
"22","B25","51.02","2.319","13.763","13.494",NA,"0.1598","5.539","8.863","2.431","1.002","0.2999","2.022",NA,"1.0205",NA,"2.921",NA,NA,"315.8",NA,NA,NA,NA,"342",NA,"63.12","73.29","43.83","87.62",NA,"63.89","6.9","3.503","2.476","486.3","24.6","8.023",NA,"5.476",NA,"1.305",NA,NA,NA,"28.03",NA,"0.4172",NA,NA,"18.07","35.73","52.94",NA,"14.6",NA,"8.398",NA,NA,NA,NA,NA,NA,NA,"27.38",NA,"9.842",NA,"399.78","1.3326","1.1928",NA,"3.4125",NA,"0.46","0.7925","343.2",NA,"29.208","2.728","155.17","200.8"
"23","B28","38.5","0.962","8.6","12.9105",NA,"0.156",NA,NA,NA,"0.867","1.468","0.4",NA,"1.51","23","3.5",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"113","60",NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"19",NA,"135.5",NA,"14.3",NA,NA,NA,"15",NA,NA,NA,"1235",NA,NA,"3.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"433","114","23",NA,"122","168"
"24","B29","50.33","2.121","13.62","13.58",NA,"0.173","5.599","8.309","2.441","0.96","0.32",NA,NA,NA,"0.064","1.683",NA,NA,"335.6","1.121","0.012",NA,NA,NA,NA,"59.8",NA,"43.9","90.2","0.443","65.59","5.97","2.87","2.12",NA,"21","7.28","2.034","5.139",NA,"1.22",NA,"0.156",NA,"26.98","12.03","0.352","2.5",NA,"18.5","31.74","53.99",NA,"12.03",NA,"7.6",NA,"24.9",NA,NA,NA,NA,"0.08","27.62","2.39","8.15","11.1","399","1.132","1.105","0.049","3.039","0.153","0.402","0.635","319.7","0.436","30.3","2.24","116.9","196.2"
"25","B30","50.07",NA,"16.21","13.04",NA,NA,"5.86","9.13","2.77","1.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74.13",NA
"26","B31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"361.48",NA,NA,NA,NA,NA,NA,"59.72",NA,NA,NA,"0.48",NA,"5.91","3.09","2.25",NA,"21.24","7.06",NA,"5.14",NA,"1.21",NA,NA,NA,"27.39",NA,"0.36",NA,NA,"18.28","34.51",NA,NA,NA,NA,"7.94",NA,"24.81",NA,NA,NA,NA,NA,"27.54",NA,"9.18","21.26","367.67","1.04","1.07",NA,"3.17",NA,"0.45","0.74",NA,"1.29","29.08","2.43",NA,"200.01"
"27","B33","49.46","2.497","13.71","13.57",NA,"0.178","5.531","9.923","2.254","1.071","0.267",NA,NA,"1.216","0.038","2.418",NA,NA,"322","0.81","0.02",NA,"335","453","0.07","51.4","380","53.9","76","0.584","62.9","4.84","2.82","2.01",NA,"19.1","6.59",NA,"4.69",NA,"1.07",NA,"0.16",NA,"24.5","12.5","0.33","2.37",NA,"16.2","35.7","39.8",NA,"9.72",NA,"2.4",NA,"26.5",NA,NA,NA,"457","0.351","22","0.19","6.14","13.5","511","3.45","2.16","0.02","3.25","0.18","0.38","0.64","336","0.55","23.3","2.35","92","185"
"28","B34","51.102","2.421","13.829","13.085",NA,"0.17","5.62","8.985","2.605","1.024","0.297",NA,NA,"0.63",NA,NA,NA,NA,"374.2",NA,NA,NA,NA,NA,NA,"65.6",NA,"43.6","89.3",NA,"55.3",NA,NA,NA,NA,"23",NA,"0.7","3.9",NA,NA,NA,NA,NA,"30.5",NA,NA,"3.8",NA,"16","39.4","50.7",NA,"11.2",NA,NA,NA,"24.3",NA,NA,NA,NA,NA,"28.6",NA,"8.8","16.82","396.3",NA,NA,NA,"6",NA,NA,NA,"314.8",NA,"29.4",NA,"111.7","190.6"
"29","B35","50.78","2.4","13.74","13.02",NA,"0.17","5.48","8.84","2.47","1","0.3",NA,NA,"1.05",NA,NA,NA,NA,"404.59","1.2",NA,NA,NA,NA,NA,"59",NA,"45.2","93.9","0.6","62.7","6.1","3","2.2",NA,"22","6.9",NA,"5.1",NA,"1.2",NA,NA,NA,"27.3",NA,"0.4","3.3",NA,"17.6","33.1","55.5",NA,"16.4",NA,"7.7",NA,"26.5",NA,NA,NA,NA,NA,"27.39",NA,"8.6","20.9","393.97","1.2","1.1",NA,"3.2","0.2","0.4","0.7","343.4","0.7","30.9","2.5","121.76","199.92"
"30","B36","51.16","2.43","13.64","13.02",NA,"0.17","5.43","9.11","2.44","0.99","0.3",NA,NA,"1.11",NA,"27.1",NA,NA,"355","1.46",NA,NA,NA,NA,"0.2","61.7",NA,"44.8","91.3","0.77","63.9","6.06","2.99","2.24",NA,"23.7","7.71","0.85","5.55",NA,"1.16",NA,NA,NA,"27.5","14.8","0.36","2.71",NA,"19.4","33.1","46.4",NA,"13.1",NA,"7.95",NA,"28.3",NA,NA,NA,NA,"0.34","28.9",NA,"8.75","28.5","408","1.27","1.16","0.04","2.96","0.18","0.42","0.63","335","0.58","31.3","2.52","106","201"
"31","B36.1",NA,NA,NA,NA,"7.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","B37","50.33","2.41","13.45","13.1",NA,NA,"5.61","9.03",NA,"1","0.31",NA,NA,"0.86",NA,NA,NA,NA,"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"409",NA,NA,NA,NA,NA,NA,NA,"332",NA,"31",NA,"122","195"
"33","B37.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61",NA,"48",NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,"16",NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","B39","51.78","2.35","13.49","12.95",NA,"0.17","5.45","8.7","2.47","0.95","0.26","1.19","0.17","1.42",NA,"5.11",NA,NA,"330.14",NA,"0.05",NA,NA,NA,NA,"60.74",NA,"46.08","97.26","0.39","75.29","6.09","3.23","2.38",NA,"20.38","7.33","2.31","5.07",NA,"1.15",NA,"0.1",NA,"26.85",NA,"0.37","1.99",NA,"17.2","36.2","42.2",NA,"16.02",NA,"7.33",NA,"24.31",NA,NA,NA,"587.67","0.61","26.54",NA,"9.33","13.33","406.54","1","1.05",NA,"3",NA,"0.41","0.64","332.47","0.27","30.09","2.24","92.06","196.11"
"35","B40","51.011","2.4227","13.719","13.283",NA,"0.1695","5.66","9.07","2.528","1.001","0.3033",NA,NA,"0.873",NA,NA,NA,NA,"316.8","1.04",NA,NA,NA,NA,NA,"58.9",NA,"46.5","97.5","0.48","67.7","6.04","3.13","2.2",NA,"21.11","7.09",NA,"5.44",NA,"1.16",NA,NA,NA,"26.22","12.95","0.37","3.5",NA,"17.44","31.2","50.93",NA,"12.32",NA,"7.39",NA,"27.17",NA,NA,NA,NA,"0.08","24.75",NA,"8.47","16.14","403.2","1.12","1.1",NA,"3.15",NA,"0.41","0.71","340.1",NA,"31.7","2.51","109.1","201.5"
"36","B41","51.16","2.4","13.72","13.22",NA,"0.17","5.58","8.87","2.48","1","0.3",NA,NA,"0.64","0.11","0.7",NA,NA,"358","1.09","0.01",NA,NA,NA,"0.13","65.5",NA,"46.1","100","0.51","71.2","6.23","3.37","2.24",NA,"24","7.38","0.21","5.4",NA,"1.2",NA,"0.95",NA,"27.3","14.2","0.39","3.58",NA,"17.4","34.3","55.4",NA,"16.5",NA,"8.07",NA,"26.8","0.002",NA,NA,"600","0.11","30.6","1","9.12","19","447","1.1","1.14","0.05","3.19","0.16","0.41","0.68","353","3","32.6","2.51","119","198"
"37","B42","51.47","2.41","13.63","13.27",NA,NA,"5.36","8.96","2.47","0.99","0.32","0.77",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","B43","52.04","2.42","13.67","13.24",NA,"0.17","5.65","9.02","2.44","1","0.3",NA,NA,NA,NA,NA,NA,NA,"374.2",NA,NA,"0.4",NA,NA,NA,"72",NA,"40.5","84.5",NA,"53.2",NA,NA,NA,NA,"19.7",NA,NA,NA,NA,NA,NA,NA,NA,"28.5",NA,NA,"3.2",NA,"16.9","32.7","51",NA,"16.2",NA,NA,NA,"24.6",NA,NA,NA,NA,"1.9","27","0.7","9.4","14.5","386.1","2.6",NA,"2","3.8","2",NA,"3","323.4","5.7","28.7",NA,"113","196.2"
"39","B43.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","B44","50.19","2.458","14.03","13.34",NA,"0.169","5.76","8.81","2.58","0.95","0.307",NA,NA,"0.8",NA,NA,NA,NA,"327",NA,NA,NA,NA,NA,NA,"69.3",NA,NA,NA,NA,NA,"7.21","3.7","2.7",NA,NA,"8.48",NA,NA,NA,"1.39",NA,NA,NA,"31.1",NA,"0.38",NA,NA,NA,"38.6",NA,NA,NA,NA,"9.4",NA,NA,NA,NA,NA,NA,NA,"31.7",NA,"10.22",NA,NA,NA,"1.25",NA,NA,NA,"0.45",NA,NA,NA,"31.7","2.61",NA,NA
"41","B45","51.54","2.413","13.68","12.98",NA,"0.171","5.43","9.02","2.49","1.01","0.29",NA,NA,NA,NA,NA,NA,NA,"336",NA,NA,NA,NA,"360",NA,NA,NA,NA,"95",NA,"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"340",NA,"28",NA,"112","118"
"42","B46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,NA,"5.95","2.95","2.12",NA,NA,NA,NA,NA,NA,"1.12",NA,NA,NA,"25.5",NA,"0.342",NA,NA,NA,"34",NA,NA,NA,NA,"7.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.65",NA,NA,NA,"1.01",NA,NA,NA,"0.395",NA,NA,NA,NA,"2.39",NA,NA
"43","B46.1","51.27","2.36","13.89","13.15",NA,"0.165","5.62","8.77","2.58","0.99","0.296",NA,NA,"0.43",NA,NA,NA,NA,"330","1.08",NA,NA,NA,NA,NA,NA,NA,"43.8","85","0.45","67",NA,NA,NA,NA,"21.8","7.05",NA,"4.95",NA,NA,NA,NA,NA,NA,"12.9",NA,"3.04",NA,"17.5",NA,"50",NA,"11.2",NA,NA,NA,"28",NA,NA,NA,NA,"0.096","27",NA,NA,NA,"405","1.3",NA,NA,"3.04","0.15",NA,"0.59","318","0.43","28.4",NA,"105","208"
"44","B48","50.808","1.77","14.065","12.99","7.733","0.1776","6.483","8.847","2.378","0.954","0.284","1.696",NA,"0.925",NA,NA,NA,NA,NA,NA,NA,NA,NA,"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"913",NA,NA,NA,NA,"0.0065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"446",NA,NA,NA,NA,NA,"382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","B48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","B49","50.44","2.33","15.02","12.39",NA,"0.148","4.8","8.75","2.85","1","0.407",NA,NA,"0.6","0.12","1.91",NA,NA,"346",NA,NA,NA,NA,NA,"0.178","62.1","172","48","85.6",NA,"64.4","6.3","3.33","2.25","480","24.1","7.48","5.4","5.75",NA,"1.21",NA,"0.083",NA,"28.1","12.8","0.38",NA,NA,"17.2","33.8","51.9",NA,"14",NA,"7.79",NA,"25.9",NA,NA,NA,"582",NA,"26.8","1.8","9.06",NA,"409","1.01","1.11",NA,"3.4","0.147","0.437","0.643","325",NA,"28.1","2.63","117","197"
"47","B51","51.2","2.44","13.8","13.3",NA,"0.17","5.66","8.92","2.51","0.99","0.3",NA,"0.07","1.27",NA,"17",NA,NA,"348",NA,NA,NA,NA,NA,NA,"60",NA,"47","100","0.4","70","6.34","3.14","1.97",NA,"23.5","7.51","2","5",NA,"1.13",NA,NA,NA,"26.3","15","0.36","3",NA,"15","32.7","55",NA,"14",NA,"7.96",NA,"25.3",NA,NA,NA,NA,NA,"29",NA,"9","18","408","0.8","1.08",NA,"3",NA,"0.4","0.57","345",NA,"29.5","2.6","116","193"
