"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","Y13","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","35.1","•","•","•","•","•","3.15","1.705","1.36","•","•","4.5","•","•","•","•","•","•","•","17.2","•","•","•","•","•","16.65","•","•","•","•","4.725","•","•","•","•","•","•","•","•","•","3.695","•","•","•","•","•","2.8","•","•","0.92","•","•","24.15","1.67","•","•"
"12","Y15","59.57","0.68","12.6","5.28","•","0.07","3.39","5.14","4.48","1.3","0.16","•","•","7.65","•","43","•","41","268","0.2","•","•","•","•","•","74","•","35","35","•","9","2.83","1.62","0.89","•","•","4.13","•","•","•","0.63","•","•","•","32.11","19","0.21","•","•","46","23.57","36","•","•","•","6.2","•","•","•","•","•","•","•","4.95","•","4.17","26","578","•","0.6","•","•","•","0.26","•","•","•","16.91","1.59","54","•"
"13","Y16","59.43","0.811","17.39","6.33855","•","0.0918","3.323","5.905","4.149","1.225","0.193","•","•","-0.05","•","4","•","•","326","•","•","•","•","•","•","40","63","18","32","5","30","•","•","•","162","21","•","•","•","•","•","•","•","•","10","•","•","5","•","8","20","34","•","7","•","•","•","23","•","•","•","•","3","13","•","•","5","569","•","•","•","6","1","•","3","104","•","17","•","66","153"
"14","Y17","60.695","0.8462","17.544","6.124","•","0.0959","3.227","6.045","4.136","1.229","0.1778","•","•","0.09","•","•","•","•","301.4","•","0.047","•","•","•","•","31.69","•","17.53","36.53","0.257","27","2.81","1.57","1.17","•","19","3.41","•","3.75","•","0.52","•","•","•","15.15","11.99","0.22","0.92","•","7.62","16.17","33.2","•","8.16","•","3.83","•","18.8","•","•","•","•","1.11","11.45","•","3.4","1.81","538.1","0.52","0.55","•","2.51","0.09","0.23","1.24","94.05","0.26","13.37","1.36","60.84","142.18"
"15","Y18","60.7","0.8","17.5","6.4","•","0.12","3.4","5.3","3.1","1.1","0.4","•","•","0.01","•","1.7","•","•","•","•","•","•","•","•","0.1","•","69.3","3.2","25","•","24.2","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","11","•","5.2","•","•","•","•","•","•","•","•","0.6","•","•","•","•","•","•","•","0.04","•","0.1","•","•","56.9","•","•","•","21.6","•"
"16","Y19","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","300","•","•","•","•","•","•","33.11","•","•","•","0.2088","•","2.863","1.465","1.128","•","•","3.428","•","•","•","0.5355","•","•","•","15.8","•","0.1979","•","•","8.795","16.4","•","•","8.22","•","3.863","•","18.2","•","•","•","•","•","•","•","3.407","•","496.4","0.5946","0.4918","•","•","•","0.215","0.7475","•","•","14.29","1.292","•","•"
"17","Y20","60.48","0.84","17.57","6.11","•","0.093","3.19","5.93","4.28","1.25","0.17","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","545","•","•","•","•","•","•","•","•","•","•","•","•","•"
"18","Y21","60.19","0.85","17.51","6.07","•","0.1","3.23","5.95","4.22","1.24","0.17","•","•","-0.08","•","•","•","•","•","•","•","•","0","0","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"19","Y22","60.73","0.855","17.634","6.055","•","0.098","3.145","6.14","4.155","1.22","0.186","•","•","-0.145","•","•","•","•","342.3","•","•","•","•","•","•","38.3","•","15.8","30.1","•","30.4","•","•","•","•","22.1","•","•","12","•","•","•","•","•","24.3","•","•","•","•","6.9","16.2","25.3","•","9.32","•","•","•","17.5","•","•","•","•","•","10.6","•","•","•","538.7","•","•","•","•","•","•","•","90.6","•","14.9","•","60.75","151.8"
"20","Y22.1","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","2.27","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","3.3","•","•","•","•","3.4","•","•","2.51","•","•","•","•","•","•"
"21","Y23","60.57","0.86","17.25","6.12","•","0.1","3.15","5.98","4.31","1.22","0.17","•","•","0.02","•","•","•","•","321","•","•","•","•","•","•","•","•","23","40","•","27","•","•","•","•","21","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","32","•","•","•","•","•","•","•","•","•","•","•","12","•","•","•","524","•","•","•","•","•","•","•","111","•","•","•","66","135"
"22","Y24","•","0.85","•","6.12","•","0.09","•","•","•","•","0.18","•","•","•","•","0.94","•","•","325","1.16","•","•","•","•","0.15","33.8","•","19.7","39.3","0.22","28.5","2.82","1.5","1.1","•","20.5","3.26","•","3.96","•","0.55","•","•","•","15.8","11.4","0.203","•","•","7.95","16.9","33.4","•","•","•","4.25","•","18.2","•","•","•","•","•","12.2","0.79","3.6","1.48","568","0.61","0.52","•","2.49","0.06","0.21","0.86","114","•","15.3","1.34","60","143"
"23","Y25","60.13","0.84","17.48","6.15","•","•","3.27","6.02","4.22","1.24","0.174","•","•","•","•","•","•","•","325","1.21","•","•","•","•","•","35","•","19.8","34","0.23","29.5","2.81","1.47","1.15","•","19.2","3.32","•","3.7","•","0.55","•","•","•","16.4","12.7","0.2","1.05","•","7.9","17.7","34.1","•","8.2","•","4.27","•","18","•","•","•","•","0.76","13.9","•","3.72","•","554","0.52","0.5","•","2.58","•","0.22","0.87","114","•","14.9","1.31","71","152"
"24","Y27","59.35","0.888","17.95","6.38","•","0.099","3.3","6.06","4.41","1.21","0.184","•","•","•","•","•","•","•","327","•","•","3","•","•","•","35.6","•","19","43","•","25","2.86","1.58","1.21","•","19","3.64","•","•","0.0063","0.56","•","•","•","17","•","0.19","•","•","10","18","29","•","7","•","4.5","•","20","•","•","•","•","•","13.9","•","3.76","•","497","•","0.51","•","2.51","•","0.22","•","102","•","14.2","1.34","65","170"
"25","Y28","60.2","0.86","17.4","6.22","•","0.1","3.21","5.9","4.13","1.24","0.18","•","•","0.28","•","0.94","•","•","322","1.29","•","•","•","1490","•","27.8","•","18.9","42.4","•","29.5","2.52","1.27","1","•","•","3","•","•","•","0.48","•","•","•","13.3","•","0.19","1.07","•","•","14","34.5","•","8.99","•","3.58","•","•","•","•","•","•","0.79","•","2.1","3.03","•","•","•","0.4","•","2.71","•","0.18","0.18","118","•","12","1.24","72.3","•"
"26","Y28.1","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","19.9","•","•","5.6","•","•","•","•","•","•","•","•","•","•","8.09","•","•","•","•","•","•","•","18.4","•","•","•","•","•","14.2","•","•","•","530","•","•","•","•","•","•","•","•","•","•","•","•","140"
"27","Y29","60.808","0.8509","17.737","6.1411","3.795","0.0971","3.1757","6.0356","4.272","1.2481","0.1751","0.451","•","-0.102","•","•","•","•","321.37","1.19","•","•","•","•","0.07","31.8","•","18.73","42","0.236","30.3","2.7559","1.4482","1.0821","•","20.187","3.2004","•","3.67","•","0.5255","•","0.0366","•","15.344","10.59","0.1964","1.266","•","7.78","16.595","34.41","•","8.54","•","3.962","•","18.47","•","•","•","•","0.754","12.9","•","3.482","1.75","542.39","0.5383","0.4654","•","2.524","0.0747","0.2026","0.863","109.73","0.224","14.683","1.304","68.7","145.2"
"28","Y30","60.57","0.8553","17.58","6.139","•","0.0953","3.132","5.982","4.128","1.224","0.1663","•","•","•","•","0.462","•","•","320","•","•","•","•","•","•","33.03","•","•","39.5","•","23.83","•","•","1.074","•","•","•","•","•","0.0521","•","•","•","•","16.2","11.9","•","•","•","•","15.03","33.4","•","•","•","•","•","•","•","•","•","•","•","14.87","•","•","•","565","•","•","•","•","•","•","•","105.3","•","•","•","•","•"
"29","Y33","60.35","0.856","17.53","6.1","3.59","0.094","3.16","6.1","4.21","1.23","0.179","•","•","•","•","•","•","•","318","1.11","•","•","•","•","•","32.2","•","•","42","•","30","2.6","1.37","1.1","•","21.5","3.38","•","3.9","•","0.5","•","•","•","17.1","11.7","0.19","•","•","8","16.2","31","•","•","•","3.94","•","18","•","•","•","•","•","13.7","•","3.27","•","542","•","0.49","•","•","•","0.19","•","110","•","16","1.28","63","141"
"30","Y34","•","0.85","18.03","6.16","•","0.1","3.47","5.85","4.272","1.241","•","•","•","•","•","•","•","•","350","•","•","•","•","•","•","35.7","•","19.3","41.7","•","•","2.5","•","1.21","•","•","•","•","3.67","•","•","•","•","•","16.3","•","0.211","•","•","•","17.3","•","•","•","•","•","•","22","•","•","•","•","•","13.44","•","3.65","•","550","•","0.47","•","2.62","•","•","•","120","•","•","•","73","•"
"31","Y34.1","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","22","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","0.43","•","•","•","•","•","•","•","•","•","•","•","180"
"32","Y35","59.6","0.72","18.9","5.56","•","0.919","2.9","5.94","2.98","1.39","•","•","•","•","•","•","63.3","•","781","•","•","6","•","•","•","•","177","•","24","•","51","•","•","•","•","27","•","•","•","•","•","•","•","•","4750","•","•","•","•","•","•","88","•","14","•","•","•","19.4","•","•","•","•","•","•","•","•","•","554","•","•","•","•","•","•","•","•","•","14.4","•","78.8","120"
"33","Y36","•","0.85","16.5","6.34","•","0.89","3.09","5.86","4.26","1.24","0.17","•","•","•","•","•","•","•","319","•","•","•","•","•","•","37.3","•","20.2","38.9","0.24","30.5","3.28","1.82","1.36","•","•","4.17","•","•","•","0.63","•","•","•","17.5","10.1","0.23","•","•","•","19.6","•","•","9.44","•","4.79","•","19","•","•","•","•","•","•","•","4.08","•","561","•","0.56","•","3.03","•","0.25","1.01","114","•","15.3","1.59","67.3","•"
"34","Y37","58.18","0.83","16.86","6.18","•","0.11","3.15","5.97","4.07","1.21","0.17","•","•","0.05","•","•","•","•","344","•","•","•","•","•","•","29","•","20","66","•","11","•","•","•","•","15","•","•","•","•","•","•","•","•","13","•","•","•","•","3","•","37","•","18","•","•","•","26","•","•","•","•","•","•","•","•","•","488","•","•","•","•","•","•","18","101","•","16","•","71","150"
"35","Y38","60.51","0.84","17.35","6.25","3.3","0.1","3.21","5.98","4.04","1.24","0.176","•","•","0.036","•","7.74","•","•","311","1.1","0.04","•","•","•","0.06","34.3","•","18","34.4","0.25","30.1","2.89","1.55","1.19","•","19.9","3.34","2.33","4.47","•","0.57","•","0.03","•","16.2","10.8","0.21","1.5","•","7.96","17.6","32.4","•","9.52","•","4.29","•","18.5","•","•","•","•","1.21","13.2","0.05","3.72","1.66","529","0.7","0.55","0.04","2.58","0.1","0.22","0.89","110","0.17","15.3","1.4","69.3","140"
"36","Y40","60.7","0.861","17.66","6.06","•","0.095","3.16","6.03","4.09","1.24","0.176","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"37","Y41","62.35","0.89","17.79","6.27","•","0.1","3.33","6.09","4.28","1.25","0.18","•","•","•","•","•","•","•","325.3","•","•","•","•","•","3.6","36.4","•","14.9","33.1","•","24.7","•","•","•","•","19.9","•","1.3","2","•","•","•","•","•","16.5","•","•","•","•","7.9","19.1","30.3","•","10.7","•","•","•","18.8","•","•","•","•","•","11.7","•","•","•","537.7","2.9","•","•","•","•","•","3","90.4","•","14.8","•","81.7","148"
"38","Y43","60.2","0.85","17.45","6.16","•","0.097","3.23","6.1","4.18","1.24","0.177","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"39","Y45","60.2","0.86","17.41","6.2","•","0.09","3.27","6.12","4.24","1.22","0.18","•","•","0.14","•","•","•","•","•","•","•","•","•","270","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"40","Y46","60.71","0.85","17.61","6.13","•","0.1","3.08","6.02","4.12","1.23","0.17","•","•","0","•","•","•","•","320","•","•","•","•","•","•","35.07","•","•","41","0.23","31","3.22","1.61","1.27","•","19","3.64","•","3.83","•","0.62","•","•","•","16.91","•","0.21","•","•","7.72","17.9","36","•","8.53","•","4.45","•","17.9","•","•","•","•","•","13.3","•","3.98","•","560","0.56","0.57","•","2.67","•","0.23","0.89","112","•","15.81","1.4","68","145"
"41","Y47","60.895","0.86","17.362","6.25","•","0.104","3.169","5.757","4.257","1.291","0.176","•","•","0.03","•","•","•","•","366","•","•","•","•","•","•","•","•","16","35","•","33","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","6","•","33","•","11","•","•","•","18","•","•","•","•","•","•","•","•","•","547","•","•","•","4","•","•","•","99","•","13","•","59","150"
"42","Y48","60.28","0.88","17.17","6.23","•","0.089","3.33","6.3","4.28","1.25","0.17","•","•","0","0.4","0.3","•","•","329.2","•","0.3","0","•","210","3.9","30.8","•","19.9","29.1","0.8","29.6","•","•","•","•","19.5","•","0","4","0","•","1.9","•","•","19.9","•","•","1.1","•","7.4","21.2","25.2","•","5.4","•","•","•","17.9","•","•","•","170","3.3","8.6","0","0","3.6","522.4","0","•","3.3","3.1","0","•","2.6","75.4","1.3","14.9","0.9","58.1","144.8"
"43","Y50","62.38","0.838","16.88","5.94","•","0.092","3","5.79","4.071","1.212","0.155","•","•","0.04","•","1","•","•","346","•","•","•","•","•","•","26","137","24","34","•","34","•","•","•","•","21","•","•","•","•","•","•","•","•","22","•","•","1","•","7","•","31","•","6","•","•","•","15","•","•","•","136","3","16","•","•","2","542","•","•","•","1","•","•","1","98","51","17","•","57","146"
"44","Y51","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","33","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"45","Y51.1","56.95","0.76","15.97","5.16","•","0.08","1.87","5.26","3.81","1.24","0.13","•","•","2.23","•","•","•","•","332","•","•","•","•","•","•","32","39","12","•","2","28","•","•","•","•","18","•","•","4","•","•","•","•","•","18","•","•","•","•","11","16","29","•","12","•","•","•","20","•","•","•","•","•","14","•","16","5","473","•","•","•","4","•","•","•","100","•","14","•","52","133"
"46","Y52","60.63","0.84","17.49","6.16","•","0.09","3.22","6.03","4.11","1.26","0.2","•","•","0","•","1","•","•","336","•","•","•","•","•","•","41","•","•","35","•","26","•","•","•","•","21","•","•","•","•","•","•","•","•","29","•","•","•","•","7","•","30","•","13","•","•","•","20","•","•","•","•","•","11","•","•","•","554","•","•","•","3","•","•","1","99","•","14","•","60","155"
"47","Y53","60.1","0.8","17.26","6.07","•","0.09","3.19","5.98","4.07","1.23","0.17","•","•","0.05","•","3","•","•","339","•","•","•","•","•","•","48","•","12","31","•","24","•","•","•","•","19","6","•","5","•","•","•","•","•","23","•","•","•","•","7","24","29","•","8","•","•","•","21","•","•","•","•","•","13","•","•","•","546","•","•","•","•","•","•","•","99","•","17","•","69","133"
"48","Y54","60.71","0.85","17.55","6.14","•","0.09","3.25","5.96","4.02","1.32","0.181","•","•","-0.07","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"49","Y55","•","•","•","6.22","•","0.097","3.29","6.27","•","•","•","•","•","•","•","1.81","•","•","330.3","•","•","•","•","•","•","34.42","•","19.91","46.87","0.229","30.78","2.76","1.49","1.107","•","20.61","3.4","•","3.62","•","0.546","•","•","•","16.41","•","0.212","•","•","8.42","16.87","43.54","•","8.14","•","4.16","•","18.06","•","•","•","•","•","15.23","•","3.51","•","530","0.541","0.504","•","2.24","•","0.226","0.711","123.5","•","15.65","1.354","63.44","136.7"
"50","Y56","68.7","0.9","19","6.5","•","0.09","3.58","8.1","4.6","1.4","0.21","•","•","•","•","•","•","•","350","2","•","•","•","•","•","37.9","•","17.4","41","•","29.2","3.8","2","1.4","•","21.8","4.5","1.3","5","•","0.7","•","•","•","18.5","•","0.3","1.2","•","8.5","20.8","33.4","•","9.5","•","5","•","•","•","•","•","•","1.2","20","•","4.5","2","•","•","0.6","•","3.1","0.1","0.3","1.2","116","•","15.5","1.6","66.9","155.7"
"51","Y57","57.37","0.88","16.74","5.92","•","0.092","2.989","5.24","3.917","1.115","•","•","•","0.11","0.04","0.63","•","•","304","•","0.025","•","•","•","0.03","0.41","•","18.02","53.71","0.16","19","2.57","1.501","1.07","•","18","3.48","1.3","3.48","•","0.498","•","0.04","•","15.52","•","0.212","1.6","•","7.5","16.53","42","•","7.139","•","4.04","•","15.58","•","•","•","•","1.27","15.52","•","3.42","1.37","534","0.443","0.45","•","2.442","0.004","0.194","0.878","111.32","0.297","13.98","1.42","69.89","139.7"
"52","Y61","60.699","0.842","17.653","6.082","•","0.1051","3.05","6.01","4.206","1.217","0.176","•","•","0.045","•","•","•","•","308.85","•","•","•","•","•","•","•","•","•","43.3","•","•","•","•","•","•","23.1","•","•","•","•","•","•","•","•","•","•","•","•","•","6.85","•","27.7","•","11","•","•","•","18.25","•","•","•","•","•","•","•","•","•","1412","•","•","•","3.15","•","•","•","109.5","•","14.45","•","64.95","135.15"
"53","Y62","60.6","0.82","17.15","5.92","•","0.09","2.83","5.86","4.17","1.15","0.15","•","•","0.22","•","•","•","•","307","•","•","•","•","•","•","34","•","17","46","•","35","3","1.5","1.1","•","18","4","•","•","•","0.6","•","•","•","18","13","0.4","•","•","15","16","•","•","12","•","•","•","19","•","•","•","•","•","11","•","4","•","496","•","0.5","•","•","•","0.2","1.5","109","•","15","1.4","75","205"
"54","Y65","60.47","0.89","17.5","6.3","•","0.09","3.17","5.99","4.25","1.24","0.17","•","•","-0.05","•","•","•","1.52","323","1.15","•","•","•","•","0.04","34.6","•","18.3","41.6","0.24","29.8","2.97","1.57","1.16","•","20.9","3.46","•","3.82","•","0.57","•","•","•","15.9","11.2","0.22","1.04","•","8.41","18.1","34.8","•","9.23","•","4.42","•","17.5","•","•","•","•","•","13.4","•","3.75","•","549","0.75","0.53","•","2.61","•","0.24","0.89","112","•","15.2","1.45","65.7","148"
"55","Y66","60.16","0.86","17.5","6.34","•","0.099","3.25","6.12","4.27","1.24","0.172","•","•","-0.18","•","•","•","•","337","•","•","•","•","272","•","36","95","19","35","•","22","•","•","•","•","20","•","1.6","3.5","•","•","•","•","•","10","•","•","•","•","8","18","32","•","12","•","3","•","19","•","•","•","•","•","•","•","4","•","559","•","•","•","•","•","•","•","114","•","16","•","60","143"
"56","Y67","60.83","0.84","17.53","6.11","•","0.095","3.14","6","4.15","1.22","0.168","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"57","Y69","60.31","0.86","17.81","6.37","•","0.088","3.12","6.2","4.32","1.16","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"58","Y70","60.54","0.86","17.9","6.09","•","0.11","3.29","5.87","3.83","1.23","0.17","0.22","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"59","Y71","60.29","0.863","17.57","6.191","3.32","0.0906","3.224","6.228","4.202","1.281","0.173","•","•","•","0.072","•","•","•","403","0.72","0.014","•","•","401","0.066","35.4","•","18.03","41.23","0.242","28.61","2.932","1.552","1.319","•","19.68","3.75","1.072","3.963","•","0.604","•","0.043","•","16.72","12.26","0.234","0.88","•","8.02","18.73","32.08","•","8.879","•","4.59","•","19.55","•","•","•","•","0.77","•","0.801","4","1.96","570.7","0.508","0.548","0.015","2.64","0.077","0.246","0.905","110.5","0.297","16.15","1.51","70.01","143.6"
"60","Y72","59.77","0.849","17.3","6.05","•","0.087","3.14","5.9","4.18","1.23","0.167","•","•","-0.067","•","•","•","•","•","•","•","•","•","215.6","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","16","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"61","Y73","60.258","0.8432","17.56","6.205","•","0.097","3.215","6.022","4.249","1.235","0.1744","•","•","-0.125","•","5.3","•","•","311.3","•","•","•","•","•","•","34","•","•","44","•","29.5","2.6","•","•","•","21.2","•","•","2.76","•","•","•","•","•","12.3","•","•","1.5","•","8.47","16.4","33.5","•","8.9","•","•","•","18","•","•","•","•","•","14.55","•","2.81","•","561.8","•","•","•","1.7","•","•","1","107","•","15.2","•","68.7","146.9"
