"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","Y1","59.392","0.874","17.45","6.09","•","•","3.171","5.626","4.093","1.249","0.19","•","•","1E-005","•","•","•","•","272.56","•","•","•","•","•","•","30.605","•","13.03","31.34","•","20.56","3.275","1.693","1.073","•","27.998","3.188","•","•","•","0.604","•","•","•","14.579","•","0.069","•","•","•","16.038","23.21","•","8","•","3.999","•","16.971","•","•","•","•","0.94","•","•","3.583","1.51","366.62","•","0.551","•","0.428","•","0.233","0.666","93.77","•","17.132","1.416","42.56","•"
"2","Y2","60.48","0.795","17.02","5.64","•","0.093","2.965","5.71","4.16","1.17","0.17","•","•","•","•","•","•","•","302","•","•","•","•","140","•","•","•","•","•","•","26","•","•","•","•","•","•","•","•","•","•","•","•","•","14","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","30","•","•","•","•","•","•","•","•","•","•","•","•","•","106","•","13","•","70","110"
"3","Y3","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","16.05","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•"
"4","Y3.1","62.85","0.49","17.05","5.53","•","0.09","2.28","5.9","4.26","1.32","0.18","•","•","0.09","•","•","•","•","286","•","•","•","•","•","•","40.26","•","6","52","0.21","34","2.91","1.57","1.25","•","26.6","3.64","2.07","23.97","•","0.59","•","•","•","•","•","0.22","•","•","8","17.84","33","•","9","•","4.4","•","18","•","•","•","•","•","12.93","•","3.85","•","570","1.59","0.53","•","2.83","•","0.23","0.94","100","•","14.8","1.45","60","165"
"5","Y6","59.68","0.832","17.308","6.148","3.4","0.0953","3.185","5.976","4.24","1.228","0.18","0.18","•","0","0.17","0.5057","•","3.8","306.3302","1.0612","•","•","•","142","0.0746","32.5833","76","18.0587","41.7183","0.2321","29.28","2.7369","1.4466","1.1101","345","20.7168","3.1213","1.1508","3.5477","0.002","0.5455","•","0.0379","•","15.8591","11.8","0.2016","1.0285","•","6.9529","16.3866","33.0922","•","8.0142","•","4.0607","•","18.3394","•","•","•","•","0.6604","13.72","•","3.5732","1.7706","538.1448","0.5819","0.466","•","2.5053","•","0.1963","0.8594","101.894","•","14.5737","1.3538","68.1593","137.0812"
"6","Y8","60.66","0.86","17.5","6.14","•","0.1","3.15","5.9","4.07","1.26","0.18","•","•","0.03","•","•","•","•","339","•","•","•","•","•","•","•","•","17","32","•","31","•","•","•","•","19","•","•","6","•","•","•","•","•","•","•","•","•","•","8","•","29","•","9","•","•","•","18","•","•","•","•","•","15","•","•","•","542","•","•","•","•","•","•","•","88","•","16","•","60","158"
"7","Y9","60.34","0.85","17.54","6.11","3.51","0.094","3.17","6.09","4.19","1.23","0.18","•","•","-0.04","•","•","•","•","325","•","•","•","•","•","•","•","•","11","40","•","31","•","•","•","•","18","•","•","•","•","•","•","•","•","•","•","•","•","•","9","•","35","•","7","•","•","•","16","•","•","•","•","•","•","•","•","•","558","•","•","•","•","•","•","•","100","•","16","•","67","140"
"8","Y10","60.4","0.86","17.3","6.08","2.01","0.1","3.05","6.04","4.26","1.24","0.166","8.48","•","0.01","0.3","2","•","•","306","1.4","0.36","•","•","0.02","0.13","34.2","•","18.7","36","0.27","36.5","1.74","1.45","0.88","•","20.6","2.73","•","3.56","•","0.59","•","0.05","•","18.9","12","0.27","2.44","•","9.2","17.5","43.5","•","15.5","•","3.53","•","18.6","•","•","•","•","2.04","15.9","3","3.1","2.1","559","1.48","0.59","0.14","2.5","•","0.29","0.84","124","1.9","15.8","1.4","73","143"
"9","Y12","60.3","0.83","17.55","6.08","•","0.094","3.18","6.04","4.28","1.27","0.15","•","•","0.02","•","•","•","•","321.1","•","•","•","•","•","•","33.6","•","17.2","35.1","1.3","28.6","•","•","•","•","18.5","•","0.9","3.7","•","•","•","•","•","17","•","•","1.1","•","6.7","18.7","27.7","•","8.8","•","•","•","16.8","•","•","•","•","1.15","15.1","•","5.5","1.69","530.2","0.9","•","•","1.2","0.1","•","1.2","95.8","0.5","14.5","0.3","61.3","144.2"
"10","Y11","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","•","312","1.19","•","•","•","•","•","34.3","•","19.1","41.6","0.23","29.6","2.97","1.54","1.15","•","20.6","3.39","•","3.7","•","0.57","•","•","•","16.3","11.5","0.21","1.05","•","8.23","17.4","37.3","•","8.41","•","4.28","•","18.1","•","•","•","•","•","13.8","•","3.77","1.52","552","0.57","0.52","•","2.63","0.098","0.23","0.9","110","•","15.7","1.42","68.6","139"
