"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"34","V31","72.31","0.3","14.25","2.48",NA,"0.06","0.33","1.14","3.62","4.6","0.13",NA,NA,"0.66",NA,NA,NA,NA,NA,"311",NA,NA,NA,NA,"51",NA,NA,"159",NA,"7",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"108",NA,NA,NA,"14","24",NA,NA,"26",NA,NA,NA,"266",NA,NA,NA,NA,NA,NA,NA,"7","14","106",NA,NA,NA,"19",NA,NA,"4","12",NA,"27",NA,"48","163"
"35","V32","69.5","0.29","13.13","2.46","1.8","0.06","0.4","1.12","3.56","4.87","0.11","0.8",NA,"0.42",NA,NA,"2",NA,NA,"338","7.5","1",NA,"0.1","65.5","60","2.5","200","18.4","5.1","4.38","2.49","0.55","1060","21","4.94",NA,"5",NA,"0.82",NA,"0.07",NA,"31.3","130","0.32",NA,NA,"16","27.1","5.3",NA,"24.7",NA,"6.95",NA,"281",NA,NA,NA,NA,"0.2","4.4",NA,"5.4","14","110","2.6","0.85",NA,"19.8","1.6","0.34","5.46","16",NA,"24.1","2.2","51","166"
"36","V33","71.8","0.28","14","2.38","2.08","0.06","0.08","1.08","3.69","4.95","0.12","0.79","0.04","0.57",NA,NA,"9",NA,NA,"326",NA,"5",NA,"9","46","16","6","186","19","6",NA,"3",NA,"714","19","4",NA,"4",NA,"1",NA,NA,NA,"34",NA,NA,"5",NA,"13","27","5",NA,"24",NA,"9",NA,"271",NA,NA,NA,NA,NA,"6",NA,"3","2","107","2","1",NA,"16",NA,NA,"5","32",NA,"32","4","54","157"
"37","V34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295",NA,NA,NA,NA,"59.1",NA,NA,NA,"14.4","8.44","3.85","2.11","0.47",NA,"20.9","5.18",NA,"4.32",NA,"0.76",NA,NA,NA,"19.2",NA,NA,"2.98",NA,"15.4","24.7",NA,NA,NA,NA,"7.1",NA,"242",NA,NA,NA,NA,NA,NA,NA,"5.38",NA,"102","2.66","0.71",NA,"14",NA,"0.3","5","10.6",NA,"21.4","2.14","56.4",NA
"38","V35","71.91","0.29","13.16","2.26",NA,"0.05","0.4","1.28","4.25","5.22","0.16",NA,NA,NA,NA,NA,NA,NA,NA,"340",NA,NA,NA,NA,NA,NA,NA,"172",NA,"7.7",NA,NA,NA,NA,"23.8",NA,NA,NA,"0.0155",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.3",NA,NA,NA,"21.1",NA,NA,NA,"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,"112",NA,NA,NA,"20.5",NA,NA,"4.6",NA,NA,"27.4",NA,"56.4","153"
"39","V36","72.8","0.302","14","2.39",NA,"0.057","0.37","1.13","3.78","4.6","0.138",NA,"0.09","0.56",NA,NA,NA,NA,NA,"344",NA,"1.06",NA,NA,"69.1","69","3.28","195","19","6.41","4.65","2.79","0.58","1128","25.2","5.77",NA,"5.45",NA,"0.95",NA,NA,NA,"31.1",NA,"0.39","2.74",NA,"16.5","28.8","3.7",NA,"26.3",NA,"7.93",NA,"285",NA,NA,NA,NA,NA,"3.27",NA,"5.95","10.6","117","2.61","0.93",NA,"19.7","1.77","0.42","5.88","13.9",NA,"28.4","2.68","76.5","186"
"40","V37","73.7","0.2746","14","2.41",NA,"0.0591",NA,"1.19",NA,"4.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"365.5",NA,NA,NA,NA,"66",NA,NA,"211.1","18.8","7.6",NA,NA,NA,NA,"21.8",NA,NA,NA,NA,NA,NA,NA,NA,"27.1",NA,NA,NA,NA,"15.2",NA,NA,NA,NA,NA,NA,NA,"270.6",NA,NA,NA,"143.3",NA,NA,NA,NA,"13.7","110.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.8",NA,"54.4","163.3"
"41","V38","70.88","0.28","13.02","2.28",NA,"0.5281","0.28","1.17","2.32","4.58","0.1085",NA,NA,NA,NA,NA,"1",NA,NA,"366.8",NA,"1.3",NA,"2.2","72.8",NA,NA,"160.4","28.9","6.8",NA,NA,NA,NA,"20.5",NA,NA,"1.1",NA,NA,NA,NA,NA,"42.3",NA,NA,NA,NA,"13",NA,"4.2",NA,"24.2",NA,NA,NA,"253.8",NA,NA,NA,"34","2",NA,NA,NA,"14.6","99.8",NA,NA,NA,"22.2","1.1",NA,"4.8","19.5",NA,"23.9",NA,"53.1","153"
"42","V39","72.01","0.298","14.29","2.44",NA,"0.061","0.42","1.14","3.63","4.71","0.138",NA,NA,"0.59",NA,NA,NA,NA,NA,"336.7",NA,NA,NA,NA,NA,NA,NA,"191.5",NA,"7.4",NA,NA,NA,NA,"21.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.3",NA,NA,NA,"26.1",NA,NA,NA,"269.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"112.9",NA,NA,NA,"18.2",NA,NA,NA,"15.5",NA,"26.8",NA,"54.2","164.3"
"43","V40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"356","11.7","1.04",NA,"0.53","66.7",NA,"4.63","200","18.9","7.78","4.15","2.3","0.54",NA,"19.9","5.37","2.08","4.43",NA,"0.87",NA,"0.12",NA,"29.3","140","0.34","3.52",NA,"17.9","25.5",NA,NA,"20.4",NA,"6.98",NA,"273",NA,NA,NA,NA,NA,"9.69",NA,"5.11","14.5","133","2.34","0.79",NA,"16.9","1.42","0.34","4.77","15.8","0.52","26.3","2.31","49.9","176"
