"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"33","D31","38.17","3.82","9.95","13.47","7.5","0.21","14.13","12.83","3.21","1.27","0.93",NA,NA,"1.82",NA,NA,"1.5",NA,"787","2.2",NA,NA,NA,"130",NA,"61","427",NA,"56","7","2.71","3.74",NA,"18","10.4",NA,"6.2",NA,"1.17",NA,NA,"64.2","18","0.24",NA,NA,"82","61.5","318",NA,"15.3","32",NA,NA,"26",NA,"12.3",NA,"1149","5.1","1.39",NA,"7.9",NA,"0.33","2.4","278",NA,"29","1.8","112","286"
"34","D32","38.4","4.56","10.16","13.1",NA,"0.206","13.75","12.97","3.02","1.24","0.976",NA,NA,"1.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","D33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721",NA,NA,NA,NA,"127",NA,"67.5","388","0.52","59.1","7.17","2.79","3.86",NA,NA,"10.6",NA,NA,NA,"1.18",NA,NA,"63.4","16.3","0.23",NA,NA,NA,"63.8","323","2.8","15.5",NA,NA,NA,"19.8",NA,"12.6",NA,"1258",NA,"1.41",NA,"8.75",NA,"0.31","2.55","276",NA,"30.8","1.79","105",NA
"36","D34","37.71","3.92","10.04","13.1","7.34","0.202","13.84","13.26","3.36","1.18","0.876","2.47","0.27","1.86",NA,NA,NA,NA,"704.4",NA,NA,NA,"0.52","123",NA,"53.38",NA,NA,"61.6","6.32","2.47","3.76","920","20.94","9.25",NA,"8.22",NA,"1.05",NA,NA,"63.4",NA,"0.22","3.01",NA,"87.5","63","276.6","2.99","13.88","27.91",NA,NA,"33.1",NA,"11.34",NA,"1132",NA,"1.33",NA,"8.74",NA,"0.296","3.02","265.6",NA,"26.1","1.66","104.5","285"
"37","D34.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.25",NA,NA,NA,NA,NA,NA,"392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","D35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"703",NA,NA,NA,NA,"117",NA,"61.9","448","0.28","55","6.42","2.56","3.49",NA,NA,"10.6",NA,"2.49",NA,"1.08",NA,NA,"59.4",NA,"0.18",NA,NA,"57","57.7","308",NA,"14.2","27.1",NA,NA,NA,NA,"10.9",NA,"1147","4","1.4",NA,"6.42",NA,"0.29","2.16","281",NA,"26.9","1.63",NA,"119"
"39","D37","39.604208","3.6351427","10.624439","12.5332949",NA,"0.1948716","12.5160714","12.041687","4.3486877","1.2494419","1.1505298",NA,NA,"1.58",NA,NA,NA,NA,"741.666666666667","2.45934640522876",NA,NA,"0.0524333333333333","130",NA,"65.2","369","0.539333333333333","40","7.13","2.80666666666667","3.87517365095968","770","21.1666666666667","11.0419350280626",NA,"6.775",NA,"1.18333333333333",NA,NA,"64.3","15.6022123893805","0.250333333333333","0.787666666666667",NA,"81","63.2666666666667","320.333333333333","3.13333333333333","15.5333333333333","30.2",NA,"0.100966666666667","21.4666666666667",NA,"12.5333333333333","2.22","1140",NA,"1.36503355395061","0.194","8.05333333333333","0.0145333333333333","0.335666666666667","2.32333333333333","306.806666666667","0.4375","28.7","1.98","108","282"
"40","D38","37.45","3.854","9.82","13.32","7.57","0.202","14.07","12.98","3.35","1.25","0.901","2.35","0.254","1.76",NA,NA,NA,NA,"745",NA,NA,NA,NA,"150",NA,"57","446",NA,"59",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"60",NA,NA,NA,NA,"81","63","316","17",NA,"29",NA,NA,"31",NA,NA,NA,"1145",NA,NA,NA,"15",NA,NA,"4","273",NA,"30",NA,"116","274"
"41","D38.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","D39","37.486","3.872","10.222","13.412",NA,"0.217","14.219","13.087","3.426","1.258","0.901",NA,NA,"1.548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
