"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"63","D57","38.1","3.86","10.2","13.5",NA,"0.22","13.8","13.3","3.28","1.31","0.84",NA,NA,"2.07",NA,"10.7","23",NA,"538","2.5",NA,NA,"0.07","134",NA,"63.7","310","0.53","64.1","8.37","3.59","4.98",NA,"19.4","11.6","0.3","6.18",NA,"1.58",NA,"0.04","75.3","19","0.41","1.15",NA,"52.2","71.1","268","14.5","17.6","34.5",NA,NA,"24.9",NA,"14","2.8","1000","2.36","1.83",NA,"8.2","0.04","0.44","2.28","240","0.6","36.3","2.9","109","217"
"64","D58","38.3","3.93","10.2",NA,"11.88","0.193","14.6","13.01","3.7","1.2","0.97","0.46","0.273","1.77",NA,NA,NA,NA,"784",NA,"33",NA,NA,"113","96","64.6","447",NA,"58","7.26","2.75","3.56","1030","21","10.7",NA,"7.89",NA,"1.13",NA,NA,"54.8",NA,"0.23",NA,NA,"92.7","57.1","344",NA,"13.9","30.3","90",NA,"18.6",NA,"11.1",NA,"1168","5.9","1.44",NA,"6.54",NA,"0.33","2.17","260",NA,"25.2","1.83","125","305"
"65","D60","37.82","3.88","9.99","13.42",NA,"0.21","14.26","12.96","3.5","1.26","0.926",NA,NA,"1.55",NA,NA,"1.5",NA,"789","2.3","0.04",NA,"0.19","119",NA,"63","700","0.5","56","6.7","2.5","3.6",NA,"20.5","10","0.73","6.9",NA,"1.1",NA,"0.08","65","16.2","0.24","0.9",NA,"81","59.5","293","3.2","13.8","30","96","0.16","22",NA,"11.8","2.7","1098","5","1.29",NA,"6.96","0.06","0.31","2.1","299","0.4","26","1.7","103","274"
"66","D61","37.82","3.84","9.84","13.47","7.37","0.21","14.1","13.32","3.15","1.27","0.97","2.87","0.28","2.08",NA,"0.04","1.3",NA,"780.1","2.5",NA,NA,"0.104","135.15","115","73.14","499","0.573","56.4","7.527","2.874","4.171","571","19.99","10.981",NA,"7.14",NA,"1.235",NA,"0.089","66.54","17.6","0.249","0.74",NA,"92.162","67.44","345.1","2.8","16.494","32.1",NA,"0.15","26.5",NA,"13.551","0.83","1206.6","5.439","1.463",NA,"7.655","0.008","0.347","2.357","307.7","0.33","32.57","1.876","121","308"
"67","D62","37.61","3.85","10.01","13.2",NA,"0.2","14.1","12.77","3.48","1.26","0.95",NA,NA,"2.05",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"50","270",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"95",NA
"68","D63","37.7","3.85","9.83","13.29",NA,"0.208","14.53","12.9","3.44","1.28","0.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","D64",NA,"3.8","9.8","13",NA,"0.2","14","12.66","3.48","1.24",NA,NA,NA,NA,NA,NA,"1.4",NA,"655",NA,NA,NA,NA,"136","134","60","434","0.56",NA,"6.15",NA,"4",NA,NA,NA,NA,"6.6",NA,"1.3",NA,NA,"62.4",NA,"0.2",NA,NA,NA,"54.74","286",NA,NA,"31.3",NA,"0.12","21.8",NA,"12.1",NA,"1168","4.8","1.07",NA,"6.7",NA,NA,"1.96","313",NA,NA,"1.6","135","319"
"70","D65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"771.1",NA,NA,NA,NA,"124.57",NA,"61.33","448.61","0.521","66.55","7.158","2.862","3.835",NA,"21.47","10.95",NA,"6.71",NA,"1.161",NA,NA,"62.66",NA,"0.249",NA,NA,"92.21","61.8","320.76","3.064","15.36","31.47",NA,NA,"22.03",NA,"12.19",NA,"1283.2","4.511","1.475",NA,"7.052",NA,"0.334","2.075","282.44",NA,"31.43","1.802","134.88","294.77"
"71","D66","37.51","3.822","9.93","13.35","7.33","0.2","14.34","13.33","3.35","1.32","0.9",NA,"0.33","1.61",NA,NA,NA,NA,"725","2.5",NA,NA,NA,"121",NA,"62",NA,NA,"56","5.62","2.47","3.44",NA,"21",NA,NA,NA,NA,"1",NA,NA,"59","18","0.19",NA,NA,"87","54.5","303",NA,"13.7","32",NA,NA,"20.7",NA,"10.2",NA,"1175",NA,"1.2",NA,NA,NA,"0.105",NA,NA,NA,"30","1.68","115","294"
"72","D67","38.11","3.88","10.2","13.36",NA,"0.21","14.27","13.04","3.36","1.25","0.92",NA,NA,"1.94",NA,NA,"2.28",NA,"748.58",NA,NA,NA,NA,"122.09",NA,"63.6","431.16","0.57","46.49","6.45","2.49","3.92",NA,"18","10.18",NA,"3.31",NA,"1.1",NA,NA,"62.98",NA,"0.22",NA,NA,"82.39","59.76","305.42","2.19","14.57","32.8",NA,NA,"23.79",NA,"11.97",NA,"1150.58","4.9","1.33",NA,"6.24",NA,"0.298","2.15","304.93",NA,"28.95","1.69","117.26","289.34"
"73","D68","38.14","3.92","10.19","13.13",NA,"0.2","14.27","12.96","3.46","1.26","0.93",NA,NA,"1.8",NA,NA,NA,NA,"689","2.59",NA,NA,NA,"126.3",NA,"68.2","455.6","0.63","48.5","6.85","2.71","3.92",NA,"20.3","10.8",NA,"6.8",NA,"1.2",NA,NA,"63.7",NA,"0.24","1.65",NA,"87.98","62.7","322.5",NA,"15.4","31.8",NA,NA,"20.6",NA,"12.46",NA,"1174","5.6",NA,NA,"7.3",NA,NA,"2.1","297.6",NA,"32.1","1.84","117.5","283.6"
"74","D69","38.135","3.84","10.158","13.159",NA,"0.2017","14.333","12.972","3.431","1.243","0.9098",NA,NA,"1.603",NA,NA,NA,NA,"738.5","2.354",NA,NA,"0.039","126",NA,"66.12","431.3","0.553","51.43","7.142","2.751","4.067",NA,"19.69","10.63",NA,"6.799",NA,"1.224",NA,NA,"62.67","17.6","0.241","0.743",NA,"79.42","63.01","311.6","2.866","15.57","29.22",NA,"0.122","23.34",NA,"12.58","2.448","1133.8","4.851","1.409",NA,"7.564",NA,"0.337","2.315","294","0.295","30.1","1.793","117.5","281.6"
"75","D70","33.225","4.242","10.761","12.809",NA,"0.258","15.791","13.29","3.632","1.225","0.968",NA,"0.41",NA,NA,"1.97","8.04",NA,"951.3","2.66","0.02",NA,"0.05","110.37","0","68.05","419.1","0.52","77.37","7.09","2.72","3.84",NA,"24.18","12.01",NA,NA,"0.00064","1.04",NA,NA,"54.14","17.22","0.22","0.66",NA,NA,"63.91","243.88","2.86","13.51","35.63",NA,"0.25","21.59",NA,"12.38",NA,"1477.03","5.64","1.4","0.03","6.43","0.02","0.29","1.92","311.62",NA,"24.63","1.92","154.07","248.39"
"76","D71","38.02","3.94","10.15","13.29",NA,"0.2","14.19","13.02","3.43","1.27","0.92",NA,NA,"1.37",NA,NA,NA,NA,"806",NA,NA,NA,NA,NA,NA,NA,"465",NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238","18",NA,NA,NA,NA,NA,NA,NA,NA,"1100",NA,NA,NA,NA,NA,NA,NA,"242",NA,NA,NA,"161","281"
"77","D72","37.52","3.76","10.1","13.18",NA,"0.21","14.55","12.24","3.41","1.15","0.95","1.64","0.36","2.06",NA,NA,NA,NA,"850","2.06",NA,NA,NA,"130",NA,"61","410","0.51","54","7.1","2.2","4.03",NA,"20","11.5","1.3","6.1",NA,"1.1",NA,NA,"66","15.8","0.23",NA,NA,"86","62","320",NA,"15.2","29",NA,NA,"20.5",NA,"12.4","2.1","1250","4.4","1.25",NA,"7.4",NA,"0.34","2.2","300","0.31","28","1.63","105","290"
"78","D73",NA,"3.703","9.92","13.31",NA,"0.195","12.766","12.873","3.397","1.397",NA,NA,NA,NA,NA,NA,"2.2",NA,"670",NA,NA,NA,NA,"122",NA,"64","459",NA,NA,"7.7",NA,"3.88",NA,NA,NA,NA,"7.1",NA,NA,NA,NA,"63.4",NA,"0.2",NA,NA,NA,"58","270",NA,NA,"35",NA,"0.28","22.5",NA,"12.1",NA,"1170","5","1.23",NA,"7.1",NA,NA,NA,"304",NA,NA,"1.45",NA,"340"
"79","D74","36.788","4.043","10.126","13.338",NA,"0.203","15.219","12.811",NA,"1.281","0.927",NA,NA,"1.6",NA,NA,NA,NA,"711.4","2.3",NA,NA,NA,"116.75",NA,"62.58","421.1","0.53","55.1","6.48","2.54","3.62",NA,"20.5","9.59",NA,"5.45",NA,"1.08",NA,NA,"58.01",NA,"0.21",NA,NA,"74.74","58.47","340.9",NA,"14.08","29.6",NA,NA,"20.9",NA,"11.54","2.67","1140","4.24","1.29",NA,"6.59",NA,"0.3","1.95","284.7",NA,"26.54","1.64","122.3","247.85"
"80","D75","38.4","3.84","10.3","13","7.2","0.21","14.7","13.2","3.4","1.29","0.93","2.3","0.25","1.82",NA,"0.04",NA,NA,"730","2.6",NA,NA,"0.07","123","80","64.7","450","0.5","52.3","6.58","2.63","3.94","780","21","9.78",NA,"7",NA,"1.2",NA,"0.1","61.1","20","0.2","0.83",NA,"86","60.4","304","2.9","15.7","31",NA,NA,"20",NA,"12.4","2","1260","4.9","1.44",NA,"7.2",NA,"0.29","2.16","285",NA,"29.2","1.9","115","300"
"81","D76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"718.85",NA,NA,NA,NA,"122.423",NA,NA,NA,"0.539",NA,"6.973","2.607","3.769",NA,NA,"10.144",NA,"7.36",NA,"1.143",NA,NA,"61.272","15.854","0.212","0.716",NA,"88.626","60.469",NA,"2.838","14.814",NA,NA,NA,NA,NA,"11.801",NA,"1146.92","3.817","1.343",NA,"7.707","0.056","0.337","2.162",NA,NA,"27.064","1.774",NA,"295.139"
"82","D77","38.15","3.84","9.95","13",NA,"0.2","14.05","13","3.45","1.27","0.93",NA,NA,"1.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","D78","37.2534252805","3.8964832765","9.8401706785","13.8419373655",NA,"0.211200908","14.071099841","13.00215714","3.329530117","1.252551624","0.914761021",NA,NA,"1.658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","D79","36.64","3.55","13.26","12.71",NA,"0.212","9.87","12.25",NA,"1.11",NA,NA,"9.63",NA,NA,NA,NA,NA,"781",NA,NA,NA,"2","117",NA,NA,"411",NA,"103",NA,NA,NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,"54.5",NA,NA,NA,NA,"83.5","62.6","295",NA,"10.5","33.3",NA,NA,NA,NA,NA,NA,"1250",NA,NA,NA,"5.3",NA,NA,NA,"704",NA,"27.5",NA,"116","326"
"85","D80","38.04","3.999","9.805","12.77","6.84","1.1984","14.45","13.49","3.063","1.401","0.9134",NA,NA,"1.55",NA,"0.07",NA,NA,"725","3.159","0.023",NA,"0.169","127.01",NA,"69.7","355","0.516","54.5","6.979","2.733","3.804",NA,"14.5","10.86","1.559","6.556",NA,"1.197",NA,NA,"64.82","15.4","0.231","0.921",NA,"81.34","63.67","214","6.341","15.26","30.42","71.3","0.208","23.7",NA,"12.82","2.797","1180.4","5.073","1.513",NA,"7.002",NA,"0.344","2.173","241","0.502","30.14","1.869","120","276.8"
"86","D81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.645",NA,NA,NA,"129.4",NA,"66.94","318","0.6015","64.36","7.195","2.787","3.913",NA,"22.21","10.69",NA,"5.919",NA,"1.199",NA,NA,"66.4","17.85","0.2486","0.7536",NA,"92.16","63.62","340.7","3.055","16.03","33.71",NA,"0.0972","21.59",NA,"12.69",NA,NA,"5.257","1.423",NA,"7.612","0.0097","0.3365","2.358","317.5","0.2955","28.21","1.9","151.2","258.5"
"87","D82",NA,"4.2597637318495","10.9359921452172","13.5344185078512",NA,"0.191214771348691","13.1728507295735","13.3006663452835","3.26241030248578","1.20895751454896","1.10010082859139",NA,NA,NA,NA,NA,"1.55805206208658",NA,"716.433755534867","2.30296162431157","0.0218784081398893",NA,NA,"123.330451140439",NA,"67.3797711734048","503.330764548343","0.518054434825062","56.1326068109301","9.06871573881559","3.23029796858423","4.14188606857805",NA,"20.1572059364423","13.3272979054967","1.89586104246927","6.84849993731248",NA,"1.11858294479968",NA,NA,"61.6745614547181","14.6874183759792","0.275807006187","0.823334157435715",NA,"96.2173450244524","59.9972917776734","288.794748182294","2.25033896868729","14.4953610891356","32.24635260762",NA,"0.108502534347547","23.6438359484926","0.0657849228853258","12.3699532967349","3.48773359160725","1248.9742244671","5.80633596311463","1.79093119907771",NA,"6.31547764353543","0.0069696047175455","0.351091841325062","2.16373389933327","429.294812959982","0.334116410983916","29.5997149042349","1.97203303731975","111.640933351648","308.357828271002"
"88","D83","37.56","3.83","10.08","13.38",NA,"0.208","14.51","12.96","3.35","1.25","0.92",NA,NA,"1.53",NA,"0.038","2.65",NA,"789","2.57","0.0047",NA,"0.075","122.8",NA,"66.3","464","0.519","57.7","7.107","2.743","3.903","1290","20.6","10.47",NA,"6.615",NA,"1.146",NA,NA,"61.3","16.4","0.233","0.725",NA,"86","62.2","323","2.847","15.21","31.2",NA,"0.092","23",NA,"12.77","2.622","1194","6.946","1.458",NA,"7.141","0.008","0.329","2.122","309","0.385","28.4","1.788","118.8","294"
"89","D84","37.73","3.727","9.823","12.48",NA,"0.2","13.78","12.809","3.307","1.279","0.933",NA,"0.525",NA,NA,NA,"1.78",NA,"760.3","2.433",NA,NA,"0.053","127",NA,"64.87","445","0.554",NA,"6.767","3.103","3.827",NA,"21.5","10.243",NA,"6.673",NA,"1.323",NA,NA,"60.8","17.77","0.244","0.817",NA,"85.17","60.4","302.33","2.84","15.27","32.2",NA,"0.143","22","0.053","11.867",NA,"1213.3","5.59","1.42",NA,"7.313","0.23","0.28","2.17","281",NA,"29.8","1.83","120","297"
"90","D85","37.75","3.868","10.05","13.3",NA,"0.209","14.56","13.03","3.482","1.242","0.907",NA,NA,"1.258",NA,"0.62",NA,NA,"692","1.43",NA,NA,NA,"128",NA,"65.7",NA,NA,"56.8","6.98","2.66","4.01",NA,NA,"11.1",NA,NA,NA,"1.13",NA,NA,"66.3","18",NA,"0.81",NA,NA,"63.8","320","2.56","15.5",NA,NA,NA,NA,NA,"12.4","2.4","1060",NA,"1.45",NA,"8.03",NA,NA,"2.32","274",NA,"28.8","1.84","130",NA
"91","D86","37.89","3.82","9.61","13.77",NA,"0.196","14.02","13.32","3.26","1.266","0.916",NA,NA,"1.93",NA,"0.14","3.13",NA,"759","2.55",NA,NA,"0.42","126",NA,NA,NA,NA,NA,"7.18","2.91","3.95",NA,NA,"11.03",NA,NA,NA,"1.18",NA,NA,"62.6","11","0.24","0.98",NA,NA,"60.5",NA,"2.74","15.1",NA,NA,"0.15",NA,"6.19","12.2",NA,NA,NA,"1.43",NA,"8.25",NA,"0.32","2.09",NA,NA,NA,"1.81",NA,NA
"92","D86.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","440",NA,"58",NA,NA,NA,NA,"22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92",NA,"324",NA,NA,"34",NA,NA,"17",NA,NA,NA,"1191",NA,NA,NA,NA,NA,NA,NA,"329",NA,"29",NA,"116","298"
"93","D87","38.23","3.84","9.68","12.77",NA,"0.1997","2.45","13.53","12.71","1.24","0.92",NA,NA,"2.04",NA,NA,NA,"709",NA,NA,NA,NA,NA,"89",NA,"63","391",NA,"13",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,"55",NA,NA,NA,NA,NA,"53","297","5",NA,"29",NA,NA,NA,NA,NA,NA,"1079",NA,NA,NA,"9",NA,NA,"18","293",NA,"25",NA,"98","265"
"94","D89","35.9","3.7","9.5","12.6","7.3","0.2","13.6","12.4","3.3","1.2","0.9",NA,NA,NA,NA,NA,"2.1",NA,"721.4","2.5",NA,NA,"0.18","128",NA,NA,"454.5","0.5","57.5","7","2.8","4","635","19.7","10.6","1.5","6.5",NA,"1.2",NA,NA,"62.7",NA,"0.2","0.8","0.8","95","62.4","366","2.5","14.7","30.9","106",NA,"25.5",NA,"12.2","0.1","1170.3","5","1.4",NA,"7",NA,NA,"2.2","310.5",NA,"31.2","1.8","121.5","292.3"
"95","D90","37.41","3.836","10.19","13.22",NA,"0.197","14.48","12.51","3.53","1.23","0.919",NA,NA,NA,NA,NA,"8",NA,"721",NA,NA,"3",NA,"122.15",NA,"44","351",NA,"43","6.629","2.562","3.6",NA,"18","9.867",NA,"7",NA,"1.088",NA,NA,"61.33",NA,"0.218",NA,NA,"83","58.91","331",NA,"14.65","29",NA,NA,"20.15",NA,"11.559",NA,"1202",NA,"1.269",NA,"7.615",NA,"0.307",NA,"247",NA,"28.65","1.636","107","318"
"96","D91","37.68","3.93","10.11","13.37","7.36","0.206","14.28","13.02","3.35","1.26","0.91","0.33",NA,"1.76",NA,NA,NA,NA,"523.1",NA,NA,NA,NA,"157.9",NA,"60.2","435.1",NA,"53.2",NA,NA,NA,NA,"21.2",NA,NA,NA,NA,NA,NA,NA,"54.5",NA,NA,NA,NA,"77.3","67.1","321.2",NA,NA,"31.2",NA,NA,NA,NA,NA,NA,"1203.9",NA,NA,NA,"8.1",NA,NA,NA,"286.7",NA,"30",NA,"125.1","287.5"
"97","D92 (extra)","38.55",NA,"10.39","12.1",NA,NA,"13.74","13.17",NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
