"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"81","P85","74.97","0.299","12.58","2.88","*","0.061","0.48","1.17","4.53","2.15","0.058","*","*","0.61","*","*","*","*","385","*","*","*","*","*","*","65","95","5","65","*","7","*","*","*","200","18","*","1.6","6","0.4","*","2","*","25","*","*","*","7","31","5","2","*","7","50","*","60","*","*","*","8","*","72","2","*","*","16","0.6","*","4","13","*","71","*","55","240"
"82","P86","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","57.2","*","2.6","*","0.6","11.1","12.1","8","1.2","*","*","9.7","*","9","*","2.7","*","*","26.8","*","1.3","4.9","14.2","33.3","4.7","4.3","*","7.7","51.3","*","*","*","7.3","*","9","4","76.6","1.4","1.8","*","4.8","*","1.2","1.2","*","*","76","8.5","*","*"
"83","P86.1","74.537","0.305","12.646","2.942","*","0.063","0.538","1.147","4.748","2.16","0.06","*","*","0.81","*","*","*","*","376","*","*","*","*","*","*","*","*","*","60","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","14","*","*","*","51","255"
"84","P87","74.72","0.292","12.78","2.86","*","0.064","0.39","1.1","4.65","2.09","0.051","*","*","0.82","*","*","*","*","359","1.71","*","*","*","*","0.42","58","*","3.26","92","1.08","*","12.96","8.74","1.53","*","16.85","11.41","1.6","6.8","*","2.72","*","*","21.03","8.31","1.43","*","11.59","38.04","7.86","*","*","8.96","50.4","*","*","*","5.5","*","9.52","3.57","66","1.11","1.95","*","*","0.23","1.3","1.16","13.9","*","70","9.23","55","241"
"85","P88","74.1","0.26","12.15","2.88","*","0.06","0.45","1.14","0.51","0.12","0.04","*","*","*","*","*","*","*","337.2","*","*","*","*","*","*","49.4","*","2.4","54.1","*","12.5","*","*","*","*","14.9","*","2.7","6.8","*","*","*","*","19.8","*","*","2.9","11.3","30.1","6","6","*","*","47.1","*","*","*","6","*","8","*","69","3.3","*","*","4.3","*","*","*","9.9","*","68.2","5.3","46.2","246.5"
"86","P88.1","*","*","*","*","*","*","*","*","*","*","*","*","*","0.72","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","688","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"87","P89","75.04","0.29","12.53","2.91","*","0.055","0.48","1.16","4.58","2.13","0.058","*","*","0.76","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"88","P90","74.84","0.291","13.04","2.81","*","0.049","0.5","1.15","4.87","2.09","0.063","*","*","0.76","*","*","*","*","320.3","1.34","*","*","*","*","*","62.3","129","2.21","47.1","*","12.7","12.4","8.22","1.37","336","*","10.45","*","7.51","*","2.64","*","*","26.46","4.65","1.29","4.83","9.49","35.52","6.58","3.59","*","8.16","35.2","*","*","*","6.76","*","9.2","*","71.89","0.45","1.84","*","6.77","*","1.23","1.07","9.54","*","66.38","8.37","51.6","236"
"89","P91","*","0.32","*","*","*","0.06","*","*","*","*","*","*","*","*","*","*","*","*","384","1.4","*","*","*","*","*","62","*","2.9","69.2","0.58","12.1","12","7.67","1.36","*","16.5","9.54","*","7.97","*","2.55","*","*","27.5","6.16","1.26","*","*","36.6","6.05","5.15","*","8.4","52.2","*","*","*","8.06","*","9.17","*","70.8","*","1.83","*","4.85","*","1.25","1.3","11.2","*","74","8.13","50.8","252"
"90","P92","75.01","0.29","12.6","2.91","*","0.058","0.47","1.14","4.55","2.1","0.05","*","*","0.76","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"91","P93","74.7","0.3","12.5","2.91","*","0.06","0.47","1.14","4.6","2.13","0.05","*","*","1.34","*","*","*","*","*","*","*","*","*","150","*","62.8","*","*","*","*","*","10.5","6.97","1.28","327","*","9.54","*","*","*","2.46","*","*","26.4","*","1.16","*","*","31.3","*","*","*","8.02","*","*","*","*","*","*","8.23","*","*","*","1.8","*","4.99","*","1.14","1.27","*","*","64.8","7.18","*","205"
"92","P94","75.05","0.308","12.1","3.21","*","0.0674","0.411","1.08","4.63","2.13","0.0587","*","*","0.52","*","*","*","*","440","*","*","*","*","*","*","*","137","*","101","*","33","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","55","*","71","*","*","*","*","*","84","*","*","*","*","*","*","*","*","*","9","*","53","306"
"93","P95","74.05","0.294","12.6","2.98","*","0.0595","0.475","1.13","4.615","2.14","0.06","*","*","*","*","0.65","*","*","368.7","1.233","*","*","*","*","*","66.1","*","2.86","74.8","0.5907","13.13","11.5","7.663","1.333","*","16.13","9.897","*","7.763","0.01","2.737","*","*","26.37","6.46","1.197","4.273","*","37.8","*","4.57","*","7.597","51.8","*","*","0.163","7.363","*","8.953","*","75.65","1.18","1.897","*","5.053","0.1967","1.211","1.313","13.57","0.6663","69.13","8.053","55.4","279.7"
"94","P96","75.4","0.31","12.9","3.01","*","0.06","0.52","0.88","4.6","2.2","0.06","*","*","0.8","*","*","*","*","395.2","1.4","*","*","*","*","*","62.9","*","3.25","77.6","0.75","12.5","11.4","7.3","1.32","*","15.2","9.15","*","7.65","*","2.59","*","*","28.04","*","1.2","6.1","11.7","35.2","3.1","4.5","4.6","8.4","53.4","*","*","*","7.4","*","7.5","3.1","76.5","1.1","*","*","4.4","*","*","1.3","11.5","1.1","83.2","7.7","65.1","241.5"
"95","P97","74.8","0.291","12.6","2.886","*","0.057","0.49","1.165","4.624","2.148","0.051","*","*","0.818","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","642","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"96","P98","68.2","0.239","10.14","2.78","*","0.054","0.553","1.02","2.32","2.03","0.054","*","*","*","*","*","*","*","411.5","*","*","*","*","*","2.3","64.7","*","*","55.8","6.2","10.7","*","*","*","*","13.7","*","*","3.2","*","*","*","*","27.4","*","*","*","*","*","3.6","5.2","*","*","47.2","*","57.7","*","*","*","*","5.6","62.8","*","*","*","5.3","*","*","*","15.8","*","65.3","*","50.1","234.7"
"97","P99","73.64","0.28","13.24","2.83","*","0.05","0.59","1.16","5.03","2.29","0.08","*","*","0.6","*","*","*","*","0.1","*","*","*","*","*","*","*","0.02","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.01","*","*","*","*","*","72","*","*","*","*","*","*","*","*","*","*","*","63","200"
"98","P100","71.56","0.4","13.41","2.66","*","0.063","0.43","1.22","4.53","1.49","0.07","*","0.1","*","0.57","7.7","*","*","365","*","0.1","*","*","*","0.38","60.53","*","3.15","86.93","0.53","44.73","11.45","7.48","1.38","*","34.93","9.6","1.61","7.6","*","2.47","*","0.1","26.5","*","1.15","5.13","15.71","33.57","48.4","4.37","0.07","7.47","49.53","*","220","0.94","8.51","*","8.92","5.32","74.03","0.91","1.76","*","5.06","0.02","1.16","1.3","40.3","6.89","67.4","7.83","51.13","235.17"
"99","P101","75.34","0.25","12.75","3.29","*","0.06","0.5","1.26","4.64","2.1","0.06","*","*","0.69","*","*","*","*","401","*","*","*","*","*","*","65.5","*","3.1","67.6","0.68","19.5","12.05","8","1.36","*","*","10.6","*","3.3","*","2.36","*","*","29","*","1.19","*","35","36.5","7.1","14.7","*","8.29","51.4","*","*","*","5","*","8.63","*","81.4","1.06","1.66","*","2.31","*","1.19","0.72","8.7","*","67.7","8.2","69.3","177"
"100","P102","74.7","0.3","12.55","3","*","0.06","0.52","1.14","4.54","2.17","0.06","*","*","0.75","*","*","*","*","369","1.47","*","*","*","*","*","61.4","*","2.91","68.8","0.579","12","11.5","7.54","1.29","*","16.1","9.59","1.35","7.18","*","2.47","*","*","26.9","6.27","1.19","*","11.4","34.6","5.69","4.98","*","8.01","52.5","*","*","*","7.34","*","8.95","*","71.9","0.964","1.74","*","4.68","*","1.17","1.29","9.82","*","72.8","7.85","51.6","252"
"101","P103","76.277","0.2571","11.736","2.872","*","0.05798","0.4502","1.095","4.618","2.123","*","*","*","*","*","*","*","*","352.9","*","*","*","*","*","*","64.01","*","*","*","*","*","12.59","8.006","1.318","*","*","10.53","*","*","*","2.57","*","*","27.26","*","1.266","*","*","36.78","*","*","*","8.314","*","*","*","*","8.026","*","9.404","*","67.94","*","1.83","*","5.175","*","1.222","1.377","*","*","75","8.126","*","253.1"
"102","P104","75.3","0.303","12.5","2.88","*","0.0539","0.433","1.13","4.28","2.19","0.0577","*","*","0.77","*","*","*","*","481.2","*","*","*","*","*","*","61.6","*","5.05","52.9","0.666","17","11.7","7.67","1.47","*","16.7","10.1","*","*","*","2.5","*","0.0574","24.3","*","1.21","4","11.2","32.4","8.82","7.49","*","8.04","49.5","*","*","*","9.46","*","8.84","*","64.7","*","1.86","*","5.44","0.174","1.16","1.49","*","*","70.6","7.93","54.3","241.8"
"103","P106","74.34","0.3","11.79","3.21","*","0.06","0.5","1.08","4.6","2.03","0.05","*","*","0.84","*","*","*","*","392","*","*","*","*","*","*","62","*","*","65","*","13","11.1","7","1.25","*","*","9.5","*","*","*","*","*","*","27.5","6","*","*","13","34","*","*","*","7.5","61","*","*","*","6.5","*","9","*","78","*","*","*","*","*","*","*","*","*","71","7.5","53","245"
"104","P107","74.2","0.3","12.51","2.91","2.18","0.06","2.07","1.18","4.72","2.14","0.04","0.83","0.03","*","*","*","*","*","364","*","*","*","*","*","*","62","*","6","68","*","10","11","7.3","1.3","*","18","9.6","*","5","*","2.3","*","*","31","*","1.1","4","80","30","11","4","*","7.8","37","*","*","*","6","*","8.6","2","59","1","*","*","1","*","*","2","8","4","66","7.4","46","229"
"105","P107.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","6","*","40","*","*","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","56","*","*","*","*","*","*","*","1.6","*","*","*","1.1","*","*","*","*","*","*","*"
"106","P109","75.01","0.3","12.58","2.87","*","0.06","0.48","1.12","4.65","2.14","0.06","*","*","0.71","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"107","P110","74.473","0.291","12.605","2.866","*","0.06","0.449","1.134","4.686","2.168","0.052","*","*","0.777","*","*","*","*","347.6","*","*","*","*","*","*","55.1","*","3.9","57.6","*","8.5","*","*","*","*","14.5","*","*","7.4","*","*","*","*","25.2","*","*","3.6","11","26.1","2.9","4.6","*","*","50.9","*","*","*","6.2","*","6.6","3.1","69.1","*","*","*","4.8","*","*","1.2","8.7","4.6","67.9","6.4","47.7","246.6"
"108","P111","75.04","0.29","12.52","2.87","2.2","0.06","0.48","1.11","4.59","2.12","0.06","0.69","*","0.78","0.078","0.56","*","2.41","393","1.51","0.075","*","*","*","0.17","57.3","*","3.11","75.8","0.69","12.3","9.94","6.23","1.26","*","15.4","9.67","1.32","8.58","*","2.16","*","*","27.3","5.96","0.96","4.81","11.4","30.6","6.54","4.87","*","7.52","56.2","*","*","*","9.24","*","8.26","3.38","67.2","1.08","1.62","*","4.65","0.23","0.98","1.24","11.6","0.89","64.6","7.04","46.3","252"
"109","P112","74.86","0.29","12.43","3.03","2.05","0.058","0.47","1.15","4.61","2.13","0.05","1","*","0.83","*","*","*","4","365","1.36","*","*","*","188","0.24","59.2","44","2.93","73.9","0.51","12.2","11.3","7.2","1.34","300","16.9","9.34","1.61","7.42","*","2.56","*","*","27","6.3","1.19","3.84","10.5","33.9","6.5","5.04","*","8.1","55.1","*","89","*","7.71","0.025","9.03","4.2","74.8","1.06","1.66","*","5.02","*","1.1","1.19","9.2","1.06","71.1","7.79","69.8","254"
"110","P113","74.86","0.3","12.6","2.89","*","0.06","0.48","1.15","4.6","2.16","0.055","*","*","0.69","*","*","0.005","*","384","1.3","0.09","*","*","300","0.07","63.2","*","3","50","0.6","12","11.7","7.6","1.4","*","15","9.8","1.2","7.3","*","2.4","*","0.06","27.5","6.1","1.1","4.6","12","36.2","5.8","5","*","8.5","53.8","*","60","0.2","7","*","8.9","3.5","81","0.96","1.7","*","5.1","0.2","1.2","1.3","9","0.8","68.7","7.8","55","241"
"111","P114","74.73","0.63","11.43","3.65","*","0.09","0.46","1.05","2.65","4.25","0.08","*","*","1","*","*","*","*","*","*","*","*","*","0.17","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"112","P115","74.18","0.3","12.34","2.81","*","0.06","0.42","1.12","4.22","2.07","0.04","*","*","0.74","0.15","1.47","*","*","404","1.27","*","*","*","*","*","62.9","*","2.6","63.7","*","*","12.3","8.06","1.38","*","*","10.6","*","*","*","2.64","*","*","27.8","*","1.28","4.12","*","36","5.24","5.47","*","8.42","*","*","*","0.15","*","6.25","9.39","*","*","*","1.83","*","5.38","*","1.29","1.35","*","*","*","8.26","*","*"
"113","P115.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","12.1","*","*","*","*","16.4","*","1.1","7.1","*","*","*","*","*","5","*","*","11.7","*","*","*","*","*","49.8","*","*","*","4.8","*","*","3.5","67.1","*","*","*","*","*","*","*","8.8","4.1","70.6","*","50.4","238"
"114","P116","74.28","0.26","12.63","2.806","*","0.06","0.49","1.12","4.69","2.26","0.06","*","*","0.7","*","*","*","*","357.3","*","0.123","*","*","*","*","64.439","*","*","56","0.597","10","11.654","7.615","1.292","*","15.4","9.771","*","8.215","*","2.508","*","*","27.679","5.54","1.158","4.87","12","36.159","8.2","7.8","*","8.297","54","*","*","3.4","3.4","*","9.148","3.6","69.8","1.077","1.761","*","5.483","0.258","1.191","1.32","14","*","69.2","7.768","46.3","247.5"
"115","P117","74.8","0.49","12.4","2.85","2.24","0.06","0.5","1.1","4.39","2.02","0.05","*","*","0.92","0.9","*","*","*","328","1.42","*","*","*","*","0.07","73.6","*","2.7","87.2","*","*","10.5","7.5","1.29","*","*","9.42","*","*","*","2.51","*","*","*","3","1.2","5.5","*","38.3","13.5","30.5","*","9.5","*","*","180","*","8.2","*","10.1","*","60","*","2.07","*","*","*","1.08","*","9","*","55","7.62","53","*"
