"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"37","P40","74.66","0.325","12.507","2.828","*","0.056","0.489","1.185","4.66","2.27","0.056","*","*","0.744","*","*","*","*","374","*","*","*","*","*","*","*","*","3","43","*","12","*","*","*","343","19","*","*","21","*","*","*","*","*","7","*","*","*","*","5","23","*","*","*","*","*","*","*","*","*","*","79","*","*","*","*","*","*","*","*","*","65","*","55","209"
"38","P41","74.852","0.288","12.402","2.922","*","0.059","0.486","1.147","4.558","2.158","0.059","*","*","0.84","*","1","*","*","369","*","*","*","*","*","*","60","*","*","66","*","7","*","*","*","*","16","*","*","*","*","*","*","*","29","*","*","*","13","*","3","7","*","*","55","*","*","*","9","*","*","*","71","*","*","*","5","*","*","1","11","*","78","*","48","263"
"39","P42","74.67","0.3","12.82","2.91","*","0.057","0.49","1.14","4.63","2.15","0.06","*","*","0.69","*","*","*","*","265","*","*","*","*","*","*","29","*","1","30","*","25","*","*","*","*","9","*","*","*","*","*","*","*","16","*","*","*","8","*","4","19","*","*","50","*","*","*","*","*","*","*","158","*","*","*","*","*","*","*","11","*","55","*","58","195"
"40","P43","75.57","0.308","12.6","2.929","2.58","0.048","0.462","1.178","4.52","2.146","0.052","1.2","*","1.015","*","0.6","*","*","368","1.16","0.1","*","*","0.03","*","60.7","100","2.7","60","0.6","11.2","10.2","7.25","1.16","260","16","9.98","2","7","*","2.44","*","*","27.5","*","1.24","5","8","34","6","7","*","8.26","53.4","*","*","0.3","*","*","8.38","4","69.4","0.9","1.62","*","5","*","1.25","1.43","10","1","71","7.9","50","243"
"41","P44","76.15","0.28","11.32","2.94","0.35","0.07","0.24","1.18","4.86","2.15","0.05","*","*","0.8","0.562","0.608","*","2.898","354.022","0.996","0.07","*","*","*","0.184","63.588","*","2.721","64.16","0.551","13.043","11.924","8.032","1.435","*","15.308","10.56","1.402","7.276","*","2.554","*","*","26.803","5.529","1.258","5.071","12.795","35.835","5.484","4.184","*","8.64","46.839","*","*","0.163","7.633","0.565","9.229","3.496","55.498","1.257","1.745","*","4.028","0.162","1.226","1.226","9.243","1.054","49.773","8.09","39.297","232.159"
"42","P45","75.04","0.288","12.61","2.88","*","0.057","0.503","1.13","4.6","2.14","0.054","*","*","0.76","*","*","*","*","381.3","1.5","0.09","*","*","*","0.14","63","*","2.92","63.8","0.59","12.9","12.08","7.95","1.36","*","15.3","10.16","*","7.63","*","2.63","*","*","28.1","7.02","1.24","4.77","12.4","35.77","5.17","4.8","*","8.35","52.8","*","70","0.13","8.22","*","9.27","3.4","73.1","0.99","1.88","*","4.97","0.2","1.23","1.33","10.6","0.89","71.8","8.09","52.5","255.7"
"43","P46","75.01","0.37","12.78","2.79","*","0.06","0.38","1.16","4.51","2.18","0.06","*","*","0.73","*","*","*","*","*","*","*","*","*","1131","*","*","*","7","58","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","146","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"44","P47","74.94","0.292","12.57","2.91","*","0.06","0.493","1.146","4.48","2.104","0.052","*","*","0.76","0.375","1.348","*","*","407","1.442","0.102","*","*","*","0.561","64","*","2.94","74","1.4","22","7.84","5.63","0.73","*","15.8","5.65","2.39","8.4","*","1.76","0.7","*","26","*","0.96","5.523","9","35","6","10","*","3.48","55","*","*","0.17","6.14","0.045","4.63","3","71","0.966","1.11","0.051","3.16","0.22","0.9","0.85","12","1.48","69","6.27","50","239"
"45","P48","74.27","0.3","12.6","2.86","*","0.05","0.46","1.13","4.67","2.1","0.04","*","*","0.74","*","1.6","*","*","339","*","*","*","*","*","4","53","*","4","51","2","9","*","*","*","*","14","*","*","6","*","*","*","*","24","*","*","3","10","28","3","23","*","*","52","*","*","3","9","*","10","11","70","4","*","6","5","*","*","2.2","12","10","71","*","48","254"
"46","P49","75.6","0.31","12.6","2.87","0.98","0.06","0.37","1.17","4.91","2.17","0.05","2.76","*","0.75","*","16","*","*","413","1.1","0.18","*","*","200","0.15","64.9","*","2.9","31","0.59","12.6","12.1","7.56","1.65","*","15.6","9.51","9.8","6.82","*","3.47","*","0.09","28.1","6","1.49","5.12","10.8","35.1","9","7","*","6.01","46.9","*","*","0.15","7.6","*","7.3","3.4","68.7","0.9","2.28","*","4.9","0.17","1.48","1.2","12","1.5","79.6","7.9","54","244"
"47","P52","75.087","0.2833","12.66","2.917","*","0.0561","0.496","1.151","4.678","2.173","0.0784","*","*","0.783","*","*","*","*","388.6","1.561","0.097","*","*","*","0.087","65.82","*","2.695","71.63","0.596","10.23","11.25","7.352","1.302","*","17.05","9.118","*","7.473","*","2.601","*","*","28.01","6.527","1.189","3.676","10.53","35.29","5.32","4.928","*","8.256","52.2","*","*","*","7.809","*","9.226","3.509","71.1","1.093","1.681","*","5.406","*","1.158","1.29","10.226","*","71.2","7.622","48.26","242.9"
