"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","S3","51.68","1.3","17.28","9.7","*","0.13","5.28","9.87","2.52","1.08","0.16","*","*","0.85","*","*","*","15","404","*","*","*","*","*","*","36.62","*","10","24.3","*","21.79","4.4","2.52","1.51","*","*","5.24","1","*","*","0.87","*","*","*","*","7","0.32","*","*","8","20.43","90","*","28","*","4.75","*","*","*","*","*","*","0.928","30.1","*","4.57","*","*","16.57","0.75","*","1.82","*","0.34","*","*","*","21.86","2.22","110","*"
"2","S4","51.318","1.304","16.727","10.776","*","0.143","5.069","9.228","3.162","1.226","0.197","*","*","0.863","*","*","*","*","382","*","*","*","*","*","*","*","*","41","168","*","101","*","*","*","329","15","*","*","3","*","*","*","*","*","*","8","*","*","*","*","*","71","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","362","*","*","*","*","*","*","*","*","*","22","*","84","98"
"3","S5","51.2","1.33","16.91","10.41","*","0.15","5.01","9.32","3.22","1.15","0.2","*","*","0.66","*","*","*","*","375","*","*","*","*","*","*","*","*","*","156","*","90","*","*","*","*","22","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","59","*","*","*","*","*","*","*","*","*","*","*","27","*","*","*","325","*","*","*","*","*","*","*","245","*","*","*","72","*"
"4","S6","51.47","1.28","16.81","10.58","6.01","0.14","5.08","9.3","3.18","1.18","0.2","1.01","*","0.72","0.091","*","*","5","416","0.96","*","*","*","*","0.11","36.6","*","35.8","176","0.34","113","4.35","2.5","1.54","*","20.3","4.42","1.61","3","0.014","0.84","*","*","*","16.4","6.94","0.34","0.44","*","6.12","20.5","68","*","6.05","*","4.84","*","28.7","*","*","*","*","*","30.3","*","4.44","1.45","364","0.43","0.76","*","1.72","*","0.35","0.43","255","0.71","23.2","2.27","76.1","110"
"5","S7","*","1.2","*","9.72","*","0.145","*","*","*","1.03","0.16","*","*","*","*","*","*","*","394","*","*","*","*","*","0.113","37.5","*","33.13","169.4","0.328","97.9","4.45","2.43","1.43","*","*","5.92","*","*","*","0.855","*","*","*","17","*","0.31","0.38","*","*","19.8","65.7","*","5.66","*","*","*","26.1","*","*","*","*","0.03","26.1","*","4.52","*","358.7","2.89","0.74","*","1.51","0.136","0.344","0.35","236","0.72","*","2.18","77.7","57.8"
"6","S8","51.27","1.32","17.44","10.35","*","0.143","5.04","9.11","3.02","1.13","0.201","*","*","0.7","*","*","*","*","378","1.02","*","*","*","*","*","45.79","*","30","197","*","84","4.71","3.16","1.83","*","17","5.34","1.22","1.7","*","*","*","*","*","19.93","9.5","*","0.72","*","*","21.35","61","*","2.72","*","*","*","21","*","*","*","*","*","29","*","4.78","1.55","349","*","*","*","*","*","*","0.56","261","*","27.65","2.56","84","137"
"7","S10","50.97","1.35","16.96","10.55","*","0.156","5.13","9.338","3.13","1.108","0.197","*","*","0.85","*","*","*","*","384","*","*","*","*","*","*","34","*","33","181","2","107","*","*","*","*","20","*","*","*","*","*","*","*","*","14","*","*","*","*","*","21","66","*","*","*","*","*","30","*","*","*","*","*","*","*","4","1","362","*","*","*","*","*","*","*","267","*","25","*","85","141"
"8","S11","51.11","1.33","16.81","10.44","*","0.15","5.13","9.4","3.23","1.17","0.21","*","*","0.71","*","*","*","*","457","*","*","*","*","*","*","*","*","*","*","*","104","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","361","*","*","*","*","*","*","*","250","*","*","*","*","136"
"9","S11.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","62","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","25","*","72","*"
"10","S13","50.57","1.18","18.31","9.23","*","0.13","4.65","9.59","3.45","1.37","0.31","*","*","1.025","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","130","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","85","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"11","S15","51.02","1.334","17.065","10.33","*","0.147","5.138","9.337","3.239","1.157","0.205","*","*","*","*","*","*","*","389.7","1.06","*","*","*","*","*","38.3","*","37.2","201","0.88","110.8","4.87","2.66","1.52","*","21","4.61","*","4","*","0.98","*","*","*","18","*","0.38","0.56","*","7.77","21.6","63.6","*","4.14","*","5.22","*","27.8","*","*","*","*","*","30.24","*","4.94","1.13","360.7","0.51","0.8","*","1.78","0.13","0.4","0.44","262.3","1.44","25","2.52","65.3","124.2"
"12","S16","50.45","1.31","16.87","10.38","*","0.15","4.85","9.18","3.32","1.16","0.2","*","*","0.88","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"13","S17","51.34","1.33","17.12","10.57","5.67","0.15","5.07","9.46","3.22","1.17","0.21","*","*","0.85","*","*","*","*","390","*","*","*","*","*","*","*","*","30","172","*","99","*","*","*","*","22","*","*","*","*","*","*","*","*","20","*","*","*","*","5","17","67","*","*","*","*","*","25","*","*","*","*","*","*","*","*","*","385","*","*","*","*","*","*","*","260","*","24","*","81","144"
"14","S19","51.63","1.4","17.3","10.05","*","0.15","4.88","9.58","3.18","1.22","0.21","*","*","0.4","*","0.86","*","*","389.4","0.87","*","*","*","*","*","37.98","*","34","171","0.327","89.87","4.985","2.695","1.513","*","*","5.058","*","1.993","*","0.955","*","*","*","17.06","7.3","0.337","*","*","6.009","20.43","59","*","5.772","*","4.787","*","25.24","*","*","*","*","*","27.1","*","4.402","*","350.3","0.375","0.774","*","1.789","*","0.367","0.385","227","*","22.4","2.284","66","66.09"
"15","S20","51","1.33","16.9","10.4","*","0.15","5.25","9.19","3.18","1.11","0.19","*","*","1.13","*","*","*","*","392","*","*","*","*","800","*","40.7","*","37.8","178","4.46","112","4.34","2.61","1.42","353","20.9","4.99","*","4","*","0.87","*","*","*","19.6","*","0.36","*","*","6.2","20.4","73","*","7","*","4.86","*","28.2","*","*","*","200","*","*","*","4.57","1","382","0.3","0.76","*","5.91","*","0.35","0.52","256","*","25","2.28","93","151"
"16","S21","51.11","1.414","16.216","10","*","0.1473","4.763","8.791","3.195","1.104","0.1916","1.32","0.2286","*","*","*","*","*","427.3","*","*","*","*","*","0.1444","40.27","*","38.54","194.3","0.3638","104.7","5.181","2.922","1.644","*","21.86","5.378","*","1.989","*","1.015","*","*","*","18.62","*","0.3594","*","*","6.69","22.67","70.76","*","7.026","*","5.215","*","27.93","*","*","*","*","*","32.76","*","5.141","1.371","368.7","0.5321","0.8275","*","1.944","0.189","0.3943","0.3781","301.2","*","24.27","2.581","89.09","206.9"
"17","S22","50.89","0.14","12.12","6.27","*","0.28","2.67","7.98","4.34","4.43","0.41","*","*","0.89","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"18","S23","50.04","1.349","17.61","10.57","*","0.149","5.26","9.25","3.43","1.17","0.208","*","*","*","*","*","*","*","*","*","*","*","*","*","*","40.7","*","29","114","*","*","4.77","2.67","1.65","*","*","5.05","*","*","*","0.95","*","*","*","18.8","*","0.31","*","*","*","22","60","*","7","*","5.3","*","*","*","*","*","*","*","33.5","*","4.86","*","*","*","0.78","*","1.85","*","0.35","*","181","*","25","2.16","69","*"
"19","S24","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","38.93","*","*","*","*","*","4.56","2.53","1.46","*","*","4.37","*","*","*","0.88","*","*","*","17.89","*","0.37","*","*","*","20.99","*","*","*","*","4.88","*","*","*","*","*","*","*","*","*","4.88","*","*","*","0.78","*","*","*","0.38","*","*","*","25.11","2.51","*","*"
"20","S25","51.26","1.326","17.08","10.48","*","0.148","5.14","9.27","3.29","1.17","0.206","*","*","0.8","*","*","*","*","452","*","*","*","*","*","*","35","*","35","171","*","93","*","*","*","*","20","*","*","*","*","*","*","*","*","14","*","*","*","*","7","22","62","*","7","*","*","*","30","*","*","*","*","*","29","*","*","*","381","*","*","*","*","*","*","*","263","*","25","5","69","137"
"21","S26","51.84","1.35","17.23","10.36","*","0.15","5.24","9.44","3.3","1.17","0.21","*","*","0.855","0.89","0.9","*","*","424","0.8","*","*","*","*","0.25","65.53","114","*","175.36","0.41","96.43","4.35","2.45","2.05","*","20.69","5.37","1.42","3.42","*","0.85","*","*","*","28.59","*","0.26","*","*","6.11","40.37","76.08","*","6.05","*","8.49","*","27.32","*","*","*","120","*","33.91","*","*","*","371","0.32","0.83","*","1.28","*","*","0.41","242","*","16.69","1.96","86.68","137.18"
"22","S27","45.2","1.01","16","9.55","*","1.15","7.24","7.78","5.83","1.08","*","*","*","*","*","*","*","*","464","*","*","*","*","*","*","39.3","*","*","468","*","125","*","*","*","*","15.5","*","*","*","*","*","*","*","*","15.7","*","*","*","*","4.5","28.4","*","*","18.3","*","*","*","27.4","*","*","*","568","*","131","*","*","*","387","*","*","1.4","*","*","*","*","190","*","21.2","*","69.7","136"
"23","S28","*","*","*","*","*","0.158","*","*","*","*","*","*","*","*","*","*","*","*","413","1.06","*","*","*","*","0.11","37.4","*","38","*","0.34","98","4.42","2.49","1.54","*","22","4.9","*","1.6","*","0.89","*","*","*","17.7","*","0.32","0.45","*","6.2","20.7","70","*","6.4","*","4.89","*","28","*","*","*","*","*","31","*","4.64","1.2","363","0.37","0.77","*","*","0.16","0.35","0.37","277","0.6","23","2.21","85","*"
"24","S29","51.44","1.31","17.92","9.94","*","0.137","4.78","9.26","3.56","1.1","0.215","*","*","0.67","*","*","*","*","401","0.95","*","*","*","*","*","38.38","177","32.13","177","*","103.5","4.56","2.66","1.5","295","*","4.96","*","3.6","*","0.91","*","*","*","17.05","8.7","0.36","*","*","6.56","20.28","63.56","*","*","*","4.74","*","27.42","*","*","*","*","*","28.36","*","4.62","*","370","0.42","0.76","*","1.73","*","0.37","0.4","257","*","22.78","2.38","79.38","119"
"25","S30","50.672","1.269","17.615","10.448","*","0.145","6.123","9.102","3.057","1.358","0.208","*","*","0.752","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"26","S31","51.31","1.33","17.13","10.45","*","0.15","5.05","9.38","3.22","1.16","0.2","*","*","0.92","*","*","*","*","405","*","*","*","*","*","0.4","*","*","32","162","*","102","*","*","*","*","*","*","*","*","*","*","*","*","*","17","*","*","*","*","*","*","57","*","6.2","*","*","*","28","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","222","*","*","*","67","*"
"27","S33","51.15","1.251","16.78","10.45","*","0.148","5.024","9.21","3.24","1.146","0.195","*","*","*","*","*","*","*","403","*","*","*","*","660","*","*","*","35","189","*","94","*","*","*","*","*","*","*","*","*","*","*","*","*","16","*","*","*","*","*","*","70","*","*","*","*","*","*","*","*","*","200","*","*","*","*","*","*","*","*","*","*","*","*","*","263","*","22","*","84","122"
"28","S34","51.19","1.32","17.07","10.61","*","0.14","5.14","9.31","3.23","1.18","0.23","*","*","0.79","*","0","*","*","468","*","*","*","*","*","*","34","*","*","179","*","110","*","*","*","*","20","*","*","*","*","*","*","*","*","22","*","*","*","*","6","*","63","*","10","*","*","*","31","*","*","*","*","*","27","*","*","*","386","*","*","*","2","*","*","2","231","*","26","*","67","141"
"29","S35","50.97","1.36","17.21","10.39","*","0.15","5.17","8.84","3.3","1.14","0.19","*","*","0.68","*","3.4","*","*","446","*","*","*","*","*","1","42","*","33","157","*","95","*","*","*","*","19","*","*","3","*","*","2","*","*","54","*","*","*","*","5","18","55","*","15","*","*","*","29","*","*","*","*","2","26","*","8","7","369","*","*","6","2","*","*","2.6","239","25","24","*","69","130"
