"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","F01","74.6","0.23","11.05","4",NA,"0.085","0.03","0.2","3.58","4.47","0.01",NA,NA,"1.76",NA,NA,NA,NA,NA,"26.4",NA,NA,NA,NA,"198",NA,"0.3","27","0.66","6","19.4","11","1.2",NA,NA,"17.4",NA,"22.1",NA,"4.1",NA,NA,NA,"95.3",NA,"1.69","1.9",NA,"77","86.5","2",NA,"39",NA,"23.4",NA,"170",NA,NA,NA,NA,"0.33","0.3",NA,"18.6","11.3","10","5.9","3.15",NA,"23.5",NA,"1.91","5.4","0.5","1.38","109","11","141","975"
"2","F102","74.303","0.218","10.954","3.821",NA,"0.091","0.017","0.21","3.683","4.583","0.015",NA,NA,"1.87",NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82.7",NA,"1",NA,"33",NA,NA,NA,"177.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121.9",NA,"139","953"
"3","F02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","15",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,"4",NA,NA,NA,NA,NA
"4","F03","74.42","0.23","11.22","3.78",NA,"0.09","0.03","0.22","3.64","4.65","0.017",NA,NA,"1.6",NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,"228","60",NA,"7",NA,NA,NA,NA,NA,"1200","35",NA,"1.2","17",NA,NA,NA,NA,NA,"107",NA,NA,"2",NA,"61","94",NA,NA,"31",NA,"8",NA,"184",NA,NA,NA,NA,NA,NA,NA,"6","23","6","13",NA,NA,"27","1.2",NA,"6",NA,NA,"97",NA,"150","983"
"5","F04","74.28","0.24","10.91","3.97",NA,"0.07",NA,"0.19","3.76","4.37","0.005",NA,NA,"1.77",NA,NA,"3",NA,NA,"27",NA,NA,NA,NA,"195",NA,"8","19",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,"2.6",NA,"88","89","2",NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"27",NA,NA,"5","5",NA,"134",NA,"137","1037"
"6","F05","73.16","0.23","11.23","3.79","3.28","0.16","0.03","0.2","3.6","4.59","0.01",NA,NA,NA,NA,"0.3","3.7",NA,NA,"10","10.4","0.2",NA,NA,"197.9",NA,NA,"16","0.7","6","18.01","11.15","1.19","1370","33.2","18.84","2.1",NA,NA,"3.72",NA,NA,NA,"94.7","1","1.59","1.9",NA,"81","87.8","3",NA,"36.5",NA,"23.3",NA,"176",NA,NA,NA,"60","0.4","1",NA,"18.82","6","14","6","3.35",NA,"23",NA,NA,"5.7","4",NA,"111.7","10.93","140","914"
"7","F06","74.69","0.22","11.08","4.009",NA,"0.08",NA,"0.21","3.76","4.38","0.08",NA,NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","F07","74.25","0.22","11.16","3.81",NA,"0.09","0.1","0.19","3.61","4.57","0.014",NA,NA,"1.79",NA,NA,NA,NA,NA,"29.4","10.9",NA,NA,NA,"190",NA,"0.32","20.8","0.67","3.3","17.6","10.8","1.056",NA,"32.4","16.1",NA,"21",NA,"3.68",NA,NA,NA,"90","1.5","1.49","1.92",NA,"83.5","88.1","2.9",NA,"34",NA,"23.2",NA,"171",NA,NA,NA,NA,"0.32","1.3",NA,"17.2","12.5","10.5","5.04","2.83",NA,"22.8","0.61",NA,"5.5","1.1","8.1","108","10.33","136","970"
"9","F08","73.1",NA,"17.1","3.63",NA,"0.09",NA,"0.34","3.9","4.47","0.005",NA,NA,NA,NA,NA,"5.8",NA,NA,"130",NA,NA,NA,NA,NA,NA,"1","12",NA,"3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"31",NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"170",NA
"10","F09","71.5","0.22","12.43","3.95",NA,"0.09","0.075","0.46","4.52","4.56",NA,NA,NA,NA,NA,NA,"2.2",NA,NA,"19",NA,NA,NA,"0.4","187.3",NA,NA,"22",NA,"1.7",NA,NA,NA,NA,"33.4",NA,"1.3","22.4",NA,NA,NA,NA,NA,"81.1",NA,NA,"1.4",NA,"77.2","71.5",NA,NA,"32.2",NA,"10.5",NA,"170.1",NA,NA,NA,NA,"0.4",NA,NA,"41","12.2","11.3","11",NA,NA,"35.5","1.4",NA,"5.5","4.7","4.5","118.2","15.2","146","1000"
