"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"49","C40.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"504",NA,NA,NA,NA,NA,NA,"2.5","9.8",NA,NA,NA,NA,NA,NA,"23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,NA,"85.3",NA,NA,NA,NA,NA,NA,NA,"5.6",NA,"54",NA,NA,"256"
"50","C41","72.74","0.18","13.1","2.8",NA,"0.05","0.1","1.12","3.51","5.2","0.03",NA,NA,"0.3",NA,NA,NA,NA,NA,"541",NA,NA,NA,NA,"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",NA,"65","262"
"51","C42","73.52","0.19","13.01","2.74",NA,"0.05","0.13","1.08","3.56","5.09","0.03",NA,NA,"0.21",NA,NA,NA,NA,NA,"547.4","4.4","1.3",NA,NA,"127.2",NA,"3","4.7",NA,"3.3","9.82","5.41","1.52",NA,"23.7","10.12",NA,"9.09",NA,"1.92",NA,"56.11","29.1","0.68",NA,NA,"49.3","53.8","3.4","21.1",NA,"14.22",NA,"146.4",NA,NA,NA,NA,"1.39","3.7",NA,"11.16","21.3","81.5","83.78","1.63",NA,"21.08","0.59","0.75","2.79","5.6","3.1","49.1","4.76","59.7","266.1"
"52","C43","74.2","0.18","13.1","2.8",NA,"0.05","0.09","1.1","3.6","5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA
"53","C44",NA,"0.19","10.9","2.93",NA,"0.048","0.08","1.08","3.78","5.45",NA,NA,NA,NA,NA,NA,"1.3",NA,NA,"542.4","4.4","0.2",NA,"0.04","129.8",NA,"1.7","4","4.3","3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","28.2",NA,"2",NA,NA,NA,"5.4","22.6",NA,NA,NA,"162.3",NA,NA,NA,NA,"1.9","4.4",NA,NA,"16.2","101.7",NA,NA,NA,"24","0.7",NA,"3.2","3.1",NA,"63",NA,"63.1",NA
"54","C45","73","0.2","13.2","3.08",NA,"0.04","0.27","0.98","3.5","4.52","0.04",NA,NA,"1.21",NA,NA,"10",NA,"8","586","4","4",NA,"1.5",NA,NA,"7","15",NA,"2",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,"37",NA,"8",NA,"41",NA,"26","80",NA,NA,NA,NA,NA,NA,NA,NA,"52",NA,NA,NA,"9","81",NA,NA,NA,NA,NA,NA,NA,"20","6","49",NA,"65",NA
"55","C46","73.7","0.21","12.95","2.85","1.95","0.039","0.15","1.21","3.77","5.17","0.029","0.5","0.12","0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","C46.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1","2",NA,"505","4.47","0.3","3.8","4.8","136",NA,"5.6","12","4.4","7.3","9.8","5.6","2.13","1020",NA,"11.8",NA,"8.9",NA,"1.8",NA,"70","42","0.66",NA,NA,"41","60","10.8",NA,NA,"15.8",NA,"146",NA,NA,NA,NA,"1.5","5.4",NA,"11.9",NA,"87","98","1.4",NA,"23",NA,"0.7","2.8","10.2","2","57","4.5","75","245"
"57","C47","73.47","0.205","12.76","2.86",NA,"0.055","0.165","1.1","3.78","5.13","0.02",NA,NA,"0.39",NA,NA,NA,NA,NA,"549",NA,NA,NA,NA,"132",NA,"2.25","8.6","3.9","5.8","10.438","5.895","1.906",NA,"23.6","11.8",NA,"8.17",NA,"2.22",NA,"65.35",NA,"0.733","1.7",NA,"48","63.63","8.9","23.3",NA,"16.73",NA,"155",NA,NA,NA,NA,NA,NA,NA,"14.4",NA,"90","85.7","1.89",NA,"22.65",NA,"0.886","3.12","13.9","0.94","57","5.255","74","270"
"58","C48","73.71","0.19","13.2","2.89",NA,"0.047","0.12","1.09","3.62","5.1","0.037",NA,NA,NA,NA,NA,NA,NA,NA,"527",NA,NA,NA,NA,NA,NA,NA,"8",NA,"6",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,"55",NA,"14",NA,NA,NA,NA,"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,"87",NA,NA,NA,NA,NA,NA,NA,"10",NA,"55",NA,"63","263"
"59","C48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","C49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"514",NA,NA,NA,NA,"122.8",NA,NA,NA,"3.78",NA,"10.9","5.32","1.68",NA,NA,"10.86",NA,"7.42",NA,"2.07",NA,"63.7",NA,"0.69",NA,NA,"53.4","51.8",NA,"21.38",NA,"13.41",NA,"149",NA,NA,NA,NA,NA,"4.8",NA,"11.68",NA,"88","95","1.79",NA,"17.88",NA,"0.75","2.59",NA,NA,"56.6","4.57",NA,NA
"61","C50","73.32","0.188","13.12","2.97","2.08","0.046","0.12","1.09","3.47","4.99","0.04","0.18",NA,"0.36",NA,NA,"0.9",NA,NA,"510","4.1","0.3",NA,NA,"136",NA,"1","7","4.9","4","10","5.4","1.7",NA,"23","11.5",NA,"8.2",NA,"1.9",NA,"74","28","0.77","1.4",NA,"43.3","63","6","20",NA,"17",NA,"155",NA,NA,NA,NA,"0.3","5",NA,"12","22.4","88","100","1.8",NA,"23",NA,"0.7",NA,NA,NA,"52","5","68","267"
"62","C51","73.88","0.192","12.88","2.85","2.28","0.049","0.135","1.017","3.56","4.93","0.032",NA,NA,"0.3",NA,"0.04","0.5",NA,"8.6","515.4","4.68","0.3",NA,NA,"131",NA,"1.5","6.93",NA,"5.5",NA,NA,NA,NA,NA,NA,NA,NA,"0.001",NA,NA,NA,"34.5",NA,NA,NA,NA,NA,"4","18",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"84",NA,NA,NA,NA,NA,NA,NA,"5.24",NA,NA,NA,"73.9",NA
"63","C52","73.4","0.2","13","2.78",NA,"0.045","0.13","1.09","3.52","5.04","0.03",NA,NA,"0.22",NA,NA,NA,NA,NA,"530","4.6","0.3",NA,"0.18","133","60","1.7","9",NA,"5.4","11.4","6.5","2.1","770","24.5",NA,NA,NA,NA,"2.1",NA,"66","38","0.77","1.7",NA,"49","59","5.4","23",NA,"16",NA,"153",NA,NA,NA,"190","1.5","4.2",NA,"12.4","13","75",NA,NA,NA,"19","0.76","0.8","2.8",NA,NA,"50","5.1","66","290"
"64","C53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,"1.62",NA,NA,NA,NA,NA,NA,"2.06",NA,"62.6",NA,"0.7",NA,NA,NA,"56.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.5",NA,NA,NA,"1.61",NA,NA,NA,NA,NA,NA,NA,NA,"4.67",NA,NA
"65","C53.1",NA,NA,NA,"2.79",NA,NA,NA,"1.4","3.59","4.73",NA,NA,NA,NA,NA,NA,"1.02",NA,NA,"579",NA,NA,NA,NA,NA,NA,"1.81","5.5","3.68",NA,NA,NA,NA,NA,NA,NA,NA,"8.59",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"159",NA,NA,NA,NA,"1.33","4.52",NA,NA,NA,NA,"96.4",NA,NA,"22.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","C54","76.65","0.21","11.96","3.02",NA,"0.06","0.11","1.4","3.52","4.68","0.02",NA,NA,"0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","C54.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,"430",NA,NA,NA,"1",NA,NA,"8","1",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1","21",NA,NA,NA,NA,NA,NA,NA,NA,"76",NA,"1",NA,"3","103",NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"66",NA
"68","C55","72.38","0.2","12.88","2.78",NA,NA,"0.12","1.07","3.41","4.67",NA,NA,NA,"0.24",NA,NA,NA,NA,NA,"553",NA,NA,NA,NA,"132",NA,NA,NA,"4","5","10.6","5.6","1.6",NA,"26","10.9",NA,"8",NA,"2",NA,"63.5",NA,"0.7",NA,NA,"50","57.5",NA,"11",NA,"15.6",NA,"152.5",NA,NA,NA,NA,NA,NA,NA,"10.8","22","89.3",NA,"1.8",NA,NA,NA,"0.8","3",NA,NA,"53.5","5.2","62","277"
"69","C56","73.2","0.2","13.1","2.81",NA,"0.48","0.16","1.12","4.05","5.05","0.032",NA,NA,"0.25",NA,"4.2","0.9","8.5",NA,"543","3.8",NA,NA,"0.08","127",NA,"1.7","10.2","2.9","5.1","2.6","4.5","0.85",NA,"21","1.8",NA,"7.8","0.1","1.6",NA,"69.5","27.1","0.66","4.3",NA,"50.6","15.1","5.8","22.4","1.1","18.1","0.08","152","0.014","0.006","0.019",NA,"1.9","5.8",NA,"9.48","14.7","86","90.85","0.51","0.034","29.5","0.84","0.23","4.6",NA,"1.4","53","4.1","68","267"
"70","C57","72.76","0.2","13.02","2.87",NA,"0.05","0.05","1.1","4.01","5.3","0.03",NA,NA,"0.27",NA,NA,"0.89",NA,NA,"505.1",NA,NA,NA,NA,NA,NA,NA,"2.85",NA,"8.26",NA,NA,NA,NA,"20.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.88",NA,"10.82","24.02",NA,NA,NA,"162.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.62",NA,NA,NA,"29.62",NA,NA,"2.19","3.2",NA,"57.81",NA,"73.67","275.7"
"71","C58","73.71","0.21","13.6","2.76",NA,"0.05","0.11","1.05","3.61","4.86","0.03",NA,NA,"0.38",NA,NA,NA,NA,NA,"548","5.4",NA,NA,NA,"134",NA,"1.8","7.7","4.3",NA,"9.7","5","1.58",NA,NA,"10.2",NA,"8.9",NA,"1.96",NA,"63",NA,"0.63",NA,NA,"53","57","6.4","21.3",NA,"14.4",NA,"156",NA,NA,NA,NA,NA,"5",NA,"11.7",NA,"90","98","1.69",NA,"20.5",NA,"0.73","2.5","4.4",NA,"56","4.4",NA,"319"
"72","C58.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.92",NA,NA,NA,NA,NA,NA,NA,NA
"73","C59","73.89","0.23","13.38","2.9",NA,"0.04","0.14","1.01","3.66","4.53","0.04",NA,NA,"0.25",NA,NA,NA,NA,NA,"572",NA,NA,NA,NA,NA,NA,"7","8",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","29",NA,NA,NA,"167",NA,NA,NA,NA,NA,"4",NA,NA,NA,"73",NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,"74",NA
"74","C60","72.4","0.21","14.1","3",NA,"0.05","0.1","1.1","3.9","5.1","0.03",NA,NA,"0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76",NA
"75","C61","73.61","0.189","12.7","2.61",NA,"0.049","0.116","1.08","3.51","4.84","0.0313",NA,NA,NA,NA,NA,"2.39",NA,NA,"522","4.65",NA,NA,"0.35","127",NA,"1.5","8.42",NA,"6","10.3","5.28","1.53",NA,"24.9","11.3",NA,"7.32",NA,"1.85",NA,"60.3",NA,"0.67",NA,NA,"48.2","54.7","3.66","22.3",NA,"15.2",NA,"153",NA,NA,NA,NA,"1.11","4.39",NA,"11",NA,"84.6",NA,"1.79",NA,"20.5",NA,"0.74","2.99","5.5",NA,"56.4","4.79","71","257"
"76","C62",NA,NA,NA,NA,NA,NA,"0.108",NA,"3.621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.8",NA,"14.2",NA,NA,NA,NA,"156.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.6",NA,"75.1","261.9"
"77","C62.1","73.71","0.188","13.12","2.689",NA,"0.049",NA,"1.012",NA,"5.062","0.035",NA,NA,"0.239",NA,NA,NA,NA,NA,"539.3",NA,NA,NA,NA,NA,NA,"2.3","14",NA,"4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","C63","72.3","0.18","13.2","2.85",NA,"0.06","0.12","1.12","3.63","5.25","0.03",NA,NA,"0.44",NA,NA,"1",NA,"529","550","7.7",NA,NA,NA,NA,NA,NA,"21",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,"40",NA,"180",NA,NA,NA,NA,"154",NA,NA,NA,"64.9",NA,NA,NA,NA,NA,"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,"56",NA,"80","292"
"79","C64","73.58","0.2","13.04","2.8",NA,"0.048","0.12","1.1","3.54","4.87","0.035",NA,NA,"0.19",NA,NA,NA,NA,NA,"525",NA,NA,NA,NA,NA,NA,NA,"6",NA,"5",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44",NA,"7","22",NA,NA,NA,"154.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"88",NA,NA,NA,"24",NA,NA,"3",NA,NA,"52",NA,"65","257"
"80","C65","73.7","0.2","12.96","2.79",NA,"0.04","0.13","1.12","3.56","5.04","0.01",NA,"0.16","0.25",NA,NA,NA,NA,NA,"510",NA,NA,NA,NA,"166",NA,NA,NA,NA,NA,"10","5.1","1.69",NA,NA,"11",NA,"3.68",NA,"2.07",NA,"67",NA,"0.66",NA,NA,"50","60.3",NA,NA,NA,"16.9",NA,"150",NA,NA,NA,NA,NA,NA,NA,"12.1",NA,"91","98",NA,NA,"21.8",NA,"0.72","2.71","6",NA,"54","4.62","70","255"
"81","C65.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,"5.1","0.39",NA,NA,NA,"309","1.83","12","4.25","4.1",NA,NA,NA,"997","24.6",NA,NA,NA,NA,NA,NA,NA,"34.9",NA,"1.7",NA,NA,NA,"7","23.6",NA,NA,NA,NA,NA,NA,NA,"61","1.6","5.1",NA,NA,"15.6",NA,NA,"1.75",NA,NA,"0.76",NA,NA,NA,"0.98",NA,NA,NA,NA
"82","C66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130.4",NA,NA,NA,NA,NA,"8","5.1","1.7",NA,NA,"10.1",NA,NA,NA,"1.85",NA,"63.3",NA,"0.63",NA,NA,NA,"53.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.6","4.2",NA,NA
"83","C67","73.79","0.22","13.12","2.88",NA,"0.05","0.1","1.15","3.73","5.2","0.03",NA,NA,"0.24",NA,NA,NA,NA,NA,"527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"244"
"84","C67.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"127",NA,NA,"13",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","32",NA,NA,NA,"48","51","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"58",NA,"78",NA
"85","C68",NA,"0.198",NA,"2.76",NA,"0.049",NA,"1.07",NA,"5.07","0.029",NA,NA,NA,NA,NA,NA,NA,NA,"549",NA,NA,NA,NA,"128","53",NA,"8",NA,"16",NA,NA,NA,"873","25",NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,"44","57",NA,"41",NA,NA,NA,"152",NA,NA,NA,NA,NA,"5",NA,NA,NA,"87",NA,NA,NA,"24",NA,NA,"21","8",NA,"63",NA,"61","314"
"86","C68.1","71.53",NA,"12.66",NA,NA,NA,"0.07",NA,"3.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","C69","73.31","0.19","12.92","2.79",NA,"0.07","0.08","1.09","3.42","5.08","0.03",NA,NA,"0.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","C70","74.1","0.18","13.1","2.8","2.4","0.04","0.13","1","3.3","5",NA,"0.37","0.89",NA,NA,NA,NA,NA,NA,"555",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,"1100","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66",NA,NA,NA,NA,NA,NA,"186",NA,NA,NA,NA,NA,"13",NA,NA,"20","122","87",NA,NA,"23",NA,NA,NA,"8",NA,"71",NA,NA,"337"
"89","C71","73.6","0.206","13.1","2.84",NA,NA,NA,"1.121","3.67","5.125",NA,NA,NA,"0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137.5",NA,NA,NA,"4",NA,"11.5","4.5","1.47",NA,NA,"10.5",NA,NA,NA,"1.76",NA,"96.25","32.3","0.84",NA,NA,NA,"60.35",NA,NA,NA,"14.45",NA,"150",NA,NA,NA,NA,NA,NA,NA,"11.55",NA,"110",NA,"1.69",NA,"23.4",NA,"0.67","3.35",NA,NA,NA,"5.08","61.1",NA
"90","C71.1",NA,NA,NA,NA,NA,"0.053","0.158",NA,NA,NA,"0.032",NA,NA,NA,NA,"0.06","3",NA,"2.87","471","3.5",NA,NA,NA,NA,NA,"2.3","10.5",NA,"6",NA,NA,NA,"1240","26",NA,"1.04",NA,NA,NA,NA,NA,NA,NA,"1.46",NA,"58",NA,"3.19","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.15",NA,NA,"19.4",NA,NA,NA,NA,NA,"0.79",NA,NA,"4.54",NA,"58",NA,NA,"260"
"91","C72","73.92","0.21","12.71","2.86",NA,"0.05","0.17","1.04","3.64","4.83","0.03",NA,NA,"0.16",NA,NA,NA,NA,NA,"506",NA,NA,NA,NA,"115",NA,"5","16",NA,"7",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,"46","54","9","21",NA,NA,NA,"153",NA,NA,NA,NA,NA,"3",NA,NA,NA,"81",NA,NA,NA,"23",NA,NA,"3.5","11",NA,"56",NA,"61","251"
"92","C72.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"83",NA,NA,NA,NA,NA,NA,NA,"1732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
