Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,Ag,As,Au,B,Ba,Be,Bi,Br,C(org),C(tot),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
K16,57.47,1.104,19.83,4.67,NA,0.138,1.05,3.72,6.94,3.72,0.603,NA,NA,NA,2.45,NA,NA,NA,1373,4.14,NA,NA,NA,NA,NA,169,NA,7,152,0.73,16.72,5.96,3.14,5.06,NA,NA,7.75,NA,NA,NA,1.12,NA,NA,NA,119,20.4,0.42,6.09,NA,95,70.2,3.3,NA,6.84,NA,20.4,NA,73.5,NA,NA,NA,NA,0.29,6.2,NA,10.73,2.6,991,NA,1.06,NA,11.59,NA,0.42,3.56,35,NA,30,2.82,NA,491
K17,57.75,1.14,18.27,4.65,NA,0.11,1.14,4.28,6.8,3.83,0.59,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K18,56.9607,1.0717,19.269,4.6747,NA,0.1357,1.0987,3.6907,6.5857,3.787,0.5933,NA,NA,1.74,NA,NA,NA,NA,1302.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.93,NA,NA,NA,NA,NA,NA,26.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.167,NA,NA,NA,189.58,NA,NA,NA,NA,NA,1070.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.133,511.67
K19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,98,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K19.1,56.96,1.11,19.26,5.09,NA,0.149,1.15,3.83,6.74,3.85,0.613,NA,NA,NA,NA,NA,NA,NA,1375,NA,NA,NA,NA,NA,NA,179,NA,NA,114,NA,7.6,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,67,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,NA,NA,NA,14,NA,NA,NA,28,NA,29,NA,59,479
K20,55.442,1.059,19.533,5.508,NA,0.132,1.038,3.717,5.255,3.953,0.646,NA,NA,0.405,NA,NA,NA,NA,1361,NA,NA,NA,NA,NA,NA,655,NA,12,132,NA,15,1,NA,NA,724,26,11,NA,14,NA,NA,NA,NA,NA,65,18,NA,5,NA,77,112,22,NA,4,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,1099,NA,NA,NA,NA,NA,NA,NA,52,NA,52,NA,78,640
K21,57.46,1.0865,19.567,4.825,NA,0.1411,1.105,3.751,6.673,3.828,0.5877,NA,NA,0.31,0.065,1.156,NA,NA,1320.7,NA,0.01,0.53,NA,NA,0.065,183.64,0.0163,NA,130.3,0.637,7.27,5.697,2.989,4.716,0.46,24.75,7.639,1.791,11.633,NA,1.064,NA,NA,NA,95.941,NA,0.414,5.026,NA,105.42,68.229,5.064,NA,5.934,NA,19.686,NA,64.83,NA,NA,NA,NA,3.275,6.596,NA,10.453,2.804,1105.5,6.063,1.103,NA,11.579,0.022,0.446,3.047,28.51,NA,29.532,2.84,106.7,534.7
K25,58,1.093,19.62,5.01,NA,0.14,1.14,3.69,6.52,3.84,0.562,NA,0.21,0.35,NA,2.63,NA,NA,1232,3.26,NA,NA,383,955,0.06,197,NA,5.42,107,NA,7.72,6.24,3.44,4.94,625,29.4,8.58,7.65,13.4,NA,1.2,NA,0.03,NA,102,18.9,0.47,5.3,NA,111,73.6,5.44,NA,6.22,NA,20.9,NA,64.8,NA,NA,NA,180,0.23,6.06,1.57,11.2,2.92,983,6.69,1.17,NA,13.8,0.02,0.49,3.73,26.4,2.77,29.4,3.07,79.8,517
K26,58.27,1.052,19.67,4.8,NA,0.143,1.17,3.808,6.81,3.79,0.605,NA,NA,0.32,0.044,1.075,NA,NA,1381.3,4.513,0.001,NA,NA,NA,0.008,174.7,NA,5.308,112.4,0.607,6.3,7.514,3.14,4.95,NA,25.22,7.47,NA,11.01,NA,1.13,NA,NA,NA,91.86,16.03,0.438,5.32,NA,NA,109.12,2.686,NA,6.05,NA,19.95,NA,70.55,NA,NA,NA,NA,0.225,6.232,NA,10.933,2.017,1107.6,5.98,1.105,NA,11.61,0.012,0.467,3.207,26.493,2.711,29.28,2.88,78.97,518.52
K27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K27.1,57.416,1.101,19.297,4.824,NA,0.138,1.159,3.744,6.519,3.728,0.55,NA,NA,0.2,NA,NA,NA,NA,1196,NA,NA,NA,NA,NA,NA,173.9,NA,5.298,125.8,0.579,6.162,5.427,2.954,4.225,NA,24.59,7.246,NA,9.009,NA,1.062,NA,NA,NA,89.73,16.28,450,NA,NA,117.8,63.79,2.478,NA,6.8,NA,18.37,NA,64.49,NA,NA,NA,NA,NA,8.608,NA,9.846,NA,1025,5.656,0.895,NA,10.22,NA,0.43,2.911,31.61,NA,27.77,3.125,62.6,357.4
