Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,Ag,As,Au,B,Ba,Be,Bi,Br,C(org),C(tot),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
K50,NA,1.002,19.68,4.68,NA,0.136,1.13,3.78,NA,3.84,0.601,NA,NA,NA,NA,NA,NA,NA,1353,NA,NA,NA,NA,NA,0.333,188.5,NA,5.35,128.4,0.638,20,5.96,3.09,4.65,NA,25.87,8.95,NA,12.32,NA,1.14,NA,NA,NA,99.85,18.7,0.46,5.13,NA,117.4,71.42,3.63,NA,7.07,NA,21.03,NA,65.32,NA,NA,NA,NA,NA,6.58,NA,10.84,NA,1103,6.29,1.26,NA,13.08,NA,0.482,3.5,27.19,NA,31.42,3.15,80.15,593
K51,57.83,1.06,19.5,4.75,NA,0.13,1.12,3.72,6.81,3.83,0.61,NA,NA,0.35,NA,1,NA,NA,1340,NA,NA,NA,NA,NA,NA,180,NA,NA,129,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,99,NA,3,NA,7,NA,NA,NA,70,NA,NA,NA,NA,NA,8,NA,NA,NA,1125,NA,NA,NA,12,NA,NA,3,21,NA,31,NA,61,483
K52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K52.1,58.23,1.07,19.58,4.77,NA,0.13,1.13,3.69,6.69,3.84,0.63,1.67,NA,0.36,0.04,6.5,NA,NA,1250,3,NA,NA,370,560,0.05,179,67,5.63,122,0.74,7.75,6.39,3.3,5.1,109,27.2,8.54,NA,13.2,0.021,1.17,NA,0.048,NA,113,18.4,0.404,5.78,NA,132,75,2.66,NA,5.4,NA,22.8,NA,68.9,NA,NA,NA,156,0.236,6.04,0.053,11.4,2.74,1180,6.42,1.86,NA,NA,0.02,0.47,3.58,15.9,2.84,45,3.55,53.4,355
K53,56.66,1.103,18.99,5.206,NA,0.144,1.072,3.519,6.38,4.135,0.6351,NA,NA,NA,NA,NA,NA,NA,1474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.82,531.6
K56,58.98,1,19.85,3.85,1.48,0.116,1.08,3.56,6.63,3.7,0.64,NA,NA,0.46,0.72,1.55,NA,2.3,1100,1.45,NA,NA,NA,NA,0.08,120,NA,4,103,0.47,7,4.4,2.3,3.2,NA,23,5.5,1.4,11.8,0.04,0.83,NA,NA,0.016,60,8.8,0.3,9.3,NA,138,42.5,2.7,NA,3.75,9,12.3,0.07,38,NA,0.014,0.004,0.016,0.17,6.8,0.6,7.3,1.9,1100,7.5,0.68,0.016,7,0.01,0.33,2.1,22,6.3,20,2.15,40,625
K57,53.1,1,22,4.23,NA,0.12,NA,3.67,NA,3.86,NA,NA,NA,NA,NA,NA,NA,NA,1375.5,NA,NA,NA,NA,NA,NA,180.7,NA,NA,136.5,NA,13.2,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,NA,NA,NA,110.4,80.3,NA,NA,10,NA,NA,NA,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,62.3,445.8
K59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18312.6,NA,NA,NA,NA,NA,NA,NA,65.4,NA,NA,NA,NA,NA,NA,NA,1561.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K59.1,59.79,1.06,19.65,4.78,NA,0.14,1.15,3.75,6.7,3.79,0.61,NA,NA,NA,0.7,7.1,NA,NA,NA,NA,NA,3.3,NA,NA,2.8,178.5,NA,NA,126.2,7.2,12.3,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,80.1,NA,NA,4.4,NA,100,63.7,1.7,NA,3.2,NA,NA,NA,62.5,NA,NA,NA,NA,2.7,6.2,NA,7.4,10.8,1019.5,7.7,NA,NA,15,NA,NA,3.6,21.7,4.5,27.6,NA,39.5,459.7
K60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K60.1,57.59,1.03,19.3,4.81,NA,0.14,1.16,3.65,6.72,3.78,0.58,NA,NA,0.26,NA,NA,NA,NA,1331,NA,NA,NA,NA,NA,NA,184,203,6,137,NA,NA,NA,NA,NA,751,25,9,NA,12,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,113,65,11,NA,4,NA,NA,NA,66,NA,NA,NA,88,NA,6,NA,NA,NA,1052,NA,NA,NA,10,NA,NA,NA,19,NA,31,NA,84,465
K61,NA,0.93,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA,1168,3.27,NA,NA,NA,NA,0.5,169,NA,4.94,111,0.51,NA,5.35,2.98,4.67,NA,23.8,9.02,NA,10.85,NA,1.02,NA,NA,NA,90.1,17.2,0.4,5.09,NA,121,62.8,NA,NA,6.16,NA,18.7,NA,58.7,NA,NA,NA,NA,0.23,9.29,NA,9.53,4.81,1008,6.41,1.11,NA,11,NA,0.41,2.96,25.9,NA,26.4,2.68,81.5,484
K62,57.27,1.068,19.62,4.671,NA,0.144,1.119,3.68,6.745,3.776,0.605,NA,NA,0.49,NA,1.32,NA,NA,1353,4.43,NA,NA,NA,NA,NA,187,NA,5.09,134,0.58,7.35,6.08,2.99,4.82,NA,36.4,8.1,1.6,11.7,NA,1.11,NA,NA,NA,101,18,0.44,6.04,NA,115,67,2.95,NA,6.23,NA,20.3,NA,65.2,NA,NA,NA,NA,NA,9.88,NA,11.1,2.62,1099,6.08,1.14,NA,11.9,NA,0.43,3.32,22.9,2.45,30.4,2.99,77.5,525
K67,NA,NA,NA,NA,NA,0.1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319.3,NA,NA,NA,NA,NA,NA,175.5,162,5.02,NA,NA,NA,NA,NA,NA,655,25.59,NA,NA,NA,NA,NA,NA,NA,NA,106.3,NA,NA,4.95,NA,101.34,NA,3.2,NA,9.04,NA,NA,NA,68.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.6,NA,NA,NA,11.42,NA,NA,4,21.45,NA,28.39,NA,60.53,480.84
K68,58.18,1.1,19.66,4.83,2.97,0.14,1.16,3.73,6.86,3.86,0.62,NA,NA,0.67,0.03,1.1,NA,NA,1255,3.35,0.01,NA,400,600,0.02,174,NA,5.2,100,0.66,6.6,5.8,2.96,4.66,NA,25.5,7.22,0.2,10.8,NA,1.11,NA,0.03,NA,89.5,16.9,0.44,5.08,NA,115,69.3,2.7,NA,6.1,NA,19.25,NA,64.9,0.002,NA,NA,0.02,0.25,5.7,1,10.4,2.2,1050,5.8,1.03,0.05,12.45,0.02,0.48,3.1,24,2.6,27.9,2.97,86,560
K69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.28,NA,5.5,NA,NA,0.004,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
K69.1,57.3,1.07,19.36,4.76,NA,0.137,1.09,3.68,6.69,3.75,0.59,NA,NA,0.44,NA,NA,NA,NA,1292,3.5,NA,NA,NA,NA,NA,162,NA,4.8,126,0.56,6.2,3.75,2.14,2.8,NA,23.6,5.32,NA,NA,NA,0.72,NA,NA,NA,48.52,16,0.34,NA,NA,134,35.59,2.7,NA,5.1,NA,9.7,NA,64,NA,NA,NA,NA,NA,5.7,NA,6,NA,1054,7,0.79,NA,7.5,0.02,0.31,3,28,NA,23,2.1,78,497
K70,57.33,1.09,19.78,4.77,NA,0.14,1.18,3.57,7.04,3.74,0.56,NA,NA,0.37,NA,NA,NA,NA,1333,NA,NA,NA,NA,NA,NA,179.5,NA,5.6,113.8,2.6,5.1,NA,NA,NA,NA,22.7,NA,NA,1.9,NA,NA,NA,NA,NA,135,NA,NA,3.9,NA,97.9,64,2.5,NA,23.3,NA,NA,NA,70,NA,NA,NA,NA,NA,7.5,NA,11.2,NA,1093,NA,NA,NA,7.2,NA,NA,6.1,28.3,11,29.4,NA,60.7,484
K71,NA,1.096,19.66,4.69,NA,0.14,1.21,4,6.62,3.71,0.56,NA,NA,0.4,0.07,1.59,NA,NA,1390,4.44,0.128,NA,NA,NA,0.02,198,NA,5.95,137,NA,7.39,5.82,7.24,4.48,NA,22.3,9.09,NA,NA,NA,1.079,NA,0.09,NA,99.81,NA,0.51,NA,NA,NA,71.1,5.28,NA,0.7,NA,20.67,NA,62.5,NA,NA,NA,158,1.31,6.1,1.21,10.17,NA,1034,NA,1.12,0.024,11.46,0.024,0.44,3.53,28.4,NA,31.1,2.99,83.5,554
K72,55,1.06,18.19,4.96,NA,0.15,1.15,4.56,6.63,3.78,0.55,NA,NA,3.58,NA,NA,NA,NA,1603,3.65,NA,NA,NA,NA,NA,223,NA,5.92,130,0.65,12.3,5.99,3.32,5.08,NA,27.3,10.3,NA,23.4,NA,1.14,NA,NA,NA,104,NA,0.48,NA,NA,112,76.4,7.27,NA,6.07,NA,22.1,NA,68.9,NA,NA,NA,NA,NA,9.1,NA,11.2,NA,1147,6.19,1.3,NA,12,NA,0.51,2.98,27.2,NA,31.3,3.05,78,575
K73,56.49,1.07,19.08,4.76,3.05,0.14,1.08,3.68,6.33,3.73,0.58,0.51,0.26,NA,NA,NA,NA,NA,1320,NA,NA,NA,NA,NA,NA,172,NA,7,118,4,14,NA,NA,NA,NA,19,NA,NA,12,NA,NA,NA,NA,NA,104,NA,NA,2,NA,105,74,14,NA,7,NA,NA,NA,54,NA,NA,NA,NA,NA,9,NA,NA,2,1040,1,NA,NA,11,NA,NA,2,29,1,30,NA,61,478
K74,57.39,1.073,19.34,4.721,NA,0.1374,1.136,3.705,6.946,3.725,0.5877,NA,NA,0.26,NA,NA,NA,NA,1294,NA,NA,NA,NA,NA,NA,174.7,NA,NA,112.1,NA,NA,NA,NA,NA,NA,23.65,NA,NA,10.06,NA,NA,NA,NA,NA,98.06,NA,NA,5.339,NA,98.89,52.07,6.231,NA,7.032,NA,NA,NA,63.18,NA,NA,NA,NA,NA,8.052,NA,NA,NA,1056,NA,NA,NA,8.77,NA,NA,NA,28.09,NA,28.62,NA,60.15,468.3
K77,57.7,1.07,18.87,4.91,NA,0.144,1.04,3.7,6.85,3.83,0.587,NA,NA,0.402,NA,NA,NA,NA,1335,3.72,NA,NA,NA,NA,NA,207.3,NA,5.33,122,0.69,6.07,5.88,3.06,4.65,NA,24.39,7.88,NA,11.6,NA,1.12,NA,NA,NA,99.6,18.41,0.44,4.86,NA,112.3,69.1,2.7,NA,6.32,NA,20.2,NA,69.8,NA,NA,NA,NA,NA,6.75,NA,10.51,NA,1101,5.73,1.09,NA,12.39,NA,NA,NA,27.85,NA,30.1,2.95,76.3,528.4
K78,57.95,1.088,19.65,4.705,NA,0.135,1.096,3.777,6.701,3.98,0.595,NA,NA,0.355,NA,NA,NA,NA,1302,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,0.66,NA,5.88,3.18,4.52,NA,25.9,8.46,NA,11.8,NA,1.07,NA,NA,NA,100,NA,0.44,NA,NA,104,71,NA,NA,NA,NA,20.5,NA,67.2,NA,NA,NA,NA,NA,NA,NA,10.8,NA,1135,5.9,1.11,NA,12,NA,0.45,3.27,NA,NA,28.9,2.9,NA,535
K79,57.241,1.073,19.465,4.697,NA,0.1358,1.168,3.661,6.711,3.859,0.622,NA,NA,0.33,NA,NA,NA,NA,1397,NA,NA,NA,NA,NA,NA,NA,323,NA,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9,NA,NA,NA,NA,NA,NA,NA,65.1,NA,NA,NA,220,NA,NA,NA,NA,NA,1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,NA,80.3,510.8
K81,57.8176,1.0865,19.4706,4.7335,NA,0.135,1.1648,3.6979,6.7358,3.7829,0.5844,NA,NA,0.3922,NA,NA,NA,17.6731,1309.277,3.8897,0.0034,NA,NA,NA,NA,184.2267,NA,5.4125,119.4463,0.6202,8.0986,6.0499,3.004,4.7873,NA,26.0115,7.5024,NA,11.7219,NA,1.1264,NA,NA,NA,101.4477,16.8909,0.4417,5.3102,NA,119.5929,69.8776,3.3515,NA,6.3815,NA,20.0219,NA,67.5516,NA,NA,NA,NA,NA,6.0859,NA,10.8395,2.1749,1106.209,6.1841,1.1016,NA,12.0864,NA,0.4575,3.2821,28.172,2.4291,30.8357,2.9447,81.1283,534.6775
K83,57.1,1.07,19.7,4.67,NA,0.142,1.21,3.71,6.91,3.84,0.581,NA,NA,0.47,NA,NA,NA,NA,1313,3.76,NA,NA,NA,NA,0.212,180,NA,5.3,126,0.625,7.42,5.85,3.02,4.65,NA,23,7.54,NA,11.6,NA,1.13,NA,NA,NA,95.1,17.3,0.435,5.2,NA,116,68.7,2.99,NA,5.97,NA,20,NA,63.6,NA,NA,NA,NA,0.215,11.1,NA,10.6,2.54,1067,6.16,1.06,NA,11.9,0.018,0.451,3.39,26.6,2.41,28.2,2.89,78.5,529
K84,57.88,1.08,19.63,4.82,NA,0.139,1.08,3.88,6.63,3.78,0.605,NA,NA,0.341,NA,NA,NA,NA,1363,3.87,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,5.86,3.08,4.51,NA,NA,7.29,NA,10.54,NA,1.07,NA,NA,NA,100.1,NA,0.433,NA,NA,105,NA,NA,NA,NA,NA,20.11,NA,67.16,NA,NA,NA,NA,NA,6.34,NA,10.91,2.29,1139,6.53,1.08,NA,12.26,NA,0.443,3.424,32.07,NA,24.24,2.85,NA,484
K87,57.89,1.1,19.52,4.74,NA,0.14,1.1,3.77,6.82,3.81,0.6,NA,NA,0.47,NA,NA,NA,NA,1184,NA,NA,NA,NA,NA,NA,184,NA,NA,107,NA,16,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,93,NA,20,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,4,NA,NA,NA,1075,NA,NA,NA,NA,NA,NA,NA,41,NA,28,NA,64,466
K88,57.77,1.06,19.3,5.09,NA,0.127,1.1,3.7,5.95,3.86,0.6,NA,NA,0.35,NA,NA,NA,NA,1260,4.3,NA,NA,NA,NA,NA,NA,NA,5.3,122,0.64,7.4,NA,NA,NA,NA,25,NA,NA,11.6,0.0054,NA,NA,NA,NA,NA,19,NA,5.2,NA,108,NA,3.3,NA,6.4,NA,NA,NA,63,NA,NA,NA,NA,0.26,6.3,NA,NA,2.24,1040,6.2,NA,NA,11.7,0.024,NA,3.01,27,2.6,28.5,NA,60,515
K88.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,5.97,3.12,4.71,NA,NA,8.37,NA,NA,NA,1.1,NA,NA,NA,97.6,NA,0.45,NA,NA,NA,68.6,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,1.12,NA,NA,NA,0.45,NA,NA,NA,NA,2.93,NA,NA
K92,57.28,1.05,19.72,4.79,NA,0.1393,1.15,3.84,6.7,3.83,0.61,NA,NA,0.37,NA,NA,NA,NA,1354.02,3.525,NA,NA,NA,NA,0.313,184.533,NA,5.41,66.128,0.621,6.718,6.228,3.229,4.789,NA,NA,7.827,NA,11.81,NA,1.187,NA,NA,NA,92.296,17.26,0.475,NA,NA,116.277,70.235,2.798,NA,6.352,NA,19.762,NA,65.463,NA,NA,NA,NA,0.188,7.681,NA,10.817,2.067,1009.61,6.227,1.108,NA,12.77,0.023,0.469,3.468,NA,NA,31.389,3.141,83.405,542.847
K94,58.73,1.083,19.56,4.697,NA,0.1062,1.187,3.69,5.797,3.73,0.581,NA,NA,NA,NA,NA,NA,NA,1249,3.639,NA,NA,NA,NA,NA,200,NA,5.741,170.1,0.684,15.06,5.704,3.545,4.793,NA,26.35,10.18,NA,9.144,NA,1.017,NA,0.0326,NA,101.4,17.72,0.4424,NA,NA,96.2,67.8,6.561,NA,6.379,NA,21.71,NA,69.82,NA,NA,NA,NA,NA,8.996,NA,11.51,NA,1024,NA,1.025,NA,12.41,0.0153,0.4051,3.393,10.03,NA,23.35,2.869,84.77,451.5
K95,58.36,1.05,19.5,4.78,NA,0.14,1.19,3.72,6.56,3.72,0.6,NA,NA,0.47,NA,NA,NA,NA,1359,4.1,NA,NA,NA,NA,NA,183.1,NA,5.7,123.2,1.8,12.6,5.7,3.1,4.8,NA,24.5,8.9,NA,11.8,NA,1.1,NA,NA,NA,99.1,NA,0.4,5.3,NA,108.2,NA,1.7,NA,6.1,NA,20.2,NA,57.4,NA,NA,NA,7985,NA,5.9,NA,10.4,2.8,1022.2,6.6,1.1,NA,12.2,NA,0.4,3.2,30.9,2.7,30.7,2.9,96.7,520.5
K96,57.3,1.02,19.4,4.7,NA,0.13,1.15,3.67,6.85,3.74,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K97,57.7,1.08,19.5,4.78,3.28,0.14,1.12,3.66,6.64,3.76,0.6,NA,0.08,0.34,NA,NA,NA,NA,1330,NA,NA,NA,NA,600,NA,180,NA,5.8,NA,0.6,NA,5.73,2.88,4.36,NA,26,8.34,2,9,NA,1.05,NA,NA,NA,93.7,17,0.4,5,NA,104,67.6,NA,NA,NA,NA,20,NA,63.4,NA,NA,NA,NA,NA,7,NA,10.1,2,1098,NA,1.06,NA,11.6,NA,0.42,3.19,29,2,28.7,2.7,78,348.4
K98,57.59,1.09,19.65,4.83,NA,0.12,1.19,3.88,7.02,3.83,0.636,NA,NA,0.28,NA,4.3,NA,NA,1321.5,NA,1.2,NA,NA,614.5,1.2,170.2,NA,4.6,105.4,NA,6.6,NA,NA,NA,NA,24.1,NA,NA,7.9,97,NA,2,NA,NA,88.2,NA,NA,6.4,NA,99.5,62.9,1.4,NA,3.6,NA,NA,NA,68.2,NA,NA,NA,188.6,1.1,14.9,2.6,19.8,6.4,1079.1,3.4,NA,NA,15.9,NA,NA,6.4,23.6,1.5,29.6,NA,59,457.4
K99,58.36,1.13,19.68,4.87,NA,0.15,1.1,3.85,6.69,3.71,0.62,NA,NA,0.51,NA,NA,NA,NA,1278,3.8,NA,NA,NA,NA,NA,187.71,NA,5.39,123.3,NA,NA,5.84,3.04,4.91,NA,26.69,7.64,NA,11.21,NA,1.07,NA,NA,NA,100.17,NA,0.43,5.37,NA,97.93,68.07,NA,NA,6.59,NA,19.52,NA,65.11,NA,NA,NA,NA,NA,6.1,NA,10.29,2.12,1047.9,5.52,1.15,NA,11.12,NA,0.46,2.98,27.8,3.99,28.7,2.84,80.4,480.17
K100,57.9,1.09,19.55,4.73,NA,0.14,1.13,3.75,6.7,3.79,0.607,NA,NA,0.23,NA,NA,NA,NA,1365,3.9,NA,NA,NA,400,0.18,196.2,NA,5.7,129,0.6,5,6.2,3.2,5,NA,24.3,7.93,1.4,12.5,NA,1.1,NA,0.07,NA,105.1,17.1,0.4,5.3,NA,109.7,74.3,4,NA,7,NA,21.5,NA,64.8,NA,NA,NA,100,0.2,6,NA,11.3,2.2,1130.4,6.5,1.1,NA,12.04,0.02,0.5,3.28,27,3,30.1,3.09,84,541
K101,58.88,1.06,20,4.98,NA,0.16,1.08,3.8,6.5,3.9,0.57,NA,NA,0.88,NA,NA,NA,NA,1303,NA,NA,NA,NA,NA,NA,203,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA
K103,58.05,1.092,19.66,4.67,NA,0.144,1.15,3.653,6.38,3.64,0.597,NA,NA,0.45,0.78,NA,NA,NA,1334,NA,NA,NA,NA,NA,NA,186,NA,NA,120,NA,8.5,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,99.4,NA,NA,NA,NA,98.5,69.9,NA,NA,NA,NA,18.8,NA,54.5,NA,NA,NA,NA,NA,NA,NA,12.4,1.6,997,NA,NA,NA,16.8,NA,NA,NA,20,NA,30.5,NA,83,492
K106,58.39,0.97,16.37,3.49,NA,0.1,0.75,3.33,3.87,3.47,0.58,NA,NA,0.2,NA,NA,NA,NA,1103,NA,NA,NA,NA,NA,NA,198,NA,14.5,91.5,0.82,5.7,8.66,4.75,5.52,NA,50.2,10.35,3.54,27.4,NA,1.69,NA,NA,NA,112,NA,0.68,NA,NA,84.6,77.25,3.2,NA,4.8,NA,22.41,NA,57,NA,NA,NA,NA,NA,1.2,NA,11.88,NA,1186,5.41,1.51,NA,12.12,NA,0.68,3.76,37.1,3.2,21.5,4.36,45.9,459
K110,59.21,1.079,20.17,4.87,NA,0.146,1.01,3.73,6.86,4.19,0.61,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,NA,1.03,14,NA,NA,5.36,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,63.6,NA,NA,NA,NA,NA,6.63,NA,NA,2.27,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465
K112.1,56.9,1.06,19.13,4.75,NA,0.147,1.089,3.64,6.17,3.742,0.588,NA,NA,0.35,0.13,1.71,NA,NA,1323,3.73,NA,NA,NA,NA,NA,192,NA,5.17,132,NA,6.4,6.14,3.3,5.12,886,NA,8.29,NA,NA,NA,1.15,NA,NA,NA,104,NA,0.49,5.12,NA,NA,72.8,3.73,NA,6.31,NA,19.8,NA,NA,NA,NA,NA,NA,0.16,NA,3.11,11.6,NA,NA,6.04,1.19,NA,13.4,NA,0.48,3.61,28.8,NA,29.3,3.22,78.6,NA
K113,57.44,1.028,19.77,4.981,NA,0.142,1.204,3.72,7.169,3.76,0.597,NA,NA,0.48,NA,7,NA,NA,1321,NA,NA,NA,NA,NA,NA,170,NA,7,140,6,8,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,6,NA,95,63,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033,NA,NA,NA,11,NA,NA,NA,23,NA,27,NA,64,472
K115,57.329,1.064,19.496,NA,4.856,0.1207,1.098,3.689,6.919,3.863,0.601,NA,NA,0.41,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,179,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,485
K116,55.77,1.61,15.57,5.5,NA,0.14,0.63,5.53,NA,5.54,0.98,NA,NA,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K117,58.056,1.088,19.693,4.767,2.9,0.146,1.126,3.736,7.111,3.775,0.572,NA,NA,0.507,0.32,3.03,NA,NA,1187.68,2.99,0.08,NA,300,0.037,0.043,212.922,NA,15.81,69.54,0.57,7.21,6.786,3.551,4.672,0.095375,25.45,7.704,0.37,7.868,NA,1.262,NA,0.032,NA,117.232,22.96,0.632,6.44,NA,118.89,65.051,3,NA,8.16,NA,18.139,NA,43.76,NA,NA,NA,190,0.31,5.47,6.4,11.743,2.7,921.85,8.35,1.386,0.24,10.32,0.037,0.504,2.95,28.26,3.15,28.204,2.857,76.69,252.62
K118,58.2,1.05,19.74,4.24,NA,0.11,1.13,3.65,6.74,3.77,0.61,NA,NA,NA,NA,NA,NA,NA,1314,NA,NA,NA,NA,NA,NA,176,NA,NA,141,NA,12,5.5,4.6,4.9,NA,23,15,NA,NA,NA,1.5,NA,NA,NA,98,15,0.6,NA,NA,101,65,NA,NA,NA,NA,16,NA,63,NA,NA,NA,NA,NA,6,NA,11,NA,1126,NA,1.3,NA,10,NA,0.7,3,28,NA,30,2.9,88,441
