"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2T","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"32","E26","60.05","1.09","17.85","6.05",NA,"0.0892","2.43","6.74","4.28","1.25","0.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.21",NA,NA,NA,"20.52",NA,NA,NA,NA,NA,NA,"555.8",NA,NA,NA,"3.2",NA,NA,NA,NA,NA,"16.72",NA,NA,"157.7"
"33","E27","59.8","0.85","17.5","6.02",NA,"0.095","3.14","5.99","4.09","1.23","0.22",NA,NA,"0.03",NA,NA,"0.53",NA,NA,"350","1.17",NA,NA,"0.43","34.4",NA,"18.6","36.5",NA,"27",NA,NA,"1.31",NA,"19.7",NA,NA,NA,NA,NA,NA,"18.8","13",NA,"0.92","10.3","19.4","33.9","12.3",NA,NA,NA,"31.6",NA,"1.19","13.2",NA,NA,"2.12","559",NA,NA,NA,"2.69","0.071",NA,"0.87","111",NA,"18","1.37","69.4",NA
"34","E28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.78",NA,NA,NA,NA,NA,NA,NA,"1.127",NA,NA,NA,NA,NA,NA,"0.62",NA,"15.93",NA,"0.193",NA,NA,"16.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.66",NA,NA,NA,"0.54",NA,NA,NA,NA,NA,NA,NA,NA,"1.33",NA,NA
"35","E28.1",NA,NA,NA,"6.15",NA,NA,NA,"6.03","4.15","1.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"360",NA,NA,NA,NA,NA,NA,"19.3","42.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.74","13.5",NA,NA,NA,NA,NA,NA,NA,"2.64",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","E29","61.01","0.85","17.4","6.18",NA,"0.1","3.18","5.92","4.19","1.18","0.18",NA,NA,"-0.13",NA,NA,NA,NA,NA,"347",NA,NA,NA,NA,"23",NA,"18","35",NA,"26",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,"15",NA,NA,"2","8","15","26","7",NA,NA,NA,"16",NA,NA,"15",NA,NA,NA,"503",NA,NA,NA,"3.2",NA,NA,NA,"87",NA,"16",NA,"53","139"
"37","E30","59.27","0.87","17.48","6.28",NA,"0.09","2.98","6.34","4.67","1.26","0.17",NA,NA,"-0.04",NA,"0.43","0.85","0.03",NA,"338","1.27",NA,NA,"0.11","34.8",NA,"18.5","38","0.23","34.7","2.76","1.43","1.1",NA,"21.3","3.46",NA,"3.65",NA,"0.54",NA,"14.7","11.3","0.2","1.29","9.16","16.7","33.2","9.92",NA,"4.05","0.05","17.2","0","0.78","14.4","0.9","3.51","1.59","539","0.86","0.51",NA,"10.3","0.09","0.21","2.3","108","2.59","23.7","1.34","70.3","156"
"38","E31","59.84","0.8","18.13","6.05",NA,"0.09","3.17","6.07","4.01","1.21","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,NA,"41",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","18","34",NA,NA,NA,NA,"19",NA,NA,"12",NA,NA,NA,"553",NA,NA,NA,NA,NA,NA,NA,"105",NA,"17",NA,"63","140"
"39","E32","60.6","0.84","17.58","6.06",NA,"0.09","3.2","6.04","4.25","1.23","0.18",NA,NA,"-0.04",NA,"0.14","0.35",NA,NA,"356","1.05",NA,NA,"0.047","31.5",NA,"18","34","0.22","30","2.79","1.49","1.12",NA,"20","3.24","1","4.28",NA,"0.552",NA,"13.9","11.6","0.209","0.795","8.16","15.5","29","9",NA,"3.96",NA,"18",NA,"0.85","12",NA,"3.29","1.52","548","0.547","0.499",NA,"2.33","0.053","0.215","0.848","105","2","15","1.41","62","146"
"40","E33","60.43","0.85","17.52","6.01",NA,"0.09","3.12","6.08","4.26","1.21","0.14",NA,NA,NA,NA,NA,NA,NA,NA,"307",NA,NA,NA,NA,"33.5",NA,"19",NA,"0.25","30","2.6","1.6","1.2",NA,"21","3.6",NA,"4",NA,NA,NA,"16.5","12.4","0.2",NA,"5","17","34.4",NA,NA,"4.4",NA,"17",NA,NA,NA,NA,"3.6",NA,"527",NA,"0.5",NA,NA,NA,"0.2",NA,"105",NA,"14","1.4","70","141"
"41","E34","60.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","E34.1",NA,"0.83","14.55","4.85",NA,"0.176","2.62","7.21","4.4","1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"516",NA,NA,NA,NA,"36.1",NA,"15.05","4.55","0.26","51.83","3.2","1.45","0.93",NA,"18.24","3.1",NA,"2.78",NA,"0.66",NA,"19.35",NA,"0.21",NA,"9.33","25.04","15.1","29.6",NA,"4.24",NA,"19.58",NA,NA,"12.75","0.045","4.17",NA,"551.3","0.15","0.6",NA,NA,NA,"0.36",NA,"84.14",NA,"31.9","1.54","58.32","140.8"
"43","E35","60.56","0.82","17.77","6.13",NA,"0.1","3.19","6.53","1.25","3.9","0.16",NA,NA,NA,NA,NA,NA,NA,NA,"231",NA,NA,NA,NA,"35.38",NA,"20.98","45.05",NA,"28.2","2.86","1.65","1.34",NA,NA,"3.53",NA,NA,NA,"0.88",NA,"17.55","12.97","0.23",NA,NA,"19.55","33.68","9.68",NA,"4.89",NA,"17.41",NA,NA,NA,NA,"3.89",NA,"506.88",NA,"0.82",NA,NA,NA,"0.38",NA,"114.13",NA,"17.25","1.4","67.23",NA
"44","E36","60.5","0.83","17.4","6.06",NA,"0.1","3.2","5.8","4.2","1.23","0.18",NA,NA,"0.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","0.25","28.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8",NA,"1.1",NA,NA,"523",NA,NA,NA,"3.1",NA,NA,NA,"109",NA,NA,NA,NA,NA
"45","E37","60.86","0.839","17.22","6.13","3.57","0.095","3.23","6.12","4.28","1.26","0.18",NA,NA,NA,NA,NA,NA,NA,NA,"320","1.2",NA,NA,NA,"38",NA,"18","39",NA,"34",NA,"1.8","1.18",NA,"22","3.2",NA,NA,NA,NA,NA,"18","11","0.22","1.3","9.6","16.2","32","11",NA,NA,NA,"19",NA,NA,NA,NA,"4.1","1.5","551",NA,NA,NA,NA,NA,NA,NA,"114",NA,"16","1.4","62","150"
"46","E38","60.49","0.856","17.597","6.17",NA,"0.095","3.225","6.102","4.166","1.253","0.176",NA,NA,NA,NA,NA,NA,NA,NA,"324.6",NA,NA,NA,NA,NA,NA,"18.3","40.2",NA,"30.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.3",NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"552.2",NA,NA,NA,NA,NA,NA,NA,"114.7",NA,NA,NA,"68.9","161.8"
"47","E39","60.29","0.84","17.64","6.05",NA,"0.09","3.2","6.01","4.28","1.23","0.16","0.243","0.3","-0.03",NA,NA,NA,NA,NA,"330",NA,"0.018",NA,NA,"32.9",NA,NA,"40","0.235","33.4","2.89","1.56","1.16",NA,NA,"3.36",NA,"3.92",NA,"0.58",NA,"15.7",NA,"0.206",NA,"8.28","17.31","29.2","8.42",NA,"4.24",NA,"18.6",NA,"0.8","12.4",NA,"3.68","1.96","554","0.6","0.52",NA,"2.61","0.09","0.219","0.83","100",NA,"15.3","1.39","60.6","149.7"
"48","E40","60.578","0.8291","17.423","6.144",NA,"0.0946","3.22","5.957","3.98","1.237","0.1789",NA,NA,"0.145",NA,NA,NA,NA,NA,"348.3",NA,NA,NA,NA,NA,NA,NA,"39.3",NA,"34.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"28.4","8.2",NA,NA,NA,"15.6",NA,NA,NA,NA,NA,NA,"536.9",NA,NA,NA,"2.1",NA,NA,NA,"102.1",NA,"16.2",NA,"67.9","156.3"
"49","E41","59.7","0.87","17.9","6.24",NA,"0.1","3.29","6.08","4.42","1.23","0.16",NA,NA,"0.5",NA,NA,NA,NA,NA,"290","0.8",NA,NA,NA,"33",NA,NA,NA,NA,"24","3","1.5","1.2",NA,NA,"3.6",NA,NA,NA,"0.55",NA,"17",NA,"0.22",NA,NA,"18","22","13",NA,"4.1",NA,NA,NA,NA,NA,NA,"3.6",NA,"590",NA,NA,NA,NA,"610","0.21",NA,NA,NA,"13","1.5","74","130"
"50","E42","59.44","0.86","17.13","6.1",NA,"0.09","3.26","6.05","4.23","1.25","0.175",NA,NA,NA,NA,NA,NA,NA,NA,"302",NA,NA,NA,NA,"19",NA,"14","42",NA,"30",NA,NA,NA,NA,"18",NA,NA,"3",NA,NA,NA,"27",NA,NA,"2","9","13","36","8",NA,"6",NA,"19",NA,NA,"17",NA,"3",NA,"540",NA,NA,NA,NA,NA,NA,NA,"104",NA,"15",NA,"61","144"
"51","E42.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1.8",NA,NA,NA,NA,NA,NA,"7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.4",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","E43","59.85","0.884","17.61","6.076",NA,"0.098","3.27","6.084","4.121","1.222","0.168",NA,NA,NA,NA,NA,NA,NA,NA,"351.2","1.27",NA,NA,NA,"34.3",NA,"18.35","36.79",NA,"30.52","2.93","1.53","1.14",NA,"18.81","3.12",NA,"3.6",NA,"0.61",NA,"13.58",NA,"0.21",NA,"6.82","16.86","33.47",NA,NA,"3.88",NA,"16.36",NA,NA,"12.82",NA,"3.77",NA,"549.7","0.61","0.5",NA,"2.35",NA,NA,"0.89","62.07",NA,"15.95","1.4",NA,"132.6"
"53","E44","61.2","0.84","17.25","6.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,"34",NA,NA,"42",NA,NA,"2.85","1.55","1.15",NA,NA,NA,NA,NA,NA,NA,NA,"16.5","12",NA,NA,"8.2","18","35",NA,NA,NA,NA,"18",NA,NA,"13",NA,NA,NA,"545",NA,NA,NA,"2.6",NA,NA,NA,"110",NA,"16.4","1.35",NA,NA
"54","E44.1",NA,NA,NA,NA,NA,"0.098","3.1","5.9","4.1","1.2","0.17",NA,NA,"-0.04",NA,NA,NA,NA,NA,NA,"1.2",NA,NA,NA,NA,NA,"18",NA,NA,"30",NA,NA,NA,NA,NA,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","142"
"55","E45","60.63","0.833","17.52","6.09",NA,"0.095","3.13","6.05","4.12","1.29","0.179","0.07",NA,"-0.07",NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,"17","39",NA,"30",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3",NA,"30","10.8",NA,NA,NA,"18","24",NA,"15",NA,NA,NA,"557",NA,NA,NA,"2.6",NA,NA,NA,"103",NA,NA,NA,"61","158"
"56","E46","58.76","0.89","18.14","6.63",NA,"0.11","3.28","6.13","4.27","1.21",NA,NA,NA,NA,NA,NA,"0.9",NA,NA,"304",NA,NA,NA,NA,"22",NA,NA,"48",NA,"31",NA,NA,NA,NA,"21",NA,NA,"2",NA,NA,NA,"9",NA,NA,"0.7","7","20.5","26","8",NA,NA,NA,"18",NA,NA,NA,NA,NA,"1","549",NA,NA,NA,"2.6","0.5",NA,NA,"88.5",NA,"17","3","65","149"
"57","E46.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","E47","59.98","0.8545","17.39","5.99",NA,"0.09396","3.233","6.128","4.129","1.356",NA,NA,NA,NA,NA,NA,NA,NA,NA,"311.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"557.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136"
"59","E47.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","E48",NA,NA,NA,"6.01",NA,NA,NA,NA,"4.23",NA,NA,NA,NA,NA,NA,"0.06","0.57","0.0006",NA,"319",NA,NA,"0.26",NA,"34.5",NA,"18.7","39","0.22",NA,NA,NA,"1.19",NA,NA,NA,NA,"3.81",NA,NA,NA,"15.9",NA,"0.23","1.05",NA,"18.4","35",NA,NA,NA,NA,"18.2",NA,"0.83","13.5",NA,"3.7",NA,"545","0.59","0.49",NA,"2.55",NA,NA,"0.91",NA,"0.3",NA,"1.45","67","145"
"61","E49","60.74","0.88","17.57","6.14",NA,"0.095","3.19","6.05","4.21","1.24","0.178",NA,NA,"0.013",NA,NA,"10.49",NA,NA,"318",NA,"1.35","36.61",NA,"40.9",NA,"22.26",NA,"12.11","34.4","3.28","1.67","1.36",NA,"23.2","4.27",NA,"4.35",NA,NA,NA,"21.4",NA,"0.23",NA,"9.66","19.2","101.13","10.48",NA,"4.68",NA,"22.1",NA,NA,NA,"28.89","4.11",NA,"557",NA,"0.59","0.07",NA,NA,"0.24","0.84","121.2",NA,"25.6","1.49","30.7","150"
"62","E50","59.72","0.85","17.42","6.24","3.71","0.09","3.19","6.05","4.22","1.27","0.17","0.12","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.31",NA,NA,NA,"0.25","34","2.7","1.4","1.11",NA,NA,"3.37",NA,"3.67",NA,"0.59",NA,"16.56",NA,"0.2",NA,"8.05","17.65",NA,NA,NA,"4.2",NA,"19.05",NA,NA,NA,NA,"3.64",NA,"569.7","0.61","0.54",NA,"2.45",NA,"0.21","0.83","125",NA,"15","1.37","80","136.41"
"63","E50.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"311",NA,NA,NA,NA,NA,NA,"21","43",NA,NA,NA,NA,NA,NA,"19.83",NA,NA,NA,NA,NA,NA,NA,"13",NA,"1.2",NA,NA,"36","9.16",NA,NA,NA,NA,NA,"0.75","13",NA,NA,NA,NA,NA,NA,NA,NA,"0.08",NA,NA,NA,"0.36",NA,NA,NA,NA
"64","E51","59.91","0.865","17.35","6.3","3.62","0.1","3.28","6.09","4","1.23","0.16",NA,"0.2",NA,NA,NA,"29",NA,NA,"305",NA,NA,NA,NA,"31.9",NA,"13","56",NA,"30","2.4","1.1","1","300",NA,"3",NA,"3.7",NA,"0.4",NA,"15.7","11","0.1",NA,NA,"15.5","30",NA,NA,"3.6",NA,"19",NA,NA,NA,NA,"3.3",NA,"618",NA,"0.4",NA,"2.5",NA,"0.2","1.1","102",NA,"21.4","0.8","77","109"
"65","E52","59.76","0.845","17.44","6.18",NA,"0.0963","3.186","6.012","3.94","1.211","0.173",NA,NA,NA,NA,NA,NA,NA,NA,"316",NA,NA,NA,NA,NA,NA,"15","42",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5",NA,"38",NA,NA,NA,NA,"17.6",NA,NA,NA,NA,NA,NA,"558",NA,NA,NA,NA,NA,NA,NA,"111",NA,"16.9",NA,"68","154"
"66","E52.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","E53","59.27","0.85","17.4","6.07",NA,"0.093","3.18","6","4.19","1.2","0.177",NA,NA,"0.27",NA,NA,NA,NA,NA,"322",NA,NA,NA,NA,"32",NA,"19",NA,NA,"31","2.8","1.7","1.1",NA,"19","3.3",NA,"5",NA,NA,NA,"20",NA,"0.3",NA,"8","17","33","10",NA,"3.9",NA,"24",NA,NA,"11.8",NA,"3.3",NA,"536",NA,"0.6",NA,"2.3",NA,NA,NA,"103",NA,"16","1.3","62","154"
"68","E54","58.97","0.83","17.18","6.06",NA,"0.08","3.12","5.84","4.03","1.24","0.16",NA,NA,"2.76",NA,NA,NA,NA,NA,"316.8",NA,NA,NA,NA,NA,NA,"20.4","34.3",NA,NA,NA,NA,NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.1",NA,"28.9",NA,NA,NA,NA,"16.5",NA,NA,"11.2",NA,NA,NA,"512.2",NA,NA,NA,NA,NA,NA,NA,"92.5",NA,"17",NA,NA,"141.3"
"69","E55","60.048","0.899","17.131","6.608",NA,"0.1","3.368","6.057","4.117","1.2","0.158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","E56","60.23","0.851","17.47","6.34",NA,"0.096","3.18","6.09","4.16","1.26","0.175",NA,NA,NA,NA,NA,NA,NA,NA,"319",NA,NA,NA,NA,NA,NA,NA,"38",NA,"29",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3",NA,"31",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,"544",NA,NA,NA,NA,NA,NA,NA,"107",NA,"18",NA,"67","144"
"71","E56.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","E57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"318",NA,NA,NA,NA,"33.01",NA,NA,NA,"0.23",NA,"3.08","1.53","1.24",NA,NA,"3.68",NA,"3.61",NA,"0.6",NA,"16.64",NA,"0.21",NA,"8.09","16.04",NA,"8.45",NA,"3.91",NA,"19.9",NA,NA,"15.9",NA,"3.76",NA,"559","0.57","0.56",NA,"2.59",NA,"0.22","0.94",NA,NA,"16.43","1.34",NA,NA
"73","E58","59.75","0.84","17.28","6.16",NA,"0.09","3.12","6.05","4.14","1.23","0.17",NA,NA,"0.77",NA,NA,NA,NA,NA,"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,"129"
"74","E59","60.28",NA,"17.89","6.27","3.71","0.07","3.08","6.05","4.17","1.24",NA,"0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","E60","60.48","0.84","17.63","6.2","3.86","0.101","3.28","6.03","4.15","1.19","0.175",NA,NA,NA,NA,NA,NA,NA,NA,"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141"
"76","E60.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","3",NA,NA,"34","201","23","44",NA,"29",NA,NA,NA,"400","22",NA,NA,NA,NA,NA,NA,"17","13",NA,"2","6","15","28","11",NA,NA,NA,"15","23",NA,"14",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"1","111",NA,"15",NA,"64",NA
"77","E61","61.07","0.88","17.7","6.11",NA,"0.095","3.29","6.21","4.25","1.24","0.177",NA,NA,"0.01",NA,NA,NA,NA,NA,"346",NA,NA,NA,NA,"35",NA,"14","58",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,"8",NA,"29","9",NA,NA,NA,"20",NA,NA,"17",NA,NA,NA,"546",NA,NA,NA,"2.3",NA,NA,"1.7","106",NA,"10",NA,"62","147"
