"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"89","K93","58.56","0.81","17.25","7.42","5.02","0.12","3.33","6.73","2.96","1.64","0.13",NA,NA,"0.87",NA,NA,"9.01",NA,"720","0.82",NA,NA,NA,NA,NA,"23.8",NA,"19.7","30.9","2.84","16.8","3.67","2.1","0.88",NA,"20.4","3.45",NA,"31.5",NA,"0.74",NA,NA,"10.4","23.8","0.31","2.25",NA,"14.1",NA,"21.5","2.63","3.37","69.3",NA,"3.49",NA,NA,"3.56",NA,"283",NA,"0.56",NA,"2.95","0.39","0.3","1.04","138","2.78","21","2.02","85.4","132"
"90","K94","58.66","0.83","17.41","7.57","4.93","0.116","3.32","6.74","2.95","1.64","0.13",NA,NA,"0.77",NA,NA,"9",NA,"699",NA,NA,NA,NA,NA,NA,NA,NA,"21","18",NA,"20",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,"58",NA,NA,NA,NA,NA,NA,"308",NA,NA,NA,"6",NA,NA,NA,"145",NA,"25",NA,"91","138"
"91","K95","58.55","0.84","17.35","7.63",NA,"0.113","3.3","6.78","2.92","1.66","0.129",NA,NA,"0.53",NA,NA,"6",NA,"735",NA,NA,NA,NA,"900",NA,"17","230","20","16",NA,"21",NA,NA,NA,"390","21",NA,NA,"3.7",NA,NA,"30",NA,"12",NA,NA,"3","9","14","8","15",NA,"6","56","80",NA,"15",NA,"4",NA,"302","1",NA,NA,"4","0.1",NA,"1","144","5","24",NA,"88","126"
"92","K96","65.61","0.54","12.02","6.24",NA,"0.5233","1.55","1.44","0.99","4.16","0.19",NA,NA,"5.31",NA,NA,NA,NA,"869",NA,NA,NA,NA,NA,NA,"580",NA,"74","250",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,"17",NA,"295","23311",NA,NA,"128",NA,NA,NA,NA,NA,NA,"213",NA,NA,NA,NA,NA,NA,NA,"75",NA,"39",NA,NA,"257"
"93","K97","58.138","0.814","17.331","7.587",NA,"0.109","3.302","6.704","2.945","1.651","0.149",NA,NA,"0.737",NA,NA,"3",NA,"765",NA,NA,NA,NA,NA,NA,"17",NA,NA,"11",NA,"17",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,"6",NA,"4","15",NA,NA,"62",NA,NA,"25",NA,NA,NA,"304",NA,NA,NA,"4",NA,NA,"2","142",NA,"26",NA,"86","126"
"94","K98","58.41","0.79","17.11","7.22","4.74","0.11","3.14","6.7","3","1.53","0.12","1.29","0.17",NA,NA,NA,NA,NA,"671",NA,NA,NA,NA,NA,NA,"27",NA,"17","10",NA,"20",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"80","22","2","13",NA,NA,"50",NA,NA,"22",NA,NA,"8","267",NA,NA,NA,"6",NA,NA,"6","145",NA,"24",NA,"78","149"
"95","K99","58.57","0.819","17.3","7.643",NA,"0.115","3.35","6.609","2.948","1.643","0.119",NA,NA,"0.69",NA,NA,"56",NA,"702",NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","62",NA,NA,NA,"12",NA,NA,NA,NA,NA,"268",NA,NA,NA,NA,NA,NA,NA,"159",NA,NA,NA,"104","165"
"96","K100","58.21","0.83","17.37","7.48",NA,"0.12","3.26","6.41","2.99","1.61","0.11",NA,NA,"0.76",NA,NA,"4",NA,"715",NA,NA,NA,NA,NA,NA,"32",NA,"19","19","2","14",NA,NA,NA,NA,"18",NA,NA,"2",NA,NA,NA,NA,"26",NA,NA,NA,"5","13","4","21",NA,NA,"60",NA,"4","21",NA,"3",NA,"293",NA,NA,NA,"4",NA,NA,"4","146","20","24",NA,"86","110"
"97","K101","58.77","0.831","17.23","7.482","5.668","0.103","3.352","6.763","2.903","1.653","0.128","1.238",NA,"0.854",NA,NA,"2.991",NA,"725",NA,"0.11",NA,NA,"330",NA,"29.8","192.9","19.4",NA,"3.2","19.34","4.76","2.43","1.11","422.8","20.1","4.28","1.5","3.2","0.009","0.91",NA,NA,"13.23","20.2","0.42","1.15","5.3","16.5","5.1","13.1",NA,"4.196","65.1",NA,"1.72","22",NA,"4.06","4.09","292.1",NA,"0.75",NA,"3.8","0.41","0.42","1.44","148",NA,"22.69","2.472","94","115"
"98","K102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7",NA,NA,"613",NA,NA,NA,NA,NA,NA,NA,NA,"19","12.7",NA,"22.4","3","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","31.7","2",NA,"12.8","21","5.6","16.9",NA,"7",NA,NA,NA,"32.5",NA,"1",NA,"253",NA,"4",NA,"5.4",NA,"1",NA,"122",NA,NA,NA,"71.6",NA
"99","K102.1","53.98","0.84","16.43","7.22",NA,"0.12","3.23","7.35","2.54","1.69","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","K103","58.792","0.779","17.202","7.327",NA,"0.108","3.253","6.467","2.846","1.655","0.119",NA,NA,"0.789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","K104","58.6","0.77","16.98","7.2","4.95","0.113","3.15","6.78","2.97","1.47","0.14","1.02",NA,"0.77",NA,NA,"3.441","18","621.9","0.936",NA,NA,NA,"300","0.292","28.41","220","18.11","15.78","2.675","19.66","4.411","2.57","1.037","391","19.72","4.278","1.423","4.632","0.0045","0.962",NA,"0.076","13.04","20","0.402","0.878","4.433","17.18","7.099","14.67",NA,"3.987","57.99",NA,"1.448","23.27",NA,"4.302","3.014","296.2","0.426","0.679",NA,"4",NA,"0.369","2.22","132.5","0.319","25.22","2.485","88.81","149"
"102","K105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"769.7",NA,NA,NA,NA,NA,NA,"29.76",NA,"19.16","16.39","2.918","20.06","4.435","2.488","0.952",NA,"19.09","4.531",NA,"4.062",NA,"0.91",NA,NA,"12.93",NA,"0.359",NA,"5.836","17.406","7.183","16.609",NA,"3.99","61.53",NA,NA,"21.38",NA,"4.248",NA,"297.96","0.612","0.72",NA,"3.868",NA,"0.379","1.375","138.72",NA,"27.95","2.388","80.18","161.52"
"103","K105.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.26","5.24",NA,NA,NA,"0.03",NA,NA,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.33",NA,"0.74",NA,NA,NA,NA,NA,NA,NA,NA,"1.14",NA,"0.46",NA,"2",NA,NA,NA,NA,NA,"1.55",NA,NA,NA,NA,NA,NA,NA,NA
"104","K106","58.6","0.853","17.28","7.7",NA,"0.122","3.41","6.86","3.01","1.675","0.13",NA,NA,"0.65",NA,NA,NA,NA,"740.1","0.9",NA,NA,NA,NA,NA,"29.2",NA,"19.7","15.6","3","19.1","4.3","2.5","1.1",NA,"18.5","4.3",NA,"3.9",NA,"0.9",NA,NA,"13.1",NA,"0.4","0.8","5.2","17.7","7.1","22.7",NA,"4.1","62.6","1573",NA,"22.4",NA,"4.2","2.3","299.1","0.4",NA,NA,"4.1","0.4","0.4","1.6","150.9","0.5","27","2.5","107.2","135.8"
"105","K107","57.91","0.84","17.2","7.68",NA,"0.118","3.46","7.05","2.83","1.64","0.142",NA,NA,"0.65",NA,NA,NA,NA,"773",NA,NA,NA,NA,NA,NA,"26",NA,"20","17",NA,"19",NA,NA,NA,NA,"20",NA,NA,"4.6",NA,NA,NA,NA,NA,NA,NA,NA,"3.2","15","7.6","13",NA,NA,"57",NA,NA,"21","1.5",NA,NA,"293",NA,NA,NA,"5.7",NA,NA,NA,"139",NA,"23","3.6","87","123"
"106","K108","58.138","0.81","17.403","7.657",NA,"0.119","3.282","6.673","2.969","1.606","0.129",NA,NA,NA,NA,NA,"3.027",NA,"708.7","0.887",NA,NA,NA,NA,NA,"29.53",NA,"20","14.9","3.13","23.83","4.3","2.67","0.887",NA,"19.47","4.4",NA,"2.037",NA,"0.927",NA,NA,"13.03","23.93","0.4","0.8","6.56","17.5",NA,"18.37",NA,"3.97","63.17",NA,"1.63","21.83",NA,"4.343",NA,"316.7","0.667","0.713",NA,"3.803","0.423","0.393","1.207","157",NA,"23.33","2.56","95.5","142.5"
"107","K109","62.42","0.87","16.53","7.05",NA,"0.08","3.02","6.39","1.56","0.77","0.22",NA,NA,"0.93",NA,NA,"171",NA,"828.81",NA,"15.15",NA,NA,NA,NA,"17.04",NA,NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,"62",NA,NA,"117.4","300",NA,NA,"47.94",NA,"156.1","234.03",NA,NA,NA,NA,NA,NA,NA,"148.1",NA,"18.8",NA,"96","65"
"108","K110","58.58","0.86","16.93","7.72",NA,"0.098","3.47","6.99","2.99","1.68","0.114",NA,NA,"0.67",NA,NA,"2.1",NA,"733.6",NA,"0.4",NA,NA,"929","0.5","15.6",NA,"28.4","8.2",NA,"22.7",NA,NA,NA,NA,"18.5",NA,NA,"2.8",NA,NA,"0.5",NA,"13.7",NA,NA,"0.6","4.5","11","4.7","10.7",NA,NA,"57.1","203","4.5","19.5",NA,"2.7","4.8","283.7","0.1",NA,"3.1","3.4",NA,NA,"2.8","111.3","1.1","23.2","3.2","85.6","123.1"
"109","K111","58.77","0.83","17.15","7.5",NA,"0.12","3.35","6.63","3.02","1.65","0.11",NA,NA,NA,NA,"0.9","2.5",NA,"681",NA,"0.2",NA,NA,NA,NA,"24.5","80","16.2","12.3",NA,"19.9",NA,NA,NA,NA,"18",NA,"2.5","6",NA,NA,"2.3",NA,"17.3",NA,NA,"0.3","4.5","15.1","4","13.2",NA,NA,"55.4","69.8","0.9","20.3","0.1","5.7",NA,"279.9","0.6",NA,NA,"3.6","0.5",NA,"1","137.2","2.3","22.2","0.5","80.4","118.9"
"110","K111.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"843.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","K112","58.6","0.85","17.2","7.38",NA,"0.11","3.3","6.75","2.98","1.63","0.14",NA,NA,"0.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","K113",NA,"0.86",NA,"7.79",NA,"0.11",NA,NA,NA,NA,"0.13",NA,NA,NA,NA,"0.06",NA,NA,"745","0.85",NA,NA,NA,NA,"0.15","29.4",NA,"19.8","16.4","2.93","19.4","4.25","2.5","1.1",NA,"19.2","4.29",NA,"3.64",NA,"0.87",NA,NA,"13.5","21.4","0.37","0.55","4.94","16.9","5.84","15.9",NA,"4.01","59.9",NA,"1.49","23.7",NA,"4.14","2.53","292","0.45","0.71",NA,"3.55","0.41","0.39","1.08","152","0.23","23.2","2.45","84.6","136"
