"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","K12","57.8","0.83","17.3","7.46",NA,"0.116","3.28","6.59","2.92","1.62","0.125",NA,NA,"0.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","K14","58.77","0.8","17.36","7.53",NA,"0.118","3.28","6.63","2.96","1.6","0.131",NA,NA,"0.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","K15","59.72","0.82","17.68","7.02",NA,"0.11","2.36","6.71","2.88","1.65","0.13",NA,NA,"0.92",NA,NA,"3.24",NA,"800.55","1.02",NA,NA,NA,NA,NA,"23.65",NA,"18.88","13.67","2.59","21.54","4.91","2.75","1.2",NA,"18.55","4.43","1.04","0.86",NA,"0.92",NA,NA,"10.32","20.46","0.38",NA,"6.75","17.61","5.78","10.87",NA,"4.04","62.27",NA,"1.39","21.79",NA,"4.23","2.73","305.75","0.97","0.81",NA,"4.07",NA,"0.38","1.21","149.13",NA,"27.13","2.42","88.12","21.51"
"14","K16","58.89","0.8266","17.27","7.463",NA,"0.1166","3.352","6.733","2.931","1.651","0.1283",NA,NA,NA,NA,"0.0938","3.793",NA,"733.7","0.904","0.0827",NA,NA,NA,"0.163","32.47",NA,"20.6","17.18","3.142","19.99","4.894","2.932","1.12",NA,"21.47","4.983","1.438","0.918",NA,"0.9934",NA,"0.0673","13.91","23.62","0.3825","1.135","5.909","18.85","5.976","15.34",NA,"4.154","66.88",NA,"1.69","23.93",NA,"4.491","2.682","298.3","1.054","0.7754",NA,"4.558","0.4878","0.425","1.442","161.3","0.423","26.02","2.703","104","15.49"
"15","K18","57.77","0.8","16.76","7.49",NA,"0.11","3.24","6.55","2.76","1.63","0.13",NA,NA,"0.63",NA,NA,NA,NA,"719",NA,NA,"5",NA,NA,NA,"33","192","17","12",NA,"23",NA,NA,NA,"307","18","15","2","3",NA,NA,NA,NA,"18",NA,NA,NA,"5","24","11","14",NA,NA,"64","70",NA,"21",NA,NA,NA,"305",NA,NA,NA,"1",NA,NA,NA,"152",NA,"26",NA,"94","149"
"16","K19",NA,NA,NA,NA,"5.32",NA,NA,NA,NA,NA,NA,NA,NA,"0.78",NA,NA,NA,NA,"687",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,"3.05",NA,"4.21","1.88","1.07",NA,NA,"4.47",NA,"3.04",NA,"0.71",NA,NA,"11",NA,"0.36","0.57","5.64","16.3",NA,"12.3",NA,"3.73","62.4",NA,NA,"19",NA,"4.36",NA,"291","0.37","0.72",NA,"2.91",NA,"0.29","0.91",NA,"0.28","22.5","2.08",NA,"129"
"17","K20","58.816","0.839","17.543","7.418","5.26","0.119","3.404","6.683","3.015","1.657","0.134",NA,NA,NA,NA,"0.152","2.599",NA,"735.376",NA,"0.081",NA,NA,NA,"0.069","27.411","224.5","18.877","4.5","3.014","27.598","4.378","2.472","0.989","214","19.766","4.039","1.524","3.719",NA,"0.898",NA,NA,"11.93",NA,"0.341","0.707","5.382","16.518","7","13.625",NA,"3.616","59.793","52.052","1.706","24.5",NA,"3.834","2.986","264.044","0.375","0.681",NA,"3.163",NA,NA,"1.269","144.135","0.284","21.541","2.344","89.785","131.614"
"18","K21","58.54","0.84","17.27","7.45",NA,"0.11","3.29","6.68","3.02","1.66","0.12",NA,NA,"0.66",NA,NA,NA,NA,"727",NA,NA,NA,NA,NA,NA,NA,NA,"21","12",NA,"16",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"269",NA,NA,NA,NA,NA,NA,NA,"138",NA,"23",NA,"88",NA
"19","K22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.1","2.5","0.99",NA,"18.5","4.17",NA,"3.4",NA,"0.89",NA,NA,"12.8",NA,"0.35",NA,NA,"16",NA,NA,NA,"3.9",NA,NA,NA,"23",NA,"4",NA,NA,NA,"0.67",NA,NA,NA,"0.35",NA,NA,NA,"23.2","2.3",NA,NA
"20","K22.1","58.48","0.86","17.27","7.45",NA,"0.11","3.39","6.56","2.92","1.6","0.13","0.78","0.26","0.76",NA,NA,NA,NA,"720","0.94",NA,NA,NA,NA,NA,"28",NA,"19.9",NA,"2.9","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.3",NA,NA,"5.3",NA,"10.5","13",NA,NA,"61",NA,NA,NA,NA,NA,NA,"300","0.49",NA,NA,"3.93","0.36",NA,"1.1","140",NA,NA,NA,"96","132"
"21","K23","58.6","0.83","17.21","7.55",NA,"0.116","3.22","6.73","2.82","1.65","0.125",NA,NA,"0.81",NA,NA,NA,NA,"725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61",NA,NA,NA,NA,NA,NA,"290",NA,NA,NA,NA,NA,NA,NA,"145",NA,NA,NA,"92","134"
"22","K23.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","21",NA,NA,NA,NA,NA,NA,"19.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA
"23","K24","58.19","0.835","17.34","7.661",NA,"0.1259","3.324","6.677","3.045","1.645","0.1338",NA,NA,"0.7254",NA,NA,NA,NA,NA,NA,NA,NA,"620","796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","K25","58.3","0.86","18.1","7.36",NA,"0.103","3.37","6.78","2.98","1.62","0.135",NA,NA,"0.97",NA,NA,"4.74",NA,"738","0.84",NA,NA,NA,NA,NA,"26.5","304","16","11.3",NA,"18","3.85","2.25","0.89",NA,NA,"3.85",NA,NA,NA,"0.72",NA,NA,"18.2","22.8","0.27",NA,"13.1","15.3",NA,NA,NA,"3.5","60.7",NA,NA,"20.4",NA,"3.66",NA,"292","3.32","0.56",NA,"3.96",NA,"0.28","1.03","137",NA,"21.95","2.1","87","120"
"25","K26","58.61","0.84","17.15","7.53",NA,"0.11","3.38","6.77","2.87","1.66","0.13",NA,NA,"0.78",NA,NA,NA,NA,"738",NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5",NA,NA,"14",NA,NA,"64",NA,NA,"24",NA,NA,NA,"297",NA,NA,NA,NA,NA,NA,NA,"149",NA,"26",NA,"89","129"
"26","K27","56.1","0.94","17.3","8.97",NA,"0.125","3.52","7.21","2.87","1.65","0.182",NA,NA,"0.97",NA,NA,NA,NA,"819",NA,NA,NA,NA,NA,NA,NA,"362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","79",NA,NA,NA,NA,NA,"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,"98","185"
"27","K28","58.54","0.814","17.52","7.47",NA,"0.114","3.39","6.77","2.87","1.63","0.125",NA,NA,"0.782",NA,NA,"1.2",NA,"740",NA,"0.3",NA,NA,NA,NA,"31.7",NA,"19.4","16.2",NA,"17.6",NA,NA,NA,NA,"18.8",NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,"5.1","13.5","3.1","13.1",NA,NA,"60.8",NA,"4.2","24.2",NA,NA,"2.8","300.9",NA,NA,NA,"3.4","0.4",NA,NA,"156.7","1.3","25.1",NA,"93.2","120.9"
"28","K28.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","K29","58.8","0.84","17.6","7.79","4.46","0.12","3.35","6.16","2.67","1.59","0.136",NA,NA,"0.56",NA,NA,"40",NA,"788",NA,NA,NA,NA,NA,"0.13","28.4",NA,"30.6","20.5",NA,"24.6","2.64","1.88","0.93",NA,NA,"2.69",NA,NA,NA,"0.63",NA,NA,"16.2",NA,"0.34",NA,NA,"12.8","17.34",NA,NA,"3.42",NA,"165",NA,"21.5",NA,"3.25",NA,"312",NA,"0.44",NA,NA,NA,"0.32",NA,"124.3",NA,"22.4","2.09","88.6",NA
"30","K31","58.21","0.85","17.71","7.56",NA,"0.11","3.27","6.69","3.16","1.64","0.12",NA,NA,"0.9",NA,NA,NA,NA,"607",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"9","16",NA,NA,"58",NA,NA,NA,NA,NA,NA,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,"117"
"31","K32","59.7","0.77","18.34","7.63",NA,"0.12","3.46","6.89","3.15","1.72",NA,NA,"0.2",NA,NA,NA,NA,NA,"751",NA,"0.1",NA,NA,NA,NA,"28.7",NA,"16.7",NA,"3.15","50","4.45","2.55","1.03",NA,NA,"4.44",NA,"3.78",NA,"0.9",NA,NA,"13.11",NA,"0.39",NA,"4.83","16.96",NA,"14.69",NA,"3.9","63","78",NA,"19.83",NA,"4.37",NA,"309","0.37","0.72",NA,"3.81",NA,"0.38","1.26","143.8",NA,"25","2.45","109","134"
"32","K33","58.65","0.83","17.31","7.56",NA,"0.12","3.26","6.72","2.97","1.65","0.128",NA,NA,"0.63",NA,NA,"3",NA,"742","0.9","0.08",NA,NA,"0.04","0.13","29.5",NA,"19.5","13","2.8","21","4.4","2.4","1.1",NA,"19.4","4.6","1","3.6",NA,"0.9",NA,"0.06","12.7","22.3","0.4","0.7","4","16.8","5","14",NA,"4.1","60.7",NA,"1.7","23",NA,"3.6","2.3","293.7","0.5","0.7",NA,"3.5","0.4","0.4","1.3","157","1","23.5","2.4","90","136"
"33","K34","59.41","0.69","15.32","6.71",NA,NA,"3.2","6.72","2.63","1.43","0.13",NA,NA,"0.57",NA,NA,"4.68",NA,"648.63","0.8","0.11",NA,NA,NA,"0.15",NA,NA,"21.89","15.82","3.03","30.84",NA,NA,NA,NA,"21.56",NA,"1.68",NA,NA,NA,NA,NA,NA,"18.98",NA,"1.01","31.22",NA,"78.88","15.16",NA,NA,"63.06",NA,"1.78","27.32",NA,NA,NA,"299.2",NA,NA,NA,"6.82","0.53",NA,"1.58","168.5",NA,"28.56",NA,"81.53",NA
"34","K35","58.36","0.83","17.28","7.54",NA,"0.12","3.31","6.78","2.92","1.63","0.13",NA,NA,"1.26",NA,NA,NA,NA,"723","19",NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,"23.5",NA,NA,NA,NA,"17",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"7.5","15",NA,NA,"62",NA,NA,"22",NA,NA,NA,"304",NA,NA,NA,"5",NA,NA,NA,"146",NA,"25",NA,"86.5","143"
"35","K36","58.81","0.84","17.47","7.55",NA,"0.11","3.3","6.6","2.88","1.63","0.126",NA,NA,"0.66",NA,NA,"3.27",NA,"720.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.1",NA,"21",NA,NA,NA,NA,"18.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.2",NA,"3.9","13.2",NA,NA,"60",NA,NA,NA,NA,NA,NA,"298.4",NA,NA,NA,NA,NA,NA,NA,"151.7",NA,"24.9",NA,"89","119.2"
"36","K37","58.53","0.78","17.2","7.41",NA,"0.12","3.29","6.66","2.97","1.58","0.13",NA,NA,"0.74",NA,NA,NA,NA,"704","0.952",NA,NA,NA,NA,NA,"28.6",NA,"19.7","19.4","2.6","19.6","4.26","2.53","1.04",NA,"19.2","4.16","1.33","3.41",NA,"0.878",NA,NA,"12.4","23.4","0.361",NA,"5.12","16.7","8.72","12.9",NA,"3.84","57.7",NA,NA,"23",NA,"4.13",NA,"305","0.391","0.682",NA,"3.44",NA,"0.375","1.16","146",NA,"25.9","2.43","87.2","130"
"37","K39","73.98","0.82","5.18","7.81",NA,"0.11","0.96","7.65","1.77","1.48","0.15",NA,NA,NA,NA,NA,"12.91",NA,NA,NA,NA,NA,NA,NA,NA,"99.33",NA,"32.53","99.22","18.52","20.43",NA,NA,NA,NA,"15.53",NA,NA,NA,NA,NA,NA,NA,"33.21",NA,NA,NA,"9.02","59.19","27.1","6.4",NA,NA,"50.12",NA,NA,"6.77",NA,NA,NA,"275.17","0.98",NA,NA,NA,NA,NA,NA,NA,NA,"25.54",NA,"41.74","123.05"
"38","K40","58.19","0.82","17.24","7.66",NA,NA,"3.05","6.61","2.68","1.65","0.13",NA,NA,"1.14",NA,NA,"8",NA,"707",NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,"63.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.5",NA,NA,NA,NA,NA,NA,"59.7",NA,NA,"316.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.3",NA,"64",NA
"39","K41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2313","2.265",NA,"691.4",NA,"0.0645",NA,NA,NA,NA,"27.56",NA,"18.17","12.97","2.799","17.82","4.049","2.335","1.137",NA,NA,"3.883",NA,"0.7399",NA,"0.8187",NA,NA,"12.04",NA,"0.3256","0.6148","4.7","15.79","5.066","12.9",NA,"3.656","58.77",NA,"1.462","19.93",NA,"3.577","2.083","288.6","0.4963","0.6569",NA,"3.644","0.4019","0.3315","1.048","142.7","0.3067","21.3","2.295","84.89","11.75"
"40","K42","56.96","0.83","16.93","7.54",NA,"0.115","3.35","6.47","2.98","1.59","0.13",NA,NA,"0.78",NA,NA,NA,NA,"730",NA,NA,NA,NA,"310",NA,NA,NA,"20","13",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143",NA,"23",NA,"95","110"
"41","K43","58.80271","0.821472","17.41644","7.520998",NA,"0.117708","3.35528","6.64783","2.97412","1.675254","0.125462",NA,NA,"0.5832",NA,NA,"2.604782",NA,"734.3524","0.889232","0.071431","0.100183",NA,"129.8711","0.138854","28.23774",NA,"19.32197","15.64282","2.912246","19.63615","4.223454","2.524134","0.97509",NA,"18.64222","4.257917","1.299545","4.077957",NA,"0.848157",NA,"0.059909","12.20811","21.55697","0.350343","0.849259","4.829967","16.81206","6.383019","12.82664",NA,"3.857782","60.83569","116.2133","1.67768","22.63455",NA,"4.102432","3.298175","289.2924","0.383704","0.671432",NA,"3.402547","0.372483","0.364569","1.37833","141.1937","0.26729","24.39599","2.307436","92.65401","128.576"
"42","K44","58.81","0.834","17.9","7.524",NA,"0.117","3.318","6.543","2.626","1.626","0.122",NA,NA,"0.693",NA,NA,NA,NA,"797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64",NA,NA,NA,NA,NA,NA,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139"
"43","K45","58.24","0.829","17.27","7.99",NA,"0.119","3.31","6.69","2.95","1.66","0.129",NA,NA,"0.7",NA,NA,NA,NA,"780.2",NA,NA,NA,NA,NA,NA,"29.23",NA,NA,"20","2.87","21","4.79","2.69","1.09",NA,"19.4","4.47",NA,"3.79",NA,"0.99",NA,NA,"12.95",NA,"0.37",NA,"4.86","17.19","6","13.86",NA,"3.98","61.4",NA,NA,"22.6",NA,"4.35",NA,"310","0.4","0.77",NA,"4.01",NA,"0.39","1.52","147",NA,"25.75","2.45","93","140"
"44","K46","58.6","0.83","17.6","7.6","5.06","0.12","3.21","6.7","3.09","1.64","0.12",NA,NA,"0.73",NA,"0.4","25",NA,"730","0.7","0.23",NA,"0.025","0.03","0.24","31.8","250","17.4","15","2.36","28.7","4.56","2.83","1.33","0.05","15.3","4.79","0.2","0.64",NA,"1.04",NA,"0.05","14.7","24","0.56","1.85","7.3","30.2","9.9","25.5",NA,"4.34","52.6","0.005","6.31","17","1","4.7","2.3","310","0.3","0.92","0.025","11.8","0.42","0.61","1.18","158","1.3","23.7","2.7","171","17.6"
"45","K47","59.12","0.867","16.64","7.95",NA,"0.119","3.22","6.21","2.66","1.66","0.136",NA,NA,"0.76",NA,NA,NA,NA,"733","0.9",NA,NA,NA,NA,"0.15","28.5","187","20.7",NA,"2.92","20.1","4.28","2.54","0.93","909","19.2","3.89",NA,NA,NA,"0.87",NA,NA,"12.5","21.9",NA,"0.63","5.3","16.6","5.1","14.2",NA,"3.86","61.6","132","1.44","21.1",NA,"4.03","2.4","301","0.4","0.65",NA,"4","0.4","0.37","1.3","151","0.28","23.9","2.41","96","119"
"46","K50","58.05","0.827","17.03","7.47",NA,"0.12","3.32","6.43","2.79","1.65","0.13",NA,NA,"0.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","K52",NA,"0.568","11.85","6.561",NA,NA,"1.373","1.375","1.043","4.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","K53","58.87","0.86","17.05","7.63",NA,"0.11","3.35","6.46","2.99","1.72","0.13",NA,NA,"0.77",NA,NA,"4",NA,"699",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"21",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81",NA,NA,"25",NA,NA,NA,"266",NA,NA,NA,NA,NA,NA,NA,"151",NA,NA,NA,"89","119"
"49","K53.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"3",NA,NA,"24",NA,NA,NA
"50","K54",NA,"0.508","4.881","4.863",NA,"0.055","1.943","1.316","0.458","1.369","0.117",NA,NA,NA,NA,"0.08","1.64","1.61","688.09","0.14","0.05",NA,NA,NA,"0.06","15",NA,"12.64","8",NA,"19.44","1.03","0.62","0.42",NA,NA,"1.4","0.1",NA,NA,"0.21",NA,NA,"8","19.48","0.08","0.14","0.14","7.12","3.87","8.59",NA,"1.65","60",NA,NA,"4.95",NA,"1.51","0.54","53",NA,"0.19",NA,"3.98","0.42","0.08","1.29","80","0.12","6","0.55","65.22","1.17"
"51","K55","58.22","0.84","17.5","7.62",NA,"0.12","3.4","6.59","2.99","1.72","0.13",NA,NA,"0.77",NA,NA,"5.9",NA,"730",NA,NA,NA,NA,NA,NA,NA,NA,"20","15",NA,"20",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,"58",NA,NA,"23",NA,NA,NA,"289",NA,NA,NA,NA,NA,NA,NA,"138",NA,"24",NA,"86","120"
"52","K56","58.53","0.841","17.44","7.58",NA,"0.122","3.19","6.44","3.08","1.62","0.126",NA,NA,"0.81",NA,NA,NA,NA,"737",NA,NA,NA,NA,NA,NA,"23.79",NA,"20.85",NA,NA,NA,"3.83","2.63","1.15",NA,NA,"3.97",NA,NA,NA,"0.77",NA,NA,"9.76",NA,"0.31",NA,NA,"14.68",NA,NA,NA,"3.28","53",NA,NA,"15.89",NA,"3.64",NA,"286",NA,"0.46",NA,NA,NA,"0.33",NA,"144",NA,"31","2.12","93.73","133"
"53","K57","58.49","0.801","17.18","7.402","5.05","0.12","3.244","6.794","3.009","1.667","0.121","1.262","0.06","0.795",NA,NA,NA,NA,NA,NA,NA,NA,"375.3","529.7",NA,"28.03",NA,NA,NA,NA,NA,"4.35","2.6","0.92","675",NA,"3.81",NA,NA,NA,"0.85",NA,NA,"13.02","23.3","0.35",NA,NA,"17.52",NA,NA,NA,"3.71",NA,NA,NA,NA,NA,"4.18",NA,"296.4",NA,"0.75",NA,NA,NA,"0.35",NA,NA,NA,"23.75","2.57",NA,NA
"54","K57.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728.73","1.001",NA,NA,NA,NA,"0.25",NA,NA,"18.72","13.97",NA,"29.64",NA,NA,NA,NA,"24.08",NA,"2.6","4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.96","18.87",NA,NA,"62.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.21",NA,NA,"1.3","136.83",NA,NA,NA,"88.52","120.21"
"55","K58","55","0.8294","14.5","7.38",NA,"0.1091","3.2","6.6","1.55","1.64","0.1204",NA,NA,NA,NA,NA,"2.1",NA,"837.1",NA,NA,NA,NA,NA,NA,"36.7",NA,NA,"13.5","7.4","18.1",NA,NA,NA,NA,"17.1",NA,NA,NA,NA,NA,NA,NA,"12.1",NA,NA,NA,"4.3",NA,"6.9","13.9",NA,NA,"56.3",NA,NA,NA,NA,NA,"4.5","271.3",NA,NA,NA,"5.2",NA,NA,NA,"143.5",NA,"23.5",NA,"83.6","122.9"
"56","K59","58.358","0.81","17.29","7.355",NA,"0.117","3.254","6.685","2.998","1.611","0.135",NA,NA,"0.72",NA,NA,NA,NA,"757.4",NA,NA,NA,NA,NA,NA,NA,NA,"14.5","17.3",NA,"20.7",NA,NA,NA,NA,"18.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"7.4","11.4",NA,NA,"60.2",NA,NA,"24.5",NA,NA,NA,"299.4",NA,NA,NA,"6.8",NA,NA,"2.1","144.2",NA,"26.2",NA,"83.8","133.7"
"57","K60","52.9","0.776","18.1","6.25",NA,"0.108",NA,"6.06",NA,"1.57",NA,NA,"4.77",NA,NA,NA,NA,NA,"880",NA,NA,NA,NA,NA,"2.8","30",NA,NA,NA,NA,"36.2",NA,NA,NA,NA,"16.6",NA,NA,NA,NA,NA,"1.5",NA,"8.8",NA,NA,NA,"3.1","24.1",NA,"14.2",NA,NA,"55.1",NA,NA,NA,NA,NA,NA,"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.1",NA,"79.7","116"
"58","K61","58.505","0.858","17.392","7.631",NA,"0.098","3.394","1.678","3.035","1.678","0.126",NA,NA,"0.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","K62","58.49","0.828","17.36","7.44",NA,"0.109","3.3","6.7","2.95","1.64","0.125",NA,NA,"0.853",NA,NA,NA,NA,NA,NA,NA,NA,NA,"396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","K63","58","0.84","17.24","7.55",NA,"0.12","3.35","6.63","2.96","1.61","0.12",NA,NA,"0.7",NA,NA,"2.4",NA,"695",NA,NA,NA,NA,"600",NA,"29.5",NA,"19","15","2.91","22","4.2","2.46","1.07",NA,"19.6","4.16",NA,"3.4",NA,"0.84",NA,NA,"12.7",NA,"0.34",NA,"6.2","17.1","7","14",NA,"3.91","62.5","50",NA,NA,NA,"4.11","3","311","0.4","0.68",NA,"3.86",NA,"0.35","1.21","149",NA,"22.6","2.36","102","117"
"61","K66","57.32","0.85","16.96","7.93",NA,"0.12","4.21","7.03","2.96","1.68","0.14",NA,NA,"0.7",NA,NA,NA,NA,"780","0.8",NA,NA,NA,NA,NA,"30.11",NA,"19","16","3.23","18","4.36","2.6","1.08",NA,NA,"4.26",NA,"3.68",NA,"0.94",NA,NA,"13.02",NA,"0.37","1","4","16.2","5","15",NA,"3.91","54",NA,NA,"16",NA,"4.21",NA,"291","0.54","0.7",NA,"4.1",NA,"0.38","1.28","145",NA,"22","2.52","107","133"
"62","K67","58.57","0.86","17.38","7.56","5.25","0.112","3.34","6.79","2.71","1.66","0.125",NA,NA,"0.75",NA,NA,"3.53",NA,"725","1.03","0.085",NA,NA,NA,NA,"28.6",NA,"21.8","17","2.76","25.2","4.3","2.59","1.51",NA,"21.2","4.48",NA,NA,NA,"0.872",NA,"0.063","12.2","23.2","0.344",NA,"3.8","16.5","6.95","13.9",NA,"4.04","68.3",NA,"1.3","32",NA,"4.48","2.3","331",NA,"0.771",NA,"3.69","0.379","0.353","1.2","179",NA,"25.7","2.35","99.4","121"
