"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"55","M64","45.75","1.4","19.76","13.28","*","0.161","4.54","12.36","1.84","0.171","0.037","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"56","M65","*","*","*","*","7.64","*","*","*","*","*","*","*","*","0.43","*","*","*","*","101","*","*","*","*","*","*","5.88","*","*","*","0.83","*","1.62","0.97","0.55","*","*","1.37","*","0.78","*","0.36","*","2.45","*","0.14","0.37","*","1.27","3.87","*","11.4","*","0.77","6.25","*","*","*","36.1","*","1.19","*","391","*","0.27","*","0.46","*","0.15","0.16","*","0.29","12.8","0.91","*","23.1"
"57","M66","46.557","1.412","20.341","13.418","*","0.16","4.57","12.73","19.47","0.17","0.038","*","*","0.279","*","*","*","*","78.65","*","*","*","*","*","*","5.16","*","*","5.6","0.89","92.9","1.92","1.08","0.62","*","19.7","1.64","*","0.87","*","0.41","*","*","*","0.15","*","*","0.85","3.98","14","11.22","*","0.79","4.81","*","*","*","38.99","*","*","*","399.3","0.12","0.31","*","0.54","*","0.16","0.19","577.4","*","9.88","0.97","88.4","27.97"
"58","M67","*","1.42","*","*","*","0.162","*","*","*","*","*","*","*","*","*","*","*","*","77.9","0.24","0.088","*","*","*","*","5.12","*","43.6","6.04","0.82","97.5","1.79","1.06","0.57","*","21.1","1.57","*","0.8","*","0.37","*","2.13","6.29","0.14","0.43","*","0.92","3.91","13.5","10.9","*","0.78","4.79","*","*","*","35","*","1.24","1.65","408","0.067","0.28","*","0.52","0.064","0.15","0.19","625","*","9.87","0.96","88.7","25.2"
"59","M68","44.43","1.368","19.14","13.38","*","0.156","4.49","12.69","1.85","0.17","0.03","*","0.106","*","*","*","*","*","77","*","*","*","*","*","*","*","*","40","56","*","89","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2600","*","*","*","*","*","*","*","*","*","*","*","*","*","607","*","9","*","94","20"
"60","M69","44.743","1.323","19.429","13.323","*","0.164","4.452","12.951","1.847","0.189","0.042","*","*","0.436","2.35","*","*","*","95.34","*","*","*","*","*","0.35","4.99","*","49.14","7.61","*","90.41","1.87","1.15","0.56","*","21.53","1.45","*","*","*","0.39","*","1.99","8.12","0.12","0.86","*","5.36","3.89","9.55","7.37","*","0.77","4.14","*","*","5.63","34.64","*","1.25","*","371.2","*","0.27","*","0.23","*","0.16","0.18","556.3","*","10.2","1.06","88.64","46.91"
"61","M70","45.42","1.32","19.41","12.69","*","0.149","4.44","12.73","1.83","0.17","0.037","*","*","1.62","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"62","M71","46.36","1.39","20.16","13.25","6.717","0.16","4.56","13.07","1.89","0.17","0.05","*","*","*","0.232","2.713","*","*","81.054","0.039","0.074","*","*","*","0.296","5.388","205","42.671","10.874","0.83","83.797","1.747","1.074","0.508","*","21.219","1.551","1.196","0.826","*","0.356","*","2.073","*","0.117","0.505","*","0.728","3.955","18.805","11.231","*","0.783","4.776","*","13235","1.975","42.293","*","1.056","1.996","391","*","0.259","*","0.375","*","*","0.15","594","0.328","9.855","1.036","90.071","26.759"
"63","M72","45.85","1.389","19.91","13.17","*","0.149","4.434","12.59","1.801","0.154","0.031","*","*","0.413","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"64","M73","46.11","1.37","20.1","13.06","*","0.15","4.59","12.64","1.74","0.18","0.04","*","*","0.3","*","*","*","*","83","*","*","*","*","*","*","*","*","37","34","*","52","*","*","*","*","36","*","*","*","*","*","*","*","*","*","*","*","8","*","5","9","*","*","7","*","5800","*","*","*","*","*","372","*","*","*","*","*","*","*","472","*","16","*","74","63"
"65","M74","45.72","1.454","19.72","13.42","*","0.156","4.621","12.95","1.68","0.1877","0.069","*","*","0.235","0.102","17.75","*","*","115","0.637","0.063","*","*","*","0.107","4.478","*","39.1","13.83","0.841","68.03","1.63","0.967","0.439","*","19.64","1.282","1.385","0.994","*","0.323","0.039","2.037","8.437","0.114","1.215","*","0.885","3.311","15.43","9.854","*","0.708","4.876","0.0021","*","1.206","31","0.725","1.031","2.667","354.3","0.056","0.217","0.072","0.524","0.032","0.128","0.164","630","0.217","8.465","0.801","78.69","39.1"
"66","M75","45.71","1.343","20.2","13.24","*","0.155","4.553","12.79","1.863","0.16","0.042","*","*","*","*","3.667","0.0035","*","81.07","0.277","*","*","*","*","0.127","5.45","*","40.87","6.72","0.833","87","1.757","1.037","0.544","*","20.9","1.625","*","0.841","0.01","0.381","*","1.99","6.51","0.151","*","*","0.51","4.03","13.8","10.73","*","1.137","4.8","*","1767","1.935","37.95","0.29","1.25","*","402.5","0.077","0.271","*","0.524","*","*","0.208","627.3","0.674","9.017","0.972","96.07","35.2"
"67","M76","43.5","1.28","17.1","12.1","*","0.1392","4.3","12.1","1.1","0.16","0.04","*","*","*","*","*","*","*","77.4","*","*","*","*","*","2.8","*","*","18.3","7.3","*","90.2","*","*","*","*","18.6","*","*","*","*","*","*","*","*","*","*","*","*","*","13.5","12.8","*","*","5.3","*","1492","4.1","*","*","*","4","356.4","*","*","*","1.7","*","*","*","508.5","*","10.1","*","77.9","23.4"
"68","M77","44.57","1.34","19.54","13.11","6.45","0.16","4.44","12.32","1.82","0.15","0.03","0.83","0.11","*","*","*","*","*","85","*","*","*","*","*","*","10","*","35","16","*","66","*","*","*","*","20","*","*","2","*","*","*","4","*","*","*","*","77","10","10","10","*","*","5","*","*","*","42","*","*","2","353","*","*","*","7","*","*","*","517","1","5","*","69","25"
"69","M77.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2","*","*","*","*","*","*","*","*","*","*","127","*","*","*","*","4","3","1","105","*","4","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","594","9","*","*","2","*","*","*","1","*","*","*","*","*","*","*","*","1","*","*"
"70","M79","34.04","1.34","15.44","12.7","*","0.15","3.57","12.91","1.17","0.14","0.01","*","*","*","*","14","*","*","*","*","*","*","*","*","*","*","*","64.4","12.7","*","139","*","*","*","*","*","*","*","*","*","*","*","*","17.5","*","*","*","*","*","36.4","53.1","*","*","*","*","*","*","*","*","*","*","630","*","*","*","*","*","*","*","1050","*","*","*","107","*"
"71","M80","45.49","1.41","19.74","13.38","*","0.155","4.48","12.53","1.73","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","*","*","94","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","376","*","*","*","*","*","*","*","*","*","8","*","88","25"
"72","M81","45.64","1.39","19.95","13.29","7.41","0.16","4.49","12.59","1.87","0.17","0.04","1.03","*","0.4","*","2.84","*","*","79.3","0.29","0.12","*","*","270","0.13","5.21","207.7","40.76","*","1.05","89.6","1.74","1.09","0.56","98.9","21","1.58","1.3","*","*","0.37","*","2.12","7.6","0.17","*","*","1.1","3.84","12.1","10.26","*","0.81","5.34","*","2300","1.82","36.3","*","1.21","1.9","381","*","0.28","*","0.62","*","0.16","0.21","603.1","*","9.74","0.94","83","33.35"
"73","M84","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.267","0.706","*","*","2.025","*","0.0774","*","*","*","*","5.02","*","42.31","6.003","0.817","92.21","1.677","1.001","0.438","*","*","1.476","*","0.581","*","0.348","*","2.025","*","0.134","0.389","*","0.856","3.789","12.79","10.24","*","0.751","4.892","*","*","2.031","36.21","*","1.216","1.357","399.7","0.0787","0.272","*","0.428","0.0388","0.142","0.159","612.3","0.32","8.859","0.937","88.92","14.57"
"74","M85","45.2","1.38","19.7","13.1","*","0.16","4.47","12.4","1.85","0.181","0.038","*","*","0.335","*","*","*","*","108","*","*","*","*","*","*","*","20","37.2","29.5","*","84.6","*","*","*","*","17.4","*","*","*","*","*","*","*","*","*","*","*","3.5","*","11.5","10.1","*","*","*","*","215","*","35.2","*","*","*","347","*","*","*","*","*","*","*","504","*","12.2","*","79.9","25.7"
"75","M86","45.4","1.34","20.6","13.32","*","0.168","4.5","12.33","1.67","0.16","0.06","*","*","0.52","0.125","0.1","*","*","78.4","0.77","*","*","*","*","0.16","6.97","*","39.6","19.16","*","100","0.55","1.12","0.54","*","*","1.5","*","*","*","0.35","*","4.94","8.8","0.19","*","*","*","4.36","20.5","6.3","*","1","0.33","*","*","*","40.1","0.86","1.46","*","379","*","0.235","*","*","*","0.115","*","640","*","12.86","1.16","84.4","98"
"76","M87","45.81","1.39","19.83","13.06","*","0.15","4.44","12.44","1.89","0.16","0.03","*","*","0.36","*","*","*","*","77","*","*","*","*","*","*","*","*","40","*","*","81","*","*","*","*","25","*","*","*","*","*","*","*","*","*","*","*","*","*","11","*","*","*","*","*","*","*","35","*","*","*","351","*","*","*","*","*","*","*","578","*","*","*","76","*"
"77","M88","45.68","1.28","19.81","13.04","*","0.17","4.52","12.66","1.85","0.17","0.04","*","*","0.42","*","*","*","*","79.1","0.24","*","*","*","*","*","4.91","*","39.2","9.61","0.85","89","1.71","1.03","0.55","*","20.4","1.48","1.12","0.83","*","0.36","*","2.03","6.95","0.14","*","*","0.91","3.8","13.5","11.1","*","0.76","5.09","*","*","*","35.9","*","1.21","*","402","0.064","0.26","*","0.51","*","0.15","0.2","607","*","10","0.96","83.7","29.4"
"78","M89","46.5","1.41","20.3","13.4","*","0.17","4.68","12.6","1.84","0.16","0.03","*","*","1.23","0.05","5.3","*","*","80.2","*","*","*","*","*","*","5.2","*","38.6","19","0.94","95","1.73","1.04","0.59","*","19.1","1.7","*","0.8","*","0.38","*","8.5","*","0.15","*","*","1","4.2","18","11","*","0.9","4.6","*","2380","*","*","*","1.28","2","348","*","0.29","*","0.51","*","0.15","0.2","540","*","8.6","0.95","104","30"
"79","M90","45.59","1.41","19.74","13.41","*","0.166","4.53","12.46","1.76","0.162","0.034","*","*","0.43","*","*","*","*","71.7","*","*","*","*","*","*","3.1","*","39.8","*","1.8","95","*","*","*","*","20.8","*","*","*","0.021","*","*","*","11","*","*","*","*","4","10.5","14.8","*","*","11","*","*","1.6","40","*","*","1.9","379","*","*","*","*","*","*","*","623","*","11","*","87","23"
"80","M91","45.793","1.381","19.927","13.147","*","0.157","4.635","12.604","1.913","0.185","0.04","*","*","0.21","*","*","*","*","84","*","*","*","*","*","*","*","*","39","24","*","89","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","9","13","*","*","5","*","*","*","*","*","*","*","368","*","*","*","*","*","*","*","552","*","12","*","93","15"
"81","M92","45.48","1.38","19.91","13.15","6.94","0.1617","4.55","12.5","1.9","0.17","*","0.93","*","0.51","*","2.597","*","3","66.77","*","*","*","192","214","0.131","4.311","251","39.66","8.914","0.687","86.66","1.512","0.87","0.508","56","20.18","1.307","1.021","0.733","0.0049","0.332","0.078","1.739","6.4","0.128","*","*","0.673","3.465","15.97","9.4524","*","0.698","4.771","*","2393","1.677","40.38","0.24","1.123","1.823","365","0.058","0.219","*","0.385","*","0.123","0.176","583.3","*","8.977","0.827","91.66","23.99"
"82","M93","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.12","5.13","*","*","*","0.85","*","1.74","1.07","*","*","*","1.58","1.24","*","*","0.36","*","2.1","*","0.14","*","*","0.79","*","*","*","*","0.78","4.83","*","*","2.09","*","*","1.23","1.78","*","*","0.27","*","0.5","0.18","0.45","0.18","*","0.15","9.03","0.98","*","*"
"83","M95","45.725","1.369","20.042","13.276","*","0.147","4.577","12.586","1.837","0.174","0.09","*","*","0.29","*","3","*","*","86","*","*","*","*","*","*","7","*","*","5","*","101","*","*","*","*","22","*","*","*","*","*","*","*","*","*","*","*","2","*","10","15","*","*","6","*","*","*","40","*","*","*","413","*","*","*","2","*","*","*","561","*","9","*","88","30"
"84","M96","*","1.45","19.63","12.57","*","0.14","4.73","12.47","1.69","*","*","*","0.08","*","*","3.68","*","*","80","*","0.1","*","*","*","*","5.23","*","38.7","*","0.73","55","1.77","1.07","0.56","*","*","1.54","*","1.05","*","0.37","0.06","2.27","*","0.15","1.34","*","0.85","3.72","18.6","13.64","*","0.81","4.48","*","2674.8","3.2","42.3","*","1.4","2.12","374","0.07","0.25","*","0.52","*","0.14","0.17","617","2.21","9.25","1.13","86.3","30.1"
"85","M97","45.09","1.36","19.52","12.21","*","0.16","4.42","11.62","1.69","0.12","*","*","*","0.55","0.1","2.86","*","*","80.9","0.23","*","*","*","*","0.97","4.77","*","*","6.67","*","86.8","1.63","1.09","0.52","*","*","1.53","*","*","*","0.36","*","1.95","*","0.14","*","*","*","3.62","13.3","*","*","0.74","*","*","*","2.08","*","1.74","1.19","*","*","*","0.26","*","0.61","*","0.14","0.22","695","*","*","1.02","*","*"
"86","M97.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1.6","*","*","*","*","*","*","43.2","*","*","*","*","*","*","*","20.5","*","*","*","*","*","*","*","4.2","*","*","*","*","*","*","9.7","*","*","5.2","*","*","*","36.4","*","*","*","378","4.1","*","*","*","*","*","*","*","*","7.8","*","89.3","20.8"
"87","M98","45.4","1.38","19.7","13.38","*","0.16","4.57","12.4","1.86","0.17","0.04","*","*","0.33","*","*","*","*","79.5","*","*","*","*","*","*","4.9","*","*","10","0.79","*","1.73","1.19","0.55","*","19.8","1.6","*","0.9","*","0.4","*","2.1","*","0.13","*","*","*","4","*","*","*","0.77","4.8","*","*","*","*","*","1.22","2","409","0.1","0.27","*","0.54","*","0.16","0.19","685","1","8.9","0.85","*","31"
"88","M99","33.43","1.276","12.13","11.44","*","0.12","*","18.9","*","0.255","*","*","14.9","*","*","*","*","*","63.3","*","*","*","*","*","1.8","3.5","*","*","*","3.6","91","*","*","*","*","15.5","*","*","*","*","*","*","4","*","*","*","*","*","2.2","*","12.5","*","*","*","*","1490","*","*","*","*","*","381","*","*","*","*","*","*","*","787","*","9.4","*","88.6","30.8"
"89","M100","44.363","1.295","20.064","12.749","*","0.169","4.975","12.246","1.824","0.178","0.044","*","*","0.2","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"90","M101","45.46","1.37","19.66","13.26","6.1","0.16","4.54","12.54","1.87","0.16","0.04","*","0.12","0.7","*","*","*","*","84","*","*","*","*","*","*","*","*","36","23","*","103","*","*","*","*","16","*","*","*","*","*","*","*","*","*","*","*","*","*","19","12","*","*","5","*","3000","*","43","*","*","*","388","*","*","*","*","*","*","*","608","*","9","*","88","36"
"91","M102","*","1.418","20.218","13.253","*","0.1627","4.344","12.733","1.874","*","*","*","*","*","*","2.32","*","*","*","*","*","*","*","*","*","3.94","223","39.41","*","0.83","*","1.98","*","0.549","*","19.6","*","*","0.913","*","*","*","1.98","*","0.165","*","*","*","*","*","*","*","*","*","*","*","1.6","38.75","*","1.166","*","510","*","*","*","0.45","*","*","*","642","*","*","0.862","*","*"
"92","M102.1","*","*","*","*","*","*","*","*","*","0.157","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6.2","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"93","M103","45.15","1.351","19.81","13.16","6.644","0.1516","4.723","12.503","1.941","0.19","0.0435","0.976","0.05","0.46","*","*","*","*","*","*","*","*","379","515","*","5.35","*","*","*","*","*","1.7","1.04","0.455","250","*","1.45","*","*","0.008","0.38","*","2","*","0.16","*","*","*","3.9","*","*","*","0.765","*","*","2476","*","*","*","1.23","*","*","*","0.27","*","*","*","0.15","*","*","*","9.05","1.02","*","*"
"94","M103.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.25","*","*","34.02","5.9","*","77.95","*","*","*","*","22.91","*","6.6","*","*","*","*","*","*","*","*","*","*","*","13.46","12.81","*","*","4.95","*","*","*","*","*","*","*","404.53","*","*","*","*","*","*","0.4","402.11","*","*","*","113.23","18.96"
"95","M104","*","1.45","*","13","*","0.16","*","*","*","*","0.038","*","*","*","0.12","2.32","*","*","80.9","0.2","*","*","*","*","0.15","5.03","*","40.8","5.31","0.88","91.8","1.65","1.01","0.54","*","20.6","1.48","*","0.77","*","0.35","*","2","5.98","0.15","0.37","*","1.1","3.88","9.41","11","*","0.76","4.88","*","*","*","40.2","*","1.17","*","391","0.33","0.26","*","0.47","0.02","1.05","0.21","604","*","9.02","0.97","80.3","26.6"
"96","M105","46.14","1.4","19.45","13.31","6.36","0.16","4.67","12.56","1.87","0.18","0.04","*","*","0.41","*","7.1","*","*","86.8","0.29","0.074","*","*","567","0.12","5.23","*","38.9","1.07","0.88","95.4","1.71","1.04","0.59","*","21.3","1.48","1.02","0.2","*","0.37","0.05","2.13","2.97","0.15","1.17","*","1.12","3.91","26.8","10.82","*","0.8","5.08","*","2310","1.32","*","0.41","1.24","1.75","415","3.05","0.28","*","0.53","0.006","0.15","0.24","600","0.22","10.1","0.99","83.5","31.1"
"97","M106","*","1.326","*","*","*","0.15","*","*","*","*","*","*","*","*","*","*","*","*","80.65","*","*","*","*","*","*","4.95","*","39.84","5.13","0.825","89.31","1.708","1.014","0.531","*","20.2","1.462","*","0.97","*","0.366","*","2.084","*","0.139","*","*","1.047","3.9","14.75","11.33","*","0.787","4.81","*","*","*","38.79","*","1.199","*","383.74","0.079","0.261","*","0.504","*","0.151","0.169","590.65","*","9.76","0.944","82.56","36.98"
"98","M107","45.44","1.398","19.76","13.29","*","0.157","4.57","12.48","1.86","0.18","0.039","*","*","0.32","*","*","*","*","112","*","*","*","*","*","*","*","*","39","3","*","83","*","*","*","*","20","*","*","*","*","*","*","5","*","*","*","*","*","9","11","12","*","*","6","*","*","*","43","*","*","*","400","*","*","*","*","*","*","*","625","*","9","2","91","29"
"99","M108","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","5.02","*","39","*","*","*","1.58","0.98","0.51","*","19.4","1.49","*","*","*","0.35","*","2.07","6.82","0.14","*","*","*","3.65","*","*","*","0.75","*","*","*","*","*","*","1.18","*","*","*","0.26","*","*","*","0.14","*","*","*","*","*","*","*"
"100","M108.1","45.5","1.37","20","13.06","*","0.16","4.38","12.7","1.9","0.17","0.04","0.4","0.21","0.5","*","*","*","*","84","0.24","*","*","*","*","*","*","*","*","*","0.81","88","*","*","*","*","*","*","*","1.21","0.011","*","*","*","*","*","*","*","1.05","*","16.2","10.6","*","*","4.8","*","*","*","39.8","*","*","*","377","*","*","*","0.52","0.074","*","0.22","590","*","8.85","0.91","104","39"
"101","M109","46.95","1.35","20.3","11.9","*","0.14","4.66","12.18","1.97","0.153","0.038","*","*","0.48","*","*","*","*","78.02","*","*","*","*","*","*","5.24","289","36.42","*","*","89.41","1.84","1.12","0.58","*","*","1.59","*","2.16","*","0.37","*","2.19","10.64","0.14","*","*","0.85","3.95","11.28","*","*","0.77","4.59","*","2437","*","39.26","*","1.22","*","392","*","0.27","*","0.51","*","0.14","0.17","590","*","9.34","0.99","83.45","30.77"
"102","M110","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","75.9","*","*","*","*","*","*","3.3","*","41.9","5.8","0.7","*","1.48","0.92","0.49","*","*","1.24","*","0.75","*","0.36","*","*","*","0.16","*","*","1.3","2.9","13.2","*","*","0.6","4.4","*","*","*","*","*","1.18","*","414","0.44","0.22","*","0.43","*","0.13","0.19","590","*","8.1","0.87","*","23.2"
"103","M112","45.9","1.35","20.1","13.35","*","0.15","4.47","12.6","1.84","0.16","0.04","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"104","M114","*","1.38","*","*","*","0.16","*","*","*","*","*","*","*","*","*","*","*","*","78.1","0.23","*","*","*","*","*","4.88","*","40.4","*","0.82","88.7","1.71","1.03","0.54","*","20.6","1.39","*","0.87","*","0.36","*","2.08","6.42","0.15","*","*","*","3.85","13.8","11.7","*","0.77","4.63","*","*","*","37","*","1.24","*","385","*","0.27","*","0.52","*","0.15","0.18","607","*","9.7","0.96","87.3","*"
