"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"15","M14","45.6","1.38","19.94","13.44","*","0.16","4.47","12.39","1.86","0.17","*","*","*","0.37","*","*","*","*","95","*","*","*","*","*","*","*","*","40","44","*","99","*","*","*","*","19","*","*","*","*","*","*","*","*","*","*","*","*","*","12","13","*","*","5","*","*","*","41","*","*","*","383","*","*","*","*","*","*","*","565","*","10","*","90","27"
"16","M16","48.51","1.4","20.16","13.48","*","0.148","4.57","12.94","1.79","0.061","*","0.26","*","*","*","2.25","*","*","78","*","*","*","*","*","0.14","4.43","*","36.3","4.9","0.79","*","1.67","1.01","0.53","*","17.73","1.52","0.96","0.68","*","0.35","*","1.865","*","0.14","0.4","*","*","3.69","11.4","13.5","*","0.732","4.37","*","*","*","36.6","*","1.17","*","361","*","0.25","*","0.43","0.03","0.15","0.18","486","*","*","0.97","81.9","*"
"17","M17","45.5","1.38","20.04","13.14","*","0.16","4.66","12.56","1.8","0.17","*","*","*","0.26","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","600","*","*","*","*","*"
"18","M22","45.841","1.3497","20.137","12.922","*","0.1529","4.483","12.266","1.882","0.176","0.0454","*","*","0.37","*","*","*","*","77.19","0.208","0.066","*","*","*","0.101","5.134","*","39.02","7.117","0.822","89.21","1.624","1.005","0.545","*","19.5","1.379","*","0.765","*","0.338","*","2.051","6.56","0.152","0.356","*","1.384","3.947","13.11","10.77","*","0.726","7.1","*","*","1.685","37.32","*","1.185","1.475","382.2","0.13","0.252","*","0.583","*","0.142","0.199","601.8","0.208","10.15","0.995","86.1","25.24"
"19","M23","46.1","1.19","10.18","14.33","*","0.03","1.25","12.4","1.77","0.23","0.13","*","*","*","2.3","5.99","*","*","*","*","*","*","*","*","*","41.82","*","33.7","200","9.34","108.9","*","*","*","*","14.46","*","*","*","*","*","*","27.37","*","*","*","*","*","*","19.7","14.25","*","*","12.45","*","*","*","*","*","*","*","396.65","0.94","*","*","*","*","*","*","11.78","*","22.45","*","35.69","62.62"
"20","M25","45.28","1.38","19.7","13.15","6.94","0.158","4.45","12.61","1.82","0.17","0.04","*","*","0.47","*","*","*","*","107","*","*","*","*","*","*","*","*","32","19","*","89","*","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","*","20","11","*","*","*","*","*","*","*","*","*","*","408","*","*","*","*","*","*","*","593","*","10","*","89","16"
"21","M26","45.99","1.387","20.32","13.14","*","0.152","4.46","12.17","1.71","0.15","0.031","*","*","0.45","*","*","*","*","124","*","0.3","*","*","*","0.17","7.67","*","36","*","0.86","112","2.82","1.18","0.86","*","22.11","1.67","*","*","*","0.36","*","2.36","*","0.13","*","*","*","4.4","*","11","*","0.85","4.98","*","*","*","*","*","1.27","*","370","*","0.28","*","1.13","*","0.15","*","614","*","9.53","1.03","92","21"
"22","M27","45.67","1.386","19.76","13.137","*","0.157","4.45","12.221","1.92","0.169","0.03","*","*","0.31","*","*","*","*","116","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2290","*","*","*","*","*","390","*","*","*","*","*","*","*","630","*","*","*","*","*"
"23","M29","45.97","1.36","19.97","13.15","*","0.15","4.43","12.48","1.78","0.24","0.045","*","*","0.47","*","*","*","*","155.1","0.4","*","*","*","*","*","6.6","*","42.18","5.9","1.1","85.2","1.7","1.1","0.6","*","19.6","1.3","*","0.9","*","*","*","2.8","*","0.15","0.4","*","3.4","4.6","13.5","10.3","10.3","0.9","8.3","*","*","*","37.1","*","1.3","1.5","393.8","0.1","*","*","0.75","0.06","*","0.25","638.2","0.42","10.1","1.1","96.6","29.8"
"24","M30","*","0.076","15.78","3.788","*","0.014","0.285","7.347","1.361","0.061","0.03","*","*","*","0.09","1.93","*","1.82","53.42","0.16","0.07","*","*","*","0.07","2","*","21.43","2","*","89.07","0.21","0.12","0.29","*","*","0.28","0.02","*","*","0.04","*","1","5.98","0.02","0.03","*","0.03","1.05","9.3","0.5","*","0.24","3","*","*","*","2.98","*","0.25","0.13","324","*","0.04","*","0.4","0.04","0.02","0.08","189","0.04","1","0.1","34.96","0.53"
"25","M31","45.595","1.416","19.315","13.32","*","*","*","*","1.88","0.17","0.055","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"26","M32","*","*","*","*","*","0.149","4.656","12.126","*","*","*","*","*","0.5","0.23","2","*","4.8","110","0.21","0.068","*","*","*","*","4.93","*","38","29","0.78","86","1.78","1.09","0.55","100","20","1.63","1.25","1.27","0.37","0.36","*","1.96","*","0.15","1.8","*","1.01","3.96","18","12","*","0.72","3","*","*","1.81","46","*","1.25","4","391","0.08","0.27","*","0.5","0.02","0.15","0.24","580","0.5","8.2","1","88","31"
"27","M32.1","45.81657","1.381854","20.0122","13.14597","*","0.159633","4.573532","12.57642","1.799905","0.16725","0.032882","*","*","0.37967","*","*","*","*","81.80216","*","*","*","*","*","*","*","*","41.37776","9.576377","*","98.8394","*","*","*","*","21.0449","*","*","*","*","*","*","*","*","*","0.507188","*","0.87456","*","10.73244","9.7","*","*","4.569422","*","*","*","43.43514","*","*","1.15","401.6432","*","*","*","*","*","*","*","646.5739","*","9.552836","*","93.78769","30.20804"
"28","M33","45.36","1.41","19.35","13.45","*","0.132","4.65","12.92","2.01","0.19","0.01","*","*","0.36","1.1","3.6","*","*","92.2","*","0.3","*","*","1140","7.2","*","*","55.3","*","0.8","90.3","*","*","*","*","19.8","*","*","0.2","0.02","*","*","9.1","*","*","0.8","*","0.6","4.6","9.4","9.2","*","*","5.7","*","1770","2.1","35.3","0.1","0.3","1.6","375.1","*","*","1.6","1","*","*","1.8","442.4","1","9.4","*","86.4","20.9"
"29","M34","45.997","1.39","19.89","13.33","*","0.16","4.51","12.41","1.88","0.17","0.044","*","*","0.21","*","2","0.002","*","81","*","0.09","*","*","0.03","0.15","6.2","*","40.5","4","0.9","91","1.6","1.1","0.6","*","20.2","1.3","0.5","0.9","*","0.3","0.07","2.6","6.8","0.1","0.4","*","1.1","4.2","11.5","11","*","0.9","4.9","*","2494","1.8","37","*","1.2","1.6","413","0.06","0.3","*","0.5","0.04","0.2","0.17","577","0.2","9.2","1","86","29"
"30","M35","*","1.244","*","12.162","*","0.085","*","*","*","*","*","*","*","*","*","*","*","*","77.75","*","0.105","*","*","*","*","5.14","*","14.9","*","0.821","94.2","1.793","1.084","0.568","*","18.7","1.545","*","2.382","*","0.357","*","2.15","*","0.148","0.492","*","0.966","4.038","13.6","10.7","*","0.794","9.3","*","*","*","38.3","*","1.208","*","378.1","0.062","0.272","*","0.584","0.042","0.155","0.18","421","*","8.9","0.93","82.7","16.3"
"31","M36","*","*","*","*","*","*","*","*","*","*","*","*","0.9501","*","*","*","*","*","*","*","*","*","*","2593","*","5.065","*","*","*","*","*","1.725","1.048","0.532","*","*","1.347","*","*","1.596","0.346","*","2.096","*","0.149","*","*","*","3.996","*","*","*","0.806","*","*","541","*","*","*","1.222","*","*","*","0.276","*","0.649","*","0.158","*","*","*","9.824","0.961","*","*"
"32","M37","*","*","11.49","2.404","*","0.141","0.405","0.792","2.309","4.499","*","*","*","*","*","*","*","*","66.342","0.23","0.092","*","*","*","0.191","*","*","40.577","*","*","104.356","*","*","*","*","21.642","*","*","*","*","*","*","*","9.695","*","*","*","*","*","15.294","10.576","*","*","4.966","*","*","*","*","*","*","*","443.433","*","*","*","*","0.034","*","0.155","728.367","*","*","*","*","*"
"33","M37.1","45.35","1.37","19.81","13.24","6.94","0.162","4.55","12.265","1.83","0.18","0.034","0.84","0.069","0.38","*","*","*","*","80.4","0.29","0.12","*","*","*","0.118","4.93","*","41.84","8","0.843","94.7","1.772","1.052","0.56","*","20.64","1.551","*","0.76","*","0.3698","0.0535","2.05","7.1","0.1404","0.46","*","0.861","4","13.8","10.5","*","0.783","6.36","*","*","1.89","39.7","*","1.239","1.7","405.1","0.06","0.2634","*","0.483","0.038","0.1499","0.184","608.2","0.21","9.98","0.965","85","24"
"34","M38","45.28","1.33","19.44","13.21","*","0.16","4.46","12.56","1.79","0.18","0.04","*","*","0.59","*","*","*","*","87","*","*","5","*","*","*","16","156","43","24","*","87","*","*","*","*","18","3","2","*","*","*","*","7","*","*","*","*","*","8","19","11","*","*","9","*","1268","*","41","*","*","*","380","*","*","*","*","*","*","*","600","*","9","*","87","29"
"35","M41","47.98","1.36","19.26","11.86","*","0.154","4.74","11.63","1.92","0.16","0.046","*","*","0.41","*","*","*","*","79","0.22","0.08","*","*","*","0.118","5.33","165","40.8","22","0.87","94.3","1.85","1.15","0.59","355","20.4","1.67","*","0.68","*","0.39","*","2.19","6.6","0.16","0.4","*","0.9","4.05","11.5","11.3","*","0.81","4.37","*","2252","1.79","40.9","*","1.28","1.6","382","0.098","0.29","*","0.61","0.043","0.16","0.18","624","0.21","9.66","1.04","*","14"
"36","M43","45.53","1.383","19.778","13.411","*","0.1628","4.572","12.541","1.881","0.1812","0.0366","*","*","0.3158","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"37","M45","*","1.375","19.84","12.766","*","0.156","4.555","12.439","2.145","0.142","0.03","*","*","*","*","3.077","*","*","81.98","0.185","0.082","*","*","*","0.078","4.958","*","40.12","5.793","0.559","90.03","1.803","1.042","0.549","*","19.08","1.571","*","0.796","*","0.354","*","2.19","6.5","0.145","0.3","*","0.734","3.934","11.98","11.11","*","0.81","4.992","*","*","1.899","*","*","1.3","1.678","391.4","0.113","0.257","*","0.511","0.058","0.155","0.173","577.3","0.208","9.565","0.993","88.09","21.53"
"38","M46","46.194","1.412","20.148","13.295","*","0.162","4.572","12.273","1.829","*","*","1.55","*","0.42","*","*","*","*","71.5","*","*","*","698","4060","*","4.54","*","41.16","*","*","91.3","1.63","0.94","0.52","*","20.97","1.23","*","0.67","*","0.35","*","*","*","*","*","1062","*","3.46","16.3","9.25","*","*","4.38","*","3301","*","38","*","1.11","1.41","384","*","*","*","*","*","*","*","581.4","*","10.2","0.91","93.9","23.98"
"39","M47","46.83","1.41","18.82","13.13","*","0.15","4.46","12.92","1.92","0.18","0.05","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"40","M48","41.9","1.51","20.27","15.76","*","0.18","4.24","13.41","1.9","0.18","0.04","*","*","0.63","*","0.5","*","*","85.23","0.22","*","*","*","*","*","5.12","*","37.61","8.21","0.73","97.24","1.53","0.86","0.6","*","20.38","1.53","1.18","1.16","*","0.29","*","2.07","6.42","0.17","*","*","1.74","4.25","14.05","9.83","*","0.85","4.5","*","*","1.53","41.93","*","1.36","2.23","330.9","0.31","0.23","*","0.65","*","0.17","0.21","610.07","*","8.81","1.05","98.23","31.04"
"41","M49","45.6","1.38","21.2","13.3","*","0.16","4.58","12.6","1.49","0.15","0.04","*","*","0.28","*","*","*","*","150","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","370","*","*","*","*","*","*","*","*","*","*","*","*","40"
"42","M50","45.9","1.4","19.8","13.3","*","*","4.59","12.6","1.81","*","*","*","*","0.36","*","*","*","*","*","*","*","*","*","*","*","*","*","*","32.1","*","87.3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","382","*","*","*","*","*","*","*","*","*","*","*","93.9","*"
