"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","W01","51.42","2.04","14.33","9.67",NA,"0.13","6.28","5.35","4.3","3.77","0.81",NA,NA,"0.37",NA,NA,NA,NA,NA,"732",NA,NA,NA,NA,"101","269","29","224",NA,"40",NA,NA,NA,"473","21",NA,NA,"6",NA,NA,NA,NA,NA,"56",NA,NA,"5",NA,"48","42","151",NA,"10",NA,NA,NA,"61",NA,NA,NA,"40",NA,"10",NA,"9","3","858","2",NA,NA,"8",NA,NA,"3","96",NA,"19","1","108","282"
"2","W02","51.72","2.08","14.53","9.94",NA,"0.14","6.41","5.57","4.39","3.94","0.86",NA,NA,"0.49",NA,NA,"1.8",NA,NA,"745","2.75",NA,NA,"0.36","98.4",NA,"35.4","238","1.12","31.8","4.46","1.77","2.66",NA,"23.3","6.79","1.28","6.6",NA,"0.737",NA,"0.07",NA,"55.2",NA,"0.192","5.25",NA,"47.8","45.4","165",NA,"8.5",NA,"11.8",NA,"62.1",NA,NA,NA,NA,"0.29",NA,NA,"8.53","2.41","915","3.35","0.912",NA,"6.66",NA,"0.222","1.67","105","1.18","20.6","1.35","125","292"
"3","W03","47.2","1.92","13.6","9.11",NA,"0.117","5.11","5.87","4.22","3.71","0.772",NA,NA,NA,NA,NA,"1.32",NA,NA,"723","2.73","0.024",NA,"0.18","95.1",NA,"40","230","1.1","36","3.91","1.62","2.4",NA,"24.4","7.23","1.15","5.04",NA,"0.676",NA,NA,NA,"51.2","11.4","0.154","6.01",NA,"56.9","41.2","162",NA,"3.12",NA,"10.7",NA,"63.7",NA,NA,NA,"554",NA,"9.53",NA,"7.72","1.96","859","3.42","0.866",NA,"5.43","0.086",NA,"1.26","105","1.99","22.2","1.08","92.8","296"
"4","W04","51.9","2.03","14.55","9.78",NA,"0.125","6.33","5.48","4.45","4.01","0.86",NA,NA,"0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","W05","52.07","2.12","14.56","9.79",NA,"0.13","6.37","5.49","4.32","4.09","0.86",NA,"0.18","0.1",NA,NA,NA,NA,NA,"642",NA,NA,NA,NA,NA,NA,"32","152",NA,NA,NA,NA,NA,NA,"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,"80",NA
"6","W06","46.2","1.86","7.45","8.84",NA,"0.126",NA,"4.97",NA,"4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"822",NA,NA,NA,"3","107",NA,NA,"288",NA,"96",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,"54",NA,NA,"2",NA,"44","44","144",NA,"18",NA,"9",NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"871",NA,NA,"1","4",NA,NA,"3","340",NA,"17",NA,"110","267"
"7","W07","51.84","2.12","14.54","9.82","6.07","0.126","6.38","5.49","4.43","4.08","0.85","0.13",NA,"0.13",NA,NA,NA,NA,NA,"689",NA,"3.7",NA,"0.1","92",NA,"35","213",NA,"34",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,"59",NA,NA,NA,NA,"39","29","176",NA,"10",NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"906","2",NA,NA,"7","2",NA,NA,"107","2",NA,"18","117","267"
"8","W08","51.69","2.08","14.51","9.87",NA,"0.138","6.35","5.475","4.24","3.945","0.846",NA,NA,"0.3",NA,NA,NA,NA,NA,"791",NA,NA,NA,NA,"98",NA,"37","238","9","37",NA,NA,NA,NA,"22",NA,NA,NA,"0.0032",NA,NA,NA,NA,"56",NA,NA,NA,NA,"50","49","172",NA,"6",NA,NA,NA,"63",NA,NA,NA,NA,NA,"11",NA,NA,NA,"911",NA,NA,NA,"14",NA,NA,NA,"98",NA,"22",NA,"112","290"
"9","W09","51.97","2.133","14.73","9.861",NA,"0.1315","6.382","5.437","4.388","4.006","0.8521",NA,NA,"0.308",NA,NA,NA,NA,NA,"772",NA,NA,NA,NA,"116",NA,"35.6","202.6",NA,"26.3",NA,NA,NA,NA,"21.3",NA,NA,"6",NA,NA,NA,NA,NA,"54.2",NA,NA,"4.2",NA,"49.3","53.7","150.3",NA,"14.3",NA,NA,NA,"65",NA,NA,NA,"118",NA,"7.8",NA,NA,NA,"882",NA,NA,NA,"7.9",NA,NA,"2.26","102.1",NA,"20.52",NA,"110.2","290.6"
"10","W10","51.74","2.105","14.44","9.78",NA,"0.142","6.22","5.37","4.53","4.05","0.857",NA,NA,"0.347",NA,NA,NA,NA,NA,"636",NA,NA,NA,NA,NA,NA,"35","187",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161",NA,"11",NA,NA,NA,NA,NA,NA,NA,"281",NA,NA,NA,NA,NA,"879",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"104",NA
