"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","D01","51.22","2.435","13.78","13.24",NA,"0.171","5.65","9.06","2.46","1","0.303",NA,NA,"0.67",NA,NA,NA,NA,NA,"367",NA,NA,NA,NA,NA,NA,NA,"99",NA,"62",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.4",NA,"54",NA,NA,NA,NA,NA,"26.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"413.6",NA,NA,NA,NA,NA,NA,NA,"341",NA,"33.7",NA,"113","203"
"2","D101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"309",NA,"28",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","D02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"331",NA,NA,NA,NA,"58.4",NA,NA,NA,"0.44",NA,"5.98","3.06","2.15",NA,NA,"7.14",NA,"5.44",NA,"1.13",NA,NA,NA,"26.07",NA,"0.368",NA,NA,NA,"31.6",NA,NA,"11.08",NA,"7.873",NA,"25.1",NA,NA,NA,NA,NA,NA,NA,"8.144",NA,"409",NA,"1.064",NA,"3.03",NA,"0.4083","0.618",NA,NA,"29.5","2.476",NA,"210"
"4","D03","51.63","2.4","14.41","13.01","8.37","0.16","5.62","8.43","2.46","0.99","0.37",NA,NA,"0.89",NA,NA,NA,NA,NA,"343","1.23",NA,NA,NA,"61",NA,"46","99","0.5",NA,"6.4","3.13","2.24",NA,NA,"7.2",NA,"5.2",NA,"1.2",NA,NA,NA,"27.4",NA,"0.35","3.63",NA,"17.3","33.9","56",NA,"8.8",NA,"8.03",NA,"25.6",NA,NA,NA,NA,NA,"27",NA,"9",NA,"413","1.12","1.12",NA,"2.93",NA,"0.45","0.59","355",NA,"33.1","2.5",NA,"198"
"5","D103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18",NA,NA,NA,NA,NA,NA,NA,NA
"6","D04","49.81","2.46","14.04","13.37",NA,"0.17","5.52","9.02","2.51","1.08","0.31",NA,NA,"0.58",NA,NA,NA,NA,NA,"342",NA,NA,NA,NA,"56",NA,"46","92",NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"696",NA,"28",NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,NA,"338",NA,"32",NA,"108",NA
"7","D05","52","2.42","13.9","13.3",NA,"0.19","5.64","8.76","2.51","1.01","0.32",NA,NA,"0.68",NA,NA,"1.41",NA,NA,"368",NA,NA,NA,NA,NA,NA,"41","109",NA,"64.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.48",NA,NA,NA,"52.2",NA,"13.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.59",NA,"16.1","376",NA,NA,NA,"4",NA,NA,"0.42","395",NA,NA,NA,"145",NA
"8","D06","51.14","2.418","13.88","13.327",NA,"0.1791","5.605","8.994","2.49","0.996","0.298",NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,NA,NA,"41","99",NA,NA,NA,NA,NA,NA,"23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"49",NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"414",NA,NA,NA,NA,NA,NA,NA,"343",NA,"33",NA,"120","197"
"9","D106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,"34",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","D07","51.575","2.414","13.9","13.537","8.37","0.175","5.463","9.197","2.042","0.999","0.293",NA,NA,"0.436",NA,NA,NA,NA,NA,"230",NA,NA,NA,NA,"77",NA,NA,"91",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,"3",NA,"15","39",NA,NA,"14",NA,NA,NA,"26",NA,NA,NA,NA,NA,"28",NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,"3","361",NA,"32",NA,"109","195"
