"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","D08","51.213","2.427","13.758","13.409",NA,"0.173","5.57","9.046","2.512","1.015","0.309",NA,NA,"0.442",NA,NA,NA,NA,NA,"341.6",NA,NA,NA,NA,"57.4",NA,NA,"100.9",NA,"63.6",NA,NA,NA,NA,"24.2",NA,NA,NA,NA,NA,NA,NA,NA,"25.8",NA,NA,NA,NA,"17.2",NA,"55.9",NA,"11.5",NA,NA,NA,"27.5",NA,NA,NA,NA,NA,"32.4",NA,NA,NA,"419.9",NA,NA,NA,"2.7",NA,NA,NA,"367.6",NA,"33.9",NA,"112.6","205.5"
"12","D09","51.09","2.49","13.82","13.43",NA,"0.173","5.54","8.9","2.48","0.98","0.296",NA,"0.068","0.62",NA,NA,NA,NA,NA,"342",NA,"10",NA,NA,"69",NA,"44","34","6","56",NA,NA,NA,"580","23",NA,"1.2","5.1","0.4",NA,NA,NA,NA,"41",NA,NA,"3",NA,"21","34","60",NA,"14",NA,"8",NA,"29",NA,NA,NA,"280",NA,"25","3","6","19","427",NA,NA,NA,"3.6",NA,NA,NA,"344",NA,"35",NA,"114","223"
"13","D10","50.4","2.49","13.26","13.03",NA,"0.176","5.36","8.8","2.02","1.06",NA,NA,NA,"0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"34",NA,"13",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"406",NA,NA,NA,"3",NA,NA,NA,NA,NA,"26",NA,"105","204"
"14","D111",NA,"2.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.4",NA,"43.6","96.6",NA,NA,NA,NA,"2.25",NA,NA,NA,NA,"5.19",NA,NA,NA,NA,NA,"27.8",NA,"0.371",NA,NA,NA,"29.4",NA,NA,NA,NA,NA,NA,"35.6",NA,NA,NA,NA,NA,"28.9",NA,"9.22",NA,NA,"1.28","1.02",NA,"3.04",NA,NA,NA,"351",NA,NA,"2.39",NA,NA
"15","D11",NA,NA,"14.34","13.78",NA,"0.17","5.21","8.63","2.56","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","D12",NA,NA,NA,NA,NA,"0.17",NA,NA,"2.49",NA,NA,NA,NA,NA,NA,NA,"0.95","0.002",NA,"334",NA,NA,"0.4",NA,"59.4",NA,"44.1","90","0.45",NA,"5",NA,"2.25",NA,NA,NA,NA,"5.1",NA,NA,NA,NA,NA,"25.9",NA,"0.39","3.2",NA,NA,"33","56",NA,NA,NA,NA,NA,"25.5",NA,NA,NA,NA,"0.085","29.1",NA,"8.5",NA,NA,"1.18","0.96",NA,"2.95",NA,NA,"0.63",NA,"0.7",NA,"2.35","100","195"
"17","D13","51.21","2.47","13.93","13.1","8.72","0.18","5.63","8.95","2.57","1.01","0.31",NA,NA,"0.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","D113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"384",NA,NA,NA,NA,NA,NA,NA,"338",NA,NA,NA,"153",NA
"19","D14","49.41","2.26","13.8","12.94",NA,"0.16","5.51","9.39","1.67","0.98","0.41",NA,NA,"2.38",NA,NA,"24",NA,NA,"355","1","19",NA,"0.7",NA,NA,"55","61",NA,"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"64",NA,"32",NA,"65",NA,NA,NA,NA,NA,NA,NA,"3000",NA,NA,NA,NA,NA,"358",NA,NA,NA,NA,NA,NA,NA,"308",NA,"18",NA,"110",NA
"20","D15","51.17","2.443","13.644","13.099",NA,"0.17","5.463","8.78","2.481","1.007","0.305",NA,"2.246",NA,NA,NA,NA,NA,NA,"321.1",NA,NA,NA,NA,NA,NA,"60.29","174.3",NA,"46.22",NA,NA,NA,"480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5710",NA,NA,NA,NA,NA,"377.9",NA,NA,NA,NA,NA,NA,NA,"330.9",NA,NA,NA,"111.6","229.5"
"21","D16","50.8","2.41","13.76","13.11",NA,"0.15","5.46","8.94","2.52","1.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","D116",NA,NA,NA,NA,"8.5",NA,NA,NA,NA,NA,"0.31",NA,NA,"1.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","D17","56.86","2.09","12.86","9.93",NA,"0.12",NA,NA,NA,NA,"0.31",NA,NA,NA,NA,NA,NA,NA,NA,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,"284",NA,NA,NA,NA,NA,"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180"
"24","D18","51.23","2.5","13.81","13.38",NA,"0.18","5.768","9.235","2.49","0.993","0.31",NA,NA,"0.675",NA,NA,"0.662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.8",NA,NA,"62.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.2",NA,"48.8",NA,NA,NA,NA,NA,"29.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"459.6",NA,NA,NA,NA,NA,NA,NA,"353.7",NA,"34.8",NA,"119.1","212.2"
"25","D118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"357.9",NA,NA,NA,NA,NA,NA,NA,"102.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","D19","50.93","2.472","13.75","13.3",NA,NA,NA,"8.988","2.38","0.972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","D119",NA,NA,NA,NA,NA,"0.164","5.535",NA,NA,NA,"0.282",NA,NA,"1.1",NA,"0.15","3.2","0.008","5.35","380","1.25",NA,NA,"0.104","66",NA,"43.7","140",NA,"63.5",NA,NA,NA,NA,NA,NA,"1.2",NA,NA,NA,NA,NA,NA,"24",NA,NA,"3.35",NA,"16","34","58",NA,"11.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"340","0.8","30","2.9","117.8","193"
"28","D20","51.4","2.18","13.92","13.13",NA,"0.17","5.59","8.98","2.58","1.01","0.29",NA,NA,"0.47",NA,NA,NA,NA,NA,"355",NA,NA,NA,NA,"56",NA,"51","91",NA,"74",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,"17","32","54",NA,"15",NA,NA,NA,"26",NA,NA,NA,NA,NA,"29",NA,NA,NA,"393",NA,NA,NA,"3",NA,NA,"1","344",NA,"31",NA,"107","193"
"29","D21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334",NA,NA,NA,NA,"58",NA,NA,NA,NA,NA,"5.8","2.9","2.2",NA,NA,"7.1",NA,"5.2",NA,"1.2",NA,NA,NA,"26",NA,"0.36",NA,NA,"16.6","33",NA,NA,"14.1",NA,"7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3",NA,NA,"1.16",NA,NA,"3",NA,NA,"0.61","339","1.01","34","2.5",NA,"214"
"30","D22","52.2","2.54","13.7","13.2",NA,"0.18","5.76","9.15","2.57","1.25","0.28",NA,NA,"1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","D23","49.64","2.47","13.79","13.3",NA,"0.16","5.55","9.69","2.65","1.02","0.27",NA,NA,"0.9",NA,"3.03",NA,"0.07",NA,"426","1.18","0.05",NA,"0.32","64.9",NA,"48.5","89.4","0.45","62.7","6.92","3.46","2.42",NA,"24.2","7.97",NA,"6.05",NA,"1.3",NA,NA,NA,"28.4","15.8","0.41","3.54",NA,"18","34.7","52.2",NA,"16.4",NA,"8.18","0.05","24.9",NA,NA,NA,"207","0.12","19.4","4.09","9.67","19.9","409","1.78","1.2",NA,"3.71","0.19","0.46","0.5","313","6.27","39.4","2.96","120","210"
"32","D24","51.1","2.48","13.7","13",NA,"0.17","5.89","9","2.5","1","0.29","0.81",NA,"0.53",NA,NA,NA,NA,NA,"326",NA,NA,NA,NA,"57.5",NA,"45","90","0.2","62","5.8","2.8","2.2",NA,NA,"6.4",NA,"5",NA,"1.19",NA,NA,NA,"26.5",NA,"0.35","2",NA,"15","32.3","52",NA,"13",NA,"7.55",NA,"25",NA,NA,NA,NA,"0.1","28",NA,"8.4","15","393","1.1","1.07",NA,"3",NA,"0.44","0.6","340","1.5","29.5","2.4","120","196"
"33","D25","51.25","2.46","13.79","13.6",NA,"0.17","5.65","9.38","2.54","1.06","0.3",NA,NA,"0.48",NA,NA,NA,NA,NA,"359.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.3",NA,"48.5",NA,NA,NA,NA,NA,"21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"380.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.8",NA,NA,"199.05"
"34","D26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334",NA,NA,NA,NA,"65.9",NA,NA,NA,NA,NA,"6.24","3.15","2.12",NA,NA,"5.27",NA,"2.18",NA,"1.16",NA,NA,NA,"29.5",NA,"0.54",NA,NA,"13.17","36.3",NA,NA,NA,NA,"7.78",NA,NA,NA,NA,NA,NA,NA,"26.5",NA,"9.16",NA,"387","4.5",NA,NA,"2.44",NA,"0.39",NA,NA,NA,"27.3","2.32",NA,"153"
"35","D27","51.4","2.48","14","13.4","8.6","0.17","5.7","9.16","2.4","1.01","0.3","1.4","0.2","0.5",NA,"0.16",NA,NA,NA,"340","0.9",NA,NA,NA,"62",NA,"62","110","0.52","64","6.3","3.1","2.3",NA,"23","7.9",NA,"5.3",NA,"1.2",NA,"0.09",NA,"28",NA,"0.39","3.6",NA,"19","35","56",NA,"13",NA,"8.1",NA,"27",NA,NA,NA,NA,NA,"28",NA,"9","19","397","1.2","1.2",NA,"3.2","0.17","0.45","0.66","350",NA,"34","2.8","110","213"
"36","D28","50.5","2.446","13.6","13.68",NA,"0.171","5.46","9.03","2.46","0.99","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"275",NA,NA,NA,NA,NA,NA,NA,"103",NA,"54",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.4",NA,"40",NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"401",NA,NA,NA,NA,NA,NA,NA,"337",NA,"30",NA,"107","189"
"37","D128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","D29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333",NA,NA,NA,NA,"57.68",NA,NA,NA,"0.44",NA,"6.69","3.21","2.42",NA,NA,"7.38",NA,"5.23",NA,"1.29",NA,NA,NA,"27.81",NA,"0.37",NA,NA,"18.12","30.99",NA,NA,"13.05",NA,"7.06",NA,"24.6",NA,NA,NA,NA,NA,"31.2",NA,"9.59",NA,"415","1.17","1.18",NA,"3.17",NA,"0.43","0.6",NA,NA,"33.1","2.64",NA,NA
"39","D30","52.896","2.363","13.679","13.928",NA,"0.171","5.759","8.941","2.501","1","0.287",NA,NA,"0.84",NA,NA,NA,NA,NA,"293.32",NA,NA,NA,NA,NA,NA,"51.53","68.43",NA,"62.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151.79",NA,NA,NA,"44.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"317.84",NA,NA,NA,NA,NA,NA,NA,"517.91",NA,NA,NA,"96.24","294.55"
"40","D31","52.47","2.47","13.42","13.31",NA,"0.16","6.06","9.43","2.32","1.01","0.31",NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,NA,NA,"31","97",NA,"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"61",NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"384",NA,NA,NA,NA,NA,NA,NA,"368",NA,"28",NA,"60","175"
"41","D32","51.38","2.42","13.82","13.28","8.49","0.179","5.58","9.05","2.43","1","0.31","0.78",NA,"0.63",NA,NA,NA,NA,NA,"316",NA,NA,NA,NA,NA,NA,"46","94",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,"17","37","50",NA,"15",NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,"334",NA,"27",NA,"115","199"
"42","D33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"349",NA,NA,NA,NA,"60",NA,"44.5",NA,"0.49",NA,NA,NA,"2.3",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,"27.4",NA,"0.3",NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,"28.5",NA,"8.7",NA,NA,"1.06","1.09",NA,"3",NA,NA,"0.8",NA,NA,NA,"2.7",NA,NA
"43","D34","51.3","2.36","13.7","13.1",NA,"0.17","5.34","8.9","2.5","0.96","0.3",NA,NA,"1.21",NA,NA,"1.3",NA,NA,"338",NA,NA,NA,NA,"55",NA,"38","85",NA,"73",NA,NA,NA,NA,"21",NA,NA,"4.5",NA,NA,NA,NA,NA,"34","14",NA,"2.2",NA,"17","38","53",NA,"13",NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"423",NA,NA,NA,"3.8",NA,NA,NA,"308","3.4","33",NA,"110","204"
"44","D35","50.61","2.4","13.68","13.03",NA,"0.175","5.35","8.86","1.97","0.98","0.3",NA,NA,"1.37",NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,"80",NA,"47","100",NA,"56",NA,NA,NA,NA,"22",NA,NA,"5",NA,NA,NA,NA,NA,"160",NA,NA,NA,NA,"17","35","56",NA,"18",NA,"28",NA,"25",NA,NA,NA,NA,NA,"30",NA,"7",NA,"410",NA,NA,NA,NA,NA,NA,NA,"340",NA,"30",NA,"110","215"
"45","D135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,"2.5",NA,NA,NA,NA,"4",NA,NA,NA,NA
"46","D36","51.9","2.46","13.9","13.4",NA,"0.17","5.7","9.1","2.54","1","0.3",NA,NA,"0.39",NA,NA,NA,NA,NA,"350","0.97",NA,NA,"0.3","67","100","46","88",NA,"74","7","4","3","900","23",NA,NA,"6",NA,"1.3",NA,NA,NA,"30",NA,"0.43","3.5",NA,"19","37","51",NA,NA,NA,"8.6",NA,"27",NA,NA,NA,"600","0.1","30",NA,"9.9","16","416","1",NA,NA,NA,"0.15","0.46","0.7","350","0.6","32","3","110","180"
"47","D37","50.12","2.52","14.07","13.79",NA,"0.18","5.45","9.04","2.17","0.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,"47",NA,"25","100",NA,"64",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"3",NA,"15",NA,"54",NA,"11",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"17","404",NA,NA,NA,"2.7",NA,NA,NA,"297",NA,"32",NA,"104","198"
"48","D137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.23",NA,NA,"0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","D38","51","2.42","13.67","13.32",NA,"0.17","5.25","8.84","2.49","0.93","0.27",NA,NA,"1.34",NA,NA,NA,NA,NA,"320",NA,NA,NA,NA,"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,"17","371",NA,NA,NA,"3",NA,NA,NA,NA,NA,"28",NA,NA,"178"
"50","D39","52","2.47","13.8","13.3","8.36","0.18","5.38","8.98","2.45","1.03",NA,NA,NA,"1.22",NA,NA,NA,NA,NA,"355",NA,NA,"0.7",NA,"54",NA,"46","83.8",NA,"56","3",NA,"2.4",NA,"23",NA,NA,"4.5",NA,"1.2",NA,NA,NA,"27","14","0.4","4",NA,NA,"24","58",NA,NA,NA,NA,NA,"27",NA,NA,NA,"600","0.2","29",NA,"8.7","15","405","2.1","0.9",NA,"2.6",NA,NA,"0.89","305",NA,"31","2.8","119","193"
