"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","F2","67.982","0.502","15.912","2.747",NA,"0.044","1.188","1.708","3.715","5.046","0.216",NA,NA,"0.8592",NA,NA,NA,NA,"719",NA,NA,NA,NA,NA,NA,NA,NA,"11","461",NA,"38",NA,NA,NA,"1156","27",NA,NA,"9",NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"422",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,"30","225"
"2","F3","68.102","0.504","15.094","2.625","1.353","0.044","1.11","1.715","3.966","5.581","0.198","1.425",NA,"0.68","0.408","1.77",NA,NA,"653.44","10.81","6.13",NA,NA,NA,"0.065","94.695",NA,"12.53","241.83","14.78","56.43","3.019","1.379","1.73","0.151","34.5","5.676",NA,"2.739",NA,"0.521",NA,"0.027",NA,"47.908","94.54","0.217","5.55",NA,"15.48","46.085","19.3",NA,"34.24",NA,"12",NA,"389.05",NA,NA,NA,"1100","0.59","6.78",NA,"7.264","6.3","411.7","2.47","0.572","0.34","32.71","1.574","0.221","9.27","39.79","26.96","11.02","1.049","30.38","75.53"
"3","F4","67","0.468","14.99","2.61",NA,"0.045","1.12","1.7","3.87","5.05","0.2",NA,NA,NA,NA,NA,NA,NA,"711",NA,NA,NA,NA,"570",NA,"97",NA,NA,"519",NA,"51",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,"100",NA,"33","165"
"4","F5","68.066","0.478","15.133","2.653",NA,"0.057","1.143","1.534","3.741","5.107","0.182",NA,NA,"0.865",NA,NA,NA,NA,"727",NA,NA,NA,NA,NA,NA,"99.6",NA,"12.2","433","9.67","53.8",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"47.8",NA,NA,NA,NA,"9.63","36.4","18.4",NA,"45.4",NA,NA,NA,"266",NA,NA,NA,NA,NA,NA,NA,NA,"3.69","466",NA,NA,NA,"29.5",NA,NA,"7.44",NA,NA,NA,NA,"31","203"
"5","F6","68.21","0.48","15.44","2.7",NA,"0.043","1.2","1.79","3.85","5.3","0.217",NA,NA,"0.81",NA,"1.7",NA,NA,"643.9",NA,"4.1",NA,NA,"500",NA,"76.1",NA,"6.1","414.5","10.7","47",NA,NA,NA,NA,"22.3",NA,NA,"4.2",NA,NA,NA,NA,NA,"45.4",NA,NA,"3.4",NA,"10.6","25.4","14.7",NA,"34.9",NA,NA,NA,"251.6",NA,NA,NA,"300","3.1","3.2",NA,"5.6","5.7","426.1","1.1",NA,"1.6","21.3",NA,NA,"8.7","30.3","17","9.2",NA,"30","152"
"6","F7","68.2","0.5","15.2","2.84",NA,NA,"1.14","1.71",NA,"5.18","0.21","0.18",NA,"0.85",NA,NA,NA,NA,"701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,"451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","F7.1",NA,NA,NA,NA,NA,NA,NA,NA,"3.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",NA,NA,"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49",NA,NA,NA,NA,NA,NA,"21",NA,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,"39","172"
"8","F9","68.13","0.472","15.34","2.74",NA,"0.0469","1.173","1.713","3.662","4.76","0.208",NA,NA,"0.991",NA,NA,NA,NA,"691","9.87",NA,NA,NA,NA,NA,"96.5",NA,"5.8","484","96.5","52.5","2.31","1.01","1.54",NA,NA,"4.85",NA,"4.51",NA,"0.4",NA,NA,NA,"47.1",NA,"0.15","4.5",NA,"14.73","39.3","18.8",NA,"45.8",NA,"10.99",NA,"254",NA,NA,NA,NA,NA,"4.4",NA,"6.01",NA,"386","1.238","0.55",NA,"23.26",NA,"0.15","8.18","39.38","22.54","10.35","1.02","32.45","182.5"
"9","F10",NA,NA,NA,NA,NA,"0.04365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"684.4",NA,NA,NA,NA,NA,NA,"88.7",NA,"6","467.3","11.8","47.8",NA,NA,NA,"1059","24.49",NA,NA,NA,NA,NA,NA,NA,NA,"44.1",NA,NA,"3.82",NA,"11.86",NA,"16.8",NA,"42.22",NA,NA,NA,"268.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,"444.05",NA,NA,NA,"24.29",NA,NA,"6.7","36.74",NA,"9.91",NA,"32.18","168.85"
"10","F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18","1.75",NA,"2","76.18","2","5.36",NA,NA,NA,"0.075",NA,NA,"5","257","7.008","52.7","1.43","0.644","0.7",NA,NA,"3.37","0.1",NA,NA,"0.22",NA,NA,NA,NA,"69","0.07","3.79",NA,"0.17","27.66","13.8",NA,"15.11",NA,"7.9",NA,NA,NA,NA,NA,NA,"0.009","3.7","0.22","3.89","1.56",NA,NA,"0.327",NA,"26.31","0.318","0.079","6.49",NA,"6.57",NA,"0.489","31.6","6.49"
