"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","F12","68.1","0.49","15.12","2.63",NA,"0.05","1.1","1.7","3.77","5.17","0.2",NA,NA,"0.75",NA,NA,NA,NA,"709",NA,NA,NA,NA,NA,NA,NA,NA,"11","482",NA,"52",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"437",NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,"32","140"
"12","F14","67.88","0.48","15.18","2.62",NA,NA,"1.12","1.64","3.79","4.95","0.2",NA,NA,"0.86",NA,"1.476429763",NA,NA,"849.2079688","6.64062068","3.589903364",NA,NA,NA,"0.066061202","110.750297",NA,"4.12535366","437.1436915","71.57957966","42.23004469","2.662128458","1.250258266","1.561575811",NA,"25.15490573","4.299962961",NA,"3.42652572",NA,"0.468982983",NA,NA,NA,"54.32565342","217.5525132","0.167692048","3.478751838",NA,NA,"42.67398657","12.93692917",NA,"40.10952852",NA,"12.42541023",NA,"808.4059479",NA,NA,NA,NA,"0.192687745","8.119675754",NA,"6.773487636","4.747170529","450.6013613","0.923900557","0.56181356",NA,"41.25302005","1.709214782","0.17739547","7.597530013","33.20565222","23.66204421","17.46308443","1.207282184","24.58504876","114.9004035"
"13","F15","68.64","0.487","15.14","2.75",NA,"0.046","1.13","1.7","3.8","5.07","0.208",NA,NA,"0.77",NA,NA,NA,NA,"719",NA,NA,NA,NA,NA,NA,"98.59",NA,NA,"515","13.94","53","2.54","1.08","1.48",NA,"23","3.88",NA,"5.03",NA,"0.44",NA,NA,NA,"49.55",NA,"0.14",NA,NA,"12.12","38.21","17",NA,"41.34",NA,"11.01",NA,"268",NA,NA,NA,NA,NA,"4.8",NA,"6.2",NA,"468","0.97","0.51",NA,"24.73",NA,"0.15","7.99","42",NA,"11.6","0.94","31","182"
"14","F16","68.21","0.5","15.43","2.6",NA,"0.05","1.18","1.66","4","5.03","0.19",NA,NA,"0.93",NA,"2.9",NA,NA,"658.5",NA,NA,NA,NA,NA,NA,"83.2",NA,"6.5","423.5","13.1","45.5",NA,NA,NA,NA,"21.8",NA,NA,NA,NA,NA,NA,NA,NA,"56.8",NA,NA,"3.1",NA,"10.9","27.6","16",NA,"54.6",NA,NA,NA,"265.4",NA,NA,NA,NA,NA,"8.2",NA,"3.2",NA,"445.1",NA,NA,NA,"20.8",NA,NA,"8.6","38.6","23.3","11.9",NA,"32.6","163.8"
"15","F17",NA,NA,"16.04","2.81",NA,"0.044","1.22","1.61","3.93","5.13",NA,NA,NA,NA,NA,NA,NA,NA,"717.3",NA,NA,NA,NA,NA,NA,"94.08",NA,"5.31","523.8","13.72","50.72","2.15","0.934","1.25",NA,"23.99","4.19",NA,"4.82",NA,"0.383",NA,NA,NA,"46.7",NA,"0.138","4.04",NA,"12.66","36.86","20.68",NA,"43.63",NA,"10.68",NA,"262.2",NA,NA,NA,NA,NA,"5.24",NA,"5.66",NA,"434.3","1.05","0.532",NA,"23.15",NA,"0.148","7.45","38.18",NA,"11.06","0.913","31.09","173.6"
"16","F18","68.69","0.46","15.54","2.1","1","0.05","1.33","1.71","3.85","5.02","0.21",NA,NA,"0.9","0.2","1.8",NA,"8.4","475","3.8","3.3",NA,NA,NA,"0.019","57",NA,"4","410","9","37","1.5","0.68","0.9",NA,"21","2.5","1.6","2.4",NA,"0.26",NA,NA,NA,"27","53","0.09","4.9",NA,"12","24","14",NA,"15",NA,"6.6",NA,"213",NA,NA,NA,"0.1","0.15","4.3","0.178","3.8","3","340","0.9","0.26","0.09","9.1","0.8","0.09","5.2","33","21","7","0.6","20","130"
"17","F19","69.16","0.483","15.61","2.69",NA,"0.04","1.2","1.72","3.71","5.1","0.198",NA,NA,"0.92",NA,"2.33",NA,NA,"703.06","8.291","5.352",NA,NA,NA,"0.199","92.03",NA,"5.356","474.845","13.35","56.371","2.228","0.997","1.373",NA,"23.74","3.663",NA,"5.039",NA,"0.371",NA,NA,NA,"46.62",NA,"0.133","3.85",NA,"11.68","36.53","28.265",NA,"41.072",NA,"10.18",NA,"264.21",NA,NA,NA,NA,NA,NA,NA,"5.69","4.55","451.91","0.754","0.477",NA,"23.047","1.187","0.138","7.646","37.429","20.05","10.893","0.895","44","174.96"
"18","F20","68.59","0.498","15.5","2.57",NA,"0.053","1.11","1.66","3.62","5.02","0.205",NA,NA,NA,NA,NA,NA,NA,"676","9.34",NA,NA,NA,NA,"0.28","97.28",NA,"5.77","529.5","13.65","62.83","2.36","1.27","1.57","0.08","24.54","6.01",NA,NA,NA,"0.4",NA,NA,NA,"47.6","104","0.14","4.66",NA,NA,"36.33","21.74",NA,"35.5",NA,"10.38",NA,"254",NA,NA,NA,NA,NA,"4.21",NA,"5.69",NA,"420",NA,"0.61","0.65","22.29","1.33","0.14","7.85","41.1","68",NA,"1","29","163"
"19","F21","68.721","0.497","15.33","2.838",NA,"0.048","1.202","1.893","3.736","4.429","0.204",NA,"0.195","1.018","0.134","2.75",NA,NA,"747.719",NA,NA,NA,NA,"532.25",NA,"100.67",NA,"6.292","515.497","14","79.062","2.355","1.063","1.409",NA,"24.569","3.951",NA,"4.892",NA,"0.406",NA,NA,NA,"49.514",NA,"0.142","4.86",NA,"12.574","38.699","20.248",NA,"55.623",NA,"10.87",NA,"271.42",NA,NA,NA,"1065.75","0.325","10.397",NA,"5.95",NA,"468.845","0.918","0.458",NA,"24.481",NA,"0.158","8.214","45.687",NA,"11.035","0.963","34.365","143.256"
"20","F22","70.52","0.48","14.44","2.626",NA,"0.042","1.104","1.542","3.948","4.978","0.214",NA,NA,NA,"0.192","2.122",NA,"6.1","713.6","7.66","5.962",NA,NA,NA,"0.073","95.99",NA,"5.972","472.3","12.87","55.64","2.449","1.062","1.508",NA,"22.15","3.843",NA,"5.445",NA,"0.406",NA,NA,NA,"48.26","93.94","0.132","4.68",NA,"11.21","37.53","19.86",NA,"42.41",NA,"11.05",NA,"263.3",NA,NA,NA,"1147","0.212","6.13","0.08","5.587","3.96","413.9","0.941","0.466",NA,"21.02","1.425","0.174","7.913","41.58","18.95","10.6","0.983","35.3","178.5"
"21","F26","72.3","0.44","14.23","2.497","1.66","0.044","1.18","1.61","2.86","4.39","0.188",NA,NA,"0.85","0.26",NA,"0.00061",NA,"665.7","9.03","4.76",NA,NA,NA,"0.113","96.3",NA,"5.31","607.4",NA,"40.83","2.72","1.27","1.4",NA,"22.54","5.03",NA,NA,NA,"0.4",NA,"0.038",NA,"47",NA,"0.24",NA,NA,NA,"37.2","19.2",NA,"35.7","0.00148","10",NA,"260",NA,NA,NA,"2.34","0.72","4.5",NA,"5.63","9.66","439",NA,"0.56",NA,"24.36",NA,"0.15","7.27","36.7",NA,"9.8","0.9","30.3","105"
"22","F29","68.45","0.48","15.28","2.66",NA,"0.05","1.12","1.7","3.83","5.07","0.21",NA,NA,"0.8",NA,NA,NA,NA,"730","8.1","4.93",NA,NA,"500",NA,"99.6",NA,"6","522.8","13.4","54","2.25","1.03","1.31",NA,"23.9","3.94","1.7","5.4",NA,"0.4",NA,NA,NA,"50.1","96","0.145","4.2",NA,"12.1","38.22","18",NA,"42",NA,"10.92",NA,"270.1",NA,NA,NA,"1100",NA,NA,NA,"5.74","4.2","461.7","0.95","0.45",NA,"23.1","1.37","0.15","8.1","40","21","10.3","0.96","34","176"
"23","F30","68.5","0.53","15.4","2.73",NA,"0.06","1.28","1.7","3.89","5.13","0.21",NA,NA,"0.87","0.18","1.96",NA,NA,"714","7.29",NA,NA,NA,NA,NA,"91.9",NA,"5.24","579",NA,"51.4","2.32","1.09","1.32","1130",NA,"4.19",NA,"5.21",NA,"0.39",NA,NA,NA,"47.2",NA,"0.14","3.76",NA,"11.2","36.6","17.4",NA,"39.9",NA,"9.81",NA,NA,NA,NA,NA,"1400","0.2",NA,"1.64","5.89",NA,NA,"0.77","0.49",NA,"21","1.37","0.14","7.58","37.6",NA,"9.3","0.96","29.8","176"
"24","F30.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","F31","68.32","0.49","15.28","2.68",NA,"0.05","1.11","1.66","3.85","5.24","0.21",NA,NA,"0.98",NA,NA,NA,NA,"652",NA,NA,NA,NA,NA,NA,NA,NA,NA,"412",NA,"52",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"16",NA,"43",NA,NA,NA,"255",NA,NA,NA,NA,NA,NA,NA,NA,"10","440",NA,NA,NA,"24",NA,NA,NA,"37","18","10",NA,"29","158"
"26","F33","68.37","0.506","15.15","2.657",NA,NA,"1.169","1.639","3.881","5.136","0.206",NA,NA,"0.876",NA,NA,NA,NA,NA,NA,NA,NA,NA,"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","F34","68.562","0.492","15.199","2.672",NA,"0.0427","1.153","1.725","3.819","5.048","0.209",NA,NA,"0.85",NA,NA,NA,NA,"703.2","7.862","5.281",NA,NA,NA,NA,"83.98",NA,"5.505","544.6","13.79","50.47","2.306","1.011","1.366",NA,"23.01","3.776",NA,"4.883",NA,"0.384",NA,NA,NA,"46.74","102.5","0.136","4.183",NA,"11.72","35.74","19.32",NA,"40.38",NA,"9.978",NA,"265.9",NA,NA,NA,NA,"0.194","4.079",NA,"5.762","4.036","453.3","1.048","0.452",NA,"22.92",NA,"0.146","8.105","38.55",NA,"11.31","0.901","31.42","169.4"
"28","F35","68.6","0.487","15.3","2.76",NA,"0.044","1.12","1.67","3.75","5.12","0.214",NA,NA,"0.855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","F36","68.7","0.487","15.3","2.62",NA,"0.047","1.15","1.693","3.57","4.84","0.21",NA,NA,"0.99",NA,NA,NA,NA,"736",NA,NA,NA,NA,NA,NA,"96",NA,NA,"518","12.8","51.8","2.37","1.08","1.45",NA,"25.3","4.59",NA,NA,NA,"0.4",NA,NA,NA,"47.7",NA,"0.15",NA,NA,"12.3","33.3","20.8",NA,"38",NA,"10.6",NA,"244",NA,NA,NA,NA,NA,"7.58",NA,"5.8","3.8","424",NA,"0.51","0.7","25.2",NA,"0.15","8.14","39","15.5","10.3","0.97","32.5","169"
"30","F37","68.3","0.47","15","2.65",NA,"0.045","1.12","1.73","4.45","5.15","0.21",NA,NA,"0.88","0.18","2.151",NA,NA,"719.7","9.615","4.942",NA,NA,NA,"0.06","99.917",NA,"5.882","529.143","13.485","58.744","2.085","0.91","1.296",NA,"24.565","3.572",NA,"5.087",NA,"0.349",NA,NA,NA,"47.705","100.351","0.124","4.466",NA,"12.562","37.723","17.801",NA,"41.899",NA,"10.027",NA,"271.305",NA,NA,NA,NA,"0.213","4.779",NA,"6.107","4.161","446.04","1.054","0.475",NA,"23.737","1.33","0.144","7.971","40.012","17.549","9.316","0.876","33.566","176.076"
"31","F38","68.569","0.485","15.411","2.694","1.782","0.04812","1.1584","1.7133","3.896","5.0809","0.2127","1.048",NA,"0.786","0.1502","1.8678",NA,NA,"666.6","7.404","4.67",NA,NA,"401","0.046","92.53","129","5.742","551.02","13.7484","50.55","2.3188","1.0408","1.3175","1156","23.461","3.7556",NA,"4.85",NA,"0.4056",NA,"0.0219",NA,"45.71","89.77","0.139","3.897",NA,"11.1447","36.048","19.29",NA,"39.161",NA,"10.312",NA,"250.038",NA,NA,NA,"923","0.21","4.54","0.4807","5.507","3.91","421.67","0.895","0.451","0.16802","22.9634","1.3381","0.1485","7.5504","39.02","21.016","10.857","0.9569","30.89","182.3"
"32","F39","68.542","0.532","15.282","2.701",NA,"0.038","1.163","1.724","3.691","5.193","0.206",NA,NA,"0.93",NA,NA,NA,NA,"661",NA,NA,NA,NA,NA,NA,NA,NA,"6","574",NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"21",NA,"39",NA,NA,NA,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"459",NA,NA,NA,"26",NA,NA,NA,"44",NA,"28",NA,"21","196"
"33","F40","69.068","0.511","15.266","2.726",NA,NA,"1.107","1.798","3.682","5.011","0.209",NA,NA,"0.92",NA,NA,NA,NA,"700.8","8.08",NA,NA,NA,NA,NA,"96.83",NA,"5.69","518.4","13.82","50.3","2.23","1.02","1.35",NA,"23.5","3.82",NA,"4.62",NA,"0.39",NA,NA,NA,"47.92",NA,NA,"4.35",NA,"10.37","36.98","15.9",NA,"41.33",NA,"10.57",NA,"253.77",NA,NA,NA,NA,NA,"4.7",NA,"5.58","3.87","454.4","0.85","0.48",NA,"23.05","1.02",NA,"7.65","36.8","18.68","11.9","0.91","33.2","161.98"
"34","F41","69.96","0.47","14.87","2.45","0.53","0.04","1.45","1.68","3.83","5.08","0.21","0.96","0.2",NA,NA,NA,NA,NA,"683",NA,NA,NA,NA,NA,NA,"9","52","4","481","14","49",NA,NA,NA,"848","23",NA,NA,"5",NA,NA,NA,NA,NA,"47",NA,NA,"5",NA,"10","33","19",NA,"39",NA,NA,NA,"262",NA,NA,NA,"568",NA,"5",NA,NA,"6","435",NA,NA,NA,"23",NA,NA,"7","41","14","10",NA,"32","156"
"35","F43","68.8","0.51","15.3","2.58",NA,"0.05","1.14","1.67","4.01","4.97","0.19",NA,NA,"0.9",NA,"3.018",NA,NA,"724.406","8.151",NA,NA,NA,NA,"0.093","98.476",NA,"5.727","545.7","13.935","52.9","2.228","1.003","1.322",NA,"23.031","3.675",NA,"4.616",NA,"0.394",NA,NA,NA,"18.246","103.632","0.13","4.584",NA,"12.439","37.476","18.501",NA,"33.995",NA,"10.894",NA,"283.534",NA,NA,NA,NA,"0.261","6.058",NA,"5.761","4.765","453.091","0.938","0.451",NA,"19.742","1.176","0.146","6.587","39.434","18.779","10.482","0.907","32.485","167.228"
"36","F45","67.86","0.493","15.23","2.666",NA,"0.0449","1.141","1.703","3.879","5.093","0.2085",NA,NA,"0.8",NA,NA,NA,NA,"668.2",NA,NA,NA,NA,NA,NA,"85.76",NA,NA,"457",NA,"50.63",NA,NA,NA,NA,"24.6",NA,NA,"8.44",NA,NA,NA,NA,NA,"51.86",NA,NA,"4.193",NA,"11.71","42.42","18.19",NA,"37.2",NA,NA,NA,"269.4",NA,NA,NA,"1110",NA,NA,NA,NA,"5.107","439.5",NA,NA,NA,"24.85",NA,NA,"7.684","39.39",NA,"8.181",NA,"31.1","152.7"
"37","F46","68.399","0.5008","15.294","2.685",NA,"0.0464","1.132","1.724","3.851","5.092","0.2088",NA,NA,"0.74",NA,NA,NA,NA,"706.2",NA,"5.5",NA,NA,NA,NA,"91.6","112",NA,"528.8","10.6","55.3","2.56",NA,NA,NA,"23.8",NA,NA,"4.3",NA,NA,NA,NA,NA,"43.9",NA,NA,"3.7",NA,"12.3","33.8","18.1",NA,"40.5",NA,NA,NA,"273.6",NA,NA,NA,NA,NA,"4.52",NA,"5.62","1.95","453.5",NA,NA,NA,"24.2",NA,NA,"8.1","42.1",NA,"11.5","1.5","33.6","176.8"
"38","F47","64.74","0.501","13.55",NA,NA,NA,NA,"1.68","0.018","0.217",NA,NA,NA,"0.875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105",NA,NA,NA,NA,NA,"2.45","1.145","1.545",NA,NA,"5.295",NA,NA,NA,"0.42",NA,NA,NA,"54.15",NA,"0.175",NA,NA,NA,"43.4",NA,NA,NA,NA,"11.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.585",NA,NA,NA,"0.635",NA,NA,NA,"0.15",NA,NA,NA,"9.67","1.035",NA,NA
"39","F48","69.39","0.49","15.35","2.68","1.7","0.05","1.16","1.71","3.79","5.04","0.21",NA,NA,"0.74","0.18","2.6",NA,NA,"704","7.45","4.75",NA,"400","700","0.06","97",NA,"6","367","14.65","55.8","2.28","1.02","1.25",NA,"24.2","3.54","0.15","3.2",NA,"0.4",NA,"0.022",NA,"47.6","104.5","0.14","4.38",NA,"13","37.3","19.4",NA,"41",NA,"10.85",NA,"276","0.002",NA,NA,"1200","0.24","4.6","1","5.86","4.3","463","1","0.5","0.17","24.6","1.38","0.18","7.3","39","19.5","11.4","0.93","34","216"
"40","F50","68.84","0.49","15.57","2.64",NA,NA,"1.09","1.68","3.67","4.99","0.2",NA,NA,"0.8",NA,NA,NA,NA,"725",NA,NA,NA,NA,NA,NA,NA,NA,NA,"392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","F51","68.15","0.49","15.18","2.61","1.57","0.04","1.18","1.69","3.79","5.1","0.219","0.85",NA,"0.71","0.165","2.69",NA,NA,"766","7.87","4.66",NA,"400","400","0.043","90.6",NA,"5.9","424","14.8","55.5","2.37","1.105","1.365",NA,"24.9","3.82","0.17","3.22",NA,"0.4",NA,"0.021",NA,"43.8","99.4","0.145","4.52",NA,"12.5","37.2","19.25",NA,"40.8",NA,"10.7",NA,"291",NA,NA,NA,"1200","0.21","4.71","0.066","5.75","4.14","452","0.95","0.488","0.154","23.8","1.33","0.136","7.69","42.2","21.2","10.6","0.909","33.9","108"
"42","F52","68.62","0.515","15.075","2.77","1.78","0.042","1.135","1.685","3.55","5.24","0.214",NA,NA,"0.91",NA,NA,NA,NA,"722.8","10.134","4.563",NA,NA,NA,NA,"94.36",NA,"5.93","505.98","13.818","56.668","2.632","1.058","1.34",NA,"25.355","4.728",NA,NA,NA,"0.348",NA,"0.022",NA,"47.008",NA,"0.12",NA,NA,NA,"35.257","20.509",NA,"39.258",NA,"10.426",NA,"268.35",NA,NA,NA,NA,NA,"4.83",NA,"5.587",NA,"471.853",NA,"0.513",NA,"25.114","1.321","0.125","8.237","42.82",NA,"10.936","0.81","36.751",NA
"43","F53","68.69","0.48","14.97","2.39",NA,"0.06","1.18","1.7","3.98","5.13","0.21",NA,NA,"0.96",NA,NA,NA,NA,"674",NA,NA,NA,NA,NA,NA,"79",NA,NA,"426","19","49",NA,NA,NA,NA,"24",NA,"13",NA,NA,NA,NA,NA,NA,"47",NA,NA,"4",NA,"11",NA,"16",NA,"40",NA,NA,NA,"258",NA,NA,NA,NA,NA,"7",NA,NA,NA,"432",NA,NA,NA,"13",NA,NA,"11","42",NA,"11",NA,"29","165"
"44","F54","68.18","0.486","15.1","2.658","1.9","0.043","1.143","1.709","3.854","5.065","0.209","0.4","0.22","1.066","0.39","2.7",NA,NA,"673.1","7.084","4.7",NA,NA,"470",NA,"91.3",NA,"6","545","14.9","52.76","2.04","0.97","1.23","1192","25.97","3.57","1.86","5.36",NA,"0.35",NA,NA,NA,"44.6","98.2",NA,"4.52",NA,"11.52","33.3","17.9",NA,"40.24",NA,"9.83",NA,"288",NA,NA,NA,"1080","0.2",NA,NA,"4.99","4.22","443","0.9",NA,NA,"22.05","1.34",NA,"7.76","41","20.48","10.5","0.9","31.4","173"
"45","F55","68.3","0.47","15.67","2.68",NA,"0.07","1.04","1.75","3.71","5.03","0.19",NA,NA,"1.05",NA,NA,NA,NA,"617",NA,NA,NA,NA,NA,NA,NA,NA,"6","59",NA,"45",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"19",NA,"26",NA,NA,NA,"272",NA,NA,NA,NA,NA,"4",NA,NA,NA,"457",NA,NA,NA,"20",NA,NA,NA,"46",NA,"8",NA,"35","214"
