,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,Au,B,Ba,Be,Bi,Br,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
1,O1,71.3,0.02,17,0.75,NA,0.19,0.05,0.47,6.2,3.9,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,O2,71.7,NA,16,0.47,NA,0.16,NA,0.37,5.55,3.54,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,O2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,O3,71.384,0.01,15.967,0.33,NA,0.156,0.066,0.357,5.428,3.625,0.031,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,O4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.59,NA,NA,NA,NA,29.01,NA,NA,NA,75.78,NA,4.382,1.85,0.0275,NA,NA,4.13,NA,NA,NA,0.6607,NA,NA,NA,8.64,NA,0.33,NA,NA,NA,15.79,NA,NA,63,NA,4.54,NA,2613,NA,NA,NA,NA,NA,NA,NA,6.128,NA,12.82,NA,0.8082,NA,12.92,NA,NA,3.643,NA,NA,23.04,2.424,NA,NA
6,O4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.03
7,O5,72.63,NA,16.16,0.485,NA,0.157,NA,0.38,5.41,3.62,0.028,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,O6,71.564,0.012,16.069,0.716,NA,0.161,0.035,0.402,5.516,3.552,0.023,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,NA,12.8,NA,70.2,NA,NA,NA,2333,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,90.8,42.3
9,O6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,27.2,NA,NA,NA,NA,NA,NA,1,134.2,NA,NA,NA,NA,NA,NA,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,4.7,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,4,3.8,NA,NA,NA,NA,NA
10,O7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA,8.42,NA,0.3,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,2.32,NA,NA
11,O7.1,NA,NA,NA,0.486,NA,NA,NA,NA,5.77,3.95,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,81.1,NA,NA,NA,NA,NA,NA,NA,NA,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332,NA,NA,NA,NA,0.74,9.77,6,NA,NA,NA,52.3,NA,5,14.4,NA,NA,3.3,NA,3.91,NA,NA,NA,NA
12,O8,72,0.006,15.9,0.6,NA,0.158,0.02,0.41,5.23,3.59,0.03,NA,NA,1.16,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,27,NA,1,176,71,15,4,1.5,0.02,NA,NA,3.3,NA,7.1,NA,0.64,NA,NA,NA,8.1,NA,0.3,0.4,NA,58.1,15.2,15.6,NA,NA,NA,4.23,NA,2151,NA,NA,NA,NA,0.5,9.2,NA,5.9,47,13.6,45,0.68,NA,11.8,NA,0.32,3.5,1.6,4.3,22,2.06,79,37
13,O9,NA,NA,15.57,0.49,NA,0.16,NA,NA,5.45,3.9,NA,NA,NA,NA,NA,NA,2.4,0.006,NA,NA,NA,NA,NA,NA,26,NA,1.6,193,81,NA,4.1,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,8.3,NA,0.31,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,2665,NA,NA,NA,NA,1.1,9.91,NA,6.79,NA,NA,58.5,0.83,NA,15.9,NA,NA,4.2,NA,NA,NA,2.36,NA,NA
14,O10,71.945,0.017,15.81,0.509,0.84,0.149,0.017,0.387,5.42,3.532,0.009,NA,NA,0.95,NA,NA,NA,NA,NA,11.16,NA,NA,NA,NA,26.58,NA,0.484,197,73.15,5.41,4.45,1.765,0.027,NA,53.8,4.153,NA,7.5,NA,0.655,NA,NA,NA,7.66,NA,0.341,NA,NA,68.64,15.3,12.97,NA,64.94,NA,4.312,NA,2263,NA,NA,NA,NA,NA,9.49,NA,6.083,NA,12.94,47.18,0.82,NA,12.5,NA,0.331,3.657,1.221,NA,25.07,2.368,79.97,39.54
15,O11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,64.1,NA,NA,0.18,17.25,NA,0.55,NA,102,NA,3.95,1.69,0.03,NA,54.4,3.81,2.88,8.48,NA,0.65,NA,NA,NA,5.95,2582,0.33,NA,NA,38.1,34.3,14,NA,78.5,NA,4.31,NA,2374,NA,NA,NA,NA,0.41,9.73,NA,5.75,NA,14.4,NA,0.7,NA,12.3,16.5,0.32,3.54,5.91,NA,22.3,2.28,NA,NA
16,O12,72.4,0.01129,16.09,0.4354,NA,0.1607,0.02763,0.3928,5.534,3.525,0.02705,NA,NA,0.895,NA,NA,NA,NA,NA,15.1,NA,NA,NA,NA,23.2,NA,NA,222.7,77.9,NA,NA,NA,NA,NA,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,NA,29.6,NA,72,NA,NA,NA,2439,NA,NA,NA,NA,NA,NA,NA,NA,43.4,12.5,NA,NA,NA,34.1,NA,NA,NA,NA,NA,NA,NA,90.4,47.8
17,O13,71.35,0.013,14.8,2,NA,0.154,0.15,0.525,5.04,3.67,0.02,0.065,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,O14,72.09,NA,16.09,0.47,0.35,0.159,NA,0.41,5.41,3.57,0.03,NA,0.355,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,54.6,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,57.6,10.6,13.8,NA,64.5,NA,NA,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,12.4,NA,NA,NA,12.8,NA,28.5,NA,91.2,34.7
19,O15,72.9,NA,15.74,0.509,NA,0.159,NA,0.414,5.419,3.793,0.018,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2.3,0.21,NA,NA,5.3,NA,NA,NA,0.87,NA,NA,NA,NA,NA,0.45,NA,NA,NA,17.9,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,1.1,NA,NA,NA,0.45,NA,NA,NA,NA,3.05,NA,NA
20,O15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,40,NA,NA,NA,22,NA,NA,160,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,60,NA,14,NA,49,NA,NA,NA,2530,NA,NA,NA,NA,NA,5,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,9,19,NA,88,71
21,O16,52.74,0.02,0.51,0.65,NA,0.08,NA,0.01,21.43,3.55,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,139.45,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.72,NA,24.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.4,NA
22,O17,72.12,NA,16.06,0.48,NA,0.16,NA,0.38,5.51,3.55,0.02,NA,NA,1.09,NA,NA,3,NA,NA,NA,NA,67,NA,NA,NA,NA,5,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,73,NA,NA,NA,2620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,8,NA,NA,465,NA,94,NA
23,O18,71.91,0.02,16.19,0.23,NA,0.16,0.19,0.45,5.56,3.52,0.03,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,40
24,O19,NA,NA,NA,0.43,NA,NA,NA,NA,5.53,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,33,NA,0.6,230,71.2,NA,NA,NA,0.05,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,8.2,NA,NA,1.2,NA,NA,21,13,NA,NA,NA,NA,NA,2274,NA,NA,NA,NA,0.45,8.1,NA,6.1,NA,NA,48.7,0.63,NA,13.3,NA,NA,3.85,NA,4.5,NA,2.8,66,NA
25,O20,71.976,0.004,16.186,0.55,0.49,0.133,0.11,0.4,5.397,3.577,0.025,NA,NA,1.03,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,278,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,70.5,NA,83,NA,NA,NA,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,23,NA,NA,NA,2.5,NA,NA,NA,101,44
26,O21,72.82,0.01,16.27,0.48,NA,0.17,NA,0.39,5.51,3.63,0.02,NA,NA,1.13,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,NA,223,NA,1.9,NA,NA,NA,NA,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,NA,25.1,NA,64,NA,NA,NA,2289,NA,NA,NA,NA,NA,9.5,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,3,NA,29.2,NA,NA,43.8
27,O21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA
28,O22,71.27,0.035,15.59,0.46,0.37,0.162,0.03,0.38,5.55,3.65,0.015,1.07,0.23,1.17,NA,NA,0.96,NA,NA,NA,66.6,19,NA,NA,28.5,NA,NA,190,NA,6.5,4.54,1.85,0.31,13490,NA,4.45,NA,NA,0.013,NA,NA,NA,NA,8.05,1742,0.3,NA,NA,61.5,15.7,NA,NA,63,NA,4.6,NA,2287,NA,NA,NA,NA,0.53,NA,NA,5.91,49,17,NA,NA,NA,13,NA,NA,9,NA,NA,22.9,2.5,95,34
29,O23,71.08,0.06,17,0.53,NA,0.16,NA,0.39,5.92,3.41,0.06,NA,NA,1.17,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,2,214,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,20,NA,NA,NA,NA,NA,2321,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,32,37,63
30,O24,72.32,NA,16.66,0.69,NA,0.17,0.05,0.37,5.77,3.57,NA,NA,NA,1.48,NA,NA,NA,NA,NA,11.19,70.7,NA,NA,NA,27.33,NA,0.9,200,78.2,4,4.4,1.79,0.01,NA,49.7,3.77,NA,7.86,NA,0.68,NA,NA,NA,7.87,NA,0.33,NA,NA,65.5,15.65,13,NA,29.3,NA,4.31,NA,2112,NA,NA,NA,NA,NA,15.1,NA,5.99,NA,13.92,46,0.83,NA,4.95,7.5,0.33,1.44,1.1,NA,25.45,2.33,NA,39.2
31,O25,68.6,NA,13.2,0.403,NA,0.138,NA,0.37,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,23,NA,4.5,25,NA,NA,170,81,18,NA,NA,NA,NA,78,NA,8.5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,51,14,13,NA,45,NA,2,NA,2220,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,86,30
32,O26,73.8,NA,15.8,0.49,NA,0.16,NA,0.39,5.4,3.57,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,O27,72.6,0.005,16,0.43,NA,0.159,NA,0.383,5.54,3.52,0.018,0.09,0.25,1,NA,NA,1.29,NA,NA,14.3,61.6,19.8,NA,NA,24.2,NA,0.56,142,63.3,4.47,3.7,1.43,NA,12300,44.5,3.67,7.19,6.68,NA,0.54,NA,NA,NA,7.24,NA,0.29,NA,NA,65,14.1,11.3,NA,53.5,NA,3.54,NA,2367,NA,NA,NA,NA,0.38,9.61,NA,5.01,39.1,10.9,43.9,0.69,NA,11.1,12.2,0.29,3.4,1.19,NA,21.9,2.04,102,35.8
34,O28,72.798,NA,15.964,0.472,NA,0.165,NA,0.372,5.461,3.575,NA,NA,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA
35,O29,72.06,0.012,16.123,0.442,0.37,0.158,0.022,0.395,5.528,3.623,0.023,NA,NA,0.99,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,232.5,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,NA,23.7,NA,61,NA,NA,NA,2487.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,3.5,NA,8.8,NA,92.9,44.6
36,O29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,O30,71.1,0.01,15.85,0.45,NA,0.16,0.01,0.43,5.38,3.4,0.03,NA,NA,1.14,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,75,NA,NA,NA,2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
38,O30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,49,27,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,10,NA,NA,NA,18,NA,NA,NA,NA,NA,23,NA,NA,43
39,O31,71.83,NA,16.07,0.43,NA,0.05,NA,0.4,5.51,3.68,NA,NA,NA,1.06,NA,NA,1,NA,NA,9,45,15,NA,NA,25,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,70,80
40,O32,71.76,0.012,16.23,0.47,NA,0.153,0.03,0.4,5.43,3.62,0.024,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.6,NA,9,NA,NA,NA,NA,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,NA,35,NA,55.5,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,13.6,NA,NA,2.8,NA,NA,211,NA,97.5,29.4
41,O32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,39.1,NA,NA,NA,86.1,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,O33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,66.8,24.6,NA,NA,25.2,NA,0.99,160,75.9,2.95,3.84,1.6,0.022,NA,41.8,3.46,7.25,8.08,NA,0.59,NA,0.27,NA,7.21,1391,0.273,0.45,NA,59.3,14.2,12.8,NA,66.9,NA,4.17,NA,1546,NA,NA,NA,NA,0.42,13.4,NA,5.59,NA,11.2,43.9,0.69,NA,13.3,16.1,0.28,3.9,2.04,5.06,17.4,2.16,87.2,39.5
43,O34,71.58,0.0056,15.98,0.462,NA,0.154,0.0134,0.375,5.38,3.58,0.023,NA,NA,1.19,NA,0.16,NA,NA,NA,12.37,71.9,22.8,NA,0.05,26.63,NA,0.53,212,75.7,4,4.54,1.89,0.031,NA,57.3,4.21,NA,8.56,NA,0.671,NA,NA,NA,8.23,1584,0.33,0.354,NA,60.7,15.4,18.2,NA,68.1,NA,4.31,NA,2435,NA,NA,NA,NA,0.386,9.49,NA,6.04,41.8,13.4,35.3,0.82,0.26,13,15.5,0.324,3.76,1.9,4.36,23.5,2.37,90.9,39.8
44,O35,72.4,0.006,15.6,0.5,0.44,0.165,0.014,0.402,5.43,3.65,0.025,NA,0.16,1.2,NA,NA,1.9,NA,NA,11.6,59.5,25.2,NA,NA,29.7,NA,0.5,220,79.2,7,4.8,1.8,0.03,12530,57.6,4.3,7,8.7,NA,0.73,NA,0.26,NA,8.8,1680,0.37,0.4,NA,77,15.5,15,NA,68,NA,4.72,NA,2480,NA,NA,NA,NA,0.42,9,NA,6.2,56,13,54.8,0.88,NA,13.5,16.2,0.34,4.2,1,5.5,24.8,2.5,99,47
45,O36,71.954,0.01,16.089,0.475,NA,0.158,NA,0.363,5.516,3.616,0.02,NA,NA,1.145,NA,NA,1.3,NA,NA,34.3,NA,NA,NA,NA,25.7,NA,NA,221.3,NA,5,NA,NA,NA,NA,51.7,NA,NA,NA,NA,NA,NA,NA,NA,35.7,NA,NA,NA,NA,63.7,NA,8.7,NA,65,NA,NA,NA,2325.3,NA,NA,NA,NA,NA,8.3,NA,NA,NA,13.3,NA,NA,NA,9,NA,NA,0,0,NA,34.7,NA,90.3,0
46,O37,72.6,0.0059,15.806,0.484,NA,0.155,0.015,0.409,5.4,3.54,NA,NA,NA,1.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,O38,72.6,0.01,16.3,0.47,0.07,0.15,"<0,2",0.4,5.6,3.56,0.03,NA,0.22,1,NA,NA,NA,NA,NA,11,61,36,NA,NA,22.6,NA,NA,184,72,8,2.4,1.1,NA,10400,52,2.7,1,7.1,NA,0.4,NA,NA,NA,5.9,1757,0.2,NA,NA,108,11.4,25,NA,64,NA,2.5,NA,2400,NA,NA,NA,NA,NA,2,NA,4,27,21,32,0.4,NA,8.6,NA,0.2,3.4,NA,NA,11,1.1,153,39
48,O39,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,O40,71.02,0.009,15.89,0.18,NA,0.178,0.01,0.39,5.37,3.58,0.019,NA,NA,0.86,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,2310,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,35
50,O41,69,0.006,15,0.28,NA,0.15,0.015,0.34,5.6,4.7,0.014,NA,NA,NA,NA,NA,NA,NA,NA,9.1,44,13.4,NA,NA,13.3,NA,NA,194,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,56,8.8,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,22,3.6,6.3,NA,NA,8.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4.5,72,32
51,O42,71.11,NA,15.42,0.51,NA,0.161,NA,0.31,4.77,3.65,0.03,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,17,NA,0.04,NA,NA,NA,206,NA,5.41,NA,NA,NA,12660,54,NA,4,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,40,NA,60,NA,NA,NA,2492,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,92,38
