,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,Au,B,Ba,Be,Bi,Br,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
63,O52,NA,NA,NA,NA,NA,NA,NA,NA,4.21,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,O52.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,3.25,NA,65,NA,NA,NA,NA,NA,1.05,124,NA,8.6,NA,NA,NA,NA,NA,NA,6.9,10,0.0085,NA,NA,NA,NA,NA,NA,NA,0.5,NA,75,NA,NA,NA,64.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,53,NA,100,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,78,40
65,O53,NA,0.0073,NA,0.428,NA,0.17,NA,0.798,NA,4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4.1,NA,NA,NA,NA,230,NA,14.3,NA,NA,NA,NA,72,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,73,NA,NA,NA,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
66,O54,72.3,0.0064,16.05,0.45,NA,0.16,0.011,0.47,5.41,3.66,0.019,NA,NA,0.9,NA,NA,1.6,NA,NA,11.8,61.4,22.2,NA,0.05,22,NA,0.6,175,75.8,5.5,3.7,1.6,0.033,NA,53.3,3.1,NA,8.6,0.01,0.58,NA,0.21,NA,6.5,1730,0.31,0.3,NA,60,12.5,14.1,NA,58,NA,3.5,NA,2010,NA,NA,NA,NA,0.32,7.8,0.056,5.1,20,10,42,0.68,NA,11.1,15.1,0.28,3.5,5.6,4.2,17.2,2.1,86,45
67,O55,72.35,NA,16.17,0.47,NA,0.16,NA,0.41,5.18,3.59,0.03,NA,NA,0.98,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,3.75,1.56,NA,NA,NA,3.59,NA,NA,NA,0.6,NA,NA,NA,7.77,NA,0.31,NA,NA,53,14.6,NA,NA,NA,NA,4.08,NA,2287,NA,NA,NA,NA,NA,NA,NA,5.4,51,NA,53,0.72,NA,19,NA,0.3,NA,NA,NA,33,2.15,NA,38
68,O56,72.02,NA,17.797,0.528,0.279,0.145,NA,0.345,5.123,3.652,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,150,NA,3.4,NA,NA,NA,1.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152,NA,NA,NA,96,NA,15,NA,88,NA,NA,NA,0.228,NA,NA,NA,NA,NA,8,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,100,NA,94,36
69,O57,71.58,NA,15.92,0.5,0.45,0.16,NA,0.38,5.37,3.5,0.01,0.3,NA,1.16,NA,NA,9,NA,NA,47,NA,28,NA,NA,2,34,11,209,85,8,3,2,3,14268,57,18,NA,4,NA,6,NA,NA,NA,23,1796,NA,NA,NA,57,16,15,NA,68,NA,4,NA,2365,NA,NA,NA,37,NA,9,NA,6,51,10,64,1,NA,24,NA,NA,1,7,1,19,4,96,35
70,O58,73.247,NA,16.266,0.5,NA,0.165,NA,0.393,5.475,3.623,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,O58.1,NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,O59,73.16,NA,16.09,0.494,NA,0.149,NA,0.436,5.31,3.26,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.85,NA,NA,208,NA,NA,4.12,1.675,NA,NA,NA,3.99,NA,NA,NA,0.635,NA,NA,NA,6.88,NA,0.325,2.36,NA,70.9,12.35,NA,NA,68.1,NA,3.84,NA,2433,NA,NA,NA,NA,NA,NA,NA,5.26,NA,13.5,NA,0.79,NA,19.16,NA,0.315,5.03,NA,NA,31.1,2.345,NA,42.1
73,O60,71.45,0.01,16.4,0.42,NA,0.176,0.05,0.38,5.23,3.48,0.04,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
