"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"32","T41","43.26","0.002","0.38","8.85","*","0.12","45.59","0.47","0.02","0.01","0.002","*","*","0.4","*","*","0.001","*","*","*","*","*","*","300","0.11","0.6","*","118","3047","*","6","*","0.2","*","*","0.5","*","0.8","*","*","*","*","*","*","*","2","*","0.2","*","*","0.3","2488","*","238","*","2.7","*","*","*","*","*","*","1.5","9","*","*","0.1","*","*","*","*","*","*","*","*","38","7.4","*","*","72","1"
"33","T42","*","0.00186","*","*","*","0.124","*","*","*","*","*","*","*","*","*","*","*","*","0.25","*","*","*","*","*","*","0.46","*","117","1615","0.0044","6.12","0.00192","0.315","0.00032","*","*","0.00211","*","0.0661","*","0.000914","*","*","*","0.0262","1.87","0.00313","*","*","0.0259","0.159","2390","*","255","*","2.51","*","0.029","*","*","*","*","1.38","8.73","*","0.00129","0.252","0.145","0.031","0.000166","*","0.0217","*","*","0.000401","23.2","*","0.0273","0.0127","60.8","1.16"
"34","T43","44.35","0.09","0.4","8.78","*","0.13","45.37","0.48","*","0.01","*","*","*","0.38","*","0.304","*","*","0.296","*","*","*","*","*","*","0.54","*","116","2504","0.00396","5.058","0.00255","0.311","*","*","*","*","*","0.0166","*","0.00104","*","*","*","0.032","1.81","0.0037","*","*","0.00226","0.271","2430","*","238.3","*","2.729","*","0.0292","*","*","*","*","*","7.732","*","*","*","0.138","0.00177","*","*","0.00151","*","0.00155","0.00089","36","*","0.0239","0.0131","70","0.629"
"35","T46","43.66","0.01","0.38","8.94","*","0.13","46.42","0.48","0.05","0.01","0.01","*","*","0.35","*","*","*","*","*","*","*","*","*","*","*","*","*","113","2998","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2512","*","186","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","33","*","*","*","64","12"
"36","T47","*","0.002","*","*","*","0.12","*","0.52","*","*","*","*","*","*","*","*","*","*","0.234","*","*","*","*","*","0.106","0.465","*","110","2837","0.003","5.46","0.003","0.25","*","*","*","0.022","*","*","*","0.002","*","*","*","0.03","*","0.003","0.133","*","*","0.23","2368","*","222.7","*","2.44","*","0.023","*","*","*","*","1.137","*","*","0.0014","0.084","0.107","*","0.001","*","0.0022","0.0032","0.0015","0.0015","29.8","9.5","0.027","0.014","63.4","*"
"37","T49","39.768","*","0.375","9.069","*","0.134","49.6","0.145","*","*","*","*","*","0.652","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"38","T50","43.16","*","0.37","8.91","*","0.13","45.66","0.493","*","*","*","*","*","0.46","*","*","*","*","2","*","*","*","*","*","*","*","*","119","3027","2","12","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2506","*","229","*","*","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*","35","*","*","*","75","*"
"39","T51","43.45","0.018","0.378","8.81","7.59","0.119","45.88","0.452","*","*","*","*","*","0.26","*","*","*","*","*","*","*","*","*","*","0.119","*","*","139","2404","*","*","*","*","*","*","0.591","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2468","*","219","*","*","*","*","*","*","*","*","*","9.25","*","*","*","*","*","*","*","*","*","*","*","22.8","*","*","*","64","*"
"40","T53","*","0.002","0.23","8.811","*","0.121","43.965","0.491","0.012","0.006","*","*","*","*","*","0.33","*","*","*","*","*","*","*","*","0.126","0.7","*","112.205","691.52","*","5.43","*","0.515","*","*","0.28","*","*","0.267","*","*","*","*","*","0.05","1.7","0.002","0.141","*","*","0.21","2465.96","*","243.3","*","2.46","*","0.1","*","*","*","*","1.63","*","0.049","*","0.1","0.1","0.131","*","*","0.49","0.028","*","*","19.88","6.937","0.03","0.007","54.4","2.4"
"41","T55","41.89","0.03","0.01","9.56","*","0.11","47.34","0.45","0.01","0.01","0.01","*","*","0.32","*","3.22","*","*","0.01","*","*","*","*","*","*","1.437","*","33.2","4504","0.01","5.7","0.09","0.208","0.034","*","*","0.03","*","1.93","*","0.044","*","*","*","0.04","*","0.01","*","*","16.9","0.745","2309","*","188","*","2.33","*","2.4","*","*","*","*","*","23.6","*","*","*","0.66","0.35","0.01","*","0.34","*","0.022","0.11","41.2","*","28.5","0.09","77.2","45.8"
