"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"20","U17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","U18","43.04","0.38","8.26","11.7",NA,"0.162","21.36","7.49","1.15",NA,"0.051",NA,NA,"4.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.048",NA,NA,"80.1","2142",NA,"40.5",NA,NA,NA,NA,"5.5",NA,NA,NA,"0.0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5",NA,"874",NA,NA,NA,NA,NA,NA,NA,NA,NA,"160",NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"192",NA,"10",NA,"51.2","18.1"
"22","U19","43.872","0.406","8.018","11.62","8.08","0.178","21.12","7.733","1.15","0.051","0.035",NA,NA,"4.3",NA,NA,NA,NA,NA,"5.275",NA,NA,NA,NA,"1.219",NA,"83.91","2587.3","0.178","40.99","1.489","0.933","0.279",NA,"8.873","0.947",NA,"0.53",NA,"0.36",NA,NA,NA,"0.407",NA,"0.144",NA,NA,"0.412","1.425","879.3",NA,"0.331",NA,"0.236",NA,"0.966",NA,NA,NA,NA,NA,"29.09",NA,"0.711",NA,"16.151","0.0296","0.214",NA,"0.064",NA,"0.15","0.0111","169.1",NA,"10.269","0.933","57.078","15.052"
"23","U20","43.97","0.38","7.97","11.94","7.99","0.18","21.33","7.74","1.05","0.05","0.02",NA,NA,"4.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","2445",NA,"32",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,"172",NA,"9",NA,"67","15"
"24","U21",NA,"0.4",NA,NA,NA,"0.17228034360166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.78357583005866",NA,NA,NA,"0.0581692819180288","1.22806582354492",NA,"94.7244113667814","2550.65579112037","0.175757795487819","46.5250379047943","1.52680123582674","1.00929550101057","0.297831842202689",NA,"8.59190065313095","1.1531307203807","1.50978653108443","0.543817911447154",NA,"0.328824372409423",NA,NA,NA,"0.391105982165984",NA,"0.145536519583066",NA,NA,"0.354810158767955","1.45734076326976","936.118687804363",NA,"0.311273416152319",NA,"0.229487135215289",NA,"0.897920495666102",NA,NA,NA,NA,"0.0889521582132596","30.2351626282736",NA,"0.681749535076745","0.223319577076294","16.2468708470262","0.0680366424679721","0.218176307092467",NA,"0.0317240903777849","0.013728417912814","0.146604969205755","0.0103030331781757","186.849093149198","0.0542547592464754","8.72591555959049","0.971936670822456","96.7777903321982","15.1625917436603"
"25","U22","44.181","0.377","7.905","11.73",NA,"0.184","21.394","7.771","1.146","0.042","0.023",NA,NA,"4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","U23","46.06","0.39","8.12","11.65","8.44","0.17","21.59","7.69","1.19","0.31","0.19",NA,NA,"1.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","U24",NA,"0.395","8.29","11.92",NA,"0.18","19.46","7",NA,"0.185","0.021",NA,NA,NA,NA,"2.12",NA,NA,"99.2","20.5",NA,"22.1",NA,NA,"9.5",NA,"74.9","2297",NA,"52.1",NA,NA,NA,NA,"10.1",NA,"19.8",NA,NA,NA,NA,NA,NA,"6.7",NA,NA,NA,NA,NA,NA,"715.2",NA,"16.9",NA,NA,NA,NA,NA,NA,NA,NA,"51.1","28.2",NA,NA,NA,"21.3",NA,NA,NA,NA,NA,NA,NA,"179.4",NA,"12.2",NA,"44.2",NA
"28","U25","44.15","0.389","7.95","11.35",NA,NA,"21.78","7.83","1.2","0.047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","U25.1",NA,NA,NA,NA,NA,"0.177",NA,NA,NA,NA,"0.031",NA,NA,"4.6",NA,"0.03",NA,NA,"8.2","10.5","0.65",NA,NA,"0.04",NA,NA,"91","2276",NA,"39",NA,NA,NA,"170",NA,NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6",NA,NA,NA,"770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,"0.98","14",NA,NA,NA,NA,NA,NA,NA,"187",NA,"13.5",NA,"62","24.5"
"30","U26","43.85","0.377","7.98","11.85",NA,"0.178","21.28","7.84","1.19","0.03","0.04",NA,NA,"4.86",NA,NA,NA,NA,NA,"6.07","0.06",NA,NA,NA,"1.204",NA,"88.8","2411",NA,"44.7","1.56","1.035","0.296",NA,"9.12","1.13",NA,"0.57",NA,"0.344",NA,NA,NA,"0.409","4.3","0.145","0.222",NA,"0.337","1.463","898",NA,"0.142",NA,NA,NA,"0.94",NA,NA,NA,NA,NA,"26.4",NA,"0.6995","0.261","17.5","0.024","0.233",NA,"0.029","0.014","0.148","0.0098","180","0.058","8.86","1.016","62.5","17.7"
"31","U26.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","U27","43.95","0.37","7.94","11.82","8.14","0.181","21.01","8.17","1.11","0.04","0.018","5.58","0.14","4.9",NA,NA,"0.2",NA,NA,NA,NA,"0.1",NA,NA,"2.1",NA,"92.6","2519",NA,"49.6","1.53","1.36","0.33","125.2",NA,"1.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,"25.5",NA,"2.36",NA,"13",NA,NA,NA,"4",NA,NA,NA,"182.3",NA,"8.8","1.22","59.6","13.5"
"33","U28",NA,"0.368017181139059","7.97319767011058","11.7764987889644",NA,"0.173859164694747","22.4550598497823","7.49677270647238","1.02307892108888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.55416666666667",NA,NA,NA,"0.0479166666666667","1.1625",NA,"89.0579326923077","2589.37723214286","0.19","43.3158653846154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.496875","4.30243055555556",NA,"0.25625",NA,NA,NA,"889.023557692308",NA,"0.314375",NA,NA,NA,"1.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.7",NA,NA,NA,NA,NA,NA,"0.03625","156.4",NA,"8.7575",NA,"21.250625",NA
"34","U29","44.05","0.39","8.191","12.04","8.43","0.178","21.216","7.862","1.023","0.058","0.035",NA,NA,"4.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.07",NA,NA,"2365",NA,"13","3.973","2.464","0.693",NA,NA,"2.596",NA,NA,NA,"0.98",NA,NA,NA,"1.049",NA,"0.455",NA,NA,NA,"3.585","699",NA,NA,NA,"0.583",NA,"2",NA,NA,NA,NA,NA,NA,NA,"1.745",NA,"8",NA,"0.547",NA,NA,NA,"0.381",NA,"316",NA,NA,"2.655","43","14"
"35","U30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.46",NA,NA,NA,NA,"1.251",NA,NA,NA,"0.179",NA,"1.456","0.941","0.308",NA,NA,"1.084",NA,"0.58",NA,"0.324",NA,NA,NA,"0.519",NA,NA,NA,NA,"0.44","1.546",NA,NA,NA,NA,"0.27",NA,"1.08",NA,NA,NA,NA,NA,"38.9",NA,"0.716",NA,NA,"0.03","0.239",NA,"0.03",NA,"0.14","0.024",NA,NA,"8.64","0.914",NA,"17.49"
"36","U31","41.645","0.407","7.803","12.688",NA,"0.197","22.586","8.357","1.292","0.086","0.04",NA,NA,"5.09",NA,NA,"0.5",NA,NA,"6.5",NA,NA,NA,NA,NA,NA,"85.5","1997.7",NA,"44.3",NA,NA,NA,NA,"9.6",NA,NA,NA,NA,NA,NA,NA,NA,"10.4",NA,NA,NA,NA,"1.4",NA,"857.8",NA,"9.4",NA,NA,NA,"3.4",NA,NA,NA,NA,NA,"23.5",NA,NA,"2.5","22.1","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"9.9",NA,"65.8","24.1"
"37","U32",NA,NA,NA,"11.43",NA,NA,NA,NA,"1.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.9","2377",NA,NA,NA,NA,"0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39",NA,"0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.3",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.03",NA,NA
"38","U33","44.12","0.371","7.86","11.89",NA,"0.182","21.23","7.748","1.04","0.054","0.023",NA,NA,"4.87",NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"88","2495",NA,"47",NA,NA,NA,NA,"9",NA,NA,NA,"0.0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"903",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,"29",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,"162",NA,"9",NA,"60","21"
"39","U34","43.88","0.407","8.89","11.96",NA,NA,"22.31","7.87","1.17",NA,NA,NA,NA,"4.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","U35","44.047","0.377","7.961","11.813",NA,"0.181","21.221","7.882","1.155","0.042","0.017",NA,NA,"4.715",NA,NA,NA,NA,NA,"5.7","0.228",NA,NA,NA,"1.328",NA,"85.7","2525",NA,"39.1","1.523","1.003","0.299",NA,"7.9","1.23",NA,"0.565",NA,"0.349",NA,NA,NA,"0.4","4.331","0.141","0.403",NA,"0.31","1.406","886.8",NA,NA,NA,"0.259",NA,"0.96",NA,NA,NA,NA,"0.11","29.6",NA,"0.694",NA,"16.2",NA,"0.233",NA,NA,NA,"0.147",NA,"161",NA,"9.7","1.009","60.6","16.5"
"41","U36","43.29","0.381","7.84","11.84",NA,"0.165","21.55","7.61","1.04","0.042","0.023",NA,"0.167","4.67",NA,NA,NA,"0.00052",NA,"5.59",NA,NA,NA,NA,"1.18","101","83.6","2357","0.15","41.6","1.45","0.99","0.27",NA,"8.22","1.24","1.17","0.53",NA,"0.35",NA,NA,"0.00094","0.41",NA,"0.14",NA,NA,"0.3","1.3","893","0.00101",NA,"0.01","0.19","0.01","0.84",NA,"0.00125","0.00378","198",NA,"28.7",NA,"0.6",NA,"15.4",NA,"0.2",NA,NA,NA,"0.13",NA,"165",NA,"9.18","1","65.4","15.8"
"42","U37","44.58","0.393","7.83","11.93","8.46","0.182","20.92","7.88","1.09","0.04","0.22","4.83","0.044","4.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","2522",NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"178",NA,"11",NA,"67",NA
"43","U37.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24"
"44","U38","43.53","0.385","7.97","12.3","8.06","0.173","21.02","7.84","1.15","0.045","0.023",NA,"0.125","4.8",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,"74","2470",NA,"50","1.6","1.1",NA,NA,"9","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,"152",NA,"11","1.1","66","17"
"45","U39","41.62","0.37","5.79","11.88",NA,"0.1712","20.55","7.33","0.62","0.031","0.026",NA,NA,NA,NA,NA,"0.8",NA,NA,"4.94",NA,NA,NA,"1","7.2",NA,NA,"2360",NA,"40.9",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.1","905",NA,"3.1",NA,NA,NA,"1.3",NA,NA,NA,"84.1","1.7",NA,NA,NA,"1.7","15.3",NA,NA,NA,NA,NA,NA,NA,"163",NA,"9.3",NA,"56.2","15.8"
"46","U40",NA,"0.42","8.2","11.75",NA,"0.174","22.3",NA,"1.14",NA,NA,NA,NA,NA,NA,NA,NA,"0.00092",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,"39",NA,NA,"0.295",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00095","0.42",NA,"0.15",NA,NA,NA,NA,"822","0.00079",NA,"0.01085",NA,"0.01016",NA,NA,"0.00135","0.00417","237",NA,"28.4",NA,"0.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,"170",NA,NA,"0.98","57",NA
"47","U41","44.41","0.39","8.03","11.94",NA,"0.18","21.08","7.61","1.12","0.03","0.03",NA,NA,"4.98",NA,NA,NA,"0.16",NA,"9",NA,NA,NA,NA,NA,NA,"90","2406",NA,"45",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.6",NA,NA,NA,NA,NA,"873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,"163",NA,"9",NA,"59","16"
