"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","U1","44.028","0.379","8.156","11.956",NA,"0.181","21.373","7.838","1.151",NA,"0.043",NA,NA,"4.699",NA,NA,NA,NA,NA,"5.91",NA,NA,NA,NA,"1.335",NA,"98.02","2405","0.188","51.11","1.55","0.998","0.32",NA,"10.42","1.24","1.547","0.572",NA,"0.337",NA,NA,NA,"0.43",NA,"0.155",NA,NA,"0.346","1.525","825.4",NA,NA,NA,"0.25",NA,"1.027",NA,NA,NA,NA,NA,NA,NA,"0.722",NA,"16.84","0.025","0.226",NA,"0.029",NA,"0.15",NA,"180.9",NA,"9.652","1.023","72.76","18.65"
"2","U2","44.538","0.387","7.997","11.988",NA,"0.185","21.362","7.784","1.107","0.0394",NA,NA,"0.3091","4.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","U3","44.3","0.386","8.12","11.83",NA,"0.176","21.1","7.79","1.11","0.05","0.026",NA,NA,"4.55",NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,"84","2357",NA,"53",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"868",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,"161",NA,"10",NA,"56","16"
"4","U4","46.64","0.4","8.58","12.29",NA,"0.1852","22.35","8.17","1.01","0.05","0.03",NA,NA,"4.53",NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","U5","44","0.37","8.1","12.3",NA,"0.15","21.4","7.85","1.19","0.02","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","U6","44.81","0.393","8.21","12.03",NA,"0.183",NA,"8.03","0.91",NA,"0.027",NA,NA,"4.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",NA
"7","U7","43.95","0.38","8.05","11.73",NA,"0.18","21.61","7.83","1.14","0.05","0.02",NA,NA,"4.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","1944",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"145",NA,NA,NA,"45","32"
"8","U8","45.81","0.4","8.27","12.44",NA,"0.18","22.08","8.15","1.23","0.01","0.04",NA,NA,"4.83",NA,NA,NA,NA,NA,"5.7","0.06",NA,NA,NA,"1.25",NA,"88","2406","0.2","41","1.54","0.98","0.29",NA,"8.9","1.13",NA,"0.51",NA,"0.35",NA,NA,NA,"0.41","4.6","0.13",NA,NA,"0.38","1.45","872",NA,"0.31",NA,"0.24",NA,"0.91",NA,NA,NA,NA,NA,"28.6",NA,"0.72",NA,"15.7","0.032","0.23",NA,"0.026","0.019","0.15","0.008","166",NA,"9.8","0.91",NA,"13.4"
"9","U9","45.3","0.383","8.06","11.8",NA,"0.177","20.5","7.89","1.04","0.045","0.025",NA,NA,NA,NA,NA,NA,NA,NA,"8.59",NA,NA,NA,NA,NA,NA,"85.5","2311",NA,"48.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.17",NA,NA,NA,NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.3",NA,NA,NA,"17.4",NA,NA,NA,NA,NA,NA,NA,"167",NA,"10.1","1.41","76.1","28"
"10","U10","47.6","0.352","3.8","11.55",NA,"0.194","29.5","7.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4",NA,NA,NA,"1.5","1.7",NA,NA,"2300",NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8",NA,NA,NA,NA,NA,"1.4","830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.7",NA,NA,NA,NA,NA,NA,NA,"160",NA,"8",NA,"55","15.7"
"11","U11","44.046","0.373","7.926","11.753",NA,"0.179","21.196","7.842","1.161","0.046","0.034",NA,NA,"4.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,"917.8",NA,NA,NA,NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"63.3","21.1"
"12","U11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,"93.9","2617.3",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182.5",NA,NA,NA,NA,NA
"13","U12","44.06672","0.399307","8.01473","11.882957",NA,"0.1786875","20.9769595","8.1143185","1.071172","0.0643275","0.029543",NA,NA,"4.7",NA,"0.279197999266884",NA,NA,NA,"5.56553940032989","0.0838736632413176",NA,NA,"0.0573349872304401","1.22660935936104","110","84.6966968068951",NA,"0.17135694293342","46.1254957546596","1.60466545227351","1.04408294090377","0.291085379627865","649","8.68109332068413","1.11996971745818",NA,NA,NA,"0.359961449611749",NA,NA,"0.007","0.416687586458332","5.26369939569468","0.15532967867612",NA,NA,"0.348021571310403","1.48871919527609","910.44465318102",NA,"0.312982736243096",NA,"0.236398863181753","0.02","0.843144694450303",NA,NA,NA,"345","0.0955361451799185","26.3161314514833",NA,"0.69410296272372",NA,"15.5470839379528",NA,"0.228806599605487",NA,NA,NA,"0.155093278802695",NA,"174.454253353128","0.149673784197072","8.06104541780882","0.997248054216623","62.3822574387983","9"
"14","U13","44.44",NA,"7.71",NA,NA,"0.181",NA,NA,NA,NA,NA,NA,NA,"4.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.67","1.05","0.33",NA,NA,"1.2",NA,NA,NA,"0.36",NA,NA,NA,"0.96","6","0.15",NA,NA,NA,"1.61",NA,NA,NA,NA,"0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.79",NA,NA,NA,"0.23",NA,NA,NA,"0.15",NA,NA,NA,NA,"1.05",NA,NA
"15","U13.1",NA,"0.394",NA,"11.92",NA,NA,"21.32","8.222","1.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,"1.7",NA,"1.49",NA,"103","2305",NA,"35",NA,NA,NA,NA,"9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2",NA,"839",NA,"3.7",NA,NA,NA,"1.2",NA,NA,NA,NA,NA,"34",NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"1.4","157","3.2","8.8",NA,"53","16.7"
"16","U14","44.235","0.379","8.008","11.899",NA,"0.179","21.451","7.9","1.179","0.058","0.031",NA,NA,"4.57",NA,NA,"0.8",NA,NA,"15.8",NA,NA,NA,NA,NA,NA,NA,"2698",NA,"53.3",NA,NA,NA,NA,"8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,"953.8",NA,"3.8",NA,NA,NA,"4.3",NA,NA,NA,NA,NA,"29.5",NA,NA,NA,"18.8",NA,NA,NA,NA,NA,NA,NA,"180.8",NA,"7.8",NA,"63.8","26"
"17","U15","43.3754360865659","0.378529101424506","7.90681852767343","11.7948140441542",NA,"0.15743296199926","22.0238071811088","7.89774590149547","1.11","0.037132825020063","0.0207003492416392",NA,NA,"4.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160.484492332091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","U16","44.37","0.38","8.09","11.48",NA,"0.177","21.74","7.85","1.1","0.049","0.036",NA,NA,"4.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","U17","43.72","0.36","7.88","11.53",NA,"0.17","21.42","7.71","1.19","0.05","0.03",NA,NA,NA,NA,NA,"1",NA,NA,"23",NA,NA,NA,NA,NA,"31","79","2124",NA,"44",NA,NA,NA,"320","10",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1","1","965",NA,"4",NA,NA,NA,"1",NA,NA,NA,"217",NA,"26",NA,"2",NA,"17",NA,NA,NA,NA,NA,NA,NA,"169","5","9",NA,"62","20"
