"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"14","A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,"41.8",NA,"5.64",NA,"3.14",NA,"3.03","1.62","0.97",NA,"17.8","3.41",NA,"3.32",NA,"0.59",NA,NA,NA,"22.8",NA,"0.3",NA,NA,"10.9","16.6",NA,NA,NA,NA,"4.5",NA,"143",NA,NA,NA,NA,NA,NA,NA,"3.53","4.66","81.4","1.7","0.6",NA,"7.62","0.44","0.3","3.54",NA,"2.34","13.1","1.65",NA,"122"
"15","A12","70.04","0.29","14.67","3.03",NA,"0.07","1","1.35","4.35","2.91","0.16",NA,NA,"1.89",NA,NA,"3",NA,NA,"348",NA,NA,NA,NA,"57",NA,"8","39","20","19",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,"14","22","11",NA,"17",NA,NA,NA,"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","8",NA,NA,"17",NA,NA,"9","45","32","19",NA,"44","127"
"16","A13","69.72","0.3","14.32","3.19",NA,"0.06","1.02","1.36","4.53","2.83","0.15",NA,NA,"2.31",NA,NA,"2.34",NA,NA,"352","1.27","0.19",NA,"0.05","42.9",NA,"5.47","33.8","2.58","15.5","2.441","1.45","0.72",NA,"18.1","2.9","1.89","3.27",NA,"0.504",NA,"0.03",NA,"22.34",NA,"0.247","0.34",NA,"10.75","16.31","17.6",NA,"7.84",NA,"4.44",NA,"147.5",NA,NA,NA,NA,"0.64","4.6",NA,"3.5","4.49","90.5","1.44","0.49",NA,"6.95",NA,"0.215","2.92","34.7","1.86","15.2","1.438","34.1","131"
"17","A14","65.46","0.35","15.3","2.79",NA,"0.07","0.89","1.14","4.7","2.99",NA,NA,NA,NA,NA,NA,"2.95",NA,NA,"361",NA,NA,"1.18",NA,"41.8","342","5.85","32.2","2.76",NA,"2.99",NA,"0.74",NA,NA,NA,NA,"3.61",NA,NA,NA,NA,NA,"21.3",NA,"0.21",NA,NA,NA,"16.3",NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,"0.69","6.13",NA,"3.57",NA,"106","1.36","0.46",NA,"6.93",NA,NA,"2.72","34.9","2.07",NA,"1.39",NA,"151"
"18","A15",NA,"0.32","14.44","3.2","2.46","0.07","1.08","1.34","4.59","2.98","0.17",NA,NA,"2",NA,NA,NA,NA,NA,"363",NA,NA,NA,NA,"41.6",NA,"6","41",NA,"16","2.9",NA,"0.76",NA,NA,"3.63",NA,NA,NA,"0.6",NA,NA,NA,"21.9",NA,"0.24",NA,NA,"13","16.9",NA,NA,NA,NA,NA,NA,"142",NA,NA,NA,NA,NA,NA,NA,"3.41",NA,"93",NA,NA,NA,NA,NA,NA,NA,"39",NA,"18","1.55","37","139"
"19","A115","69.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A16","70.72","0.32","14.71","3.07",NA,"0.07","0.94","1.39","4.33","3","0.15",NA,NA,"1.96",NA,NA,"3",NA,NA,"353",NA,NA,NA,NA,NA,NA,NA,"36",NA,"19",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"19",NA,"8",NA,NA,NA,"154",NA,NA,NA,"0",NA,NA,NA,NA,NA,"87",NA,NA,NA,"11",NA,NA,"0","37",NA,"21",NA,"32","133"
"21","A17","70.01","0.303","14.51","3.012",NA,"0.071","1.049","1.288","4.57","2.991","0.171",NA,NA,"1.941",NA,NA,NA,NA,NA,"385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","126"
"22","A18","70.9","0.29","14.7","3",NA,"0.08","1","1.3","4.6","3","0.16",NA,"0.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","A19","70.5","0.43","15","3.26",NA,"0.12","1.22","1.41","4.24","3.67","0.14","0.18",NA,"2.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","A20","69.95","0.33","15.06","3.16",NA,"0.09","0.98","1.33","4.28","2.97","0.17",NA,NA,"1.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","A120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7",NA,NA,"347.2",NA,NA,NA,"1.8",NA,NA,"6.3","31.5",NA,"19.9",NA,NA,NA,NA,"17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.5",NA,"18.2",NA,"4.4",NA,NA,NA,"144.4",NA,NA,NA,NA,NA,NA,NA,NA,"7.5","90.1",NA,NA,NA,"8.3",NA,NA,NA,"38.7",NA,"15.5",NA,"36.2","139"
"26","A21","69.8","0.32","14.66","3.17","2.65","0.08","0.93","1.33","4.14","2.99","0.17",NA,NA,"1.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","59",NA,"18",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"18",NA,"17",NA,NA,NA,"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,"94",NA,NA,NA,NA,NA,NA,NA,"41",NA,"20",NA,"40","134"
"27","A22","69.8","0.31","14.5","3",NA,"0.08","1","1.2","4.3","2.9","0.17",NA,NA,"1.97",NA,NA,"0.6",NA,NA,"362",NA,NA,NA,"4","45",NA,"7",NA,NA,"14",NA,NA,NA,NA,"16","10",NA,"5","0.7",NA,NA,NA,NA,"18",NA,NA,"2",NA,"12","15","20",NA,"11",NA,NA,NA,"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA,NA,NA,"7",NA,NA,"4","38","6","18",NA,"43","136"
"28","A23","69.3","0.31","14.46","2.98",NA,"0.08","1.02","1.33","4.49","2.97","0.17",NA,NA,NA,NA,NA,"3",NA,NA,"335",NA,NA,NA,NA,"37.5",NA,"5.7","30","3.1","17",NA,NA,"0.68",NA,"16",NA,NA,"3.1",NA,"0.7",NA,NA,NA,"18.8",NA,"0.21",NA,NA,"10.5","15.6","15",NA,"8",NA,NA,NA,"141",NA,NA,NA,NA,"0.6","5.6",NA,"3.1","4","86","1.3","0.54",NA,"7",NA,NA,"2.9","34","2.5","14","1.46","41","128"
"29","A24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396",NA,NA,NA,NA,"43.5",NA,"6.3",NA,"3.3",NA,NA,NA,"0.78",NA,NA,NA,NA,"3.5",NA,NA,NA,NA,NA,"22.7",NA,"0.25",NA,NA,NA,"17.5",NA,NA,NA,NA,NA,NA,"147",NA,NA,NA,NA,NA,"6.4",NA,"3.72",NA,NA,"1.41","0.52",NA,"7.6",NA,NA,"3.3",NA,NA,NA,"1.5",NA,NA
"30","A25","70.1","0.319","14.53","3.02",NA,"0.075","1.04","1.37","4.48","2.96","0.161",NA,NA,"2",NA,NA,NA,NA,NA,"359",NA,NA,NA,NA,"45",NA,NA,"33",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"20",NA,NA,NA,NA,NA,"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,"39",NA,"16",NA,"47","132"
"31","A26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.26",NA,"5.93","31.02","3.55",NA,NA,NA,"0.781",NA,NA,NA,NA,"3.74",NA,NA,NA,NA,NA,"22.01",NA,"0.263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.839",NA,"3.47",NA,NA,"1.357","0.492",NA,"6.97",NA,NA,"3.046",NA,NA,NA,NA,NA,NA
"32","A261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.06",NA,NA,"461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.25","54.3",NA
"33","A27","69.67","0.32","14.8","3.04",NA,"0.082","1.09","1.33","4.68","2.98","0.166",NA,NA,"1.89",NA,NA,NA,NA,NA,"335.1",NA,NA,NA,NA,"40.5",NA,NA,"41.8",NA,"14.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.4",NA,"17.9",NA,"8",NA,NA,NA,"152.4",NA,NA,NA,NA,NA,NA,NA,NA,"6.8","91.4",NA,NA,NA,"4.2",NA,NA,"4.1","39.6",NA,"16.3",NA,"39.4","124.4"
"34","A28","68.44","0.312","15.54","3.38",NA,"0.08","0.98","1.49","4.66","3.05","0.142",NA,NA,"2",NA,NA,NA,NA,NA,"381",NA,NA,NA,NA,NA,NA,"11","34",NA,"26","1","1",NA,NA,"18","3",NA,"3",NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,"17","8","17",NA,"9",NA,"3",NA,"157",NA,NA,NA,NA,NA,NA,NA,"2",NA,"98","2",NA,NA,"5","1",NA,"3","51","3","6",NA,"42","151"
"35","A29","70.19","0.32","14.86","3.08",NA,"0.078","1.19","1.3","4.66","2.98","0.161",NA,NA,"1.83",NA,NA,NA,NA,NA,"425",NA,NA,NA,NA,"39",NA,"7","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,"11","15",NA,NA,"8",NA,NA,NA,"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",NA,NA,NA,"9",NA,NA,"4","41",NA,"17",NA,NA,"140"
"36","A30","70.24","0.303","14.577","2.947",NA,"0.055","1.021","1.329","4.465","2.864","0.166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","A301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311.9",NA,NA,NA,"40","43.6",NA,"2.7","24.9",NA,"16.9",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,"19.1",NA,"24.5",NA,NA,NA,"150.7",NA,NA,NA,NA,"164",NA,NA,NA,NA,"83.9",NA,NA,NA,"15.5",NA,NA,"11.7","17.1",NA,"16",NA,"32.6","143.7"
"38","A31","70.9","0.29","14.94","3.52",NA,"0.08","1.28","1.47","3.39","2.94","0.1",NA,NA,NA,NA,NA,NA,NA,NA,"372",NA,NA,NA,NA,"30",NA,"10","42",NA,"16",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"23",NA,"15",NA,NA,NA,"175",NA,NA,NA,NA,NA,"7",NA,NA,"6","125",NA,NA,NA,"11",NA,NA,"8","51",NA,"20",NA,"37","148"
"39","A32","70.2","0.31","14.61","3.06",NA,"0.08","1","1.33","3.82","2.82","0.13",NA,NA,"1.93",NA,NA,NA,NA,NA,"2.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"129",NA,NA,NA,NA,NA,NA,NA,NA,"6","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,"114"
"40","A33","69.7","0.11","14.71","3.22",NA,"0.073","1.09","1.35","4.56",NA,"0.17",NA,NA,NA,NA,NA,NA,NA,NA,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","A133",NA,NA,NA,NA,"2.9",NA,NA,NA,NA,NA,NA,NA,NA,"2.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","A34","69.6","0.3","14.54","3.03",NA,"0.07","1.01","1.33","4.5","2.93","0.19",NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"10",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"15",NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,"89",NA,NA,NA,"14",NA,NA,"3","38",NA,"20",NA,"40","127"
"43","A35","70.02","0.33","14.47","2.88","2.97","0.07","1.05","1.31","4.78","2.98","0.17","1.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","A135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"79",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,"35",NA
"45","A36","70.06","0.33","14.83","3.06",NA,"0.07","1.05","1.43","4.52","2.94","0.19",NA,NA,"1.87",NA,NA,"6",NA,NA,"375",NA,"0.3",NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,"5",NA,NA,NA,"154",NA,NA,NA,NA,"0.4",NA,NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"30","141"
"46","A37","69.33","0.308","14.68","3.01",NA,"0.075","1.06","1.324","4.57","2.99","0.166",NA,NA,"1.88",NA,NA,"7",NA,NA,"474",NA,NA,NA,NA,NA,NA,NA,"63",NA,"41",NA,NA,NA,NA,"17.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"13.4",NA,"24",NA,"5",NA,NA,NA,"156.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.7",NA,NA,NA,"13",NA,NA,"1.9","49",NA,"22",NA,"50","140.5"
"47","A38","69.574","0.308","14.4","3.012","2.592","0.076","1.012","1.34","4.588","2.95","0.164",NA,NA,"1.887",NA,NA,"2.4",NA,NA,"348.3","1.98",NA,NA,NA,"38.3",NA,"9.1","29.3",NA,"13","2.59","1.35","0.7",NA,"16.4","2.99",NA,"3.1",NA,"0.471",NA,NA,NA,"19.6","54","0.196","2.3",NA,"11.3","15.5","13.1",NA,"5.8",NA,"4.19",NA,"140.1",NA,NA,NA,NA,NA,"8.9","0.0089","3.31","5.7","79.9","1.3","0.457",NA,"5.8",NA,"0.192","2.9","37.6","2.6","12.3","1.33","34.4","127.5"
"48","A39","69.89","0.32","14.66","2.81","0.68","0.06","0.95","1.24","3.95","2.41",NA,NA,NA,"2.01",NA,NA,"2.67",NA,NA,NA,"1.87","0.05",NA,"1.22",NA,NA,NA,"34.3",NA,"15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.6",NA,NA,NA,NA,NA,NA,NA,NA,"0.057",NA,"0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.9",NA,NA,NA,"41.6",NA
"49","A40","69.6","0.327","15.18","3.17",NA,"0.08","1.071","1.423","4.86","2.908","0.143",NA,NA,"2.1",NA,NA,"1.8",NA,NA,"356.2",NA,NA,NA,NA,NA,"169","7.6","38.7",NA,"20.7",NA,NA,NA,NA,"16.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.9",NA,"15.9",NA,"8.1",NA,NA,NA,"150",NA,NA,NA,NA,NA,"7.7",NA,NA,"5","89.1",NA,NA,NA,"5",NA,NA,NA,"38.6",NA,"16.6",NA,"43.2","139.6"
