"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","A01","70.6","0.32","14.7","2.99","2.5","0.07","1.04","1.34","4.58","3.01","0.16",NA,"1.04","2.12",NA,NA,"4",NA,"32","296","1.9","0.2",NA,NA,"41.7","165","6.5","31","3.31","17","2.7","1.4","0.83","420","18.9","3.2",NA,"2.5","0.026","0.49",NA,NA,NA,"21.8","51.1","0.2","0.3",NA,"12.7","16.4","17",NA,"10",NA,"4.7",NA,"160",NA,NA,NA,"90","0.6","6","6.13","4.1",NA,"97","1.1","0.49",NA,"7.42","0.8","0.21","3.07","34","1.9",NA,"1.3","41","152"
"2","A02","70.04","0.31","14.54","3.04","2.46","0.076","1.04","1.34","4.52","2.95","0.17",NA,NA,"1.94",NA,NA,NA,NA,NA,"387",NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","14","17",NA,NA,NA,NA,NA,"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,"35",NA,"18",NA,"37","138"
"3","A03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"339",NA,NA,NA,NA,"40.96",NA,"6.52","10.51","2.79","24.03","2.34","1.2","0.71",NA,"17.35","3",NA,"2.25",NA,"0.34",NA,NA,NA,"21.02",NA,"0.23",NA,NA,"10.54","16.34","23.6",NA,"41.02",NA,"4.6",NA,"140.15",NA,NA,NA,NA,NA,"5.98",NA,"3.17",NA,"89.52","1.18","0.45",NA,"7.09",NA,"0.173","2.71","77.35",NA,"15.42","1.43","42.83","77.24"
"4","A04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"379",NA,NA,NA,NA,"44.2",NA,NA,NA,"3.07",NA,"2.83","1.518","0.775",NA,NA,"3.37",NA,"4.84",NA,"0.535",NA,NA,NA,"23.2",NA,"0.239",NA,NA,NA,"17.52",NA,NA,"7.59",NA,"5.13",NA,"152.2",NA,NA,NA,NA,NA,NA,NA,"3.61",NA,"94.9",NA,"0.505",NA,"7.64",NA,"0.227","3.08",NA,NA,"16.03","1.513",NA,"146.5"
"5","A05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.3",NA,NA,NA,NA,NA,NA,NA,"0.72",NA,NA,NA,NA,NA,NA,"0.65",NA,NA,NA,"22.8",NA,"0.22",NA,NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.72",NA,NA,NA,"0.49",NA,NA,NA,NA,NA,NA,NA,NA,"1.55",NA,NA
"6","A105",NA,NA,NA,"2.9",NA,NA,NA,NA,"4.44","2.61",NA,NA,NA,NA,NA,NA,"2.87",NA,NA,"362",NA,NA,"1.66",NA,NA,NA,"6.51","34.2","2.95",NA,NA,NA,NA,NA,NA,NA,NA,"3.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141",NA,NA,NA,NA,"0.6","6.07",NA,NA,NA,NA,"1.24",NA,NA,"7.31",NA,NA,"2.01",NA,NA,NA,NA,NA,NA
"7","A06","69.53","0.3","14.59","2.94",NA,"0.081","1.05","1.32","4.52","2.91","0.158",NA,NA,"1.99",NA,NA,"4",NA,NA,"295",NA,"2",NA,"2","38",NA,"6","24",NA,"4",NA,NA,NA,NA,"20",NA,"1",NA,NA,NA,NA,"2",NA,"22",NA,NA,"2",NA,"14",NA,"15",NA,"16",NA,NA,NA,"148",NA,NA,NA,"50",NA,NA,NA,NA,"1","89",NA,NA,NA,"7",NA,NA,"1","28",NA,"16",NA,"67","123"
"8","A106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","A07","69.8","0.32","14.9","3.12",NA,"0.06","0.99","1.24","4.52","3.06","0.16",NA,NA,"2.3",NA,"2.06","20.2",NA,"10.5","369","1.3","12",NA,"0.07",NA,NA,"2.8","53.9",NA,"13.6",NA,NA,NA,NA,NA,NA,"5.2",NA,NA,NA,NA,NA,NA,NA,"61.3",NA,"1.34",NA,"17.3",NA,"11.1",NA,"30.1",NA,NA,NA,NA,NA,NA,NA,NA,"0.8",NA,"1.05",NA,"2.8","89.5",NA,NA,NA,NA,NA,NA,"1.4","42.5","1.9","22.6",NA,"52.8","226"
"10","A08","69.708","0.319","14.446","3.062",NA,"0.078","1.042","1.36","4.618","2.958","0.168",NA,NA,"1.99",NA,NA,"3.6",NA,NA,"351.7",NA,NA,NA,NA,NA,NA,"5.6","38.6",NA,"14.2",NA,NA,NA,NA,"16.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.7",NA,"15.9",NA,"8.6",NA,NA,NA,"150.5",NA,NA,NA,"24",NA,"4",NA,NA,NA,"88.2",NA,NA,NA,"6.5",NA,NA,"3","33.2",NA,"16.1",NA,"38.8","134.6"
"11","A09","70.15","0.31","14.6","3.03",NA,"0.07","1.02","1.33","4.6","3","0.17",NA,NA,"1.92",NA,NA,NA,NA,NA,NA,"1.4",NA,NA,NA,"44.7",NA,NA,NA,NA,NA,"2.89","1.57","0.75",NA,NA,"3.32",NA,"3.1",NA,"0.57",NA,NA,NA,"22.5",NA,"0.23",NA,NA,NA,"17.4",NA,NA,NA,NA,"4.81",NA,"148",NA,NA,NA,NA,NA,"6.3",NA,"3.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.2","1.51",NA,"107"
"12","A109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,"355",NA,NA,NA,NA,NA,NA,"5","17",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,"15",NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,"38",NA
"13","A10","69.98","0.31","14.42","3.09",NA,"0.08","1.06","1.35","4.34","2.96","0.17",NA,NA,"1.94",NA,NA,NA,NA,NA,"326",NA,NA,NA,NA,NA,NA,"10","29",NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"18",NA,NA,NA,NA,NA,"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",NA,NA,NA,NA,NA,NA,NA,"38",NA,"17",NA,NA,"127"
