,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,B,Ba,Be,Bi,Br,C(tot),C(org),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
28,J27,64.3,0.41,13.4,2.618,NA,0.0317,0.83,1.84,2.3,4.43,0.122,NA,NA,NA,NA,NA,NA,NA,2286,NA,NA,NA,NA,NA,2,173.5,NA,NA,22.5,30.1,12.1,NA,NA,NA,NA,22,NA,NA,4.7,NA,NA,NA,NA,NA,99.4,NA,NA,NA,10.5,NA,5.1,29.9,NA,153.7,NA,97.5,NA,NA,NA,NA,5,413.3,NA,NA,NA,25.2,NA,NA,3.1,30.3,NA,8.3,NA,86,301.6
29,J28,68.711,0.473,16.11,2.872,NA,0.039,0.753,1.834,4.084,4.584,0.146,NA,NA,0.34,NA,NA,NA,NA,1869.9,NA,NA,NA,NA,NA,NA,NA,NA,3.4,16.6,NA,13.6,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,7.9,30.7,NA,171.6,NA,NA,NA,3.5,NA,NA,NA,463.8,NA,NA,NA,25.2,NA,NA,3.6,32.2,NA,10,NA,80.3,323.7
30,J29,68.6,0.43,15.5,3.15,1.89,0.038,0.7,1.76,3.91,4.33,0.14,NA,NA,0.17,NA,NA,NA,NA,1500,3.69,NA,NA,NA,NA,0.18,164,NA,3.38,461,NA,17,3.77,1.08,1.22,NA,NA,4.09,NA,NA,NA,0.56,NA,NA,NA,89.3,NA,NA,3.69,14.07,52.4,13.7,NA,15.4,NA,NA,867,NA,3.38,2.45,6.98,NA,450,NA,NA,NA,NA,NA,NA,NA,33.3,NA,13.4,0.759,96.7,38.2
31,J30,69.09,0.479,15.89,2.84,NA,0.032,0.736,1.82,3.91,4.59,0.129,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,J31,68.77,0.48,15.84,2.91,NA,0.051,0.69,1.9,4.16,4.59,0.14,NA,NA,0.28,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,174,NA,6,26,NA,14,NA,NA,NA,NA,25,NA,NA,10,NA,NA,NA,NA,NA,101,NA,NA,NA,12,61,5,30,NA,166,NA,NA,NA,3.4,NA,NA,NA,447,NA,NA,NA,23,NA,NA,5.1,38,NA,9.2,NA,86,309
33,J32,68.7,0.476,15.96,2.851,NA,0.037,0.752,1.823,0.752,4.582,0.13,NA,0.125,0.365,NA,NA,NA,NA,NA,NA,NA,NA,638,NA,NA,NA,NA,6.8,32.8,NA,16.5,NA,NA,NA,1799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,65.5,385
34,J33,69.764,0.511,16.67,3.011,NA,0.039,0.774,1.95,4.192,4.756,0.135,NA,NA,0.39,NA,NA,NA,NA,2073.9,4.4,NA,NA,NA,NA,NA,172.88,NA,5.07,19,1.67,15.3,2.31,1.01,1.48,NA,27.28,4.87,NA,8.76,NA,0.38,NA,NA,NA,95.2,NA,NA,2.18,11.26,58.59,9,33.7,17.9,178.92,NA,NA,NA,3.2,NA,7.83,2.42,480.09,0.88,0.5,NA,24.69,NA,NA,2.12,34.9,NA,8.81,0.8,92.4,348.41
35,J34,68.55,0.486,16.386,3.052,NA,0.041,0.623,1.886,4.137,4.831,0.138,NA,NA,0.27,NA,NA,NA,NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,5.5,23.2,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,15.3,NA,6.6,38.5,NA,187.4,NA,NA,NA,NA,NA,NA,NA,529.2,NA,NA,NA,31.3,NA,NA,NA,41.4,NA,12.6,NA,95.5,353.6
36,J35,68.61,0.4974,16.21,2.83,2.06,0.038,0.8014,1.778,4.048,4.633,0.1295,NA,NA,0.173,NA,0.191,2.837,NA,NA,3.757,0.066,NA,1062,NA,0.056,177.3,NA,4.904,21.34,1.562,14.22,2.244,0.922,1.647,NA,27.83,7.395,1.119,8.984,NA,0.378,NA,NA,NA,98.22,29.3,0.109,2.219,14.4,58.22,6.35,29.64,17.75,176.2,0.0032,44.8,0.167,2.909,1.842,8.598,2.653,515.5,0.984,0.592,NA,25.88,0.858,0.12,2.197,38.61,0.435,10.13,0.741,79.46,378.3
37,J36,68.572,0.479,15.957,2.895,NA,0.0374,0.748,1.837,3.914,4.614,0.1327,NA,NA,0.2,NA,NA,NA,NA,1922.2,NA,NA,NA,NA,NA,NA,170.754,NA,NA,19,1,14.7,2.378,0.91,1.454,NA,22.9,4.122,NA,8.727,NA,0.397,NA,NA,NA,92.35,NA,0.106,NA,12.416,54.919,9.6,31.215,17.168,171.4,NA,NA,NA,3.3,NA,7.73,NA,471.7,0.934,0.509,NA,25.22,NA,0.12,2.274,36.7,NA,10.153,0.769,92.9,354.7
38,J37,66.27,0.48,15.28,2.85,NA,0.039,0.75,1.83,3.65,4.49,0.14,NA,0.21,NA,NA,NA,NA,NA,2040,NA,NA,NA,580,NA,NA,170,NA,NA,20,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,10,NA,100,300
