"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"157.418868727947",NA,NA,NA,NA,"11.1052749471403",NA,"48.0515967007786","291.688303028637","0.0328323856107231","85.5661538675012","3.51613387214877","2.10332570333524","0.909461659192806",NA,"16.6459870906318","3.35027172982012","1.44667009046613","1.48624871585744",NA,"0.69700594543647",NA,NA,NA,"4.84089906646578",NA,"0.303067182329091",NA,NA,"3.94911843805623","7.98220887341198","143.69163447397",NA,"3.28247886276974",NA,"1.62351939847454",NA,"1.90117841141321",NA,NA,NA,NA,"0.322476200863101","39.3249788123366",NA,"2.20882833126074",NA,"167.308743211148","0.337094316290099","0.497945803778198",NA,"0.311715485220595","0.0117203427751515","0.290342733688528","0.324252754711934","241.463909418194","0.200891502063926","17.8497856562685","2.11483961802438","84.0410333398677","50.2426403597378"
"2","Q1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00569830136299947",NA,"0.120177109302931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Q2","48.23","1.179","17.437","10.392","7.72","0.166","8.529","12.148","2.144","0.186","0.14",NA,NA,"-0.26",NA,NA,NA,NA,NA,"191.4",NA,NA,NA,NA,NA,NA,NA,"326.9",NA,"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.3",NA,"144.6",NA,"3.9",NA,NA,NA,"3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"167.9",NA,NA,NA,NA,NA,NA,NA,"231.2",NA,"22",NA,"70.6","55.5"
"4","Q2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA
"5","Q3","47.9","1.19","17.48","10.44","7.54","0.166","8.58","12.3","2.09","0.19","0.14",NA,"0.2","-0.28",NA,NA,NA,NA,NA,"175",NA,NA,NA,NA,NA,NA,"48.4","315.2",NA,"83.6",NA,NA,NA,NA,"16.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165",NA,NA,NA,NA,NA,NA,NA,"254",NA,"15.6",NA,"76.6","53.5"
"6","Q4","48.458","1.176","17.491","10.453","7.824","0.174","8.584","12.145","2.076","0.187","0.141",NA,NA,NA,NA,"0.04","1.6",NA,NA,"171","0.4",NA,NA,"0.1","10.68",NA,NA,"306","0.05","96","3.24","2.1","0.97","150","16.7","2.67","1.4","1.3",NA,"0.66",NA,NA,NA,"4.8",NA,"0.31","0.9",NA,"3.9","8.22","129",NA,"2",NA,"1.59",NA,"2.5",NA,NA,NA,"158",NA,"28",NA,"2.55","1.7","169","0.2","0.48",NA,"0.3",NA,NA,"0.28","227",NA,"20.7","1.98","68","53"
"7","Q5","48.065","1.151","17.604","10.244","7.13","0.156","8.452","12.31","1.818","0.186","0.14",NA,NA,"-0.14",NA,NA,NA,NA,NA,"161",NA,NA,NA,NA,NA,NA,"57","295",NA,"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"125",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"168",NA,NA,NA,NA,NA,NA,NA,"225",NA,"13",NA,"69","60"
"8","Q6","48.349","1.164","17.43","10.247",NA,"0.165","8.573","12.153","2.081","0.183","0.146",NA,NA,"-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.8",NA,"139.5",NA,"1.5",NA,NA,NA,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"170.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9",NA,"70.4","57.7"
"9","Q6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.1",NA,NA,"161",NA,NA,NA,NA,NA,NA,"45.9","295.3",NA,NA,NA,NA,NA,NA,"17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108.3",NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"227.2",NA,NA,NA,NA,NA
"10","Q7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,"11",NA,"46","220",NA,"82","4","2.3",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5.1",NA,NA,NA,NA,NA,"8.6","150",NA,NA,NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.4",NA,"140",NA,NA,NA,NA,NA,NA,NA,"210",NA,"17","2.2","5.7",NA
