"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"47","I38","60.71","0.81","14.19","6.36",NA,"0.16","2.22","4.93","3.86","3.02","0.18",NA,NA,"1.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","68",NA,"29",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"13",NA,"23",NA,"4",NA,NA,NA,"90",NA,NA,NA,NA,NA,"19",NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,"79",NA,"48",NA,"64","199"
"48","I138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153",NA,NA,NA,NA,NA,NA,NA,"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","I39","63.13","0.73","15","5.74",NA,"0.14","2.22","4.33","3.67","2.82","0.18",NA,NA,"2",NA,NA,NA,NA,"385",NA,NA,NA,NA,NA,NA,"12","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,"187"
"50","I40","63.16","0.81","14.7","6.27",NA,"0.14","2.31","4.53","3.73","2.9","0.17",NA,NA,"1.62",NA,NA,NA,NA,"368",NA,NA,NA,NA,NA,NA,"18.7","59.6",NA,"22.4",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,"13.6","26.8","19.8",NA,"12.6",NA,NA,NA,"97.2",NA,NA,NA,NA,NA,"20",NA,NA,NA,"99.3",NA,NA,NA,"10.4",NA,NA,"2.2","72.9",NA,"51.7",NA,"70.2","202.7"
"51","I41",NA,NA,"14.34","5.81","3.98","0.13","2.24","4.59","3.61","2.53",NA,"2.18","0.17","1.72",NA,NA,NA,NA,"385",NA,NA,NA,NA,NA,NA,NA,"54",NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,"12",NA,"10",NA,NA,NA,"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA
"52","I42","64.61","0.81",NA,"5.76",NA,"0.138","2.28","4.56","3.57","2.8",NA,NA,NA,"1.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","I43","62.88","0.77","15.14","5.95",NA,"0.14","2.26","4.38","3.57","2.92","0.18",NA,NA,"1.73",NA,NA,NA,NA,"337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,"97",NA,NA,NA,"7",NA,NA,NA,NA,NA,"42",NA,NA,"167"
"54","I44","63.5","0.768","14.8","5.8",NA,"0.141","2.27","4.49","3.64","2.7","0.174",NA,NA,NA,NA,NA,NA,NA,"357",NA,NA,NA,NA,NA,NA,"14","56",NA,"27",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,"21",NA,"13",NA,NA,NA,"102",NA,NA,NA,NA,NA,"20",NA,NA,NA,"101",NA,NA,NA,NA,NA,NA,NA,"82",NA,"48",NA,"70","192"
"55","I45","63.5","0.77","14.8","5.8",NA,"0.14","2.32","4.43","3.62","2.76","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","I46","63.23","0.82","15.18","5.6","4.69","0.11","2.25","4.76","3.42","2.68","0.17","1.66","0.06","1.62",NA,NA,"0.025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","I47","62.84","0.81","15.08","6.04",NA,"0.144","2.64","4.9","3.12","2.73","0.145",NA,NA,"1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","I48","63.11","0.74","14.93","5.77",NA,"0.14","2.27","4.42","3.43","2.61","0.15",NA,NA,NA,NA,NA,NA,NA,"358",NA,NA,NA,NA,NA,NA,"13","53",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,"74",NA,"51",NA,"69",NA
"59","I49","64.28","0.78","13.62","6.06","-","0.13","1.97","4.74","3.3","2.85","0.09",NA,NA,"1.78",NA,NA,NA,NA,NA,NA,NA,NA,"3.23",NA,NA,"35.9","42.7",NA,NA,NA,NA,NA,"623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.5",NA,"36.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.6",NA
"60","I50","66.09","0.78","13.99","4.94",NA,"0.13","2.14","4.48","4.07","2.8","0.18",NA,NA,NA,NA,NA,NA,NA,"360",NA,NA,NA,NA,"66",NA,NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","30","24",NA,NA,NA,NA,NA,"97",NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","87",NA,"50",NA,"67","200"
"61","I51","63.247","0.76","14.67","5.801",NA,NA,"2.368","4.242","3.74","2.767",NA,NA,NA,"1.796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","I52","61.15","0.76","14.3","5.67",NA,"0.136","2.3","4.42","3.65","2.6","0.17",NA,NA,"1.75",NA,NA,NA,NA,"429",NA,NA,NA,NA,"53.3",NA,"13","54",NA,"28","7.8","5.4","1.54",NA,"17","7.2",NA,"5",NA,"1.5",NA,NA,NA,"24.3",NA,"0.8",NA,NA,"11","26.6","23",NA,"15",NA,"6.3",NA,"96",NA,NA,NA,NA,NA,"18.27",NA,"6.9",NA,"91",NA,"1.4",NA,"7.3",NA,NA,"3","74",NA,"44","4.62","68","193"
"63","I53","66.7","0.84","14.68","4.96",NA,"0.1","2.57","4.36","4.41","2.87",NA,"7.808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","I54",NA,NA,NA,"5.56",NA,NA,NA,NA,"3.73",NA,NA,NA,NA,NA,NA,"1.4",NA,NA,"356",NA,NA,"2.2",NA,"58.2",NA,"13.1","52","2",NA,NA,NA,"1.68",NA,NA,NA,NA,"5.55",NA,NA,NA,NA,NA,"24.9",NA,NA,"1.54",NA,NA,NA,"20",NA,NA,NA,NA,NA,"97",NA,NA,NA,NA,"0.28","18.3",NA,"7.13",NA,"99","1.01","1.16",NA,"8.37",NA,NA,"2.13",NA,"1.2",NA,"4.9","62","200"
"65","I55","63.22","0.76","14.93","5.82",NA,"0.14","2.29","4.52","3.71","2.82","0.16",NA,NA,"1.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.84",NA,NA,NA,"2.26",NA,"7.94","5.09","1.66",NA,NA,"7.37",NA,"5.64",NA,"1.75",NA,NA,NA,"26.13",NA,"0.76",NA,NA,"13.19","30.94",NA,NA,NA,NA,"7.35",NA,"103.15",NA,NA,NA,NA,NA,NA,NA,"7.36",NA,"110.23","0.96","1.26",NA,"8.5",NA,"0.75","2.21",NA,NA,"49.78","4.95",NA,"199.84"
"66","I155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.9","0.18",NA,NA,NA,NA,NA,"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,"17.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.72",NA,NA,NA,NA,NA,"26",NA,"14.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"0.47",NA,NA,"90","1.49",NA,NA,"81",NA
"67","I56","62.89","0.79","14.87","5.92",NA,"0.14","2.36","4.54",NA,NA,"0.19",NA,NA,"10.49",NA,NA,NA,NA,"354",NA,NA,NA,NA,NA,NA,"20","54",NA,"23",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.5",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"96",NA,NA,NA,NA,NA,NA,NA,"83",NA,"50",NA,"72","192"
"68","I57","63.52","0.775","15.05","5.89",NA,"0.14","2.3","4.53","3.61","2.73","0.18",NA,NA,NA,NA,NA,NA,NA,"374",NA,NA,NA,NA,"57.5",NA,NA,"52","1.97","25.4","8.56","4.82","1.67",NA,NA,"7.77",NA,"5.86",NA,"1.79",NA,NA,NA,"25.6",NA,"0.726",NA,NA,"12.7","29.2",NA,NA,"13.7",NA,"7.06",NA,"108",NA,NA,NA,NA,NA,"17.3",NA,"7.23",NA,"104","0.94","1.31",NA,"8.86",NA,"0.746","2.24",NA,NA,"45.3","4.88",NA,"164"
"69","I58","63.58","0.7759","14.922","5.886",NA,"0.1385","2.307","4.485","3.666","2.705","0.1785",NA,NA,"1.7",NA,NA,NA,NA,"340.1",NA,NA,NA,NA,NA,NA,NA,"56",NA,"28.6",NA,NA,NA,NA,"17.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.6",NA,"18.3",NA,"16.6",NA,NA,NA,"98.6",NA,NA,NA,NA,NA,"17.4",NA,NA,NA,"98",NA,NA,NA,"7.8",NA,NA,NA,"88.2",NA,"46.2",NA,"69.9","204.8"
"70","I158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9",NA,NA,NA,NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","I59","63.24","0.76","14.52","5.8",NA,"0.14","2.23","4.45","3.65","2.66","0.17",NA,NA,"1.68",NA,NA,NA,NA,"333.2","1.5",NA,"1.8",NA,"52.9",NA,"11","57.5",NA,"28.1","7.78","4.72","1.63",NA,"16.7","7.12","1.2","5.67",NA,"1.59",NA,NA,NA,"22.9","34.3","0.654",NA,NA,"13.4","26.5","20.8",NA,"12.3",NA,"6.47",NA,"97.6",NA,NA,NA,NA,NA,"16.4",NA,"6.5",NA,"100.4","0.947","1.21",NA,"8.06",NA,"0.686","2.09","69.4",NA,"40.7","4.52","71.8","193.8"
"72","I60","63.19","0.7632","14.12","6.735",NA,"0.1495","2.88","4.48","3.461","2.86","0.158",NA,NA,"1.855","4",NA,NA,NA,"377",NA,NA,NA,NA,"48",NA,"13","59","8","66",NA,NA,NA,NA,"11","7",NA,"6",NA,NA,NA,NA,NA,"28",NA,NA,"3",NA,"12","30","30",NA,"13",NA,NA,NA,"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81",NA,NA,NA,"1",NA,NA,"3","71","6","51",NA,"69","197"
"73","I61","63.35","0.798","15.06","5.92",NA,NA,NA,"4.482","3.66","2.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.2",NA,NA,NA,"2","33","8.26","4.77","1.79",NA,NA,"8.21",NA,"5.97",NA,"1.84",NA,NA,NA,"27.86","35","0.76",NA,NA,"13.83","33.17",NA,NA,NA,NA,"7.06",NA,"98",NA,NA,NA,NA,NA,"20.2",NA,"7.62",NA,"102",NA,"1.3",NA,"9.18",NA,"0.8","2.4",NA,NA,"51.98","4.8","61",NA
"74","I161",NA,NA,NA,NA,NA,"0.139","2.288",NA,NA,NA,"0.176",NA,NA,"1.79","0.048","109",NA,"61","325","1.75",NA,NA,"0.15",NA,NA,"14","52",NA,NA,NA,NA,NA,"380","16.3",NA,"1.17",NA,"0.013",NA,NA,NA,NA,NA,NA,NA,"1.27",NA,NA,NA,"19.92",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.7",NA,"1.81",NA,NA,NA,"0.4",NA,NA,"90","1.35",NA,NA,NA,"200"
"75","I62","63.4","0.765","14.83","5.78","4.21","0.138","2.37","4.52","3.74","2.69","0.173",NA,NA,"1.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","I63","63.5","0.75","14.19","5.74",NA,"0.14","2.32","4.39","3.62","2.6","0.14",NA,NA,NA,NA,"1.3",NA,NA,"351",NA,NA,NA,NA,"53.5",NA,"13","37",NA,"25","6.8","4","1.3",NA,"18","6.3",NA,NA,NA,"1.4",NA,NA,NA,"24",NA,NA,"0.9",NA,NA,"24","22.6",NA,"9",NA,"5.8",NA,"98",NA,NA,NA,NA,NA,"4.7",NA,"5.5",NA,"95.4",NA,"1.1",NA,NA,NA,NA,"0.9","100",NA,"43.5","3.8","64","167"
"77","I64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"388",NA,NA,NA,NA,"55.8",NA,"11.4",NA,"1.58",NA,"7.94","4.68","1.77",NA,"16.6","7.27",NA,"5.59",NA,"1.59",NA,NA,NA,"24.6",NA,"0.7",NA,NA,"12.7","28",NA,NA,NA,NA,"6.9",NA,"79.5",NA,NA,NA,NA,NA,NA,NA,"6.84",NA,"86.9","0.999","1.32",NA,"9.04",NA,"0.695","2.28",NA,NA,"45.9","4.98",NA,"176"
"78","I65",NA,"0.78","15.89","5.73",NA,"0.14","2.82","4.31","3.81","2.75",NA,NA,NA,NA,NA,NA,NA,NA,"404",NA,NA,NA,NA,"58.5","316","13.5","54.2","2.15",NA,"8.31",NA,"1.75",NA,NA,NA,NA,"5.76",NA,NA,NA,NA,NA,"25.3",NA,"0.714",NA,NA,NA,"29.6",NA,NA,NA,NA,NA,NA,"95.5",NA,NA,NA,NA,"0.34","19.6",NA,"7.67",NA,NA,"0.98","1.27",NA,"8.86",NA,NA,NA,"89.5",NA,NA,"5.24",NA,"190"
"79","I66","63","0.72","15.1","5.71",NA,"0.13","2.94","3.98","3.92","2.69","0.18",NA,NA,NA,NA,NA,NA,NA,"407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.3",NA,NA,NA,"96.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.7",NA,NA,NA,"8.9",NA,NA,NA,NA,NA,"48",NA,NA,"197"
"80","I67","63.47","0.77","14.62","5.83",NA,"0.14","2.22","4.39","3.49","2.7","0.26",NA,NA,NA,NA,"3",NA,NA,"408",NA,NA,NA,NA,"58",NA,"11","51",NA,"24",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"19",NA,"30",NA,"12",NA,"69",NA,NA,NA,NA,NA,NA,"6",NA,NA,"86",NA,NA,NA,"20",NA,NA,NA,"80","6","50",NA,"68","178"
"81","I68","63.46","0.783","14.65","5.93",NA,"0.143","2.26","4.55","3.67","2.72","0.174",NA,NA,"1.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","I69","62.01",NA,"14.37",NA,NA,"0.41","2.24","6.65","2.6","2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.07",NA
"83","I70","64.79","0.78","14.85","5.87",NA,"0.17","2.29","4.52","3.56","2.7","1.078","0.13",NA,"1.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.6",NA,NA,NA,NA,NA,"95",NA,NA,NA,"160",NA,NA,NA,NA,NA,"90.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","I71","63.5","0.766","14.8","5.82","4.4","0.14","2.42","4.67","3.65","2.59","0.17","2.2","0.1","1.65","2.9",NA,"4","47","364","2.2","0.16","1.4",NA,"56.75","225","14","55","2.2","26","7.7","4.83","1.667","493","19","7.4","4.4","5.6",NA,"1.63",NA,NA,NA,"25.4","36","0.768","1.9",NA,"15","27.5","34",NA,"19",NA,"6.89",NA,"95",NA,NA,NA,NA,"0.34","18",NA,"7.75","2.8","106","1.5","1.16",NA,"8.2","0.45","0.733","2.3","95","3","50","4.21","65","194"
"85","I72","63.2","0.77","14.8","5.78",NA,"0.108","2.29","4.47","3.53","2.7","0.23",NA,"0.1","1.77",NA,"1.13",NA,NA,"365","1.91",NA,NA,"0.09","53.7",NA,"14","59.7","2.05","27.4","8.33","4.72","1.6",NA,"16.63","7.64","1.41","5.15",NA,NA,NA,"0.31",NA,"24.3","35.2","0.68",NA,NA,"12.7","27.1","20.8",NA,"15.2",NA,"7.12",NA,"102.7",NA,NA,NA,NA,"0.24","20",NA,"7.5","2.66","100.4","1.03","1.16",NA,"8.12","0.47","0.74","2.25","81.6",NA,"49.3","4.48","68.67","197"
"86","I73","64.393","0.7849","15.121","5.989",NA,"0.1433","2.278","4.586","3.661","2.746","0.1761",NA,NA,NA,NA,NA,NA,NA,"365.4",NA,NA,NA,NA,"54.367",NA,NA,"50.7","2.707","25.9","9.114","5.333","1.814",NA,"18.9","7.802",NA,"5.563",NA,"1.887",NA,NA,NA,"26.112",NA,"0.745",NA,NA,"12.86","27.258","21.9",NA,"15.184",NA,"6.364",NA,"101.15",NA,NA,NA,NA,NA,"23.16",NA,"7.312",NA,"97","0.999","1.441",NA,"8.085",NA,"0.769","2.099","84.6",NA,"51.201","4.803","70.6","190.9"
"87","I74",NA,"0.8","14.8","5.9",NA,"0.16","2.34","4.45","3.3","2.45","0.14",NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,"0.28",NA,NA,"18",NA,"0.5","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,"3",NA,NA,NA,"22",NA,"14",NA,NA,NA,"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,"86","230"
"88","I75","63.42","0.78","14.69","5.79","4.36","0.15","2.24","4.47","3.59","2.76","0.17",NA,"0.26","1.64",NA,NA,NA,NA,"290",NA,NA,NA,NA,NA,NA,"20","35",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,"65",NA,"40",NA,"55","210"
"89","I76","63.13","0.769","14.84","5.711",NA,"0.134","2.194","4.607","3.657","2.719","0.179",NA,NA,"1.7",NA,NA,NA,"46","330","1.6",NA,NA,NA,"53.1",NA,NA,NA,NA,"24","7.79","4.44","1.67",NA,NA,"6.99",NA,NA,NA,"1.54",NA,NA,NA,"23.9",NA,"0.666",NA,NA,NA,"26.7","120",NA,NA,NA,"6.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7",NA,"405",NA,NA,NA,NA,NA,"0.66",NA,NA,NA,"38","4.5","69",NA
"90","I77","63.23","0.743","14.73","5.82","4.51","0.132","2.3","4.56","3.49","2.84","0.176","0.24","0.075","1.74",NA,NA,NA,"41","363","1.65",NA,NA,NA,"56",NA,"13.5","55",NA,"30","7.35","5.04","1.65",NA,"16.5","8.15",NA,NA,"0.008","1.63",NA,NA,NA,"27","32","0.775",NA,NA,"12","28.5","19",NA,"12.6",NA,"7.25",NA,"102",NA,NA,NA,NA,NA,"19.5",NA,"6.8","2.1","103",NA,"1.01",NA,"7.6",NA,"0.68","5","74",NA,"45.8","4.65","71","209"
