"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","I08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.75",NA,NA,NA,NA,NA,NA,NA,"1.68",NA,NA,NA,NA,NA,NA,"1.79",NA,NA,NA,"25.64",NA,"0.67",NA,NA,NA,"29.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.82",NA,NA,NA,"1.21",NA,NA,NA,NA,NA,NA,NA,NA,"4.61",NA,NA
"12","I108",NA,NA,NA,"5.53",NA,NA,NA,"4.52","1.946","2.41",NA,NA,NA,NA,NA,"1.25",NA,NA,"378",NA,NA,"1.79",NA,NA,NA,"13.5","56","2.13",NA,NA,NA,NA,NA,NA,NA,NA,"5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,"0.21","19.6",NA,NA,NA,NA,NA,NA,NA,"8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","I09","62.7","0.76","14.5","6.1",NA,"0.14","2.33","4.6","3.56","2.65","0.2",NA,NA,"1.75","0","19",NA,"33","343","1.5","53",NA,"5","60",NA,"22","60",NA,"34","1.29","5.57","1.96",NA,NA,"10.3","1",NA,NA,NA,NA,NA,NA,"26.7","35","0.43","21",NA,"23","25.3","26",NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"2","8.36","3","89.9","4.64",NA,NA,NA,NA,NA,NA,"128","1","42","0.04","76",NA
"14","I10","62.82","0.7605","14.716","5.807",NA,"0.136","2.315","4.372","3.512","2.693","0.1654",NA,"0.231","1.697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","I11","63.475","0.747","0.747","0.747",NA,"0.1455","2.32","2.32","3.655","2.68","0.1655",NA,NA,"1.78",NA,NA,NA,NA,"324",NA,NA,NA,NA,"48.5",NA,"12.5","43",NA,"25.5",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,"3",NA,"14.5",NA,"24.5",NA,NA,NA,"101.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.5",NA,NA,NA,NA,NA,NA,NA,"74.5",NA,"44.5",NA,"67.5","189"
"16","I111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","I12","64.103","0.766","14.96","5.817","4.56","0.143","2.326","4.507","3.628","2.691","0.157",NA,NA,NA,"0.055","1.7",NA,NA,"349","3","0.1",NA,"0.17","55.53",NA,NA,"57","1.99","31","7.71","4.86","1.6","640","17.45","7.79","2.15","5.25",NA,"1.64",NA,NA,NA,"24.48",NA,"0.72","1.65",NA,"13.4","27.89","15.6",NA,"12.1",NA,"6.84",NA,"103.2",NA,NA,NA,"180","0.3","19",NA,"6.59","2.6","99.2","1","1.4",NA,"7.9",NA,NA,"2.16","79",NA,"48","4.69","69","198"
"18","I13","63.44","0.76","14.8","5.82",NA,"0.136","2.28","4.48","3.56","2.66","0.177",NA,NA,"1.65",NA,"2",NA,NA,"372",NA,NA,NA,NA,NA,"290",NA,"54",NA,"27",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"15",NA,"22",NA,"12",NA,NA,NA,"100.3",NA,NA,NA,"44",NA,NA,NA,NA,NA,"99.8",NA,NA,NA,"8",NA,NA,"3","82",NA,"49",NA,"72","199"
"19","I14","61.66",NA,"15.71","6.26",NA,"0.11","2.09","4.42","3.81","2.64",NA,NA,NA,NA,"0.94","2.28",NA,NA,"353","1.68","0.05",NA,"0.29","49",NA,"11.6","44.8","1.7","25","6.33","3.86","1.51",NA,"9.41","7.35","3.09","3.72",NA,"1.27",NA,NA,"0.04","23.9",NA,"0.51","1.03",NA,"13.45","24.9","18.39",NA,"14.07","1.71","6.76",NA,"107",NA,NA,"0.08",NA,"0.37",NA,NA,"6.02","2.47","102","0.6","1.08","0.32","2.9","0.44","0.58","0.89","68","0.78","51","3.83","62","216"
"20","I15","63.578","0.805","14.906","6.033","4.52","0.163","2.292","4.414","3.589","2.752","0.171",NA,NA,"1.67",NA,NA,NA,NA,"542",NA,NA,NA,NA,"45.74",NA,"16","61",NA,"23","6.75","4.09","1.46",NA,NA,"6.09",NA,NA,NA,"1.4",NA,NA,NA,"20.55",NA,"0.57",NA,NA,"12","23.87","20",NA,"14",NA,"6.17",NA,"90",NA,NA,NA,NA,NA,NA,NA,"5.71",NA,"107",NA,"1.01",NA,"13",NA,"0.56",NA,"86",NA,"43","4.19","80","195"
"21","I16","63.49","0.76","14.85","5.75",NA,"0.13","2.28","4.49","3.61","2.7","0.19",NA,NA,"1.81","0.015",NA,NA,NA,"355","1.79","0.093",NA,"0.036","56.6",NA,"14.1","60.5","2.12","25.8","8.11","4.92","1.69",NA,"16.9","7.55",NA,"5.46",NA,"1.74",NA,NA,NA,"26.6",NA,"0.72","0.88",NA,"12.6","29.5","20.2",NA,"14",NA,"7.11",NA,"96.6",NA,NA,NA,NA,"0.22","20.1",NA,"7.23","2.25","100","1.11","1.37",NA,"8.43","0.47",NA,"2.1","79.6",NA,"44.2","4.81","65.5","195.3"
"22","I171/I17","61.27","0.753","14.51","5.968",NA,"0.142","2.331","4.342","3.399","2.65","0.17",NA,NA,NA,NA,NA,NA,NA,"351.4","1.7",NA,NA,NA,"62",NA,"13.3","53.25","2.7","25.22","7.78","5.34","1.72",NA,"17.09","6.77",NA,"5.43",NA,"1.83",NA,NA,NA,"28.8",NA,"0.78",NA,NA,"12.15","31.66","24.7",NA,NA,NA,"8.27",NA,"104.67",NA,NA,NA,NA,NA,"19.3",NA,"7.64",NA,"111.1","1.02","1.29",NA,"9.14",NA,NA,"2.31","91.5",NA,"48.3",NA,NA,"178.9"
"23","I18","63.34","0.749","14.92","5.77","4.58","0.141","2.24","4.51","3.58","2.7","0.183","2.56","0.23","1.69",NA,NA,NA,NA,"361",NA,NA,NA,NA,"61.8",NA,"13","42.4",NA,"23.6",NA,NA,NA,NA,"18.7",NA,NA,NA,NA,NA,NA,NA,NA,"25.5",NA,NA,NA,NA,"10.3","24","22",NA,NA,NA,NA,NA,"102",NA,NA,NA,NA,NA,"25",NA,NA,NA,"91",NA,NA,NA,NA,NA,NA,NA,"73.3",NA,"52","25","67.5","201"
"24","I19","63.65","0.7642","14.92","5.878",NA,"0.145","2.275","4.478","3.527","2.701","0.1794",NA,NA,"1.688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205.9"
"25","I20","63.63","0.79","14.82","5.9",NA,"0.14","2.23","4.5","3.56","2.67","0.19",NA,NA,"1.82",NA,NA,NA,NA,"358",NA,"13",NA,NA,"47",NA,NA,"54",NA,"23",NA,NA,NA,NA,"17",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","32",NA,NA,NA,NA,NA,NA,"103",NA,NA,NA,NA,NA,"19",NA,NA,NA,"104",NA,NA,NA,NA,NA,NA,NA,"79",NA,"47",NA,"66","194"
"26","I120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","I21","63.28","0.79","14.91","5.87","4.65","0.14","2.3","4.44","3.57","2.72","0.17",NA,NA,"1.71",NA,NA,"0.0013",NA,"362","1.64","0.09",NA,NA,"51.7","102","13.2","46.1","2","26.1","7.91","4.87","1.61","399","17.4","7.24",NA,"5.05",NA,"1.65",NA,NA,"2E-005","22.8","36.3","0.66",NA,NA,"12.7","26.3","20.1",NA,"12.1","0.00025","6.48","0.00035","105",NA,"1E-005","4E-005",NA,NA,"17.5",NA,"6.41",NA,"90.2","1.12","1.2",NA,"8.07","0.48","0.71","2.16","82.3",NA,"38.8","4.56","78","166"
"28","I22","57.6","0.72","13.2","5.94",NA,"0.127","2.56","3.78","3.38","2.56",NA,NA,NA,NA,NA,NA,NA,NA,"360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180"
"29","I23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"368.556313293378",NA,"0.0955734893855585",NA,NA,"58.0674438018954",NA,"13.3442963808069","53.3979932576403",NA,"25.7428764740131","8.09669160595946","5.0310993983102","1.6414254759652",NA,"18.0347576934145","7.54410297048191",NA,"5.53106347804102",NA,"1.65730920528974",NA,NA,NA,"25.5830425793639",NA,"0.705727432680529",NA,NA,"11.4758774480858","29.1370554764152",NA,NA,"13.0871201190714",NA,"7.08604661132244",NA,"100.320543830429",NA,NA,NA,NA,"0.335194822565001",NA,NA,"6.9194171478699",NA,"104.396827958379","0.716221196160271","1.25058558869758",NA,"8.99959307536765","0.227360399545495","0.727630283632224","2.22864174423808",NA,NA,"48.3812940623313","4.5727295720811","75.6529944409125","209.415423486386"
"30","I123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.207796279035744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.91282800147752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.2259749669477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.37140496557097",NA,NA,NA,NA,NA,NA,NA,NA,"85.6548417812694",NA,NA,NA,NA,NA
"31","I24","63.54","0.77","14.9","5.88","4.58","0.14","2.29","4.46","3.52","2.67",NA,"2.14","0.18","1.73",NA,NA,NA,NA,"349","145",NA,NA,NA,"13",NA,"23","40","201","36",NA,"9",NA,NA,"18","4",NA,"25",NA,"1",NA,NA,NA,NA,"23",NA,"5",NA,"19","53","12",NA,"14",NA,NA,NA,"103",NA,NA,NA,NA,NA,"18",NA,"9",NA,"79","5",NA,NA,"8",NA,NA,"5","87",NA,"56","5","63","186"
"32","I25","63.2","0.59","14.35","5.63",NA,"0.144","2.11","4.96","3.42","2.59","0.154",NA,NA,"2.1","0.06",NA,NA,"25","350","3",NA,NA,NA,"60",NA,"15","80",NA,"35",NA,NA,NA,"521","18",NA,NA,NA,NA,NA,NA,NA,NA,"40","33",NA,"1",NA,"12",NA,"50",NA,"10",NA,NA,NA,"99",NA,NA,NA,"184",NA,"25",NA,NA,"3.2","99",NA,NA,NA,"8",NA,NA,NA,"100",NA,"49","5","69","213"
"33","I26","63.495","0.77","14.883","5.738","4.6","0.142","2.325","4.414","3.66","2.753","0.18",NA,NA,"1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","I126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"312.8",NA,NA,NA,NA,"48.9",NA,"13","63","1.8","30","7.7","4.7","1.5",NA,"17.7","7.1",NA,"5.7",NA,"1.6",NA,NA,NA,"21.7",NA,"0.7",NA,NA,"10.3","25.2","19.9",NA,"13.3",NA,"6.2",NA,"101.3",NA,NA,NA,NA,NA,"16.4",NA,"6.2",NA,"108.6","0.8","1.2",NA,"9",NA,"0.7","2.2","88",NA,"48.5","4.6","64","203"
"35","I27","63.48","0.763","14.914","5.782","4.26","0.1414","2.3","4.47","3.746","2.691","0.177",NA,NA,"1.6",NA,NA,NA,NA,"355",NA,NA,NA,NA,NA,NA,NA,"70.4",NA,"27.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.2",NA,"22.7",NA,"12.7",NA,NA,NA,"99.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.8",NA,NA,NA,NA,NA,NA,NA,"83.1",NA,"45.8",NA,"70.9","191.2"
"36","I127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
