"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"42","B34","58.07","0.43","15.29","8.87",NA,"0.13","4.78","6.53","2.49","0.21","0.04","3.51","0.09","3.03",NA,NA,"7.7",NA,NA,"133",NA,"0.034",NA,NA,"12.24",NA,NA,"27.5","0.151","57.9","3.34","2.266","0.467",NA,NA,"2.541",NA,"1.383",NA,"0.747",NA,NA,NA,"5.48",NA,"0.339","0.725",NA,"1.913","6.79","12.6",NA,"4.06",NA,"1.581",NA,"2.15",NA,NA,NA,NA,"0.214","33.08",NA,"2.026","1.34","103","0.197","0.48",NA,"1.503","0.01","0.351","0.369","226.5","2.2","22","2.325","78.7","54"
"43","B35","58.24","0.52","15.18","8.52",NA,"0.12","4.75","6.38","2.45","0.27","0.05",NA,"0.07","3.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.45",NA,"24","22",NA,"70","3.32","2.32","0.47",NA,NA,"2.73",NA,NA,NA,"0.73",NA,NA,NA,"5.88","17","0.37",NA,NA,NA,"6.72","20",NA,"10",NA,"1.59",NA,NA,NA,NA,NA,"232",NA,NA,NA,"2.01",NA,NA,NA,"0.45",NA,NA,NA,"0.35",NA,NA,NA,"22.88","2.5","72",NA
"44","B36","58.77","0.44","15.25","8.87",NA,"0.13","4.67","6.45","2.28","0.22","0.05",NA,NA,"2.72",NA,NA,NA,NA,NA,"115.8",NA,NA,NA,NA,NA,NA,"27.7","27.8",NA,"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.1",NA,"13.3",NA,NA,NA,NA,NA,"2.5",NA,NA,NA,NA,NA,"28.4",NA,NA,NA,"99.9",NA,NA,NA,NA,NA,NA,NA,"205.7",NA,"21.6",NA,NA,"58.7"
"45","B37","57.43","0.443","15.57","8.9",NA,"0.131","4.84","6.68","2.38","0.22","0.046",NA,NA,"3.04",NA,NA,NA,NA,NA,"149",NA,NA,NA,"0.12",NA,NA,"32","74",NA,"68",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"10",NA,"3.3",NA,NA,NA,"10",NA,NA,NA,"100",NA,"16",NA,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,"83",NA,"27",NA,"78","55"
"46","B38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.45",NA,NA,NA,NA,NA,NA,NA,"9.36",NA,"23.38","22.13",NA,NA,NA,NA,"0.574",NA,NA,NA,NA,"1.92",NA,NA,NA,NA,NA,"5.22",NA,"0.354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.96",NA,"1.732",NA,NA,NA,"0.425",NA,"1.511",NA,NA,NA,NA,NA,NA,"2.26",NA,NA
"47","B138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.401",NA,NA,NA,NA,"130",NA
"48","B39","58.099","0.426","14.999","8.712",NA,"0.135","4.549","6.659","2.477","0.209","0.049",NA,NA,"3.206",NA,"3.2","8.4",NA,NA,"113.8","0.36",NA,NA,NA,"12.13",NA,"29.1","23.4",NA,"54.6","3.38","2.383","0.5",NA,"12.5","2.65",NA,"2.055",NA,"0.751",NA,NA,NA,"5.17","20.2","0.382","3.5",NA,"1.8","6.97","11",NA,"3.7",NA,"1.58",NA,"2.2",NA,NA,NA,NA,NA,"27.8",NA,"2.08",NA,"94.6","0.16","0.469",NA,"1.81",NA,"0.356","0.395","195.1","1.6","19.1","2.544","68.1","48.9"
"49","B40","61.78","0.45","14.96","8.87",NA,"0.12","4.59","6.6","2.31","0.24","0.06",NA,NA,"2.75",NA,NA,"5",NA,NA,"163","0.8",NA,NA,NA,"16",NA,"29","33",NA,"45","4","3","0.9",NA,"7","3",NA,NA,NA,"2",NA,NA,NA,"9","28","0.6","2",NA,"3","8","10",NA,"6",NA,"2",NA,"6",NA,NA,NA,NA,NA,NA,NA,"2",NA,"112","0.3","0.8",NA,"3",NA,"0.5","0.3","520",NA,"22","3","72","20"
"50","B41","57.99","0.433","14.9","8.89",NA,"0.125","4.65","6.56","2.4","0.22","0.049",NA,NA,"3.09",NA,NA,NA,NA,NA,"135",NA,NA,NA,NA,NA,NA,"27","30",NA,"53",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"13",NA,NA,NA,NA,NA,"1.8",NA,NA,NA,"58",NA,"32.1",NA,NA,NA,"104",NA,NA,NA,NA,NA,NA,NA,"221",NA,"21",NA,"80","56"
"51","B42","58.3","1.4","15","8.9",NA,"0.13","4.77","6.33","2.45","0.214","0.049","0.19",NA,"3.19",NA,NA,"12.1",NA,"10.6","147",NA,NA,NA,NA,"14.8",NA,"25.2","25.9",NA,"61.3","3.6","2.5","0.7",NA,"17","3.3","2.6","1.6",NA,"0.8",NA,NA,NA,"6.3","22.1",NA,"0.9",NA,"2.1","7.8","9.9",NA,"5","5","1.7",NA,"9.7",NA,NA,NA,NA,NA,"43.4","1","2.5","0.6","111",NA,NA,NA,"2",NA,NA,NA,"216","0.6","20.7","2.4","73","22.6"
"52","B43","58","0.436","14.9","8.93","4.9","0.125","4.71","6.31","2.42","0.21","0.045","3.1","0.05","2.95",NA,NA,"9",NA,NA,"138",NA,NA,"4.6",NA,"13.8",NA,"24","22","0.9","61.1","3.85","2.7","0.56",NA,"14","3.1",NA,"2.1",NA,"0.885",NA,NA,NA,"6.3",NA,"0.435",NA,NA,"6","8.1","9",NA,"10",NA,"1.8",NA,"5",NA,NA,NA,NA,"10","33.4",NA,"2.7","5","101",NA,"0.55",NA,"1.5",NA,"0.4","0.4","204","2","22.5","2.8","64.8","54"
"53","B44","58.07","0.39","15.04","8.9",NA,"0.13","4.7","6.54","2.58","0.22",NA,NA,NA,"3.15",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93",NA,NA,NA,NA,NA,NA,NA,NA,"480",NA,NA,"60",NA
"54","B45","58.39","0.45","15.2","9.19","4.89","0.14","4.75","6.56","2.39","0.06","0.02","3.43",NA,"2.95",NA,"2","7",NA,NA,"145",NA,NA,NA,NA,"12",NA,"21","29","0.13","62","3.5","2.4","0.51",NA,"14","2.8",NA,"1.2",NA,"0.77",NA,NA,NA,"5.4",NA,"0.36","9.7",NA,"2.1","7.2","21.4",NA,NA,NA,"1.6",NA,"2",NA,NA,NA,"100",NA,"28","19","2.2",NA,"110","0.15","0.49",NA,"1.6",NA,"0.36","0.37","215",NA,"17","2.3","74","58"
"55","B46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.9",NA,NA,NA,NA,NA,"3.2","2.1","0.66",NA,NA,"2.7",NA,NA,NA,"0.75",NA,NA,NA,"6",NA,"0.32",NA,NA,NA,"6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.5","2.1",NA,NA
"56","B47","55.78","0.38","12.22","10.19",NA,"0.13","7.76","5.85","2.48","0.19","0.04",NA,"0.062","2.93",NA,"0.31","6.08","0.03",NA,"143","0.36",NA,NA,"0.18","11.6",NA,"23","29.1",NA,"61.2","3.27","2.5","0.33",NA,"12.2","2.7",NA,"1.49",NA,"0.72",NA,NA,NA,"6.11","18.1","0.36","1.09",NA,"2.82","6.84","17.4","0.005","7.77",NA,"1.57",NA,"2.58",NA,NA,NA,"35","0.17",NA,"0.35","2.21","0.64","102","0.13","0.47","0.03","1.68",NA,"0.34","0.38","241","0.37","29.6","2.68","73.6","60"
"57","B48","58.1","0.45","14.95","9.09",NA,"0.133","4.56","6.62","2.39","0.21","0.055",NA,NA,"2.57",NA,NA,NA,NA,NA,"129","0.46",NA,NA,"0.18","13.6","20","23","32",NA,"75","3.9","2.7","0.59","750","13","2.3",NA,"1.8",NA,"0.9",NA,NA,NA,"6.1","19","0.43","0.66",NA,"5","7.7","12",NA,"4.2",NA,"1.8",NA,"2.1",NA,NA,NA,"60","0.22","35",NA,"2.2",NA,"108",NA,NA,NA,NA,NA,"0.4","0.38","220",NA,"21","2.7","70","45"
"58","B49",NA,"0.51","14.59","8.72",NA,"0.12","4.46","5.73","2.47","0.25",NA,NA,NA,"2.98",NA,NA,"6.5",NA,NA,"99",NA,NA,NA,NA,NA,NA,"21","22",NA,"57",NA,NA,NA,"360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"296",NA,NA,NA,"74",NA
"59","B50","57.44","0.432","15.31","9.193",NA,"0.126","4.825","6.618","2.548","0.2","0.0481",NA,NA,NA,NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,"11.9",NA,"24.5","20.1",NA,"63.1","3.24","2.37","0.49",NA,"13.6","2.74",NA,"1.42",NA,"0.75",NA,NA,NA,"5.41",NA,"0.37",NA,NA,"1.78","6.95","12.9",NA,"4.02",NA,"1.56",NA,"1.76",NA,NA,NA,NA,"0.44","34.9",NA,"2.01",NA,"110",NA,"0.5",NA,"1.62",NA,"0.36","0.4","219",NA,"22.6","2.37","73.5","42.1"
"60","B51","58.31","0.48","14.74","9.23",NA,"0.14","4.83","6.68","2.57","0.17","0.03",NA,NA,"3.15",NA,NA,"5.2",NA,NA,"97.1","1.98",NA,NA,"0.05","12.46",NA,"22.9","27","0.134","64","3.182","2.246","0.5",NA,"13.74","2.515",NA,"1.76",NA,"0.827",NA,NA,NA,"5.546",NA,"0.412","1.074",NA,"2.2","7.616","10.6",NA,"3.47",NA,"1.648",NA,"3",NA,NA,NA,NA,"0.54",NA,NA,"2.029","0.77","106","0.143","0.498",NA,"1.75",NA,"0.347","0.326","251","0.45","24.1","2.514","78.5","56"
"61","B52",NA,"0.469",NA,"9.94",NA,"0.137",NA,"6.23",NA,"0.158","0.052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","B152","57.02",NA,"13.34",NA,NA,NA,"5.67",NA,"2.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132",NA,NA,NA,NA,NA,NA,"22","18",NA,"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"8",NA,NA,NA,"3",NA,NA,NA,"39",NA,"34",NA,NA,NA,"104",NA,NA,NA,"10",NA,NA,NA,"229",NA,"19",NA,"75","60"
"63","B53","58.5","0.45","15.16","9.33","5.16","0.137","4.81","6.69","2.49","0.21","0.03",NA,NA,"3.05",NA,NA,NA,NA,NA,"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","B153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"18",NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253",NA,"18",NA,"51","32"
"65","B54","58.46","0.44","15.03","8.66","5.14","0.13","4.7","6.46","2.49","0.23","0.06",NA,NA,"2.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","B154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102",NA,NA,NA,NA,NA,NA,NA,"204",NA,NA,NA,"72",NA
"67","B55","58.66","0.447","15.02","9.14",NA,"0.133","4.76","6.57","2.53","0.21",NA,NA,NA,"3.11",NA,NA,NA,NA,NA,"135.3",NA,NA,NA,NA,"26.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.9",NA,"70.6","55.1"
"68","B155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.1",NA,NA,NA,NA,"3.5",NA,"12.9",NA,"5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","B56","57.56","0.433","15.62","8.92",NA,"0.136","5.02","6.54","2.11","0.209","0.057",NA,NA,"2.83",NA,NA,"9",NA,NA,"143",NA,"4",NA,NA,"19",NA,"20","23",NA,"51",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"4",NA,"6","10","9",NA,"3.3",NA,NA,NA,"3",NA,NA,NA,NA,NA,"37",NA,NA,"2","101",NA,NA,NA,"0.05",NA,NA,"0.84","220",NA,"21",NA,"77","65"
"70","B57","57.95","0.456","15.33","9.12","4.63","0.127","4.8","6.54","2.51","0.22","0.04","0.16",NA,"2.93",NA,NA,"5.9",NA,"13","124","0.3",NA,NA,NA,"17",NA,"20","23",NA,"59",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"5","20",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","33",NA,NA,"1.6","90",NA,NA,NA,"6",NA,NA,NA,"230",NA,"21",NA,"66","52"
"71","B58","58.3","0.44","15.2","9","5.2","0.13","4.69","6.48","2.4","0.21","0.05","3.2","0.1","3",NA,NA,NA,NA,NA,"155",NA,NA,NA,"0.3","12","105","22","35","0.13","70","3.3","2.2","0.51","250","14","2.9",NA,"1.5",NA,"0.75",NA,"0.06",NA,"5.3",NA,"0.38",NA,NA,"2.1","7.3","12",NA,"9",NA,"1.6",NA,"2.1",NA,NA,NA,"81",NA,"32",NA,"2.2",NA,"110","0.2","0.52",NA,"1.5","0.02","0.36","0.34","200",NA,"22","2.4","60","49"
"72","B59","57.51","0.44","15.25","9.35",NA,"0.12","4.73","6.53","2.5","0.18","0.14",NA,NA,"3.11",NA,NA,"8.31",NA,NA,"116","0.66","0.1",NA,"0.15","11.78",NA,"21.7","29","0.21","62","3.08","2.14","0.42",NA,"14.5","2.53","1.1","1.47",NA,"0.76",NA,"0.04",NA,"5.44",NA,"0.39","0.59",NA,"1.83","6.67","16.3",NA,"4.06",NA,"1.48",NA,"2.13",NA,NA,NA,NA,"0.28",NA,NA,"2.04","0.55","102","0.14","0.44",NA,"1.58",NA,"0.35","0.45","211","0.38","19.5","2.44","64.1","52"
"73","B60","58.79","0.44","15.14","8.86",NA,"0.129","4.69","6.53","2.48","0.217","0.044",NA,NA,NA,NA,"0.5","8.1",NA,NA,"130",NA,"1.5",NA,"0.4","12.1",NA,"26","23",NA,"53",NA,NA,"0.49","355","12.6",NA,"1.6","1.5","0.5","0.69",NA,NA,NA,"5.2",NA,"0.4","1.8",NA,"1.5","6.7","12",NA,"4",NA,NA,NA,"2",NA,NA,NA,NA,"0.17","33",NA,"1.92","0.5","100",NA,"0.41",NA,"1",NA,NA,"0.4","230",NA,"20","2.28","84","53"
