"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","B09","60.27","0.46","15.67","9.12",NA,"0.14","4.82","6.72","2.53","0.22","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116.2",NA,NA,NA,NA,"12.49",NA,NA,NA,"0.117",NA,"3.443","2.477","0.5177",NA,NA,"2.838",NA,"1.92",NA,"0.7902",NA,NA,NA,"5.574",NA,"0.42",NA,NA,NA,"7.169",NA,NA,"3.93",NA,"1.719",NA,"1.94",NA,NA,NA,NA,NA,NA,NA,"2.178",NA,"111.4",NA,"0.5007",NA,"1.68",NA,"0.3818","0.369",NA,NA,"21.89","2.604",NA,"51.6"
"13","B11","57.43","0.44","15.23","9.52",NA,"0.12","4.84","6.86","2.22","0.22","0.08",NA,NA,"3.13",NA,"1.7","20",NA,"18.3","130.3","0.9","5.3",NA,"0.7",NA,NA,"22.5","22.6",NA,"58.8",NA,NA,NA,NA,NA,NA,"3.3",NA,NA,NA,NA,NA,NA,NA,"22.9",NA,"2.2",NA,"15.1",NA,"5.9",NA,"10.4",NA,NA,NA,NA,NA,NA,NA,NA,"0.1",NA,"8.8",NA,"4.7","98.7",NA,NA,NA,NA,NA,NA,"8.4","256.3","7.6","25.7",NA,"83.1","219"
"14","B12","58.58","0.44","15.34","8.87",NA,"0.136","4.74","6.54","2.48","0.21","0.043",NA,NA,"2.99",NA,NA,NA,NA,NA,"96",NA,NA,NA,NA,"16",NA,"20","116",NA,"90",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"8",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,"205",NA,"22",NA,"73","51"
"15","B13","58.8","0.39","15.19","8.78",NA,"0.12","4.95","6.3","2.76","0.21","0.06",NA,NA,"2.97",NA,NA,NA,NA,NA,"114",NA,NA,NA,NA,NA,NA,"29","39",NA,"47",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,NA,"16",NA,"9",NA,NA,NA,"11",NA,NA,NA,NA,NA,"24",NA,NA,NA,"107",NA,NA,NA,NA,NA,NA,NA,"226",NA,"26",NA,"89","69"
"16","B14","58.12","0.434","15.12","8.9",NA,"0.129","4.7","6.48","2.42","0.21","0.05",NA,NA,"3.07",NA,NA,"10.1",NA,NA,"130",NA,NA,NA,NA,"12.7",NA,"25.3","23","0.14","57",NA,NA,"0.48",NA,"13",NA,NA,"1.89",NA,NA,NA,NA,NA,"5.4",NA,"0.388",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","33.7",NA,"2.08",NA,"102",NA,"0.48",NA,"1.6",NA,NA,"0.5","236",NA,"23","2.49","79","55"
"17","B15","58.34","0.436","15.44","9.081",NA,"0.129","4.473","6.476","2.456","0.214","0.07",NA,NA,"3.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.5",NA,NA,"74.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.4",NA,"15.6",NA,NA,NA,NA,NA,"3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"108.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.1",NA,"76.9","53.6"
"18","B115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"159.5",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221.3",NA,NA,NA,NA,NA
"19","B16","59.6","0.44","15.2","9.12",NA,"0.14","4.98","6.5","2.52","0.15","0.04",NA,NA,"3.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","B17",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,"12.4",NA,"24",NA,NA,NA,NA,NA,"0.54",NA,NA,NA,NA,"1.75",NA,NA,NA,NA,NA,"5.6",NA,"0.37",NA,NA,NA,"6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,"2.13",NA,NA,NA,"0.56",NA,"1.64",NA,NA,"0.51",NA,NA,NA,"2.67",NA,NA
"21","B18","57.38","0.48","15.37","9.02","4.38","0.14","4.56","6.54","2.63","0.25","0.11","2.88",NA,"3.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
