"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"11","V13","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","435","9.14","1.16","*","*","*","*","311","*","1.6","44.6","12.7","4.17","4.51","2.32","2.78","*","23.4","6.24","*","10.7","*","0.81","*","*","*","171","57.6","0.34","4.12","*","47.7","96.6","3.26","*","133","*","31.8","*","196","*","*","*","*","*","0.45","*","12.1","1.65","1821","2.09","0.87","*","70.8","2.49","0.33","14.1","31","*","27.9","2.21","97.1","645"
"12","V14","52.05","0.35","22.82","2.65","*","0.14","0.24","2.27","6.77","9.11","0.038","0.31","*","3.13","*","20.5","*","*","400","10.3","*","*","*","*","0.5","314","*","1.26","44","11.1","13","4.23","2.55","2.42","*","24","6.33","*","7.08","*","0.765","*","*","*","165","51","0.319","*","*","35","89.2","*","*","128","*","28.2","*","187","*","*","*","*","*","*","*","11.24","*","1641","1.02","0.867","*","*","*","0.307","12.5","36","*","23.95","2.09","96","565"
"13","V14.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1.8","*","*","*","*","*","*","*","*"
"14","V15","51.1","0.33","22.95","2.93","0.81","0.145","0.33","2.34","6.56","9.3","0.029","*","*","3.35","0.6","*","*","*","416","8.1","*","*","*","*","0.18","287","*","1.4","48.7","*","16.1","5.41","2.07","2.54","*","*","7.07","*","*","*","0.74","*","*","*","146.9","52","0.295","5","*","*","79.8","3.4","*","109","*","26.14","*","*","*","*","*","1730","*","*","1.04","11.39","*","1537","*","1.42","*","*","*","0.28","*","26.1","*","23.8","1.8","110","579"
"15","V17","51.66","0.34","22.38","2.61","*","0.14","0.25","2.26","7","9.15","0.03","0.2","1.25","3.3","*","*","*","*","*","*","*","*","0.02","0.34","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"16","V18","52","0.35","22.2","2.61","*","0.14","0.07","2.29","7.23","9.21","0.039","13","*","3.27","0.6","27","*","*","341","8.5","2.62","*","*","3200","0.27","313","1610","2","24","11.9","14.4","4.64","2.4","3.06","4400","25.3","9.17","0.3","7.21","*","1.07","*","0.07","*","198","55","0.56","2.44","*","45.4","*","3.9","*","88.6","*","30.2","*","150","*","*","*","900","4.52","0.6","*","11.9","1.8","1320","3.16","1.34","0.61","62.7","1.5","0.52","8.2","29","7.7","27.2","2.5","107","283"
"17","V19","51.28","0.34","22.26","2.67","*","0.13","0.24","2.28","6.8","9.17","0.05","*","*","3.16","*","25","*","*","438","*","*","*","*","*","*","310","*","*","44","*","*","*","*","*","*","22","*","*","*","*","*","*","*","*","201","*","*","*","*","35","*","2","*","121","*","*","*","200","*","*","*","*","*","*","*","*","*","1756","*","*","*","61","*","*","13","23","*","24","*","82","556"
"18","V20","51.72","0.35","22.66","2.61","*","0.13","0.29","2.2","6.89","9.09","0.04","0.32","*","3.48","*","*","*","*","*","*","*","*","*","0.31","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"19","V21","53.11","0.28","22.4","1.78","*","0.1","0.27","2.13","7.3","9.28","0.04","*","*","1.28","*","*","*","*","678","8.27","*","*","*","*","*","293.5","*","27","26","*","2","4.55","2.03","2.57","*","28","7.56","1.02","9.89","*","0.73","*","*","*","168.1","*","0.33","4.59","*","33","90.52","7","*","71","*","29.85","*","213","*","*","*","*","*","4","*","11.1","*","1657","1.44","1.02","*","13","*","0.32","12.84","25","6.28","25","2.07","81","554"
"20","V23","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.1","298","*","*","*","13.6","*","4.2","2.1","2.7","*","34.6","4.8","2.5","*","*","0.8","*","*","*","165","*","0.3","*","*","40.3","95.9","*","*","*","*","31.1","*","184","*","*","*","*","3.6","7","*","11.9","2.4","*","2.4","1.2","*","65.9","*","0.3","13","*","6.8","24.2","2.8","*","*"
"21","V24","52.21","0.34","22.06","2.715","*","0.141","0.143","2.265","6.804","8.942","0.029","*","*","3.39","*","*","*","*","456","9.02","*","*","*","*","*","307.2","*","1.51","34.56","15.01","1.49","4.22","2.09","2.56","*","21.43","5.63","*","9.33","*","0.76","*","*","*","172.3","69.15","0.3","5.28","*","48.5","94.2","1.91","*","92","*","30.62","*","184.9","*","*","*","*","*","0.69","*","11.47","*","1772","2.3","0.81","*","63.8","*","*","14.05","28.26","*","27.62","2.12","102.7","579"
"22","V25","52.1","0.35","*","2.63","*","0.13","0.44","2.09","6.63","*","0.06","*","*","2.91","*","*","*","*","390","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","1600","*","*","*","*","*","*","*","*","*","*","*","*","560"
"23","V27","51.3","0.347","22","2.47","*","0.133","0.397","2.91","7.33","9.35","*","*","*","3.32","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"24","V28","*","0.36","*","3.05","*","0.14","0.37","2.73","7.56","10.3","*","*","*","*","*","*","*","*","428","*","*","*","*","*","*","206","*","1.28","36.1","11.6","4.23","3.65","1.82","2.19","*","*","6.6","*","*","*","*","*","*","*","112","58.7","0.25","*","*","*","77.3","1.78","*","97.1","*","24","*","199","*","*","*","*","*","*","*","9.93","*","1774","*","0.67","*","55.1","*","0.26","11.1","25","*","18.2","1.75","94.2","*"
"25","V29","53.91","0.31","21.09","2.33","*","0.12","0.01","2.58","7.59","8.54","0.04","*","*","3.21","0.13","26.2","*","*","420","7.9","*","*","*","*","0.2","265","*","5.2","74.4","12.6","7.7","4.1","2","2.4","*","33","6.8","5.9","5.2","*","0.73","*","*","*","147","*","0.23","10","*","47.1","84.5","72.6","*","139","*","27.2","*","227","*","*","*","*","4.7","9.6","1","10.7","2.2","2172","2.3","0.8","*","54","1.1","0.31","12.7","27","*","78","2.1","92","782"
"26","V30","51.4","0.339","22.3","2.61","*","0.136","0.171","2.24","6.76","9.02","0.038","*","*","3.2","*","21.4","*","*","430","8.5","*","*","*","2840","*","289","1596","*","38.8","11.8","*","3.84","1.8","2.62","4484","19.4","6.33","*","9.47","*","0.747","*","*","*","163","*","0.29","3.42","*","42.4","85.7","*","*","114","*","26.4","*","184","*","*","*","579","2.5","*","*","12","2.2","1686","1.79","0.805","*","60.2","*","0.289","12.2","12.2","5.73","18.7","1.77","78.6","569"
"27","V31","*","*","*","*","*","*","*","*","*","*","*","*","2.528","*","*","*","*","*","*","*","*","*","*","6900","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.768","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","600","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"28","V32","52.17","0.31","22.72","2.53","*","0.13","*","2.08","6.45","9.37","0.02","*","*","3.37","*","*","*","*","347","6.82","*","*","*","*","*","298.45","*","*","*","*","*","4.25","2.29","2.66","*","26","10.66","0.94","7.24","*","0.69","*","*","*","162.55","*","0.33","*","*","43","92.63","11","*","120","*","27.59","*","164","*","*","*","*","*","*","*","11.65","1.75","1672","5.19","1.09","*","70","*","0.34","11.82","23","*","33","2.1","90","566"
"29","V33","51.47","0.346","22.48","2.66","*","0.124","0.25","2.28","6.85","9.09","0.034","*","*","3.32","*","*","*","*","447","*","*","8","*","2239","6","286","2100","*","48","*","2","*","*","*","4050","22","*","*","12","*","*","1","*","*","160","*","*","3","*","33","84","7","*","110","*","31","*","182","*","*","*","1661","9","10","*","16","*","1698","7","*","*","39","*","*","9","23","*","28","*","91","547"
"30","V34","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","229.9","*","*","*","*","*","3.96","1.73","2.29","*","*","7.17","*","*","*","0.66","*","*","*","124.6","*","0.26","*","*","*","*","*","*","*","*","20.92","*","*","*","*","*","*","*","*","*","8.51","*","*","*","1.04","*","*","*","0.24","*","*","*","28.14","1.58","*","*"
"31","V36","52.22","0.36","23.67","2.93","*","0.13","0.03","2.33","7.99","9.76","0.05","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"32","V37","51.609","0.34","22.21","2.594","*","0.1147","0.15","2.273","7.154","9.141","0.039","*","*","3.39","*","*","*","*","422.9","*","*","*","*","*","*","285.9","*","*","40.5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","163.7","*","*","*","*","37.9","122.2","*","*","108.4","*","29.2","*","198.8","*","*","*","1444","*","*","*","*","*","1759","*","*","*","59.1","*","*","6.1","*","*","24.9","*","89.5","577.8"
"33","V38","52.379","0.352","23.258","2.746","*","0.145","0.25","2.331","7.052","9.375","*","*","*","3.053","*","*","*","*","634","*","*","*","*","2866","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1878","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","753"
"34","V40","44.4","0.35","23.4","2.01","*","0.1","0.12","3.35","6.95","8.27","0.03","*","*","3.24","*","*","*","*","369","*","*","*","*","*","*","246","1206","*","42","*","4","*","*","*","*","22","*","*","*","*","*","*","*","*","153","*","*","*","*","42","*","*","*","58","*","*","*","186","*","*","*","905","*","*","*","*","5","1692","*","*","*","36","*","*","10","*","*","29","*","83","551"
"35","V41","33.8","4.42","8.7","9.33","*","0.73","*","3.89","*","25.1","1.25","*","*","*","0.77","22","*","*","317.87","*","*","*","*","*","2.4","*","1138","*","144","45.53","2.09","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1.32","*","5.62","*","*","*","19.44","2.81","*","*","204","*","*","*","498","17.7","*","*","*","6.47","12.76","*","*","53","3.67","496.41","*","2.71","184","126","15","*","80.33","68.62"
"36","V42","51.38","0.35","22.3","2.66","*","0.14","0.26","2.25","6.67","9.11","0.04","*","*","3.28","0.26","27","*","*","434","9.35","*","*","*","*","*","295","*","1.4","50.7","*","3.43","4.39","2.26","2.68","*","*","8.23","*","*","*","0.79","*","*","*","169","45.1","0.33","4.15","*","*","95.5","2.66","*","*","*","30.2","*","*","*","*","*","*","2.66","*","6.05","12","*","*","*","0.89","*","71.2","2.21","0.32","14.4","*","*","*","2.12","73.2","*"
"37","V42.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2.6","3.25","*","*","*","*","*","*","*","*","*","*","*","*","*","20.9","*","*","11.1","*","*","*","*","*","*","*","*","*","*","39.8","*","*","*","113","*","*","*","186","*","*","*","*","*","*","*","*","1.9","1693","2.1","*","*","*","*","*","*","21.8","5.4","23.9","*","*","544"
"38","V44","53.25","0.33","23.13","2.68","*","0.13","0.33","2.78","7.98","8.25","0.04","*","*","*","*","*","*","*","481","8.63","*","*","*","*","*","296.24","*","5","29","*","11","4.07","2.33","3.3","*","24","9.13","0.82","11.56","0.665","0.79","*","*","*","180.24","*","0.32","3.79","*","26","92.62","6","*","121","*","28.55","*","171","*","*","*","*","*","5","*","11.38","1.42","1657","1.72","1.05","*","63","*","0.33","11.88","23","6.51","25","2.21","87","619"
"39","V46","51.9","0.35","22.61","2.69","*","0.15","0.13","2.22","7.33","9.39","0.02","*","*","3.6","*","21","*","124","499","1.63","*","*","*","*","*","280","*","*","37","*","5","3.99","2.17","2.41","*","*","9.52","6","*","*","0.7","*","*","*","159.1","40","0.29","4","*","56","84","21","*","*","*","24.12","*","*","*","*","*","1400","*","0.3","*","10.6","10","675","*","0.9","*","67.9","*","0.3","*","11","39","19","1.96","28.4","*"
"40","V49","51.93","0.32","22.53","2.55","1.1","0.13","0.26","2.3","6.86","9.15","0.04","2","1.09","3.21","*","19.8","*","*","424.7","7.1","0.9","*","*","3370","0.25","296","1892","1.5","42","13.1","4.38","4","2.17","2.71","*","20","6.4","1","11","0.61","0.81","*","*","*","172","56","0.32","5","*","43","92.4","8","*","104.2","*","31.2","*","194","*","*","*","1540","2.7","*","*","11.62","4","1737","1.9","0.89","*","63.5","2.2","0.33","13.8","31","7","24.8","2.07","88.4","579"
"41","V50","51.56","0.35","22.13","2.88","*","*","0.27","2.34","7","8.93","*","*","*","3.09","*","*","*","*","417","*","*","*","*","*","*","323","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","167","*","*","*","*","38","*","*","*","116","*","*","*","198","*","*","*","*","*","*","*","*","*","1681","*","*","*","*","*","*","*","*","*","*","*","92","551"
"42","V50.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","24","*","*","*","*","*","*","*","*","*","*","*","*","71","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","23","*","26","*","*","*"
"43","V51","52.59","0.35","22.71","2.65","*","0.14","0.25","2.31","7.14","9.04","0.16","*","*","3.41","*","*","*","*","398","*","*","*","*","*","*","*","*","*","50","*","*","*","*","*","*","20","*","*","12","*","*","*","*","*","*","*","*","*","*","38","*","*","*","108","*","*","*","199","*","*","*","*","*","*","*","*","*","1762","*","*","*","58","*","*","13","29","*","23","*","96","636"
"44","V52","52.01","0.346","22.62","2.66","*","0.143","0.27","2.299","6.68","8.718","0.032","*","*","3.3","*","22.3","*","*","415","*","*","*","*","*","*","288","*","*","42.5","12","22","*","*","*","*","22.8","*","*","*","0.502","*","*","*","*","160","*","*","*","*","40.8","84","*","*","115","*","*","*","182","*","*","*","*","2.1","*","*","16.7","0.98","1684","*","*","*","68","*","*","15","32.3","*","27.5","*","97.3","610"
"45","V53","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","416","7.79","*","*","*","*","*","230","*","*","*","11.88","2.4","3","1.56","1.8","*","*","4.76","*","10.4","*","0.54","*","*","*","126","51.6","0.252","*","*","38.9","66.6","*","*","103","*","21.2","*","194","*","*","*","*","*","4.75","*","7.7","*","1530","1.768","0.683","*","56","*","0.236","11.76","*","*","18.5","1.6","*","647"
"46","V54","51.24","0.361","22.38","2.625","0.821","0.1332","0.22","2.233","7.002","9.22","0.0386","2.429","1.142","3.52","*","*","*","*","*","*","*","*","449","3569","*","*","*","*","*","*","*","*","*","*","3976","*","*","*","*","0.561","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1537","*","*","*","*","*","*","*","*","*","*","*","*","*"
"47","V54.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","435","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"48","V57","52.19","0.37","22.32","2.745","*","0.125","0.265","2.4","7.145","9.44","0.028","*","*","3.09","*","22.2","*","*","408.5","*","1.1","2.5","*","2900","0.9","282.7","*","1.9","44.8","32.1","6.3","*","*","*","*","19.9","*","*","9","0.68","*","*","*","*","159.6","*","*","3.8","*","37.6","76.6","1.8","*","104.7","*","*","*","188.4","*","*","*","170","5.3","*","*","10.7","2.9","1678.2","2.3","*","0.6","57.2","*","*","18.2","17.5","6.1","25.2","1.2","78.5","565.4"
"49","V58","52.27","0.29","22.11","2.5","*","0.12","0.25","2.34","7.39","9.08","0.03","*","*","3.08","*","*","*","*","438","*","*","*","*","*","*","300","*","*","42","*","10","3.7","2.3","2.4","*","21","7","*","*","*","0.9","*","*","*","173","57","0.3","*","*","51","89","43","*","*","*","27","*","196","*","*","*","*","*","*","*","14","*","1738","*","0.8","*","51","*","1","12","30","*","26","2","94","594"
"50","V59","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","418.85","*","*","*","*","*","*","311.55","*","*","*","12.92","*","4.38","2.29","2.6","*","23.44","9.81","*","11.26","*","0.8","*","*","*","169.68","*","0.34","*","*","41.93","92.95","*","*","*","*","29.85","*","196.4","*","*","*","*","*","4","*","11.81","1.52","1874.56","2.23","1.19","*","64.63","*","0.35","14.33","*","5.98","24.78","2.14","*","634.25"
"51","V60","51.78652","0.342948","22.58891","2.615679","*","0.138433","0.307789","2.283345","7.022911","9.087157","0.035003","*","*","3.32512","*","20.9205","*","*","407.4849","9.703535","0.873039","*","*","*","0.060673","294.4317","*","1.570771","43.52043","12.26921","3.651211","4.229625","2.089858","2.721723","*","21.74664","6.56747","*","9.874503","*","0.771495","*","*","*","167.0654","53.62119","0.32653","4.593838","*","46.31197","89.31016","1.911003","*","114.3073","*","29.89433","*","216.9494","*","*","*","0.168525","2.662088","*","*","11.59286","1.359687","1934.925","1.987549","0.817916","0.04145","62.15016","1.789299","0.32118","13.45573","27.35286","6.500078","26.26502","2.116064","94.74631","650.6621"
"52","V61","51.27","0.35","22.75","2.76","*","0.14","0.22","2.2","7.13","9.02","0.02","*","*","3.33","*","20.8","*","*","405","*","*","*","*","*","4","278","*","2","40","22","5","*","*","*","*","21","*","*","6","*","*","*","*","*","163","*","*","4","*","38","81","3","*","118","*","*","*","200","*","*","*","*","7","5","*","9","11","1737","3","*","5","61","*","*","15.7","26","12","26","*","85","589"
"53","V63","52.4","0.327","22.1","2.59","*","0.134","0.235","2.28","6.78","8.97","0.027","*","*","3.2","*","*","*","*","432","8.83","*","*","*","*","*","290","*","0.99","20.4","12.1","3.6","4.38","2.17","2.76","*","*","7.89","1.32","10.7","*","0.88","*","*","*","166","*","0.44","5.39","*","39.8","91.7","2","*","152","*","28","*","721","*","*","*","1700","*","0.8","*","11.6","*","1730","*","1.11","*","57.1","1.09","0.44","11.9","26","5","23.8","2.29","93.6","567"
"54","V66","51.61","0.35","22.72","2.63","*","0.14","0.27","2.3","6.61","8.82","*","*","*","3.15","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"55","V67","52.44","0.359","23.22","2.735","*","*","*","*","7.02","9.05","0.042","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","12","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"56","V67.1","*","*","*","*","*","0.135","0.199","2.336","*","*","*","*","*","2.2","0.27","22","*","24","326","9.41","*","*","680","*","*","317.89","*","1.75","48","*","4.23","4.15","2.16","2.53","3400","23.63","6.61","1.19","12.77","0.544","0.76","*","*","*","149.51","54","0.34","5.32","*","49.81","95.4","4.68","*","120","*","29.83","*","194","*","*","*","*","2.79","*","*","12.44","1.74","1755","2.07","0.82","*","54","0.24","0.32","14","24","6.56","15","2.24","110","626"
"57","V68","51.871","0.362","22.674","2.749","*","0.145","0.234","2.22","6.892","9.69","0.04","*","*","3.12","*","*","*","*","414","*","*","*","*","*","*","*","*","2.6","54","*","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","9","*","52.8","*","7","*","146","*","*","*","218","*","*","*","*","*","*","*","*","*","1718","*","*","*","55","*","*","*","26","*","32","*","84","666"
"58","V70","52.623","0.177","20.9","2.25","*","0.0936","0.128","2.53","7.01","9.11","0.0346","*","*","3.658","*","*","*","*","515","*","*","*","*","*","0.043","*","2210","0.947","31.27","*","8.598","*","*","*","*","*","*","*","*","*","*","*","*","*","*","43.71","*","*","*","*","*","*","*","127","*","*","*","221","*","*","*","1830","*","*","*","*","*","1890","*","*","*","*","*","*","*","64.59","*","*","*","111.2","515"
"59","V71","51.7","0.31","22.4","2.56","1.04","0.134","0.38","2.29","7.4","9.4","*","*","*","3.15","*","*","*","46","420","8.6","*","*","*","0.22","*","280","*","*","43","*","*","*","*","*","*","*","*","*","10","*","*","*","*","*","162","53","*","*","*","40","*","*","*","114","*","*","*","191","*","*","*","*","*","*","*","*","*","1751","*","*","*","*","*","*","*","*","*","25","*","*","568"
"60","V72","52.36","0.36","22.64","2.67","1.02","0.14","0.22","2.32","6.98","9.16","0.04","1.73","*","3.06","0.1","20.2","*","48","428","8.4","1.16","*","*","*","0.098","300","*","1.58","41.3","12.9","5.77","4.76","2.34","2.55","*","21.6","8.3","1","10.5","0.65","0.88","*","*","*","170","50.9","0.33","4.76","*","40.9","91.2","3.66","*","115","*","31.8","*","212","*","*","*","*","2.18","0.32","*","11.8","1.28","1520","1.87","1.07","*","61.4","2","0.34","11.9","30.5","4.85","24.9","2.06","97.5","693"
"61","V73","51.57","0.35","22.02","2.65","1.3","0.14","0.22","2.28","7.06","9.07","0.03","2.02","1.36","*","*","*","*","*","412","*","*","*","*","*","*","277","*","3","65","17","4","*","*","*","*","23","*","*","16","*","*","*","*","*","161","*","*","2","*","44","80","7","*","124","*","*","*","191","*","*","*","*","*","3","*","*","4","1716","1","*","*","52","*","*","10","31","1","15","*","89","596"
