"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","V2","52.39","0.33","22.34","2.18","0.52","0.13","0.21","2.04","6.91","9.13","0.043","*","*","3.32","*","28.8","*","*","414","11.3","1.38","*","*","*","0.65","282","*","1.49","45","12.4","1.51","3.86","1.94","2.27","*","21.5","7.09","*","*","*","0.7","*","*","*","159","59.6","0.28","*","*","45.5","86","*","*","105","*","28.4","*","221","*","*","*","*","2.75","0.73","*","10.7","1.6","1740","*","0.78","*","52.3","1.84","0.28","11.2","30.1","6.2","27.5","1.86","102","597"
"2","V3","51.86","0.33","22.48","2.66","*","0.14","0.27","2.18","6.99","9.02","0.035","*","*","3.35","*","*","*","*","427","9.37","*","*","*","*","*","266","*","1.64","40.9","11.2","4.1","4.35","2.17","2.47","*","23.2","8.1","1.21","10.2","*","0.75","*","*","*","150","58.7","0.32","*","*","44.3","90.3","2.34","*","122","*","28.6","*","174","*","*","*","*","*","0.98","*","11.1","*","1706","1.94","0.88","*","60.2","*","0.31","13.4","29.4","*","25.8","2.1","91.7","631"
"3","V4","51.39","0.3","22.08","2.59","*","0.14","0.22","2.25","6.85","8.94","0.03","*","*","*","*","19.4","*","*","402","*","*","2","*","*","*","264.8","*","*","38.8","*","7.2","*","*","*","*","20.3","*","1.8","*","*","*","*","*","*","145.7","*","*","4.4","*","39.4","81.7","3.5","*","102.7","*","*","*","189.1","*","*","*","*","*","*","*","11","*","1596.5","3","*","*","52.2","*","*","16.6","24.7","3.4","26.2","*","70.9","578.8"
"4","V4.1","*","*","*","*","*","*","*","*","*","*","*","*","*","3.47","*","*","*","*","*","*","*","*","*","*","*","*","1137","*","*","*","*","*","*","*","7571","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"5","V5","50.9","0.3467","22.65","2.731","*","0.14","0.21","2.18","6.8","9.207","0.0418","*","*","*","*","21.1","*","*","437","*","*","*","*","*","*","282.7","*","1.533","43.53","12.13","6.3","4.04","1.783","2.433","*","23.7","6.4","*","5.743","0.48","0.6267","*","*","*","161","55.87","0.2667","3.607","*","33.9","83.97","*","*","125.3","*","27.87","*","186","*","*","*","*","*","*","*","10.47","*","1756.7","*","0.76","*","60.43","2.18","0.25","13.2","28.67","*","*","1.67","98.83","287"
"6","V6","53.7","0.37","21.9","2.88","*","0.15","0.31","2.46","6.8","8.76","0.06","*","*","3.1","*","*","*","*","345","7.7","*","*","*","*","*","293.1","*","2.1","45.4","11.6","6.2","4.1","2.1","2.5","*","19.9","8.5","*","9.5","*","0.8","*","*","*","161","*","0.3","3.7","*","42.7","88.7","3.6","*","70.1","*","26.9","*","182.1","*","*","*","*","*","0.3","*","11.1","0.7","1357","1.7","0.9","*","61.2","1.1","0.3","12.4","29.2","5.1","25.7","2.1","154.9","571.1"
"7","V8","52.95","0.35","22.89","2.54","*","0.126","0.233","2.35","7.26","8.91","0.04","*","1.26","3.47","*","27.98","*","*","420","8.62","*","*","*","3770","*","248","2113","1.53","26.1","*","3.55","4.1","2.15","2.45","4140","*","7.33","*","10.4","*","0.73","*","*","*","154","58.4","0.3","3.55","*","46.01","82.9","3.02","*","105","*","25.8","*","186","*","*","*","1613","3.05","*","*","10.9","*","1724","3.4","0.85","*","62.18","*","0.298","13.65","26.5","*","24.5","1.98","95.9","584"
"8","V9","51.71","0.347","22.6","2.59","*","0.141","0.205","2.27","6.95","9.04","0.04","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"9","V11","51.67","0.34","22.46","2.6","*","0.14","0.26","2.26","6.98","9.08","*","*","*","3.15","*","24.2","*","*","474","8.37","0.99","*","*","*","*","306","*","1.5","33","12.9","3.6","4.45","2.33","2.59","*","22.8","6.9","*","10.8","*","0.8","*","*","*","174.5","58.8","0.3","4.18","*","41.9","96.3","*","*","124","*","29.5","*","199.5","*","*","*","0.18","2.91","*","*","12","*","1725","1.9","0.87","*","63.2","2.01","0.32","13.55","*","*","25.5","2.31","105","672"
"10","V12","51.73","0.35","22.37","2.61","*","0.14","0.21","2.26","6.92","9.28","0.04","*","*","3.23","*","*","*","*","388","*","*","*","*","*","*","*","*","*","32","*","*","*","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","109","*","*","*","*","*","*","*","*","*","*","*","*","*","1765","*","*","*","*","*","*","*","27","*","*","*","88","624"
