"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"28","Z27","50.29","3.76","12.4","15.64",NA,"0.226","3.9","7.68","2.65","1.46","0.65",NA,NA,"0.66","0.32","1.49",NA,NA,"559","1.42","0.03",NA,"0.33","88.7",NA,"37.8","10.6","0.35","154","8.06","4.05","3.23",NA,"23.3","10.1",NA,"7.9","0.123","1.52",NA,NA,NA,"40.1","5.89","0.48","1.39","31","49.2","22.5",NA,"5.23",NA,NA,NA,"39",NA,NA,NA,NA,"0.07","28.6","0.25","10.5","2.42","478","1.88","1.5","0.1","4","0.17","0.53","0.8","383","0.51","44","3.31","149","312"
"29","Z28","51.0833","3.75115","12.7957","15.05435",NA,"0.196015","3.821795","7.96995","2.65068","1.515385","0.73033",NA,NA,"0.5",NA,NA,NA,NA,"540","1.74666666666667",NA,NA,"0.155","91.4666666666667","89","40.5666666666667","25","0.362666666666667","132","8.40666666666667","4.11333333333333","3.32472088353414","834","27.3666666666667","8.87737588652482",NA,"8.11666666666667",NA,"1.58666666666667",NA,NA,NA,"40.7","7.09","0.509666666666667","1.54666666666667","29","51.9333333333333","24.0833333333333",NA,"5.59333333333333",NA,"11.9",NA,"35.3",NA,NA,NA,"465","0.1","29.8",NA,"10.9333333333333","2.63","510.333333333333","1.64","1.48850309278351",NA,NA,"0.121","0.542666666666667","0.926","395","0.600333333333333",NA,"3.54","127","256"
"30","Z29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"547.02","1.84","0.04",NA,"0.13","85.52",NA,"39.7","10.87","0.39","157.6","8.01","3.9","3.27",NA,NA,"10.24",NA,"7.4",NA,"1.53",NA,NA,NA,"42.2","7.37","0.5",NA,"29.16","53.09","21.64",NA,"5.33",NA,"11.88",NA,"35.64",NA,NA,NA,NA,NA,"29.46",NA,"10.82",NA,"484.36",NA,"1.55",NA,"3.84","0.12","0.59","0.72","410.77",NA,"39.67","3.4","153",NA
"31","Z30","51.54","3.83","13.39","13.53",NA,"0.19","2.88","7.78","2.54","1.64","0.58",NA,NA,"1",NA,NA,NA,NA,"602",NA,NA,NA,NA,NA,NA,"27","7",NA,"165",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"15",NA,"4",NA,NA,NA,"31",NA,NA,NA,NA,NA,"37",NA,NA,NA,"436",NA,NA,NA,NA,NA,NA,NA,"427",NA,"30",NA,"71","223"
"32","Z32","52.51","3.76","12.55","14.98",NA,"0.23","4.07","5.83","2.52","1.32","1.2",NA,NA,"0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.1","38.94",NA,"100.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.75",NA,"10.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"129",NA
"33","Z33",NA,"3.96","12.5","15.2",NA,"0.22","3.7","7.7","2.7","1.6",NA,NA,NA,NA,NA,"0.4",NA,NA,NA,NA,NA,NA,NA,"89",NA,"34","15",NA,"181",NA,NA,"3.53",NA,NA,NA,NA,"7.7",NA,NA,NA,NA,"2E-005","41",NA,"0.46",NA,NA,NA,NA,"1.4E-005",NA,NA,NA,"0.00081",NA,"0.00092",NA,NA,NA,"0.04","28.3",NA,"10.2",NA,NA,"1.7",NA,NA,"3.5",NA,NA,"0.77","449",NA,NA,"3.5","143",NA
"34","Z34","50.87","3.8","12.3","15.59","11.62","0.21","3.92","7.77","2.77","1.48","0.62","1.37",NA,"0.53",NA,NA,NA,NA,"572","1.76",NA,NA,NA,"92",NA,"39.3","11","0.37","165","8.92","4.25","3.43",NA,"24.6","10.6",NA,"7.93",NA,"1.73",NA,NA,NA,"43.2","6.91","0.51","1.24","32.7","53.2","21.4",NA,"5.18",NA,"12.2",NA,"36.7",NA,NA,NA,NA,NA,"29.3",NA,"11.5",NA,"510","1.9","1.55",NA,"3.89",NA,"0.57","0.79","412","0.35","44.2","3.43","150","312"
"35","Z35",NA,"3.85","12.28","15.73",NA,"0.21","3.95","7.84","2.78","1.61",NA,NA,NA,NA,NA,NA,NA,NA,"570",NA,NA,NA,NA,"90",NA,"38.9","11.1",NA,NA,"8",NA,"3.71",NA,NA,NA,NA,"8.3",NA,NA,NA,NA,NA,"43",NA,"0.476",NA,NA,"53",NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,"30",NA,"11",NA,NA,"1.8","1.53",NA,"3.86",NA,NA,NA,"429",NA,NA,"3.55",NA,"290"
"36","Z35.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","190",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"570",NA,NA,NA,NA,NA,NA,"1.4",NA,NA,NA,NA,"130",NA
"37","Z36","49.87","3.68","13.02","16.2",NA,"0.2","3.94","7.95","2.8","1.58","0.48",NA,NA,NA,NA,NA,NA,NA,"540",NA,NA,NA,NA,"86.62",NA,"37.7","11.7","0.35","143","7.93","3.96","3.26",NA,NA,"9.64",NA,NA,NA,"1.48",NA,NA,NA,"38.44","7.2","0.45",NA,NA,"49.15","22.6",NA,"5.2",NA,"11.23",NA,"36.57",NA,NA,NA,NA,"0.57","29.2",NA,"10.75",NA,"506.5",NA,"1.41",NA,"4.05",NA,"0.51","0.84","397.8",NA,"36.65","3.15","134.5","292.8"
"38","Z37","50.6","3.86","12.75","15.45",NA,"0.214","3.92","8.01","2.81","1.5","0.53","0.22",NA,"0.59",NA,NA,NA,NA,"532.8","2.71",NA,NA,"0.19","82",NA,"46.6","9.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.99",NA,NA,NA,NA,NA,"40.8","7.82",NA,NA,NA,"50.1","18.2",NA,NA,NA,"11.7",NA,"35.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"484.3",NA,NA,NA,NA,NA,NA,NA,"398",NA,"41.4",NA,"139","332.4"
"39","Z38",NA,NA,NA,NA,NA,"0.209",NA,NA,NA,NA,NA,NA,NA,"0.63",NA,NA,NA,NA,"578",NA,NA,NA,NA,"97.4",NA,"35.9","8.2",NA,"165",NA,NA,NA,NA,"25.4",NA,NA,NA,NA,NA,NA,NA,NA,"41.7",NA,NA,"1.9","29.2","55.7","22.5",NA,"4.5",NA,NA,NA,"35.7",NA,NA,NA,NA,NA,"28.1",NA,NA,"3.1","496",NA,NA,NA,"4.3",NA,NA,NA,"405",NA,"40.4",NA,"142","318"
"40","Z38.1","50.2","3.75","12.93","15.41",NA,NA,"3.95","7.84","2.87","1.51","0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,NA,NA,NA
"41","Z39","50.25","3.73","12.16","15.48","10.83","0.22","3.87","7.95","2.75","1.53","0.65","1.38","0.04","0.66",NA,NA,NA,"2.5","528","1.57",NA,NA,"0.29","91.1","125","37.7","12.1","0.32","159","7.98","3.83","3.41","940","26.3","9.75","1.76","7.62","0.0046","1.46",NA,NA,NA,"40.6","6.5","0.495","1.6","27.5","50","25",NA,"5.45",NA,"11.7",NA,"34.6",NA,NA,NA,"300",NA,NA,"0.21","10.8","3.29","476","2.12","1.43",NA,"3.63",NA,"0.529","0.78","392","0.55","39.6","3.36","174","308"
"42","Z40","50.442","3.796","12.399","15.288",NA,"0.218","3.965","7.936","2.691","1.541","0.65",NA,NA,"0.748",NA,NA,NA,NA,"639.1","1.72",NA,NA,"0.142","90.39",NA,"35.8","9.2","0.5","164","8.032","4.052","3.289",NA,"24.9","1.401",NA,"7.75",NA,"1.507",NA,NA,NA,"40.64","6.7","0.469","1.28","28.3","50.32","22",NA,"5.9",NA,"11.8",NA,"34.7",NA,NA,NA,NA,"0.078","26.8",NA,"10.66","2.7","490.2","1.74","9.565",NA,"3.9","0.115","0.555","0.822","372.8","0.585","40.6","3.475","143.1","319.3"
"43","Z41","50.45","3.93","12.42","16.04","8.16","0.22","3.95","7.84","2.67","1.5","0.61",NA,NA,"0.59",NA,NA,NA,"135","541",NA,NA,NA,NA,"89",NA,"45","19",NA,"162",NA,NA,NA,"782","25",NA,NA,"5",NA,NA,NA,NA,NA,"47","8",NA,"2","38","49","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,"532",NA,NA,NA,NA,NA,"490",NA,NA,NA,NA,NA,NA,NA,"378",NA,"39",NA,"186","393"
"44","Z42",NA,"3.86",NA,NA,NA,"0.19","2.54","7.71","3.02","1.51","0.69",NA,NA,NA,NA,NA,NA,NA,"556.7",NA,NA,NA,NA,"77.9",NA,"36.1","17",NA,"110","7.47","3.92","3.28",NA,"20.4","8.51","1.67","7.29",NA,"1.52",NA,NA,NA,"40",NA,"0.45","2.8","28","49.65","27",NA,"4",NA,"10.89",NA,"37",NA,NA,NA,"410",NA,"31",NA,"10.96","1.34","520","0.14","1.34",NA,"3.4",NA,"0.49","1.4","403.6","4","36","2.64","110","281"
"45","Z43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.87",NA,NA,"519","3.11","0.065",NA,"0.049","86.6",NA,"35.6","12.8","0.38","129","7.86","3.82","3.15",NA,"22.9","9.04","1.9","7.87",NA,"1.65",NA,"0.19",NA,"39.6","5.89","0.48","1.66","29.1","47.9","23",NA,"6.66",NA,"11.3",NA,"33.3",NA,NA,NA,NA,"0.29","23",NA,"10.4",NA,"452","2.06","1.44",NA,"3.78","0.13","0.52","0.79","354","0.64","38","3.27","179","299"
"46","Z44",NA,"4.16",NA,"15.4",NA,"0.218",NA,"7.67",NA,"1.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",NA,"136","306"
"47","Z45","50.32","3.86","12.31","15.93",NA,"0.212","3.94","7.89","2.7","1.5","0.58",NA,NA,"0.4",NA,NA,NA,NA,"539","1.79",NA,NA,NA,"84",NA,"35",NA,NA,"161","7.6","3.46","2.96",NA,"24","8.91",NA,NA,NA,"1.31",NA,NA,NA,"39.3",NA,"0.43",NA,"28","64","26",NA,NA,NA,"11.1",NA,"35",NA,NA,NA,NA,NA,"24.9",NA,"9.15",NA,"491",NA,"1.42",NA,NA,NA,"0.45",NA,"386",NA,"43","2.93","142","317"
"48","Z46",NA,"3.755","11.72","11.4",NA,"0.214",NA,"7.712","2.62","1.506","0.606",NA,NA,NA,"0.61","1.31",NA,NA,"545",NA,"0.03",NA,"0.13","92.4",NA,"38.08","10.04","0.355","156.9","8.9","4.46","3.46",NA,"24.84",NA,"1.79","7.95",NA,"1.6",NA,NA,NA,"42.44",NA,"0.5","1.46","30.16","51.64","22.4",NA,"5.3",NA,"12.04",NA,"34.55",NA,NA,NA,NA,"0.07","28.74",NA,"11.1",NA,"514.78",NA,"1.54",NA,"3.91","0.11","0.57","0.82","406.16","0.47","39.71","3.52","153.84","303"
"49","Z47","51.18","3.89","12.57","15.15",NA,"0.2","3.88","7.49","3.01","1.45","0.61",NA,NA,NA,NA,NA,NA,NA,"453",NA,NA,NA,NA,"95",NA,"34","18",NA,"156","7.7","4","3.3",NA,"22","11",NA,NA,NA,"1.4",NA,NA,NA,"41",NA,"0.6",NA,"25","46","19",NA,NA,NA,"11",NA,"30",NA,NA,NA,NA,NA,"29",NA,"11",NA,"446",NA,NA,NA,NA,NA,"0.6",NA,"335",NA,"37","3.1","134","219"
"50","Z48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"530.6",NA,NA,NA,NA,"91.61",NA,"37.66",NA,"0.3554","159.9","8.343","4.114","3.322",NA,NA,"9.989",NA,"8.103",NA,"1.553",NA,NA,NA,"40.53","6.64","0.4803","1.614",NA,"51.05","24.1",NA,"5.76",NA,"11.83",NA,"34.33",NA,NA,NA,NA,NA,NA,NA,"10.8",NA,"474.3",NA,"1.449",NA,"3.915",NA,"0.56","0.8206",NA,NA,"37.48","3.448",NA,"320.7"
"51","Z48.1",NA,"3.591","12.1","15.19",NA,"0.2134","3.754","7.288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"237.3",NA
"52","Z49","49.91","3.845","12.23","15.62","10.93","0.216","3.85","7.84","2.88","1.51","0.631",NA,"0.074","0.61",NA,NA,NA,NA,"522",NA,NA,NA,NA,"91.5",NA,"36",NA,"0.38","165","7.3","3.63","3.13",NA,"25","8.95",NA,"7.09",NA,"1.44",NA,NA,NA,"39.9",NA,"0.43",NA,"28","45.7","22",NA,"4.48",NA,"10.7",NA,"33.8",NA,NA,NA,"476",NA,"26.2",NA,"9.67",NA,"451",NA,"1.31",NA,"3.51",NA,"0.5","0.67","359",NA,"37.6","3.04","141","304"
"53","Z49.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Z50","50.4","3.8","12.9","15.7",NA,NA,"4.1","7.8","2.7","1.5",NA,NA,NA,"0.49",NA,NA,NA,NA,"528.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.9",NA,NA,NA,NA,NA,"33.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"451.1",NA,NA,NA,NA,NA,NA,NA,"341",NA,"38.9",NA,"134.5","298.2"
"55","Z51",NA,NA,NA,NA,NA,NA,"2.27","6.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79",NA
"56","Z52","50.4","3.78","12.4","15.44","9.7","0.22","3.86","7.82","2.7","1.48","0.69","1.6",NA,NA,"0.13","1.4",NA,NA,"560","1.6",NA,NA,"0.15","95.4","130","38.1","15","0.4","163","8.79","4.34","3.39","800","25","10.3",NA,"8","8","1.6",NA,"0.13",NA,"43.8","7","0.53",NA,"31","53.7","25",NA,"5.3",NA,"12.7",NA,"36.5",NA,NA,NA,"0.04",NA,"23",NA,"11.4","2","480","2.4","1.53",NA,"4.1","0.11","0.6","0.89","380",NA,"41.3","3.6","138","310"
"57","Z53","50.39","3.89","12.28","15.32","10.27","0.222","3.93","7.88","2.65","1.52","0.64",NA,NA,"0.51",NA,"1.9",NA,NA,"512",NA,NA,NA,"0.14",NA,NA,NA,NA,NA,"159",NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,"29","84","20",NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"501","4.3",NA,NA,"32","3.4",NA,"6.6","436","2.5","39",NA,"153","307"
"58","Z54","49.98","3.837","12.56","15.63",NA,"0.208","3.91","7.56","2.82","1.51","0.64",NA,NA,NA,NA,"6",NA,NA,"437",NA,NA,"4",NA,"106",NA,"24",NA,NA,"119",NA,NA,NA,NA,"23",NA,NA,"8",NA,NA,NA,NA,NA,"43",NA,NA,NA,"30",NA,"21",NA,"4",NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"483",NA,NA,NA,"3",NA,NA,"4","383",NA,"37",NA,"140","325"
"59","Z55","50.2","3.941","12.07","15.96",NA,"0.22","3.82","7.93","2.51","1.5","0.648",NA,NA,"0.82",NA,NA,NA,NA,"602",NA,NA,NA,NA,"101",NA,"43","8","35","157",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,NA,"29",NA,"20",NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,"27",NA,NA,NA,"465",NA,NA,NA,NA,NA,NA,NA,"364",NA,"43",NA,"147","304"
"60","Z56","50.3","3.85","12.4","15.7",NA,"0.223","3.89","7.87","2.6","1.51","0.6",NA,NA,"0.33",NA,NA,NA,NA,"540",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,"620",NA,NA,NA,NA,NA,"490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140","320"
"61","Z57","50.266","3.789","12.459","15.431",NA,"0.212","3.905","7.949","2.779","1.529","0.632",NA,NA,NA,NA,NA,NA,NA,"553","1.97",NA,NA,NA,"90.27",NA,"38.27","12","0.385","164.7",NA,NA,"3.247",NA,"23.27","9.963",NA,"7.893","0.006","1.67",NA,NA,NA,"40.17",NA,"0.499","2.47","31.33","49.13","23.97",NA,"4.82",NA,NA,NA,"36.53",NA,NA,NA,NA,NA,"28.17","0.407","10.467",NA,"493","1.933","1.557",NA,"3.97","0.12","0.552","0.791","397.3",NA,"39.93","3.453","135.3","316.7"
"62","Z58","50.5","3.85","12.45","15.3",NA,"0.2","3.89","8.15","2.71","1.55","0.64",NA,NA,"0.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Z59","50.0306666666667","3.88433333333333","12.7403333333333","15.511","10.35","0.212666666666667","3.934","7.846","2.70433333333333","1.491","0.635",NA,NA,"0.84",NA,NA,NA,NA,"562","1.83",NA,NA,"0.12","93.66",NA,"31","19","0.36","136","9.4","4.3","3.4",NA,NA,"10.6",NA,"8.2",NA,"1.75",NA,NA,NA,"43.3","6.39","0.52","1.41","28","50.8","22",NA,"4.5",NA,"12.65",NA,"30",NA,NA,NA,NA,NA,"29.5",NA,"11.2",NA,"473","2.04","1.65",NA,"3.5",NA,"0.54","0.83","373",NA,"29","3.6","119","210"
"64","Z60","50.4","3.83","12.8","15.5",NA,"0.22","3.95","7.8","2.88","1.51","0.63",NA,"0.11","0.58","1.15","7.5",NA,NA,"467","2.3","0.23",NA,"1.03","91.4",NA,"37","30","0.39","180","8.23","4.27","3.39",NA,"37.2","11.2",NA,"8.83",NA,"1.47",NA,NA,NA,"45.4",NA,"0.52","1.9","22.2","49.6","22.5",NA,"6.4",NA,"11.5",NA,"25.9",NA,NA,NA,"400","0.85","30.5",NA,"11.4","3.3","497","4.46","1.65",NA,"13.2",NA,"0.47","1.23","385",NA,"44.7","3.4","180","320"
"65","Z61","53.34","4.92","8.83","20.01",NA,"0.23","0.16","8.61","1.48","1.93","0.13",NA,NA,NA,"0.53","15.08",NA,NA,NA,NA,NA,NA,NA,NA,"57.96","25.37","4.87",NA,"194.23",NA,NA,NA,NA,"19.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.59",NA,"11.13","22.97",NA,"14.03",NA,NA,NA,"52.9",NA,NA,NA,"1560",NA,"16.05",NA,NA,NA,"338.25","0.77",NA,NA,"19.7",NA,NA,"30.96","242.01","139.96","30.73",NA,"215.96","249.99"
"66","Z62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"519.2",NA,NA,NA,NA,"90.56",NA,NA,NA,"0.339",NA,"8.58","4.242","3.262",NA,NA,"9.992",NA,"8.97",NA,"1.608",NA,NA,NA,"39.9",NA,"0.473","2.768","32.04","49.3",NA,NA,"5.63",NA,"11.353",NA,"33.245",NA,NA,NA,NA,NA,NA,NA,"10.662",NA,"481.15","1.929","1.452",NA,"4.133",NA,"0.559","0.859",NA,NA,"37.15","3.43",NA,"303.42"
"67","Z63","52.403","4.115","12.554","16.319",NA,"0.224","3.918","8.137","2.769","1.538","0.659",NA,NA,"0.385",NA,NA,NA,NA,"537.3","1.9",NA,NA,NA,"87.72",NA,"40.95","13.1",NA,"161.9","8.16","4.16","3.29",NA,"25.62","9.78",NA,"7.28",NA,"1.55",NA,NA,NA,"39.53",NA,"0.48",NA,"26.66","49.45","14.6",NA,NA,NA,"11.6",NA,"34.7",NA,NA,NA,NA,NA,"28.1",NA,"10.59",NA,"514.4","1.69","1.49",NA,"3.74",NA,"0.55","0.79","412.4",NA,"44.9","3.35","148.3","289.98"
"68","Z64","49.6","3.78","12.21","15.45","10.8","0.215","3.91","7.8","2.71","1.5","0.629",NA,NA,"0.75",NA,"0.75",NA,NA,"649.5","1.85","0.065",NA,"0.17","90.7",NA,NA,"7","0.345","162.5","8.38","4.05","3.39","1080","25","10.26","1.2","7.48",NA,"1.63",NA,NA,NA,"39.67",NA,"0.47","1.4","31.2","50.6","20.5",NA,"5.74",NA,"11.38",NA,"34.8",NA,NA,NA,"252",NA,"28.5",NA,"11.11","2.2","490","1.82","1.55",NA,"3.79",NA,NA,"0.81","418.5",NA,"43.5","3.53","149","320"
"69","Z65","50.92","3.84","12.46","15.78","7.8","0.22","3.94","8.01","2.73","1.54","0.63",NA,NA,"0.43",NA,NA,NA,NA,"567",NA,NA,NA,NA,NA,NA,"38","17",NA,"210",NA,NA,NA,NA,"23",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29",NA,"20",NA,"7",NA,NA,NA,"37",NA,NA,NA,NA,NA,"30",NA,NA,NA,"487",NA,NA,NA,"5",NA,NA,NA,"409",NA,"43",NA,"137","307"
"70","Z66","51.2","3.89","12.4","15.8",NA,"0.22","3.98","8.16","2.7","1.53","0.68",NA,NA,"0.36","1",NA,NA,NA,"565","1.3",NA,NA,NA,"97",NA,"40","10",NA,"170","8.4","4.4","3.4",NA,NA,"11",NA,NA,NA,"1.6",NA,NA,NA,"43",NA,NA,"1.5",NA,"55","24",NA,"5.4",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"495",NA,"1.6",NA,"4",NA,NA,"0.8",NA,NA,"42","3.6","160",NA
"71","Z67","51.0889361949718","3.89821031106611","12.5585366290949","15.8642719336794",NA,"0.221916596298709","3.97033944866061","7.96169993965585","2.91607478303343","1.5523701035184","0.646223111789418",NA,NA,"0.379001965179745",NA,"1.7355",NA,NA,"548.065178458227",NA,NA,NA,"0.1693","93.38",NA,"37.74","18.3475",NA,"161","8.85525","4.40525","3.55575",NA,"24","10.74",NA,"9",NA,"3.36",NA,NA,NA,"39.915",NA,"0.5086","1.341","27","53.725","22",NA,"4.8365",NA,"12.98",NA,"36",NA,NA,NA,NA,NA,"23",NA,"11.57",NA,"456","2","1.589",NA,"4.148",NA,"0.58915","0.9151","404","1","40.315","3.56975","138","291"
"72","Z68","51.53","3.471","12.47","15.05",NA,"0.097","3.89","7.94","2.73","1.48","0.64",NA,NA,"0.73",NA,NA,NA,NA,"471.7",NA,NA,NA,NA,NA,NA,"40","58.4",NA,"163.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9",NA,"5.2",NA,NA,NA,"37.2",NA,NA,NA,"420",NA,NA,NA,NA,NA,"447.6",NA,NA,NA,NA,NA,NA,"1.9","389",NA,NA,NA,"143.6",NA
"73","Z69","52.11","3.782","12.023","14.516",NA,"0.2039","3.754","7.732","2.944","1.549","0.7051",NA,NA,"0.445",NA,NA,NA,NA,"612.3",NA,NA,NA,NA,"110",NA,"32.6","9.06",NA,"158.1",NA,NA,NA,NA,"24.2",NA,NA,"6.86",NA,NA,NA,NA,NA,"42.8",NA,NA,NA,"28","53.2","21.2",NA,"2.97",NA,NA,NA,"35.7",NA,NA,NA,NA,NA,"22.7",NA,NA,NA,"464.9",NA,NA,NA,"5.71",NA,NA,"2.08","392.7",NA,"39.5",NA,"137.3","310.1"
"74","Z70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"460",NA,NA,NA,NA,NA,NA,"24","20",NA,"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,"8",NA,NA,NA,NA,NA,NA,NA,"340",NA,NA,NA,NA,NA,"430",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"130",NA
"75","Z70.1","50.788","3.859","12.19478","15.758",NA,"0.227","3.859","7.656762","2.75","1.549","0.66",NA,NA,"0.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Z71","50.64","3.83","12.56","15.66",NA,"0.22","3.79","7.59","2.62","1.48","0.62",NA,NA,"0.74",NA,NA,NA,NA,"558",NA,NA,NA,NA,"100",NA,"41","11",NA,"171",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"40","9",NA,NA,NA,"57","22",NA,"27",NA,NA,NA,"39",NA,NA,NA,NA,NA,"36",NA,"13",NA,"472",NA,NA,NA,NA,NA,NA,NA,"402",NA,"42",NA,"132","313"
